日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-06-13,14.41,14.17,14.75,13.95,5486800.0,81830957.0,5.56
2025-06-16,14.307,14.467,14.747,14.007,4059400.0,60194246.0,5.22
2025-06-17,14.467,14.227,14.627,14.167,6563200.0,96685187.0,3.18
2025-06-18,14.527,13.567,14.527,13.107,12653180.0,176000832.0,9.98
2025-06-19,13.307,13.067,13.607,12.847,11459400.0,154314833.0,5.6
2025-06-20,13.227,12.807,13.247,12.627,7385200.0,97612798.0,4.74
2025-06-23,12.807,12.947,13.067,12.407,5613310.0,74588222.0,5.15
2025-06-24,12.967,13.407,13.527,12.967,10061768.0,137624418.0,4.33
2025-06-25,13.227,13.587,13.847,13.227,7003800.0,98211108.0,4.62
2025-06-26,13.727,13.107,13.727,13.067,4515541.0,61585711.0,4.86
2025-06-27,13.107,13.167,13.327,13.007,3147322.0,42634344.0,2.44
2025-06-30,13.007,14.107,14.207,13.007,10259851.0,145822130.0,9.11
2025-07-02,14.107,13.907,14.567,13.847,8718200.0,126748881.0,5.1
2025-07-03,14.007,13.767,14.107,13.627,3118072.0,44356280.0,3.45
2025-07-04,13.767,13.787,14.087,13.347,4694200.0,66717288.0,5.38
2025-07-07,13.807,13.787,14.027,13.527,4017200.0,57002061.0,3.63
2025-07-08,13.887,13.627,13.887,13.407,4423210.0,61846299.0,3.48
2025-07-09,13.667,14.107,14.347,13.427,5609144.0,80577053.0,6.75
2025-07-10,13.807,12.227,13.867,11.927,43858890.0,568958224.0,13.75
2025-07-11,12.347,12.167,12.427,11.967,11151000.0,140525747.0,3.76
2025-07-14,12.167,12.507,12.527,12.087,8909600.0,112963141.0,3.62
2025-07-15,12.547,12.427,12.547,12.227,6016640.0,76837810.0,2.56
2025-07-16,12.227,12.387,12.507,12.147,8097280.0,102755458.0,2.9
2025-07-17,12.387,12.427,12.707,12.307,4829400.0,62170770.0,3.23
2025-07-18,12.487,12.227,12.487,12.167,7080106.0,89817387.0,2.58
2025-07-21,12.227,12.107,12.267,11.867,10807634.0,133889522.0,3.27
2025-07-22,12.167,12.007,12.187,11.827,5159200.0,63939006.0,2.97
2025-07-23,12.187,11.907,12.187,11.807,5623600.0,69498714.0,3.16
2025-07-24,11.907,12.027,12.067,11.807,4103078.0,50517430.0,2.18
2025-07-25,12.027,12.107,12.327,11.987,4007878.0,50315947.0,2.83
2025-07-28,12.307,11.807,12.307,11.747,5986822.0,73595912.0,4.63
2025-07-29,11.827,11.767,11.887,11.647,5697400.0,69010898.0,2.03
2025-07-30,11.667,11.707,11.807,11.547,6037600.0,72760920.0,2.21
2025-07-31,11.607,11.387,11.747,11.167,6654400.0,78172795.0,4.95
2025-08-01,11.467,11.587,11.667,11.387,5460400.0,65061261.0,2.46
2025-08-04,11.417,11.917,11.957,11.127,11011300.0,132543005.0,7.16
2025-08-05,11.927,12.057,12.077,11.797,4613800.0,57082047.0,2.35
2025-08-06,12.077,12.027,12.087,11.777,3316000.0,40755173.0,2.57
2025-08-07,12.027,12.267,12.487,11.907,7647217.0,97066486.0,4.82
