日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,201.61,201.12,203.46,200.06,42460924.0,,
2025-05-22,201.38,203.1,205.76,200.16,38938882.0,,2.78
2025-05-23,198.9,200.99,202.37,197.85,33393545.0,,2.23
2025-05-27,203.09,206.02,206.69,202.19,34892044.0,,2.24
2025-05-28,205.92,204.72,207.66,204.41,28549753.0,,1.58
2025-05-29,208.03,205.7,208.81,204.23,34700005.0,,2.24
2025-05-30,204.84,205.01,205.99,201.7,51679406.0,,2.09
2025-06-02,204.98,206.65,207.0,202.68,29113319.0,,2.11
2025-06-03,207.11,205.71,208.95,205.03,33139121.0,,1.9
2025-06-04,206.55,207.23,208.18,205.18,29915592.0,,1.46
2025-06-05,209.55,207.91,212.81,207.56,51979243.0,,2.53
2025-06-06,212.4,213.57,213.87,210.5,39832500.0,,1.62
2025-06-09,214.75,216.98,217.85,212.88,38102502.0,,2.33
2025-06-10,216.78,217.61,217.69,214.15,31303317.0,,1.63
2025-06-11,217.41,213.2,218.4,212.89,39325981.0,,2.53
2025-06-12,211.78,213.24,213.58,211.33,27639991.0,,1.06
2025-06-13,209.96,212.1,214.05,209.62,29337763.0,,2.08
2025-06-16,212.31,216.1,217.06,211.6,33284158.0,,2.57
2025-06-17,215.2,214.82,217.41,214.56,32086262.0,,1.32
2025-06-18,215.09,212.52,217.96,212.34,44360509.0,,2.62
2025-06-20,214.68,209.69,214.89,208.27,75350733.0,,3.12
2025-06-23,209.79,208.47,210.39,207.31,37311725.0,,1.47
2025-06-24,212.14,212.77,214.34,211.05,38378757.0,,1.58
2025-06-25,214.62,211.99,216.03,211.11,31755698.0,,2.31
2025-06-26,213.12,217.12,218.04,212.01,50480814.0,,2.84
2025-06-27,219.92,223.3,223.3,216.74,119217138.0,,3.02
2025-06-30,223.52,219.39,223.82,219.12,58887780.0,,2.1
2025-07-01,219.5,220.46,221.88,217.93,39256830.0,,1.8
2025-07-02,219.73,219.92,221.6,219.06,30894178.0,,1.15
2025-07-03,221.82,223.41,224.01,221.36,29632353.0,,1.2
2025-07-07,223.0,223.47,224.29,222.37,36604139.0,,0.86
2025-07-08,223.92,219.36,224.0,218.43,45691987.0,,2.49
2025-07-09,221.07,222.54,224.29,220.47,38155121.0,,1.74
2025-07-10,221.55,222.26,222.79,219.7,30370591.0,,1.39
2025-07-11,223.58,225.02,226.68,222.37,50518307.0,,1.94
2025-07-14,225.07,225.69,226.66,224.24,35702597.0,,1.08
2025-07-15,226.2,226.35,227.27,225.46,34907294.0,,0.8
2025-07-16,225.88,223.19,226.1,222.18,39535926.0,,1.73
2025-07-17,223.32,223.88,224.5,222.51,31855831.0,,0.89
2025-07-18,225.14,226.13,226.4,222.98,37833807.0,,1.53
2025-07-21,225.84,229.3,229.69,225.65,40297556.0,,1.79
2025-07-22,229.68,227.47,230.0,226.35,37483702.0,,1.59
2025-07-23,228.47,228.29,228.79,227.09,28294852.0,,0.75
2025-07-24,229.17,232.23,236.0,228.64,42902266.0,,3.22
2025-07-25,232.22,231.44,232.48,231.18,28712095.0,,0.56
2025-07-28,233.35,232.79,234.29,232.25,26300138.0,,0.88
2025-07-29,234.15,231.01,234.72,230.31,33716220.0,,1.89
2025-07-30,231.64,230.19,231.8,229.29,32993273.0,,1.09
2025-07-31,235.77,234.11,236.53,231.4,104357263.0,,2.23
2025-08-01,217.21,214.75,220.44,212.8,122258801.0,,3.26
2025-08-04,217.4,211.65,217.44,211.42,77890146.0,,2.8
2025-08-05,213.05,213.75,216.3,212.87,51505121.0,,1.62
2025-08-06,214.7,222.31,222.65,213.74,54823045.0,,4.17
2025-08-07,221.0,223.13,226.22,220.82,40603513.0,,2.43
2025-08-08,223.14,222.69,223.8,221.88,32970477.0,,0.86
2025-08-11,221.78,221.3,223.05,220.4,31646222.0,,1.19
2025-08-12,222.23,221.47,223.5,219.05,37254707.0,,2.01
2025-08-13,222.0,224.56,224.92,222.0,36508335.0,,1.32
2025-08-14,227.4,230.98,233.11,227.02,61545824.0,,2.71
2025-08-15,232.58,231.03,234.08,229.81,39649244.0,,1.85
2025-08-18,230.23,231.49,231.91,228.33,25248890.0,,1.55
2025-08-19,230.09,228.01,230.53,227.12,29891012.0,,1.47
2025-08-20,227.12,223.81,227.27,220.92,36604319.0,,2.78
2025-08-21,222.65,221.95,222.78,220.5,32140459.0,,1.02
2025-08-22,222.79,228.84,229.14,220.82,37315341.0,,3.75
2025-08-25,227.35,227.94,229.6,227.31,22633695.0,,1.0
2025-08-26,227.11,228.71,229.0,226.02,26105373.0,,1.31
2025-08-27,228.57,229.12,229.87,227.81,21254479.0,,0.9
2025-08-28,229.01,231.6,232.71,228.02,33679585.0,,2.05
2025-08-29,231.32,229.0,231.81,228.16,26199170.0,,1.58
2025-09-02,223.52,225.34,226.17,221.83,38843883.0,,1.9
2025-09-03,225.21,225.99,227.17,224.36,29223134.0,,1.25
2025-09-04,231.19,235.68,235.77,230.78,59391779.0,,2.21
2025-09-05,235.19,232.33,236.0,231.93,36706546.0,,1.73
2025-09-08,234.94,235.84,237.6,233.75,33947104.0,,1.66
2025-09-09,236.36,238.24,238.85,235.08,27033778.0,,1.6
2025-09-10,237.52,230.33,237.68,229.1,60907714.0,,3.6
2025-09-11,231.49,229.95,231.53,229.34,37485598.0,,0.95
2025-09-12,230.35,228.15,230.79,226.29,38496218.0,,1.96
2025-09-15,230.63,231.43,233.73,230.32,33243328.0,,1.49
2025-09-16,232.94,234.05,235.9,232.23,38203912.0,,1.59
2025-09-17,233.77,231.62,234.3,228.71,42815230.0,,2.39
2025-09-18,232.5,231.23,233.48,228.79,37931738.0,,2.02
2025-09-19,232.37,231.48,234.16,229.7,97943172.0,,1.93
2025-09-22,230.56,227.63,230.57,227.51,45914506.0,,1.32
2025-09-23,227.83,220.71,227.86,220.07,70956193.0,,3.42
2025-09-24,224.15,220.21,224.56,219.45,49509033.0,,2.32
2025-09-25,220.06,218.15,220.67,216.47,52226328.0,,1.91
2025-09-26,219.08,219.78,221.05,218.02,41650098.0,,1.39
2025-09-29,220.08,222.17,222.6,219.3,44259177.0,,1.5
2025-09-30,222.03,219.57,222.24,217.89,48396369.0,,1.96
2025-10-01,217.36,220.63,222.15,216.61,43933834.0,,2.52
2025-10-02,221.01,222.41,222.81,218.95,41258586.0,,1.75
2025-10-03,223.44,219.51,224.2,219.34,43639033.0,,2.19
2025-10-06,221.0,220.9,221.73,216.03,43690876.0,,2.6
2025-10-07,220.88,221.78,222.89,220.17,31194678.0,,1.23
2025-10-08,222.92,225.22,226.73,221.19,46685985.0,,2.5
2025-10-09,225.0,227.74,228.21,221.75,46412122.0,,2.87
2025-10-10,226.21,216.37,228.25,216.0,72367511.0,,5.38
2025-10-13,217.7,220.07,220.68,217.04,37809650.0,,1.68
2025-10-14,215.56,216.39,219.32,212.6,45665580.0,,3.05
2025-10-15,216.62,215.57,217.71,212.66,45909469.0,,2.33
2025-10-16,215.67,214.47,218.59,212.81,42414591.0,,2.68
2025-10-17,214.56,213.04,214.8,211.03,45986944.0,,1.76
2025-10-20,213.88,216.48,216.69,213.59,38882819.0,,1.46
2025-10-21,218.43,222.03,223.32,217.99,50494565.0,,2.46
2025-10-22,219.3,217.95,220.01,216.52,44308538.0,,1.57
2025-10-23,219.0,221.09,221.3,218.18,31539999.0,,1.43
2025-10-24,221.97,224.21,225.4,221.9,38685053.0,,1.58
2025-10-27,227.66,226.97,228.4,225.54,38266995.0,,1.28
2025-10-28,228.22,229.25,231.49,226.21,47100026.0,,2.33
2025-10-29,231.67,230.3,232.82,227.76,52036151.0,,2.21
2025-10-30,227.06,222.86,228.44,222.75,102252937.0,,2.47
2025-10-31,250.1,244.22,250.5,243.98,166340808.0,,2.93
2025-11-03,255.36,254.0,258.6,252.9,95997816.0,,2.33
2025-11-04,250.38,249.32,257.01,248.66,51546311.0,,3.29
2025-11-05,249.03,250.2,251.0,246.16,40610702.0,,1.94
2025-11-06,249.16,243.04,250.38,242.17,46004203.0,,3.28
2025-11-07,242.9,244.41,244.9,238.49,46374294.0,,2.64
2025-11-10,248.34,248.4,251.75,245.59,36476514.0,,2.52
2025-11-11,248.41,249.1,249.75,247.23,23564060.0,,1.01
2025-11-12,250.24,244.2,250.37,243.75,31190063.0,,2.66
2025-11-13,243.05,237.58,243.75,236.5,41401738.0,,2.97
2025-11-14,235.06,234.69,238.73,232.89,38956669.0,,2.46
2025-11-17,233.25,232.87,234.6,229.19,59919018.0,,2.31
2025-11-18,228.1,222.55,230.2,222.42,60608442.0,,3.34
2025-11-19,223.74,222.69,223.74,218.52,58335643.0,,2.35
2025-11-20,227.05,217.14,227.41,216.74,50308962.0,,4.79
2025-11-21,216.35,220.69,222.21,215.18,68490464.0,,3.24
2025-11-24,222.56,226.28,227.33,222.27,54318395.0,,2.29
2025-11-25,226.38,229.67,230.52,223.8,39379339.0,,2.97
2025-11-26,230.74,229.16,231.75,228.77,38497922.0,,1.3
2025-11-28,231.24,233.22,233.29,230.22,20292329.0,,1.34
2025-12-01,233.22,233.88,235.8,232.25,42903954.0,,1.52
2025-12-02,235.01,234.42,238.97,233.55,45785363.0,,2.32
2025-12-03,233.35,232.38,233.38,230.61,35495058.0,,1.18
2025-12-04,232.77,229.11,233.5,226.8,45683224.0,,2.88
2025-12-05,230.32,229.53,231.24,228.55,33117377.0,,1.17
2025-12-08,229.59,226.89,230.83,226.27,35019174.0,,1.99
2025-12-09,226.84,227.92,228.57,225.11,25841743.0,,1.52
2025-12-10,228.81,231.78,232.42,228.46,38790736.0,,1.74
2025-12-11,230.71,230.28,232.11,228.69,28249599.0,,1.48
2025-12-12,229.87,226.19,230.08,225.12,35639118.0,,2.15
2025-12-15,227.93,222.54,227.93,221.5,47286085.0,,2.84
2025-12-16,223.04,222.56,223.66,221.13,39298857.0,,1.14
2025-12-17,224.66,221.27,225.19,220.99,44034418.0,,1.89
2025-12-18,225.71,226.76,229.23,224.41,50272419.0,,2.18
2025-12-19,226.76,227.35,229.13,225.58,85544374.0,,1.57
2025-12-22,228.61,228.43,229.48,226.71,32261329.0,,1.22
2025-12-23,229.06,232.14,232.45,228.73,29230233.0,,1.63
2025-12-24,232.13,232.38,232.95,231.33,11420543.0,,0.7
2025-12-26,232.04,232.52,232.99,231.18,15994726.0,,0.78
2025-12-29,231.94,232.07,232.6,230.77,19797909.0,,0.79
2025-12-30,231.21,232.53,232.77,230.2,21910453.0,,1.11
2025-12-31,232.91,230.82,232.99,230.12,24383749.0,,1.23
2026-01-02,231.34,226.5,235.46,224.7,51456229.0,,4.66
2026-01-05,228.84,233.06,234.0,227.18,49733348.0,,3.01
2026-01-06,232.1,240.93,243.18,232.07,53764677.0,,4.77
2026-01-07,239.61,241.56,245.29,239.52,42236531.0,,2.39
2026-01-08,243.06,246.29,246.41,241.88,39509844.0,,1.88
2026-01-09,244.57,247.38,247.86,242.24,34559961.0,,2.28
2026-01-12,246.73,246.47,248.94,245.96,35867770.0,,1.2
2026-01-13,246.53,242.6,247.66,240.25,38371778.0,,3.01
2026-01-14,241.15,236.65,241.28,236.22,41410578.0,,2.09
2026-01-15,239.31,238.18,240.65,236.63,43003571.0,,1.7
2026-01-16,239.09,239.12,239.57,236.41,45888283.0,,1.33
2026-01-20,233.76,231.0,235.09,229.34,47737854.0,,2.4
2026-01-21,231.09,231.31,232.3,226.88,47276090.0,,2.35
2026-01-22,234.05,234.34,235.72,230.9,31913325.0,,2.08
2026-01-23,234.96,239.16,240.45,234.57,33778478.0,,2.51
2026-01-26,239.98,238.42,240.95,237.54,32825530.0,,1.43
2026-01-27,239.69,244.68,244.88,238.08,38029216.0,,2.85
2026-01-28,246.37,243.01,247.78,241.53,40882657.0,,2.55
2026-01-29,242.82,241.73,243.0,236.74,47229643.0,,2.58
2026-01-30,239.89,239.3,243.32,237.64,46585024.0,,2.35
2026-02-02,238.31,242.96,245.63,238.17,37546102.0,,3.12
2026-02-03,244.98,238.62,246.35,235.45,53831298.0,,4.49
2026-02-04,238.86,232.99,238.86,231.82,51299947.0,,2.95
2026-02-05,224.91,222.69,226.31,220.38,103509230.0,,2.55
2026-02-06,202.7,210.32,211.44,200.31,179210851.0,,5.0
2026-02-09,208.97,208.72,212.81,203.35,91178443.0,,4.5
2026-02-10,208.8,206.96,212.65,206.41,67175031.0,,2.99
2026-02-11,208.06,204.08,208.57,202.49,65545455.0,,2.94
2026-02-12,203.96,199.6,203.96,197.56,83975393.0,,3.14
