日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,125.45,123.59,126.06,122.77,8521416.0,,
2025-05-22,121.49,121.48,122.17,120.92,7820944.0,,1.01
2025-05-23,119.58,120.73,121.04,119.28,7163427.0,,1.45
2025-05-27,119.88,119.52,120.01,118.89,8544496.0,,0.93
2025-05-28,117.45,116.74,117.92,116.51,11707735.0,,1.18
2025-05-29,119.04,117.18,119.34,116.7,12392828.0,,2.26
2025-05-30,115.01,113.84,115.07,111.6,17213209.0,,2.96
2025-06-02,114.9,114.75,115.4,113.66,13147154.0,,1.53
2025-06-03,115.38,114.97,115.81,114.42,14008938.0,,1.21
2025-06-04,116.82,119.45,120.0,116.66,18115450.0,,2.91
2025-06-05,120.95,119.96,121.55,119.14,15375413.0,,2.02
2025-06-06,119.0,119.38,119.77,118.22,9753173.0,,1.29
2025-06-09,121.09,121.48,122.16,120.12,10410563.0,,1.71
2025-06-10,120.62,121.88,122.16,119.88,8892757.0,,1.88
2025-06-11,122.63,120.33,123.46,120.05,10443073.0,,2.8
2025-06-12,117.52,116.62,117.55,115.95,10204450.0,,1.33
2025-06-13,113.67,112.87,114.78,112.27,13355129.0,,2.15
2025-06-16,114.98,115.96,116.9,114.87,10242923.0,,1.8
2025-06-17,115.94,115.03,116.61,115.03,10205739.0,,1.36
2025-06-18,113.64,113.49,114.3,113.02,14002314.0,,1.11
2025-06-20,114.11,113.01,114.43,112.62,12737319.0,,1.59
2025-06-23,112.12,113.09,113.09,111.26,12536509.0,,1.62
2025-06-24,114.62,117.01,117.32,113.62,17125097.0,,3.27
2025-06-25,117.2,114.55,117.45,114.17,12835548.0,,2.8
2025-06-26,114.1,113.93,114.2,113.38,8388014.0,,0.72
2025-06-27,114.37,114.08,115.5,113.32,12355492.0,,1.91
2025-06-30,112.46,113.41,113.49,111.4,10457272.0,,1.83
2025-07-01,112.95,113.97,114.79,112.74,9243164.0,,1.81
2025-07-02,111.57,110.71,111.82,110.37,13843810.0,,1.27
2025-07-03,108.34,108.7,109.08,107.95,11847157.0,,1.02
2025-07-07,107.43,106.27,108.2,105.94,17446167.0,,2.08
2025-07-08,108.77,107.99,109.13,107.91,11319872.0,,1.15
2025-07-09,105.48,103.83,105.53,103.71,24609268.0,,1.69
2025-07-10,105.14,106.64,106.76,104.41,13554454.0,,2.26
2025-07-11,106.91,106.72,107.42,106.3,10774594.0,,1.05
2025-07-14,107.65,108.22,108.8,107.19,13231335.0,,1.51
2025-07-15,114.66,116.97,117.22,113.2,34785371.0,,3.71
2025-07-16,115.5,115.73,116.03,114.04,14438970.0,,1.7
2025-07-17,115.04,117.3,118.2,114.86,14573568.0,,2.89
2025-07-18,121.38,120.23,122.16,119.77,26787681.0,,2.04
2025-07-21,119.51,120.27,122.31,118.25,17937612.0,,3.38
2025-07-22,120.44,120.71,121.84,119.0,11551511.0,,2.36
2025-07-23,122.8,122.58,123.87,121.4,12874232.0,,2.05
2025-07-24,121.85,121.15,123.99,120.45,11378418.0,,2.89
2025-07-25,120.19,120.03,120.48,119.34,7060560.0,,0.94
2025-07-28,122.03,122.15,123.45,121.53,11207373.0,,1.6
2025-07-29,122.49,119.36,122.87,119.05,13599708.0,,3.13
2025-07-30,119.05,117.38,119.59,116.84,12794061.0,,2.3
2025-07-31,117.82,120.63,121.34,117.52,13650447.0,,3.25
2025-08-01,118.06,117.07,118.37,116.11,12424282.0,,1.87
2025-08-04,118.35,117.5,119.49,116.86,7272111.0,,2.25
2025-08-05,118.1,117.04,118.65,116.87,5885633.0,,1.51
2025-08-06,118.88,120.86,121.29,117.77,12079640.0,,3.01
2025-08-07,121.34,120.96,122.28,119.6,9480594.0,,2.22
2025-08-08,119.32,120.36,120.7,118.66,9763569.0,,1.69
2025-08-11,120.43,118.64,121.3,118.12,12071979.0,,2.64
2025-08-12,118.81,122.42,122.79,118.1,11994896.0,,3.95
2025-08-13,126.69,126.86,127.93,125.08,19362542.0,,2.33
2025-08-14,123.73,122.28,123.93,121.34,15045624.0,,2.04
2025-08-15,120.98,121.26,122.19,120.68,11141846.0,,1.23
2025-08-18,121.92,121.4,123.15,120.9,8550427.0,,1.86
2025-08-19,121.58,119.99,122.58,119.99,8106147.0,,2.13
2025-08-20,119.92,119.49,120.81,118.67,7095804.0,,1.78
2025-08-21,117.88,118.09,119.27,117.51,8231152.0,,1.47
2025-08-22,120.48,122.94,123.4,120.28,13855325.0,,2.64
2025-08-25,125.18,124.35,126.73,123.5,12888365.0,,2.63
2025-08-26,125.3,124.19,126.0,123.72,8706053.0,,1.83
2025-08-27,121.2,122.23,122.52,120.79,13833096.0,,1.39
2025-08-28,119.53,119.57,121.25,117.6,14501143.0,,2.99
2025-08-29,128.88,135.0,136.65,128.51,82165134.0,,6.81
2025-09-02,134.47,138.55,138.83,133.06,41625384.0,,4.27
2025-09-03,136.7,136.45,137.77,135.58,16470529.0,,1.58
2025-09-04,133.16,130.92,134.25,130.06,24730939.0,,3.07
2025-09-05,135.03,135.58,135.61,132.7,19202474.0,,2.22
2025-09-08,139.88,141.2,141.22,138.77,20095286.0,,1.81
2025-09-09,145.4,147.1,148.0,144.65,32792264.0,,2.37
2025-09-10,145.42,143.93,145.92,143.23,21079914.0,,1.83
2025-09-11,148.12,155.44,156.85,147.86,50089164.0,,6.25
2025-09-12,154.07,155.06,155.46,152.06,20903285.0,,2.19
2025-09-15,159.09,158.04,159.7,156.73,23567202.0,,1.92
2025-09-16,158.36,162.21,163.0,157.59,26017688.0,,3.42
2025-09-17,166.0,166.17,167.32,163.26,29344345.0,,2.5
2025-09-18,162.5,162.48,164.79,161.3,19529564.0,,2.1
2025-09-19,164.69,162.81,166.25,162.61,18183217.0,,2.24
2025-09-22,163.76,164.25,167.44,163.03,18667746.0,,2.71
2025-09-23,165.01,163.08,167.83,162.8,18278591.0,,3.06
2025-09-24,175.98,176.44,180.16,175.0,52642314.0,,3.16
2025-09-25,173.4,175.47,175.77,170.44,20712240.0,,3.02
2025-09-26,172.17,171.91,172.76,169.7,15971139.0,,1.74
2025-09-29,178.08,179.9,181.34,177.59,21576309.0,,2.18
2025-09-30,181.66,178.73,182.15,177.1,18681536.0,,2.81
2025-10-01,179.98,182.78,183.08,178.87,14966893.0,,2.36
2025-10-02,188.58,189.34,192.67,188.3,23687832.0,,2.39
2025-10-03,190.72,188.03,191.07,187.14,13990883.0,,2.08
2025-10-06,186.5,187.22,189.61,186.31,10973537.0,,1.76
2025-10-07,187.41,181.33,188.66,180.44,16942164.0,,4.39
2025-10-08,180.79,181.12,182.09,177.3,15883673.0,,2.64
2025-10-09,178.52,173.68,178.78,172.3,21211553.0,,3.58
2025-10-10,170.03,159.01,172.93,157.25,50296820.0,,9.03
2025-10-13,167.78,166.81,168.79,165.03,25703058.0,,2.36
2025-10-14,160.05,162.86,166.5,160.0,18583211.0,,3.9
2025-10-15,168.07,165.91,168.1,164.6,15337377.0,,2.15
2025-10-16,166.52,165.09,168.3,164.46,10979714.0,,2.31
2025-10-17,161.76,167.05,169.1,161.15,17765727.0,,4.82
2025-10-20,167.29,173.47,174.97,165.79,20120474.0,,5.5
2025-10-21,170.52,166.67,170.94,166.42,15662505.0,,2.61
2025-10-22,167.0,165.86,169.67,163.58,15016541.0,,3.65
2025-10-23,168.97,171.9,173.24,168.32,12792123.0,,2.97
2025-10-24,174.4,174.7,176.44,173.36,11840994.0,,1.79
2025-10-27,179.74,179.45,180.0,177.62,12580845.0,,1.36
2025-10-28,177.48,176.72,179.38,175.24,11906931.0,,2.31
2025-10-29,180.3,179.97,182.5,178.09,12068930.0,,2.5
2025-10-30,174.32,173.93,176.38,173.78,10756273.0,,1.44
2025-10-31,170.53,170.43,171.45,168.12,13181435.0,,1.91
2025-11-03,168.31,167.69,168.94,165.58,9702276.0,,1.97
2025-11-04,162.6,164.3,166.5,162.2,9693135.0,,2.56
2025-11-05,164.4,164.82,166.88,163.6,8631419.0,,2.0
2025-11-06,169.0,167.61,170.55,165.52,12438908.0,,3.05
2025-11-07,162.96,166.34,166.38,161.22,11581220.0,,3.08
2025-11-10,167.62,165.89,168.0,163.64,9348727.0,,2.62
2025-11-11,164.59,160.8,165.58,160.16,11354390.0,,3.27
2025-11-12,160.98,157.91,161.19,156.2,13920804.0,,3.1
2025-11-13,164.0,159.84,164.0,158.5,17212992.0,,3.48
2025-11-14,156.94,153.8,162.62,151.78,33991002.0,,6.78
2025-11-17,157.98,157.71,161.03,156.9,16911369.0,,2.69
2025-11-18,157.31,159.72,161.28,156.7,12438918.0,,2.9
2025-11-19,159.33,158.89,160.97,158.04,7949937.0,,1.83
2025-11-20,159.0,153.28,161.39,153.0,13466893.0,,5.28
2025-11-21,151.98,152.93,155.88,148.64,16240767.0,,4.72
2025-11-24,160.0,160.73,161.5,158.7,21796582.0,,1.83
2025-11-25,165.2,157.01,166.37,156.15,27097482.0,,6.36
