日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,66.29,64.9,67.25,64.81,4352277.0,,
2025-05-22,64.79,68.46,68.59,64.61,4398266.0,,6.13
2025-05-23,66.51,67.89,69.19,66.5,2391372.0,,3.93
2025-05-27,69.59,70.15,70.95,68.5,2654739.0,,3.61
2025-05-28,70.39,70.69,71.2,69.83,1668574.0,,1.95
2025-05-29,71.38,69.73,71.5,69.32,1751963.0,,3.08
2025-05-30,70.12,72.2,72.67,69.4,2981595.0,,4.69
2025-06-02,71.97,71.76,72.06,68.7,3142961.0,,4.65
2025-06-03,72.3,70.8,73.5,70.48,2426501.0,,4.21
2025-06-04,71.02,72.33,72.95,70.67,1565772.0,,3.22
2025-06-05,73.14,73.02,77.88,71.77,6608741.0,,8.45
2025-06-06,74.15,73.08,74.66,71.25,3310611.0,,4.67
2025-06-09,73.61,73.38,74.63,72.27,2575343.0,,3.23
2025-06-10,73.1,70.29,73.9,69.7,3199159.0,,5.72
2025-06-11,71.53,71.47,72.2,70.76,1776291.0,,2.05
2025-06-12,71.13,71.4,71.98,70.38,2022598.0,,2.24
2025-06-13,69.52,68.14,69.73,65.75,4160704.0,,5.57
2025-06-16,68.92,70.81,71.38,68.92,2355648.0,,3.61
2025-06-17,70.0,68.94,70.99,68.5,2488839.0,,3.52
2025-06-18,68.9,69.83,70.53,68.28,1584330.0,,3.26
2025-06-20,70.15,67.61,70.39,67.52,3682711.0,,4.11
2025-06-23,67.0,69.27,69.43,65.6,3222357.0,,5.66
2025-06-24,70.27,70.39,70.9,69.39,1968678.0,,2.18
2025-06-25,70.6,68.55,71.12,68.45,2378573.0,,3.79
2025-06-26,68.8,67.46,68.9,66.02,2858870.0,,4.2
2025-06-27,67.55,69.34,70.13,66.74,5253508.0,,5.03
2025-06-30,70.82,68.37,71.0,68.03,2079496.0,,4.28
2025-07-01,68.6,67.1,69.08,66.92,2613303.0,,3.16
2025-07-02,66.99,66.05,67.0,64.6,2414302.0,,3.58
2025-07-03,66.0,67.22,67.42,65.63,1485532.0,,2.71
2025-07-07,66.51,66.47,66.51,64.9,2980658.0,,2.4
2025-07-08,66.24,66.09,66.86,65.45,1719897.0,,2.12
2025-07-09,66.39,66.32,66.98,65.53,1346039.0,,2.19
2025-07-10,66.99,63.71,66.99,63.7,3077699.0,,4.96
2025-07-11,63.76,63.33,64.35,62.86,2127981.0,,2.34
2025-07-14,63.86,63.44,65.08,63.08,2222326.0,,3.16
2025-07-15,63.5,63.86,64.56,63.27,2209250.0,,2.03
2025-07-16,63.9,62.88,64.12,61.81,1886203.0,,3.62
2025-07-17,63.52,63.48,63.96,62.61,1889275.0,,2.15
2025-07-18,63.92,64.37,64.75,63.19,1763282.0,,2.46
2025-07-21,64.49,62.57,64.73,62.45,1955239.0,,3.54
2025-07-22,62.54,62.78,63.16,61.75,1504008.0,,2.25
2025-07-23,63.11,62.81,63.45,62.31,1896561.0,,1.82
2025-07-24,62.25,58.46,62.78,58.15,5411371.0,,7.37
2025-07-25,58.98,59.5,59.76,57.75,3334988.0,,3.44
2025-07-28,59.82,59.23,60.38,58.82,1812871.0,,2.62
2025-07-29,59.86,58.31,59.89,57.66,1920485.0,,3.76
2025-07-30,59.0,60.07,60.24,58.48,3268414.0,,3.02
2025-07-31,60.3,59.27,60.47,58.71,3045119.0,,2.93
2025-08-01,58.3,56.71,58.91,56.18,2959665.0,,4.61
2025-08-04,58.07,58.48,59.25,57.0,3640885.0,,3.97
2025-08-05,58.95,57.45,59.19,56.91,3532444.0,,3.9
2025-08-06,58.05,57.79,58.77,57.24,7256607.0,,2.66
2025-08-07,69.56,70.27,71.8,66.5,13974741.0,,9.17
2025-08-08,69.56,66.08,70.04,64.9,6575112.0,,7.31
2025-08-11,66.78,67.48,69.38,66.5,4831497.0,,4.36
2025-08-12,67.69,68.82,68.88,66.46,2737420.0,,3.59
2025-08-13,69.95,67.54,69.95,66.57,3364900.0,,4.91
2025-08-14,66.42,63.26,67.09,62.83,5101414.0,,6.31
2025-08-15,62.79,62.99,63.37,62.3,2515864.0,,1.69
2025-08-18,62.9,65.4,65.47,62.75,3115471.0,,4.32
2025-08-19,65.0,63.82,65.72,63.69,2211738.0,,3.1
2025-08-20,63.15,62.94,63.55,62.13,1915442.0,,2.23
2025-08-21,62.37,63.13,63.45,62.18,1865037.0,,2.02
2025-08-22,63.19,65.52,65.82,63.13,4745385.0,,4.26
2025-08-25,65.6,69.64,69.99,65.6,5831000.0,,6.7
2025-08-26,68.99,72.27,72.5,68.86,3818246.0,,5.23
2025-08-27,72.2,73.21,74.65,72.17,3290161.0,,3.43
2025-08-28,73.05,74.24,74.31,71.54,3096117.0,,3.78
2025-08-29,74.15,71.83,74.23,70.37,3343109.0,,5.2
2025-09-02,70.53,72.98,73.24,69.78,2797163.0,,4.82
2025-09-03,72.57,71.71,72.77,71.29,2171622.0,,2.03
2025-09-04,72.0,71.43,72.0,70.27,2704554.0,,2.41
2025-09-05,72.21,65.98,73.58,65.78,6125497.0,,10.92
2025-09-08,65.66,64.3,66.28,63.67,6150103.0,,3.96
2025-09-09,64.3,65.64,65.93,63.7,2901836.0,,3.47
2025-09-10,65.0,65.03,65.76,64.2,3513448.0,,2.38
2025-09-11,65.34,66.5,66.77,64.55,2664763.0,,3.41
2025-09-12,66.19,64.55,66.46,64.15,3052643.0,,3.47
2025-09-15,64.27,62.1,65.0,62.03,3569258.0,,4.6
2025-09-16,62.14,59.34,62.4,59.23,4893619.0,,5.1
2025-09-17,59.55,57.95,60.07,57.52,3403279.0,,4.3
2025-09-18,58.59,58.12,58.9,57.54,2880117.0,,2.35
2025-09-19,58.5,58.62,59.08,57.24,4196858.0,,3.17
2025-09-22,58.43,55.26,58.52,55.09,6283687.0,,5.85
2025-09-23,55.53,55.35,56.95,55.25,3151398.0,,3.08
2025-09-24,55.55,54.09,56.83,53.98,4013839.0,,5.15
2025-09-25,53.24,53.36,54.1,52.78,3216611.0,,2.44
2025-09-26,53.56,53.1,53.67,52.18,3596692.0,,2.79
2025-09-29,53.76,52.57,53.95,51.85,4652471.0,,3.95
2025-09-30,52.39,52.34,52.5,51.27,3471930.0,,2.34
2025-10-01,51.75,51.53,52.24,51.12,4291561.0,,2.14
2025-10-02,52.01,52.33,52.68,51.8,3350123.0,,1.71
2025-10-03,52.12,50.55,52.45,50.31,4514958.0,,4.09
2025-10-06,50.69,49.03,50.71,48.76,4727029.0,,3.86
2025-10-07,49.09,47.66,49.26,47.42,4532486.0,,3.75
2025-10-08,47.87,47.93,48.68,47.16,4410280.0,,3.19
2025-10-09,47.8,49.64,50.85,47.75,6361982.0,,6.47
2025-10-10,49.53,48.88,50.35,48.11,4422398.0,,4.51
2025-10-13,50.25,52.31,52.66,49.88,6675558.0,,5.69
2025-10-14,51.31,52.92,53.18,50.23,5272700.0,,5.64
2025-10-15,53.63,55.01,55.09,53.07,4703020.0,,3.82
2025-10-16,54.94,54.53,55.4,52.9,5259273.0,,4.54
2025-10-17,54.3,54.91,55.27,53.8,3242939.0,,2.7
2025-10-20,55.37,56.1,57.07,55.0,4057165.0,,3.77
2025-10-21,56.85,57.49,58.24,56.46,3628552.0,,3.17
2025-10-22,56.92,57.11,57.87,56.01,3307472.0,,3.24
2025-10-23,57.16,57.14,57.49,56.0,2547837.0,,2.61
2025-10-24,58.15,56.91,58.39,56.4,2834231.0,,3.48
2025-10-27,58.38,59.87,60.2,57.84,3805315.0,,4.15
2025-10-28,59.92,59.32,60.22,58.43,2539997.0,,2.99
