日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,265.65,258.31,266.7,257.86,967751.0,,
2025-05-22,258.3,259.1,260.77,257.2,749023.0,,1.38
2025-05-23,244.14,234.74,244.14,233.76,1939295.0,,4.01
2025-05-27,238.0,240.71,244.25,237.36,1598822.0,,2.94
2025-05-28,240.96,238.59,242.58,236.34,2406272.0,,2.59
2025-05-29,255.6,227.8,259.16,224.88,3386064.0,,14.37
2025-05-30,227.76,228.27,230.0,223.27,2005148.0,,2.95
2025-06-02,227.0,232.86,233.19,224.76,1738333.0,,3.69
2025-06-03,232.19,237.83,238.61,231.91,1050679.0,,2.88
2025-06-04,237.76,238.38,243.12,237.0,964016.0,,2.57
2025-06-05,237.94,242.92,244.33,236.53,1031346.0,,3.27
2025-06-06,244.44,246.02,246.63,240.0,859838.0,,2.73
2025-06-09,248.37,246.94,251.61,246.64,1156845.0,,2.02
2025-06-10,245.92,241.43,245.92,240.56,768230.0,,2.17
2025-06-11,243.21,238.77,245.47,237.11,1032174.0,,3.46
2025-06-12,237.26,237.08,237.9,232.2,732087.0,,2.39
2025-06-13,233.01,228.83,236.4,226.37,910049.0,,4.23
2025-06-16,231.9,235.93,237.11,230.95,1142624.0,,2.69
2025-06-17,232.79,228.17,235.0,226.69,808187.0,,3.52
2025-06-18,227.5,227.33,230.44,227.2,795566.0,,1.42
2025-06-20,227.4,225.36,229.3,224.0,1158180.0,,2.33
2025-06-23,223.77,222.85,223.77,218.52,1010918.0,,2.33
2025-06-24,225.82,228.1,230.14,223.07,1134929.0,,3.17
2025-06-25,228.0,226.09,229.25,224.56,910576.0,,2.06
2025-06-26,227.3,229.09,229.98,222.48,907838.0,,3.32
2025-06-27,231.39,230.63,235.52,229.38,1213120.0,,2.68
2025-06-30,231.0,232.64,233.17,228.46,900180.0,,2.04
2025-07-01,232.17,237.02,241.29,231.46,1210083.0,,4.23
2025-07-02,238.17,242.28,243.48,235.44,1041461.0,,3.39
2025-07-03,242.4,247.39,248.93,241.95,870071.0,,2.88
2025-07-07,248.0,250.38,251.31,246.57,977399.0,,1.92
2025-07-08,249.2,249.57,251.58,246.91,837132.0,,1.87
2025-07-09,251.31,253.36,254.13,248.84,1054681.0,,2.12
2025-07-10,252.97,252.62,258.57,252.36,1353509.0,,2.45
2025-07-11,250.65,249.77,251.44,247.58,720702.0,,1.53
2025-07-14,253.01,255.88,256.16,247.88,937065.0,,3.32
2025-07-15,257.49,251.9,258.01,251.9,859606.0,,2.39
2025-07-16,253.59,254.51,254.8,250.39,717367.0,,1.75
2025-07-17,255.05,262.26,263.32,253.1,1237420.0,,4.02
2025-07-18,264.04,265.4,266.8,261.74,791717.0,,1.93
2025-07-21,267.17,273.91,273.93,266.18,982288.0,,2.92
2025-07-22,275.29,275.44,277.19,268.36,833811.0,,3.22
2025-07-23,277.24,279.92,279.96,275.23,905281.0,,1.72
2025-07-24,279.83,276.8,280.32,274.6,761365.0,,2.04
2025-07-25,279.23,279.41,279.87,274.44,671916.0,,1.96
2025-07-28,282.88,287.99,288.34,279.89,1134907.0,,3.02
2025-07-29,288.29,280.41,288.59,278.94,921463.0,,3.35
2025-07-30,280.74,280.87,283.14,278.78,1015705.0,,1.55
2025-07-31,278.12,272.96,279.87,271.66,829128.0,,2.92
2025-08-01,267.73,273.18,273.33,263.95,1048125.0,,3.44
2025-08-04,277.07,280.79,281.63,276.3,1012683.0,,1.95
2025-08-05,280.36,279.66,282.96,277.34,672202.0,,2.0
2025-08-06,280.0,282.98,284.73,278.3,782955.0,,2.3
2025-08-07,283.97,278.13,285.02,274.69,939778.0,,3.65
2025-08-08,278.42,271.26,279.07,269.49,994999.0,,3.44
2025-08-11,272.7,270.44,273.76,269.16,1031109.0,,1.7
