日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,23.06,22.48,23.06,22.4,7625251.0,,
2025-05-22,22.39,22.31,22.41,21.98,9762450.0,,1.91
2025-05-23,22.35,22.4,22.46,22.01,6785070.0,,2.02
2025-05-27,22.58,22.9,22.93,22.48,6351461.0,,2.01
2025-05-28,22.89,22.71,23.09,22.65,5788403.0,,1.92
2025-05-29,22.62,22.67,22.92,22.44,6821588.0,,2.11
2025-05-30,22.67,22.89,22.98,22.54,8306645.0,,1.94
2025-06-02,22.68,22.76,22.8,22.48,5715583.0,,1.4
2025-06-03,22.63,22.68,22.78,22.3,4836618.0,,2.11
2025-06-04,22.71,22.5,22.81,22.48,3970722.0,,1.46
2025-06-05,22.4,22.26,22.44,22.12,4414328.0,,1.42
2025-06-06,22.34,22.39,22.47,22.16,4738353.0,,1.39
2025-06-09,22.12,22.4,22.51,22.07,8563935.0,,1.97
2025-06-10,22.47,22.44,22.58,22.11,8689713.0,,2.1
2025-06-11,22.5,22.37,22.55,22.2,5945637.0,,1.56
2025-06-12,22.02,22.28,22.31,21.81,8867164.0,,2.24
2025-06-13,22.34,21.57,22.49,21.51,10715400.0,,4.4
2025-06-16,21.62,21.6,21.69,21.18,9917857.0,,2.36
2025-06-17,21.59,21.55,21.89,21.47,6165694.0,,1.94
2025-06-18,21.55,21.5,21.73,21.45,5856343.0,,1.3
2025-06-20,21.49,21.49,21.65,21.33,14392866.0,,1.49
2025-06-23,21.5,21.61,21.78,21.27,7884658.0,,2.37
2025-06-24,21.53,21.46,21.64,21.3,9400322.0,,1.57
2025-06-25,21.18,20.45,21.19,20.45,11487348.0,,3.45
2025-06-26,20.65,20.5,20.86,20.4,7917988.0,,2.25
2025-06-27,20.52,20.4,20.67,20.26,11428076.0,,2.0
2025-06-30,20.37,20.47,20.52,20.26,9555368.0,,1.27
2025-07-01,20.38,21.05,21.37,20.38,11289358.0,,4.84
2025-07-02,21.04,21.14,21.3,20.97,7516045.0,,1.57
2025-07-03,21.23,20.99,21.27,20.93,6100811.0,,1.61
2025-07-07,20.99,20.41,20.99,20.33,9271528.0,,3.14
2025-07-08,20.31,20.65,20.82,20.23,9907499.0,,2.89
2025-07-09,20.72,20.38,20.8,20.22,12752762.0,,2.81
2025-07-10,19.33,19.49,20.15,18.82,29505242.0,,6.53
2025-07-11,19.53,19.4,19.53,18.84,20159777.0,,3.54
2025-07-14,19.48,19.38,19.59,19.23,12651319.0,,1.86
2025-07-15,19.31,19.0,19.55,18.96,14794636.0,,3.04
2025-07-16,19.0,19.04,19.17,18.8,9607922.0,,1.95
2025-07-17,19.05,18.97,19.22,18.84,10255181.0,,2.0
2025-07-18,19.06,19.07,19.23,18.93,9688330.0,,1.58
2025-07-21,19.14,18.75,19.25,18.67,14163384.0,,3.04
2025-07-22,18.77,19.4,19.54,18.72,11940042.0,,4.37
2025-07-23,19.55,19.63,19.88,19.49,12714274.0,,2.01
2025-07-24,19.45,19.3,19.57,19.3,9928064.0,,1.38
2025-07-25,19.29,19.21,19.32,19.06,8409598.0,,1.35
2025-07-28,19.07,19.2,19.43,18.96,10824495.0,,2.45
2025-07-29,19.17,19.38,19.42,18.97,12525097.0,,2.34
2025-07-30,19.03,18.53,19.1,18.39,14813979.0,,3.66
2025-07-31,18.36,18.26,18.58,18.19,20194813.0,,2.1
2025-08-01,18.44,18.51,18.59,18.26,11514674.0,,1.81
2025-08-04,18.47,18.69,18.76,18.44,10954590.0,,1.73
2025-08-05,18.69,18.8,18.91,18.63,9406078.0,,1.5
2025-08-06,18.87,18.93,19.12,18.74,12164611.0,,2.02
2025-08-07,19.04,19.25,19.38,18.84,13498128.0,,2.85
2025-08-08,19.24,19.25,19.35,19.09,9649041.0,,1.35
2025-08-11,19.33,19.27,19.55,19.05,9734760.0,,2.6
2025-08-12,19.34,19.5,19.69,19.27,12511833.0,,2.18
2025-08-13,19.44,19.52,19.69,19.3,8181097.0,,2.0
2025-08-14,19.4,19.45,19.47,19.12,6183398.0,,1.79
2025-08-15,19.49,19.17,19.53,18.99,8385455.0,,2.78
2025-08-18,19.19,18.98,19.24,18.98,9453857.0,,1.36
2025-08-19,19.1,19.27,19.48,19.07,8492772.0,,2.16
2025-08-20,19.42,19.25,19.66,19.21,7634217.0,,2.34
2025-08-21,19.19,19.3,19.35,19.01,7468103.0,,1.77
2025-08-22,19.42,19.66,19.78,19.41,12182016.0,,1.92
2025-08-25,19.66,19.16,19.66,19.1,8461323.0,,2.85
2025-08-26,19.04,18.79,19.06,18.7,55005636.0,,1.88
2025-08-27,18.75,19.16,19.21,18.67,11846391.0,,2.87
2025-08-28,19.14,18.79,19.19,18.53,10725840.0,,3.44
2025-08-29,18.82,19.13,19.17,18.81,8268535.0,,1.92
2025-09-02,19.07,18.77,19.23,18.73,10793018.0,,2.61
2025-09-03,18.65,19.2,19.23,18.61,9417962.0,,3.3
2025-09-04,19.22,18.94,19.3,18.87,9507730.0,,2.24
2025-09-05,18.98,19.28,19.38,18.9,8234593.0,,2.53
2025-09-08,19.4,19.46,19.51,19.14,9343306.0,,1.92
2025-09-09,19.42,19.42,19.55,19.31,7833827.0,,1.23
2025-09-10,19.28,19.36,19.43,19.03,8977980.0,,2.06
2025-09-11,19.4,19.44,19.59,19.27,8060772.0,,1.65
2025-09-12,19.37,19.17,19.42,19.17,5349974.0,,1.29
2025-09-15,19.21,18.67,19.34,18.67,9688606.0,,3.5
2025-09-16,18.74,18.94,19.06,18.65,9307267.0,,2.2
2025-09-17,18.92,18.89,19.24,18.84,8078017.0,,2.11
2025-09-18,18.85,18.75,18.89,18.67,11558165.0,,1.16
2025-09-19,18.81,18.54,18.9,18.45,20476660.0,,2.4
2025-09-22,18.5,18.32,18.63,18.3,9705817.0,,1.78
2025-09-23,18.4,18.2,18.48,18.12,10960187.0,,1.97
2025-09-24,18.22,18.53,18.64,18.19,10592592.0,,2.47
2025-09-25,18.57,18.08,18.64,18.07,11014664.0,,3.08
2025-09-26,18.17,18.18,18.36,18.12,11979236.0,,1.33
2025-09-29,18.2,18.04,18.21,17.89,12165367.0,,1.76
2025-09-30,18.0,18.31,18.38,17.9,22230695.0,,2.66
2025-10-01,18.84,19.3,19.36,18.43,23515930.0,,5.08
2025-10-02,19.09,19.18,19.24,18.84,11204115.0,,2.07
2025-10-03,19.18,19.11,19.33,18.99,7714623.0,,1.77
2025-10-06,19.11,18.72,19.15,18.66,11397269.0,,2.56
2025-10-07,18.77,18.91,19.08,18.65,13204439.0,,2.3
2025-10-08,18.88,18.71,18.97,18.66,8467448.0,,1.64
2025-10-09,18.8,18.5,18.8,18.45,7238406.0,,1.87
2025-10-10,18.66,18.58,18.7,18.31,14977182.0,,2.11
2025-10-13,18.52,18.19,18.54,17.94,12938724.0,,3.23
2025-10-14,18.15,18.5,18.52,18.07,16330611.0,,2.47
2025-10-15,18.5,18.34,18.68,18.27,13431848.0,,2.22
2025-10-16,18.49,18.27,18.69,18.17,14701800.0,,2.84
2025-10-17,18.35,18.56,18.63,18.31,8973990.0,,1.75
2025-10-20,18.57,18.5,18.63,18.47,7299973.0,,0.86
2025-10-21,18.62,18.62,18.67,18.43,7466330.0,,1.3
2025-10-22,18.65,18.78,18.99,18.51,9936299.0,,2.58
2025-10-23,18.86,18.47,18.86,18.44,8562579.0,,2.24
2025-10-24,18.51,18.29,18.61,18.26,7146809.0,,1.89
2025-10-27,18.3,18.5,18.51,18.27,8998603.0,,1.31
2025-10-28,18.39,18.08,18.41,18.05,14629165.0,,1.95
2025-10-29,18.0,17.38,18.04,17.35,20897533.0,,3.82
2025-10-30,16.97,17.42,17.48,16.94,15512734.0,,3.11
2025-10-31,17.26,17.19,17.32,17.09,12966378.0,,1.32
2025-11-03,17.17,17.29,17.44,17.01,12535210.0,,2.5
2025-11-04,17.33,17.11,17.37,17.05,9363548.0,,1.85
2025-11-05,17.08,17.09,17.22,17.0,10988398.0,,1.29
2025-11-06,17.0,16.7,17.17,16.6,10641552.0,,3.34
2025-11-07,16.74,17.14,17.29,16.69,10833067.0,,3.59
2025-11-10,17.27,16.98,17.29,16.91,9212476.0,,2.22
2025-11-11,17.12,17.3,17.37,17.07,9691431.0,,1.77
2025-11-12,17.37,17.34,17.5,17.25,8059844.0,,1.45
2025-11-13,17.37,17.43,17.66,17.32,9838661.0,,1.96
2025-11-14,17.5,17.45,17.66,17.25,8036576.0,,2.35
2025-11-17,17.42,17.12,17.48,17.1,10891121.0,,2.18
2025-11-18,17.13,17.38,17.43,17.06,9522017.0,,2.16
2025-11-19,17.35,17.4,17.58,17.24,10219231.0,,1.96
2025-11-20,17.35,17.38,17.51,17.27,8232405.0,,1.38
2025-11-21,17.6,17.77,18.03,17.53,14288291.0,,2.88
2025-11-24,17.73,17.52,17.8,17.51,12973296.0,,1.63
2025-11-25,17.59,17.74,17.85,17.57,8208801.0,,1.6
2025-11-26,17.7,17.82,17.98,17.7,8629894.0,,1.58
2025-11-28,17.84,17.85,17.98,17.83,3764759.0,,0.84
2025-12-01,17.8,17.67,17.88,17.54,8595491.0,,1.9
2025-12-02,17.67,17.22,17.67,17.15,10588633.0,,2.94
2025-12-03,17.31,17.16,17.6,17.16,7098952.0,,2.56
2025-12-04,17.22,16.95,17.29,16.92,8758056.0,,2.16
2025-12-05,16.92,17.05,17.14,16.86,8210868.0,,1.65
2025-12-08,16.98,17.11,17.35,16.89,12353627.0,,2.7
2025-12-09,17.13,17.12,17.27,16.95,10499829.0,,1.87
2025-12-10,17.18,17.44,17.48,17.1,14148699.0,,2.22
2025-12-11,17.44,17.6,17.7,17.43,7955024.0,,1.55
2025-12-12,17.69,17.75,17.87,17.68,7071134.0,,1.08
2025-12-15,17.82,17.94,18.05,17.82,8856628.0,,1.3
2025-12-16,17.95,17.74,18.0,17.71,7997759.0,,1.62
2025-12-17,17.83,17.92,18.03,17.79,8249532.0,,1.35
2025-12-18,17.84,17.8,17.97,17.78,12186418.0,,1.06
2025-12-19,17.81,17.35,18.05,17.05,22998070.0,,5.62
2025-12-22,17.19,17.26,17.44,17.07,11410698.0,,2.13
2025-12-23,17.22,16.98,17.25,16.95,9443124.0,,1.74
2025-12-24,16.95,17.08,17.08,16.88,3755557.0,,1.18
2025-12-26,17.06,17.24,17.27,17.02,6941421.0,,1.46
2025-12-29,17.3,17.46,17.57,17.29,12228471.0,,1.62
2025-12-30,17.5,17.43,17.63,17.41,7742288.0,,1.26
2025-12-31,17.4,17.31,17.49,17.3,5146609.0,,1.09
2026-01-02,17.23,17.3,17.44,17.09,10643572.0,,2.02
2026-01-05,17.26,17.08,17.3,16.97,16341946.0,,1.91
2026-01-06,17.05,16.85,17.09,16.85,13635080.0,,1.41
2026-01-07,16.92,16.08,16.96,16.08,18996560.0,,5.22
2026-01-08,16.05,16.58,16.66,15.96,14491356.0,,4.35
2026-01-09,16.72,16.94,17.01,16.51,11088095.0,,3.02
2026-01-12,16.99,16.69,16.99,16.64,12458987.0,,2.07
2026-01-13,16.75,16.57,17.06,16.54,15794042.0,,3.12
2026-01-14,16.63,17.12,17.18,16.62,15609116.0,,3.38
2026-01-15,17.09,17.37,17.4,16.89,12414092.0,,2.98
2026-01-16,17.23,16.96,17.3,16.94,11734056.0,,2.07
2026-01-20,16.96,17.17,17.39,16.89,11486122.0,,2.95
2026-01-21,17.11,17.3,17.31,16.99,13031857.0,,1.86
2026-01-22,17.25,17.47,17.66,17.25,9997507.0,,2.37
2026-01-23,17.46,17.5,17.59,17.29,9792961.0,,1.72
2026-01-26,17.6,18.09,18.12,17.6,17228485.0,,2.97
2026-01-27,17.62,17.95,17.99,17.6,14828739.0,,2.16
2026-01-28,18.0,17.68,18.14,17.48,11013803.0,,3.68
2026-01-29,17.8,17.83,18.08,17.76,11067849.0,,1.81
