日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,87.79,83.69,88.45,83.27,4750486.0,,
2025-05-22,84.0,84.36,86.05,83.37,4260742.0,,3.2
2025-05-23,83.09,83.43,84.63,82.76,2857289.0,,2.22
2025-05-27,84.5,82.34,84.86,81.96,4393694.0,,3.48
2025-05-28,82.43,81.91,83.33,81.76,2193659.0,,1.91
2025-05-29,82.85,81.88,83.6,81.56,2648982.0,,2.49
2025-05-30,81.56,81.27,81.77,78.88,5295904.0,,3.53
2025-06-02,80.5,81.25,81.58,79.15,2796936.0,,2.99
2025-06-03,81.83,81.06,82.47,79.36,3377275.0,,3.83
2025-06-04,80.92,82.04,83.57,79.93,3265351.0,,4.49
2025-06-05,81.02,78.33,81.95,77.86,3413106.0,,4.99
2025-06-06,79.04,79.03,79.72,77.54,3656109.0,,2.78
2025-06-09,79.5,78.22,80.44,78.04,2627856.0,,3.04
2025-06-10,79.0,78.32,79.84,77.75,3260806.0,,2.67
2025-06-11,78.74,76.83,79.14,76.45,3757691.0,,3.43
2025-06-12,76.0,78.25,78.64,75.82,3791410.0,,3.67
2025-06-13,76.12,74.57,77.29,73.86,4979463.0,,4.38
2025-06-16,74.91,74.5,77.4,74.36,3241677.0,,4.08
2025-06-17,73.72,74.71,76.34,72.36,4748531.0,,5.34
2025-06-18,74.47,74.45,75.59,73.4,2977467.0,,2.93
2025-06-20,74.88,74.62,75.71,73.85,4397956.0,,2.5
2025-06-23,73.93,75.25,75.39,71.1,4445132.0,,5.75
2025-06-24,76.48,74.23,76.81,74.11,3728372.0,,3.59
2025-06-25,74.5,73.99,75.94,73.33,3375298.0,,3.52
2025-06-26,74.2,77.67,77.98,72.36,5196672.0,,7.6
2025-06-27,78.0,77.89,79.5,76.54,6880798.0,,3.81
2025-06-30,79.44,84.23,85.24,79.2,7588757.0,,7.75
2025-07-01,83.55,82.32,83.72,80.11,4720967.0,,4.29
2025-07-02,85.0,82.71,86.75,82.14,5675968.0,,5.6
2025-07-03,83.29,86.52,87.45,82.65,4952461.0,,5.8
