日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,96.17,95.83,96.96,95.46,2062789.0,,
2025-05-22,95.41,95.21,96.03,94.47,2431009.0,,1.63
2025-05-23,95.45,95.94,96.11,94.67,1816045.0,,1.51
2025-05-27,96.16,97.89,98.07,95.93,2790028.0,,2.23
2025-05-28,98.26,97.96,99.16,97.75,2340868.0,,1.44
2025-05-29,97.6,98.14,98.88,97.33,2304083.0,,1.58
2025-05-30,98.17,98.31,99.15,97.89,4911569.0,,1.28
2025-06-02,98.42,99.04,100.22,97.9,2658637.0,,2.36
2025-06-03,98.7,99.54,99.95,97.59,3754109.0,,2.38
2025-06-04,99.59,99.63,100.69,98.97,2171707.0,,1.73
2025-06-05,99.61,98.99,99.61,98.71,1687560.0,,0.9
2025-06-06,99.15,99.07,99.83,98.56,1550135.0,,1.28
2025-06-09,98.64,98.71,99.5,97.84,2143355.0,,1.68
2025-06-10,98.77,99.36,99.68,98.2,2152273.0,,1.5
2025-06-11,99.19,99.1,99.58,98.61,1409392.0,,0.98
2025-06-12,98.99,99.08,99.2,98.03,1730268.0,,1.18
2025-06-13,98.52,97.09,99.55,96.92,2129053.0,,2.65
2025-06-16,97.44,97.79,98.72,97.3,2117860.0,,1.46
2025-06-17,97.0,96.16,97.13,95.86,2848379.0,,1.3
2025-06-18,95.76,95.89,96.7,95.71,3076902.0,,1.03
2025-06-20,95.65,96.43,97.04,95.38,4742033.0,,1.73
2025-06-23,96.23,96.95,97.11,95.52,2010130.0,,1.65
2025-06-24,96.97,96.02,97.2,95.66,1843018.0,,1.59
2025-06-25,95.63,95.25,95.63,94.51,2033256.0,,1.17
2025-06-26,95.58,94.97,96.18,94.58,2057475.0,,1.68
2025-06-27,94.99,94.78,95.5,94.49,3093647.0,,1.06
2025-06-30,94.65,96.11,96.34,94.64,2824410.0,,1.79
2025-07-01,96.23,97.64,98.02,95.49,2415063.0,,2.63
2025-07-02,97.69,98.03,98.18,97.13,1608903.0,,1.08
2025-07-03,98.26,98.41,98.69,97.37,1204908.0,,1.35
2025-07-07,98.32,98.58,98.87,97.8,2389934.0,,1.09
2025-07-08,97.9,98.04,98.35,97.35,1723637.0,,1.01
2025-07-09,98.06,98.39,98.55,97.57,2472606.0,,1.0
2025-07-10,98.39,99.09,99.86,98.14,1603185.0,,1.75
2025-07-11,98.71,98.05,99.21,97.23,1425771.0,,2.0
2025-07-14,97.05,97.07,97.32,96.12,1822892.0,,1.22
2025-07-15,96.67,95.51,97.04,95.46,2036909.0,,1.63
2025-07-16,95.93,96.31,96.36,95.28,2043517.0,,1.13
2025-07-17,97.1,97.03,97.65,96.38,1271005.0,,1.32
2025-07-18,96.72,96.6,97.31,96.18,1983004.0,,1.16
2025-07-21,96.45,96.49,97.28,96.17,2034575.0,,1.15
2025-07-22,96.71,98.11,98.78,96.68,1840566.0,,2.18
2025-07-23,98.3,97.06,98.4,96.77,2294224.0,,1.66
2025-07-24,97.48,97.28,97.9,96.91,2412184.0,,1.02
2025-07-25,97.18,97.23,97.61,96.06,1652693.0,,1.59
2025-07-28,96.83,95.68,97.2,95.59,3007124.0,,1.66
2025-07-29,95.94,96.76,97.36,95.34,2035057.0,,2.11
2025-07-30,96.67,95.95,97.15,95.42,2216877.0,,1.79
2025-07-31,95.29,93.77,95.55,93.31,4360108.0,,2.33
2025-08-01,93.0,94.01,94.37,92.04,4729657.0,,2.48
2025-08-04,93.3,91.5,94.17,91.29,2882929.0,,3.06
2025-08-05,91.16,91.14,92.42,91.13,2475903.0,,1.41
2025-08-06,91.13,92.5,92.8,90.83,2253376.0,,2.16
2025-08-07,92.77,92.63,93.29,92.0,1988911.0,,1.39
2025-08-08,92.41,90.92,93.06,90.51,1670323.0,,2.75
2025-08-11,91.02,91.66,92.02,90.99,2470701.0,,1.13
2025-08-12,91.74,92.25,92.29,91.32,2308920.0,,1.06
2025-08-13,92.15,93.69,94.38,92.04,2390624.0,,2.54
2025-08-14,93.2,92.6,93.38,92.37,1588438.0,,1.08
