日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,91.33,91.67,91.94,91.04,4569263.0,,
2025-05-22,91.07,90.9,91.98,90.47,5098558.0,,1.65
2025-05-23,91.93,92.59,92.74,90.71,6723754.0,,2.23
2025-05-27,92.61,92.43,93.6,92.06,6055245.0,,1.66
2025-05-28,92.15,91.76,93.42,91.65,5288798.0,,1.91
2025-05-29,91.33,92.3,92.32,91.06,4718649.0,,1.37
2025-05-30,92.75,92.94,93.48,92.27,6317396.0,,1.31
2025-06-02,92.22,91.93,92.69,91.2,3152490.0,,1.6
2025-06-03,91.71,90.62,91.72,90.43,4775998.0,,1.4
2025-06-04,90.7,90.2,91.29,89.96,3948541.0,,1.47
2025-06-05,90.23,90.15,90.36,89.43,5123516.0,,1.03
2025-06-06,90.28,90.24,90.71,90.0,4716503.0,,0.79
2025-06-09,89.76,90.87,91.37,89.71,5893020.0,,1.84
2025-06-10,91.18,91.94,92.24,90.86,4533186.0,,1.52
2025-06-11,91.86,92.11,92.63,91.51,5353815.0,,1.22
2025-06-12,92.18,93.14,93.17,91.95,4701872.0,,1.32
2025-06-13,92.87,90.26,93.05,90.09,5331994.0,,3.18
2025-06-16,90.7,90.11,91.42,90.02,5710519.0,,1.55
2025-06-17,90.28,88.63,90.28,88.53,5145943.0,,1.94
2025-06-18,88.75,88.19,88.93,87.64,5107047.0,,1.46
2025-06-20,88.03,87.78,88.68,87.76,9573077.0,,1.04
2025-06-23,87.87,88.67,88.71,87.39,5095568.0,,1.5
2025-06-24,88.4,88.18,88.75,87.4,4556437.0,,1.52
2025-06-25,87.38,87.8,88.27,87.07,3571062.0,,1.36
2025-06-26,87.87,87.79,88.35,87.43,5814019.0,,1.05
2025-06-27,87.87,88.71,88.9,87.74,6946169.0,,1.32
2025-06-30,88.54,90.9,91.25,88.5,7782776.0,,3.1
2025-07-01,91.1,92.04,92.42,90.82,6022949.0,,1.76
2025-07-02,91.83,92.4,92.43,91.36,5342188.0,,1.16
2025-07-03,92.8,92.78,93.12,91.91,3300939.0,,1.31
2025-07-07,92.72,93.33,94.19,92.66,5794125.0,,1.65
2025-07-08,92.67,92.14,93.1,92.13,6099831.0,,1.04
2025-07-09,92.15,91.58,92.53,91.08,6034229.0,,1.57
2025-07-10,91.32,90.62,91.66,90.61,4532014.0,,1.15
2025-07-11,90.06,89.58,90.27,89.1,4372806.0,,1.29
2025-07-14,89.53,88.85,89.53,87.74,3648366.0,,2.0
2025-07-15,88.85,88.15,89.69,88.07,3788517.0,,1.82
2025-07-16,88.08,87.66,88.52,87.17,4198063.0,,1.53
2025-07-17,87.66,87.24,88.33,86.95,3788207.0,,1.57
2025-07-18,86.7,86.84,87.51,86.5,4973934.0,,1.16
2025-07-21,86.64,86.64,87.21,86.57,3523493.0,,0.74
2025-07-22,86.91,88.7,88.73,86.7,5047677.0,,2.34
2025-07-23,88.86,88.79,88.87,88.18,3520261.0,,0.78
2025-07-24,88.86,88.45,89.16,88.24,2503810.0,,1.04
2025-07-25,88.39,87.93,88.81,87.49,3186117.0,,1.49
2025-07-28,87.8,86.47,87.88,86.37,4823676.0,,1.72
2025-07-29,86.88,86.86,88.02,86.46,4382390.0,,1.8
2025-07-30,87.08,85.8,87.45,85.57,4638751.0,,2.16
2025-07-31,85.53,83.85,85.65,83.53,9561024.0,,2.47
