日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,135.0,131.87,135.64,131.7,1950058.0,,
2025-05-22,131.76,130.9,132.0,130.12,1709802.0,,1.43
2025-05-23,131.34,130.88,131.48,129.68,1243288.0,,1.38
2025-05-27,131.56,130.36,131.61,129.96,2190150.0,,1.26
2025-05-28,130.72,130.16,131.88,129.78,1548808.0,,1.61
2025-05-29,130.14,130.99,131.66,129.9,1222407.0,,1.35
2025-05-30,131.0,131.88,131.97,130.76,2492600.0,,0.92
2025-06-02,130.78,130.29,131.26,129.66,1406876.0,,1.21
2025-06-03,130.03,130.09,130.65,129.03,1374632.0,,1.24
2025-06-04,130.09,129.65,131.14,129.57,1155459.0,,1.21
2025-06-05,129.1,127.3,129.31,126.99,1889776.0,,1.79
2025-06-06,127.78,127.69,128.33,127.0,1080812.0,,1.04
2025-06-09,127.32,127.5,128.2,126.4,1476752.0,,1.41
2025-06-10,127.89,126.89,128.31,126.56,1407792.0,,1.37
2025-06-11,127.14,126.26,127.43,125.77,1201987.0,,1.31
2025-06-12,126.39,127.28,127.32,126.0,1394050.0,,1.05
2025-06-13,126.44,123.07,127.1,122.84,1712931.0,,3.35
2025-06-16,123.52,123.93,124.67,123.07,1988445.0,,1.3
2025-06-17,123.31,122.1,124.11,121.98,1273975.0,,1.72
2025-06-18,121.97,120.93,122.68,120.69,1724402.0,,1.63
2025-06-20,120.92,120.77,122.0,120.33,4705408.0,,1.38
2025-06-23,120.95,122.3,122.49,120.71,1687457.0,,1.47
2025-06-24,122.3,122.02,122.77,121.22,1380824.0,,1.27
2025-06-25,121.0,119.48,121.45,119.41,1631759.0,,1.67
2025-06-26,119.67,118.01,119.75,117.35,1830048.0,,2.01
2025-06-27,118.5,119.14,119.34,118.14,5265739.0,,1.02
2025-06-30,119.1,120.07,120.18,118.67,2136535.0,,1.27
2025-07-01,120.51,123.54,124.09,120.51,2341799.0,,2.98
2025-07-02,124.15,124.66,124.79,122.63,2120043.0,,1.75
2025-07-03,124.84,124.84,125.63,124.32,1078076.0,,1.05
2025-07-07,124.23,124.55,125.32,123.53,1478666.0,,1.43
2025-07-08,124.18,125.96,127.12,123.69,2176823.0,,2.75
2025-07-09,126.0,126.0,126.3,124.53,1491835.0,,1.41
2025-07-10,125.73,127.84,128.79,125.09,1645337.0,,2.94
2025-07-11,127.01,126.54,127.66,126.27,1376671.0,,1.09
2025-07-14,125.99,127.4,127.54,125.2,1639817.0,,1.85
2025-07-15,126.84,124.17,127.52,123.81,1771941.0,,2.91
2025-07-16,123.79,126.9,127.16,123.76,1567625.0,,2.74
2025-07-17,126.9,129.26,129.81,126.51,1999085.0,,2.6
2025-07-18,129.47,128.37,129.9,127.65,1662307.0,,1.74
2025-07-21,128.36,126.57,128.88,126.47,1374255.0,,1.88
2025-07-22,126.81,129.78,129.89,126.81,1342077.0,,2.43
2025-07-23,129.76,131.43,132.03,129.66,1555569.0,,1.83
2025-07-24,132.0,131.42,132.0,130.7,1508372.0,,0.99
2025-07-25,131.45,130.81,131.86,130.14,1287132.0,,1.31
2025-07-28,130.41,127.24,130.41,127.24,1718383.0,,2.42
2025-07-29,127.16,127.04,128.05,126.02,1746797.0,,1.6
2025-07-30,127.39,126.18,127.8,125.72,1869894.0,,1.64
2025-07-31,126.48,125.56,126.76,124.87,4108702.0,,1.5
2025-08-01,127.26,123.1,127.6,121.35,3928463.0,,4.98
2025-08-04,123.2,124.19,125.45,122.82,2194594.0,,2.14
2025-08-05,124.26,125.37,125.95,123.33,1660489.0,,2.11
2025-08-06,125.31,125.5,126.32,124.7,1652132.0,,1.29
2025-08-07,125.64,126.08,126.5,124.81,1504120.0,,1.35
2025-08-08,125.97,124.87,126.46,124.23,1299645.0,,1.77
2025-08-11,124.89,122.09,125.03,121.92,1767543.0,,2.49
2025-08-12,122.17,122.82,123.26,121.28,1960026.0,,1.62
2025-08-13,121.24,122.89,123.28,120.76,1882770.0,,2.05
2025-08-14,122.0,121.58,122.12,120.66,1413493.0,,1.19
2025-08-15,121.96,122.17,123.32,121.67,1207835.0,,1.36
2025-08-18,122.02,119.48,122.6,119.34,2101043.0,,2.67
2025-08-19,119.75,120.81,121.25,119.62,1863181.0,,1.36
2025-08-20,121.3,121.25,123.2,120.81,1475117.0,,1.98
2025-08-21,120.16,119.84,120.72,119.26,1756338.0,,1.2
2025-08-22,120.54,120.31,121.42,120.13,1279481.0,,1.08
2025-08-25,120.35,119.39,120.71,118.45,1814767.0,,1.88
2025-08-26,119.0,117.67,119.48,117.53,1813819.0,,1.63
2025-08-27,118.13,118.97,119.16,117.9,1789737.0,,1.07
2025-08-28,119.08,117.94,119.3,116.53,2271132.0,,2.33
2025-08-29,118.0,118.2,119.25,117.5,1816509.0,,1.48
2025-09-02,118.74,119.98,120.23,117.87,2007138.0,,2.0
2025-09-03,119.65,122.91,123.01,119.5,2859161.0,,2.93
2025-09-04,123.06,124.63,124.72,122.97,2753799.0,,1.42
2025-09-05,124.5,127.03,128.15,124.5,3231737.0,,2.93
2025-09-08,126.73,125.87,126.95,124.81,1969519.0,,1.68
2025-09-09,125.33,125.68,126.02,124.36,1347364.0,,1.32
2025-09-10,125.0,123.33,125.28,122.83,1286307.0,,1.95
2025-09-11,123.88,124.41,124.88,123.51,1585596.0,,1.11
2025-09-12,124.0,123.51,124.52,123.51,1519881.0,,0.81
2025-09-15,123.71,122.82,124.37,122.58,1240661.0,,1.45
2025-09-16,123.26,124.85,125.16,123.16,1737758.0,,1.63
2025-09-17,124.99,125.4,127.17,124.93,1301943.0,,1.79
2025-09-18,124.79,124.12,125.67,124.0,1707603.0,,1.33
2025-09-19,124.51,121.66,124.51,121.66,5301193.0,,2.3
2025-09-22,122.0,119.93,123.0,119.92,1827100.0,,2.53
2025-09-23,119.37,120.38,120.67,117.64,1667615.0,,2.53
2025-09-24,120.42,123.08,123.24,120.21,1959650.0,,2.52
2025-09-25,123.68,122.71,123.93,121.26,2043896.0,,2.17
2025-09-26,123.13,124.39,124.76,122.65,1846112.0,,1.72
2025-09-29,124.71,122.99,124.75,122.13,1996192.0,,2.11
2025-09-30,122.68,123.3,123.9,121.95,1612755.0,,1.59
2025-10-01,122.93,122.68,123.28,121.81,1611560.0,,1.19
2025-10-02,122.11,122.25,123.02,121.35,1331987.0,,1.36
2025-10-03,122.38,123.19,124.14,122.08,1264121.0,,1.69
2025-10-06,123.19,118.67,123.29,118.64,2232394.0,,3.77
2025-10-07,118.5,120.49,120.69,117.53,1633114.0,,2.66
2025-10-08,119.87,119.59,120.0,118.31,1383522.0,,1.4
2025-10-09,119.59,120.0,120.15,119.25,1148361.0,,0.75
2025-10-10,120.18,120.14,120.89,119.41,1501943.0,,1.23
2025-10-13,119.96,120.37,121.79,119.73,1668163.0,,1.71
2025-10-14,120.76,119.33,120.85,117.22,1604657.0,,3.02
2025-10-15,119.05,118.36,119.72,118.31,1125686.0,,1.18
2025-10-16,118.36,117.6,119.45,117.5,1198799.0,,1.65
2025-10-17,117.85,119.72,119.84,117.85,1224125.0,,1.69
2025-10-20,119.8,119.59,121.12,119.41,1413595.0,,1.43
2025-10-21,120.01,119.89,120.58,118.88,1505339.0,,1.42
2025-10-22,118.43,118.18,119.53,117.4,1497236.0,,1.78
2025-10-23,118.0,116.33,118.24,116.32,1753565.0,,1.62
2025-10-24,117.51,115.85,117.9,115.83,1565921.0,,1.78
2025-10-27,115.85,115.5,115.92,114.95,1865994.0,,0.84
2025-10-28,115.22,115.22,116.83,114.55,1425091.0,,1.97
2025-10-29,115.0,110.67,115.25,110.61,2084181.0,,4.03
2025-10-30,111.59,112.46,113.6,111.43,1970098.0,,1.96
2025-10-31,112.0,112.46,113.55,111.6,2231489.0,,1.73
2025-11-03,112.04,109.14,112.5,108.93,3413065.0,,3.17
2025-11-04,111.5,110.42,113.2,107.71,3692156.0,,5.03
2025-11-05,110.14,108.92,111.94,108.86,3362862.0,,2.79
2025-11-06,108.86,106.28,109.59,106.22,2079227.0,,3.09
2025-11-07,106.58,107.36,108.0,106.14,1843619.0,,1.75
2025-11-10,107.02,104.69,107.32,104.09,2456614.0,,3.01
2025-11-11,105.0,105.03,106.28,104.11,2020006.0,,2.07
2025-11-12,105.4,104.7,106.4,104.63,1697085.0,,1.69
2025-11-13,105.0,104.27,106.06,104.18,1717815.0,,1.8
2025-11-14,104.79,103.68,105.8,103.43,1690521.0,,2.27
2025-11-17,103.4,101.21,104.24,101.11,2287555.0,,3.02
2025-11-18,101.12,100.14,101.25,99.63,2860949.0,,1.6
2025-11-19,100.85,98.43,101.19,98.4,2622404.0,,2.79
2025-11-20,98.36,100.07,100.36,98.2,2815735.0,,2.19
2025-11-21,100.53,103.92,105.61,100.53,4334641.0,,5.08
2025-11-24,103.5,105.66,106.17,102.74,3932687.0,,3.3
2025-11-25,106.77,106.87,107.52,106.0,2759070.0,,1.44
2025-11-26,106.38,107.75,108.18,106.38,1633107.0,,1.68
2025-11-28,107.87,107.94,108.07,106.86,962946.0,,1.12
2025-12-01,107.56,106.41,107.99,106.24,1982031.0,,1.62
2025-12-02,106.0,105.89,107.85,105.0,2130780.0,,2.68
2025-12-03,106.18,105.17,107.23,105.04,1670126.0,,2.07
2025-12-04,106.2,105.1,107.0,104.82,1367873.0,,2.07
2025-12-05,104.71,104.9,106.09,104.62,1384451.0,,1.4
2025-12-08,104.0,100.93,104.5,100.93,2562561.0,,3.4
2025-12-09,101.18,101.42,103.01,101.04,1925770.0,,1.95
2025-12-10,101.68,102.52,103.1,101.34,2068466.0,,1.74
2025-12-11,102.82,102.83,103.93,102.47,1519625.0,,1.42
2025-12-12,103.33,104.01,104.86,103.25,1435798.0,,1.57
2025-12-15,104.02,101.72,104.24,101.2,3312694.0,,2.92
2025-12-16,102.33,99.82,102.54,99.24,3014936.0,,3.24
2025-12-17,99.7,101.52,101.94,99.7,3545061.0,,2.24
2025-12-18,101.25,99.39,101.69,98.8,3893025.0,,2.85
2025-12-19,99.2,98.31,99.4,98.22,5031824.0,,1.19
2025-12-22,98.0,98.06,98.8,97.39,2283416.0,,1.43
2025-12-23,97.92,97.43,97.92,96.66,1984901.0,,1.28
2025-12-24,97.4,98.21,98.33,97.11,831633.0,,1.25
2025-12-26,98.17,98.53,98.6,97.82,1336814.0,,0.79
2025-12-29,98.45,99.29,99.57,98.12,2346586.0,,1.47
2025-12-30,99.01,100.81,101.04,98.77,1938232.0,,2.29
2025-12-31,100.62,100.83,101.84,100.12,2269938.0,,1.71
2026-01-02,101.1,100.85,101.42,100.11,2001850.0,,1.3
2026-01-05,100.26,101.28,102.15,98.75,3941434.0,,3.37
2026-01-06,101.03,100.61,102.41,99.38,2267403.0,,2.99
2026-01-07,100.7,101.76,102.24,99.74,2288843.0,,2.48
2026-01-08,101.29,104.25,104.98,101.29,2098240.0,,3.63
2026-01-09,104.98,106.19,106.37,103.26,1901513.0,,2.98
2026-01-12,106.33,106.98,108.81,106.33,2243458.0,,2.34
2026-01-13,107.26,108.86,109.39,107.06,1785683.0,,2.18
2026-01-14,108.91,111.41,111.53,108.9,2152488.0,,2.42
2026-01-15,110.72,111.23,112.2,109.96,1971431.0,,2.01
2026-01-16,109.96,109.98,111.29,109.03,1919965.0,,2.03
2026-01-20,109.0,109.84,110.3,107.5,2828712.0,,2.55
2026-01-21,109.85,110.54,110.73,108.13,1821982.0,,2.37
2026-01-22,110.91,112.2,113.63,110.67,2049523.0,,2.68
2026-01-23,114.23,113.48,115.47,113.42,3240041.0,,1.83
2026-01-26,113.0,112.87,113.34,111.96,2167978.0,,1.22
2026-01-27,112.4,113.19,113.4,111.41,1945291.0,,1.76
2026-01-28,111.54,108.8,112.74,108.54,2225048.0,,3.71
2026-01-29,109.11,109.7,110.19,108.3,1702404.0,,1.74
2026-01-30,111.12,112.79,113.02,110.47,3289934.0,,2.32
2026-02-02,112.92,113.29,113.62,112.05,2380399.0,,1.39
2026-02-03,111.92,114.98,115.48,111.33,2722229.0,,3.66
2026-02-04,113.85,117.77,120.17,113.01,5277382.0,,6.23
2026-02-05,119.0,117.61,120.87,116.75,2538979.0,,3.5
2026-02-06,116.81,119.36,119.86,116.75,1912310.0,,2.64
2026-02-09,118.16,119.59,120.5,118.16,2090341.0,,1.96
2026-02-10,120.0,121.45,122.29,119.91,2099962.0,,1.99
2026-02-11,122.16,125.95,126.64,121.85,2410115.0,,3.94
2026-02-12,126.51,124.64,126.77,124.43,2547752.0,,1.86
2026-02-13,125.0,125.94,126.01,123.62,1525199.0,,1.92
2026-02-17,126.5,122.96,127.5,120.94,2885686.0,,5.21
2026-02-18,122.78,123.2,124.1,121.89,1599302.0,,1.8
2026-02-19,123.51,122.22,123.99,121.48,1502769.0,,2.04
2026-02-20,122.28,123.6,123.61,121.81,2390269.0,,1.47
2026-02-23,122.6,126.76,127.35,122.6,1927821.0,,3.84
2026-02-24,127.14,126.65,128.07,125.91,1131929.0,,1.7
2026-02-25,125.96,126.24,126.38,122.33,1730645.0,,3.2
2026-02-26,127.51,126.89,128.9,126.41,1866328.0,,1.97
2026-02-27,127.19,127.16,128.68,126.33,1879585.0,,1.85
2026-03-02,125.67,126.81,127.46,125.14,1679388.0,,1.82
2026-03-03,125.26,121.15,125.97,120.64,2123862.0,,4.2
2026-03-04,121.02,117.43,121.26,116.3,2712102.0,,4.09
2026-03-05,116.55,113.7,116.58,113.51,2384818.0,,2.61
2026-03-06,112.92,114.66,115.3,110.25,2103892.0,,4.44
2026-03-09,113.5,113.41,114.0,108.94,2726918.0,,4.41
2026-03-10,113.0,115.87,116.75,111.59,2213359.0,,4.55
2026-03-11,115.0,112.15,115.1,110.84,1774238.0,,3.68
2026-03-12,112.0,108.73,112.06,108.51,1677365.0,,3.17
2026-03-13,110.3,110.68,111.51,109.51,1674274.0,,1.84
2026-03-16,111.95,112.09,113.11,111.27,1443244.0,,1.66
2026-03-17,112.94,111.4,113.12,111.36,1141408.0,,1.57
2026-03-18,110.0,107.93,110.76,107.62,2391604.0,,2.82
2026-03-19,107.22,106.62,107.45,105.23,2472657.0,,2.06
2026-03-20,107.21,106.15,107.4,105.62,4823269.0,,1.67
2026-03-23,108.7,105.88,108.75,105.67,2043413.0,,2.9
2026-03-24,105.4,103.07,106.27,102.78,2042709.0,,3.3
2026-03-25,104.12,104.76,104.82,102.0,2045955.0,,2.74
2026-03-26,104.0,102.18,105.39,101.98,2189853.0,,3.26
2026-03-27,102.4,102.04,103.31,101.28,2216692.0,,1.99
2026-03-30,101.54,102.42,102.85,100.39,2135985.0,,2.41
2026-03-31,102.26,103.63,103.93,100.16,2964666.0,,3.68
2026-04-01,103.33,104.24,105.53,102.5,2530287.0,,2.92
2026-04-02,102.81,101.14,103.36,100.84,2689819.0,,2.42
2026-04-06,100.8,104.89,105.1,100.5,2305512.0,,4.55
2026-04-07,104.43,103.04,105.51,102.66,1644583.0,,2.72
2026-04-08,105.71,105.67,108.71,105.04,2722970.0,,3.56
2026-04-09,104.5,107.62,108.22,104.24,1744627.0,,3.77
2026-04-10,108.29,105.28,108.89,104.93,1696185.0,,3.68
2026-04-13,104.85,103.39,105.09,101.8,1950547.0,,3.13
2026-04-14,103.21,104.44,105.01,103.01,1503375.0,,1.93
2026-04-15,104.32,102.92,104.59,102.39,1489238.0,,2.11
2026-04-16,102.97,102.38,103.58,101.57,1853025.0,,1.95
2026-04-17,102.4,104.58,106.86,102.4,2895842.0,,4.36
2026-04-20,103.67,102.17,103.72,101.09,2842366.0,,2.51
2026-04-21,102.31,99.61,102.6,99.36,3000855.0,,3.17
2026-04-22,98.85,96.85,99.57,96.58,2428658.0,,3.0
