日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,51.0,50.79,51.18,50.67,11217705.0,,
2025-05-22,50.73,50.78,50.93,50.22,9736215.0,,1.4
2025-05-23,50.1,50.63,50.83,50.1,9335259.0,,1.44
2025-05-27,51.19,50.99,51.43,50.78,11484700.0,,1.28
2025-05-28,51.07,50.07,51.2,49.84,10728111.0,,2.67
2025-05-29,50.2,49.73,50.58,49.67,7993804.0,,1.82
2025-05-30,49.71,50.08,50.34,49.31,14827405.0,,2.07
2025-06-02,49.7,49.84,49.89,48.72,11426722.0,,2.34
2025-06-03,49.73,50.07,50.47,49.13,13435851.0,,2.69
2025-06-04,50.21,52.16,52.39,50.07,17875987.0,,4.63
2025-06-05,52.45,52.6,53.86,52.19,19104717.0,,3.2
2025-06-06,52.89,52.5,53.12,52.27,9387308.0,,1.62
2025-06-09,52.5,51.13,52.5,51.05,10212689.0,,2.76
2025-06-10,51.2,50.62,51.39,50.29,13994586.0,,2.15
2025-06-11,50.82,51.79,52.16,50.76,12380799.0,,2.77
2025-06-12,51.91,50.89,51.99,50.84,10220043.0,,2.22
2025-06-13,50.29,50.24,50.74,49.97,9307675.0,,1.51
2025-06-16,50.61,52.54,53.09,50.57,15203673.0,,5.02
2025-06-17,52.25,51.38,52.65,51.08,9999138.0,,2.99
2025-06-18,51.5,51.83,52.38,51.36,8845488.0,,1.99
2025-06-20,52.02,52.78,52.96,51.64,16810352.0,,2.55
2025-06-23,52.78,53.78,53.81,52.19,15723447.0,,3.07
2025-06-24,54.2,54.65,54.99,54.16,11490034.0,,1.54
2025-06-25,54.93,55.14,55.33,54.63,10443359.0,,1.28
2025-06-26,54.85,54.27,55.08,53.38,13125049.0,,3.08
2025-06-27,54.2,55.05,55.25,54.18,14969919.0,,1.97
2025-06-30,55.01,56.15,56.44,55.01,15307421.0,,2.6
2025-07-01,56.17,58.24,58.34,56.17,21803810.0,,3.86
2025-07-02,58.14,56.77,58.42,56.53,14399316.0,,3.25
2025-07-03,56.97,57.07,57.25,56.72,10384051.0,,0.93
2025-07-07,56.68,55.46,56.71,54.79,14068518.0,,3.36
2025-07-08,55.49,55.45,55.83,54.74,9939240.0,,1.97
2025-07-09,55.65,55.94,56.05,55.08,8640878.0,,1.75
2025-07-10,56.46,56.41,57.04,56.08,10338712.0,,1.72
2025-07-11,56.26,56.0,56.31,55.5,8285678.0,,1.44
2025-07-14,55.72,54.82,55.75,54.26,12636100.0,,2.66
2025-07-15,54.95,53.95,55.14,53.94,8718869.0,,2.19
2025-07-16,54.07,53.38,54.21,53.13,11712927.0,,2.0
2025-07-17,53.62,53.54,54.05,52.52,10968733.0,,2.87
2025-07-18,54.22,53.93,54.29,53.49,9518132.0,,1.49
2025-07-21,54.13,52.46,54.2,52.44,14140094.0,,3.26
2025-07-22,52.67,52.38,52.98,51.53,15930314.0,,2.76
2025-07-23,52.45,52.78,53.03,52.16,20980487.0,,1.66
2025-07-24,46.2,45.74,47.02,45.13,77860670.0,,3.58
2025-07-25,45.9,46.76,47.18,45.76,33814927.0,,3.1
2025-07-28,46.56,44.86,46.61,44.86,32072008.0,,3.74
2025-07-29,44.72,44.38,44.83,44.12,28369134.0,,1.58
2025-07-30,44.43,43.76,44.54,43.63,28442210.0,,2.05
2025-07-31,43.51,42.88,43.91,42.83,26262822.0,,2.47
2025-08-01,42.61,42.52,43.15,42.46,19124230.0,,1.61
2025-08-04,42.7,42.88,43.1,42.25,16701288.0,,2.0
2025-08-05,42.86,42.63,43.41,42.43,15932819.0,,2.29
2025-08-06,42.78,42.69,42.94,42.39,14071927.0,,1.29
2025-08-07,42.98,42.69,43.19,42.38,14615946.0,,1.9
2025-08-08,42.52,41.44,42.72,41.43,22596478.0,,3.02
2025-08-11,41.37,41.62,42.04,41.18,17591522.0,,2.08
2025-08-12,42.75,42.83,43.19,42.43,17463971.0,,1.83
2025-08-13,42.82,43.48,43.58,42.4,19498208.0,,2.76
2025-08-14,43.44,43.17,43.44,42.01,22872348.0,,3.29
2025-08-15,43.18,44.04,44.09,43.11,19054151.0,,2.27
2025-08-18,43.98,43.38,44.27,43.36,18105552.0,,2.07
2025-08-19,43.5,43.25,43.77,42.92,19153745.0,,1.96
2025-08-20,43.21,43.07,43.99,43.0,12488090.0,,2.29
2025-08-21,42.95,42.91,43.1,42.54,11193664.0,,1.3
2025-08-22,43.33,43.64,43.72,43.07,10912848.0,,1.51
2025-08-25,43.55,42.75,43.59,42.61,12736301.0,,2.25
2025-08-26,42.8,42.52,43.13,42.28,18598413.0,,1.99
2025-08-27,42.52,42.65,42.94,42.46,12756826.0,,1.13
2025-08-28,42.73,42.41,42.74,42.02,13220128.0,,1.69
2025-08-29,42.27,42.14,42.4,41.77,14796123.0,,1.49
2025-09-02,41.81,41.75,42.17,41.47,20801565.0,,1.66
2025-09-03,42.0,41.79,42.26,41.65,11987758.0,,1.46
2025-09-04,41.72,41.41,41.8,41.04,18998867.0,,1.82
2025-09-05,41.49,41.06,41.98,40.73,22015520.0,,3.02
2025-09-08,41.0,39.65,41.02,39.23,35121765.0,,4.36
2025-09-09,39.56,39.46,39.84,39.25,17916518.0,,1.49
2025-09-10,39.37,38.71,39.49,38.5,24959176.0,,2.51
2025-09-11,38.71,38.96,39.1,38.3,25071537.0,,2.07
2025-09-12,38.99,38.63,38.99,38.34,22319658.0,,1.67
2025-09-15,38.7,38.58,39.04,38.42,19221281.0,,1.6
2025-09-16,39.0,39.3,39.48,38.9,23534091.0,,1.5
2025-09-17,39.49,39.67,40.25,39.37,22952973.0,,2.24
2025-09-18,39.73,39.81,40.33,39.4,23592526.0,,2.34
2025-09-19,40.03,39.32,40.04,38.98,36441942.0,,2.66
2025-09-22,39.19,40.13,40.22,39.09,27428029.0,,2.87
2025-09-23,40.23,39.68,40.38,39.48,21692560.0,,2.24
2025-09-24,39.65,39.55,39.71,38.99,21056163.0,,1.81
2025-09-25,39.36,39.33,39.5,38.82,16684150.0,,1.72
2025-09-26,39.33,40.08,40.09,39.21,14898252.0,,2.24
2025-09-29,40.28,39.9,40.38,39.6,22483128.0,,1.95
2025-09-30,39.86,39.19,39.94,38.85,19388885.0,,2.73
2025-10-01,39.21,38.97,39.72,38.76,16240535.0,,2.45
2025-10-02,39.03,40.27,40.38,39.0,20073408.0,,3.54
2025-10-03,40.27,41.76,41.96,40.17,30057373.0,,4.44
2025-10-06,41.91,41.63,42.03,41.18,17182520.0,,2.04
2025-10-07,41.5,40.95,41.89,40.65,15614950.0,,2.98
2025-10-08,41.0,40.98,41.11,40.26,15236368.0,,2.08
2025-10-09,41.04,40.89,41.66,40.87,15623122.0,,1.93
2025-10-10,41.08,39.82,41.4,39.81,15268976.0,,3.89
2025-10-13,40.12,40.9,41.06,40.09,13235776.0,,2.44
2025-10-14,40.3,42.1,42.61,40.06,20564470.0,,6.23
2025-10-15,42.35,41.77,42.82,41.74,15218839.0,,2.57
2025-10-16,41.82,41.76,42.18,41.47,12209615.0,,1.7
2025-10-17,41.67,41.86,42.3,41.49,9933391.0,,1.94
2025-10-20,41.82,41.63,42.34,41.32,15121597.0,,2.44
2025-10-21,41.59,42.36,42.74,41.58,12065932.0,,2.79
2025-10-22,42.24,41.61,42.38,41.43,10182395.0,,2.24
2025-10-23,41.65,41.8,42.06,41.1,11440966.0,,2.31
2025-10-24,42.18,41.19,42.19,41.04,12195019.0,,2.75
2025-10-27,41.4,41.06,41.52,40.95,13615723.0,,1.38
2025-10-28,41.0,40.26,41.0,40.23,12383421.0,,1.88
2025-10-29,39.99,39.76,40.65,39.59,30048438.0,,2.63
2025-10-30,31.27,32.53,34.13,31.01,110050474.0,,7.85
2025-10-31,32.51,31.69,32.51,31.21,50225035.0,,4.0
2025-11-03,31.65,31.51,32.13,31.29,33594382.0,,2.65
2025-11-04,31.44,31.74,32.06,31.37,34627232.0,,2.19
2025-11-05,31.69,31.97,32.29,31.42,32380687.0,,2.74
2025-11-06,31.56,30.56,32.0,30.48,31448223.0,,4.75
2025-11-07,30.39,30.59,30.71,30.02,33734939.0,,2.26
2025-11-10,30.9,30.48,31.12,30.32,30288977.0,,2.62
2025-11-11,30.41,29.81,30.49,29.75,36971755.0,,2.43
2025-11-12,30.18,31.32,31.36,30.0,31813349.0,,4.56
2025-11-13,31.4,31.38,31.93,31.19,22758963.0,,2.36
2025-11-14,31.22,31.57,31.8,31.01,18557440.0,,2.52
2025-11-17,31.6,30.53,31.6,30.25,21919839.0,,4.28
2025-11-18,30.46,30.76,31.02,30.27,21086130.0,,2.46
2025-11-19,30.86,31.0,31.25,30.5,17756028.0,,2.44
2025-11-20,30.93,30.35,31.79,30.31,21402579.0,,4.77
2025-11-21,30.57,31.63,32.0,30.56,21759043.0,,4.74
2025-11-24,31.73,31.19,31.93,31.01,25032644.0,,2.91
2025-11-25,31.48,33.4,33.41,31.3,28601190.0,,6.76
2025-11-26,33.48,34.03,34.24,33.28,23495641.0,,2.87
2025-11-28,34.01,34.52,34.8,34.0,13042403.0,,2.35
2025-12-01,34.21,34.24,35.14,34.05,20127298.0,,3.16
2025-12-02,34.37,34.14,34.5,33.76,14710805.0,,2.16
2025-12-03,34.17,33.93,34.59,33.89,23058270.0,,2.05
2025-12-04,33.91,34.15,34.16,33.43,16999804.0,,2.15
2025-12-05,33.96,33.94,34.15,33.66,17372799.0,,1.43
2025-12-08,34.65,33.61,34.66,33.53,16257138.0,,3.33
2025-12-09,33.5,33.73,34.1,33.42,12830081.0,,2.02
2025-12-10,33.72,33.94,34.19,33.58,13445045.0,,1.81
2025-12-11,34.07,34.87,35.06,34.04,17170286.0,,3.01
2025-12-12,35.19,36.14,36.38,35.17,28320103.0,,3.47
2025-12-15,36.15,35.94,36.52,35.76,22745367.0,,2.1
2025-12-16,36.04,35.66,36.3,35.41,17002303.0,,2.48
2025-12-17,35.73,37.0,37.52,35.7,27823485.0,,5.1
2025-12-18,37.46,37.63,38.06,37.27,29399098.0,,2.14
2025-12-19,37.6,37.64,38.23,36.98,45594554.0,,3.32
2025-12-22,37.6,37.92,38.19,37.38,16338995.0,,2.15
2025-12-23,37.98,37.79,37.98,37.0,17914108.0,,2.58
2025-12-24,37.87,37.9,38.11,37.82,6284739.0,,0.77
2025-12-26,37.76,37.81,38.01,37.63,8469994.0,,1.0
2025-12-29,37.61,37.14,37.7,37.06,14148616.0,,1.69
2025-12-30,37.01,37.04,37.69,36.94,11069542.0,,2.02
2025-12-31,37.04,37.0,37.24,36.85,9885604.0,,1.05
2026-01-02,37.25,37.49,37.67,36.72,12791151.0,,2.57
2026-01-05,37.43,38.25,39.06,37.43,16303009.0,,4.35
