日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,1030.94,1025.3,1039.47,1023.8,1438885.0,,
2025-05-22,1027.73,1018.13,1028.78,1014.12,1660909.0,,1.43
2025-05-23,1012.0,1008.5,1015.11,1007.0,1413916.0,,0.8
2025-05-27,1015.0,1017.79,1018.95,1010.93,1868169.0,,0.8
2025-05-28,1017.05,1013.14,1024.62,1012.96,1674743.0,,1.15
2025-05-29,1016.01,1008.74,1017.54,1003.6,2023815.0,,1.38
2025-05-30,1002.3,1040.18,1052.49,1002.0,5403837.0,,5.01
2025-06-02,1034.27,1056.85,1060.5,1034.27,2148004.0,,2.52
2025-06-03,1054.15,1055.59,1067.08,1043.26,1992850.0,,2.25
2025-06-04,1055.0,1051.69,1057.83,1049.37,1422086.0,,0.8
2025-06-05,1050.0,1010.81,1051.05,1006.01,3297524.0,,4.28
2025-06-06,1020.63,1014.94,1020.63,1008.61,1855428.0,,1.19
2025-06-09,1012.42,1006.18,1013.35,996.97,1696711.0,,1.61
2025-06-10,1006.93,1007.27,1011.51,997.72,2255019.0,,1.37
2025-06-11,1002.44,996.78,1005.44,993.38,2459835.0,,1.2
2025-06-12,999.0,1002.71,1003.25,995.36,1720138.0,,0.79
2025-06-13,999.08,990.21,1003.59,988.67,1785964.0,,1.49
2025-06-16,992.33,984.36,1001.85,981.44,2109338.0,,2.06
2025-06-17,983.0,977.72,986.1,976.2,1668225.0,,1.01
2025-06-18,980.0,974.9,982.65,974.07,1509613.0,,0.88
2025-06-20,983.99,980.29,988.66,973.9,3255699.0,,1.51
2025-06-23,983.15,1004.48,1004.87,981.26,2082928.0,,2.41
2025-06-24,1005.84,1001.92,1005.84,992.07,2385103.0,,1.37
2025-06-25,1003.0,986.54,1004.98,986.0,1827694.0,,1.89
2025-06-26,987.73,982.91,987.73,976.5,2262786.0,,1.14
2025-06-27,982.24,985.14,993.14,980.3,2129190.0,,1.31
2025-06-30,985.16,989.94,991.74,979.75,2127591.0,,1.22
2025-07-01,990.0,985.96,996.84,974.5,2200576.0,,2.26
2025-07-02,983.87,982.36,985.7,976.87,1606122.0,,0.9
2025-07-03,982.41,987.02,987.67,977.33,1101351.0,,1.05
2025-07-07,985.0,992.18,992.89,976.2,1832591.0,,1.69
2025-07-08,989.5,985.84,995.87,983.93,1716151.0,,1.2
2025-07-09,988.39,982.09,988.39,972.28,2922574.0,,1.63
2025-07-10,987.0,970.17,988.0,969.07,2903765.0,,1.93
2025-07-11,973.29,970.33,978.98,965.7,1941995.0,,1.37
2025-07-14,971.1,980.91,981.49,969.62,1679303.0,,1.22
2025-07-15,979.25,967.68,980.25,966.66,1878003.0,,1.39
2025-07-16,967.99,951.37,969.59,950.13,2950277.0,,2.01
2025-07-17,950.36,953.91,954.75,947.51,2280638.0,,0.76
2025-07-18,959.95,950.95,960.26,949.65,2115538.0,,1.11
2025-07-21,951.51,947.56,955.76,946.6,1742426.0,,0.96
2025-07-22,948.8,941.61,957.7,941.25,1799905.0,,1.74
2025-07-23,942.38,941.19,948.5,936.0,2401619.0,,1.33
2025-07-24,941.33,933.8,942.9,933.49,2057072.0,,1.0
