日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,35.71,34.23,35.72,34.21,4226709.0,,
2025-05-22,34.21,34.11,34.32,33.76,3253706.0,,1.64
2025-05-23,34.05,33.5,34.06,32.95,5981163.0,,3.25
2025-05-27,33.73,34.34,34.48,33.7,4002352.0,,2.33
2025-05-28,34.38,33.79,34.6,33.75,3105856.0,,2.48
2025-05-29,33.73,34.17,34.18,33.53,4498296.0,,1.92
2025-05-30,34.22,34.04,34.38,33.98,6529542.0,,1.17
2025-06-02,34.85,34.25,35.0,33.7,8852962.0,,3.82
2025-06-03,34.01,34.26,34.42,33.44,7527799.0,,2.86
2025-06-04,34.35,34.28,34.59,34.02,4325411.0,,1.66
2025-06-05,34.24,34.12,34.24,33.92,3933165.0,,0.93
2025-06-06,34.33,34.48,34.66,34.13,3253463.0,,1.55
2025-06-09,34.48,34.27,34.56,34.05,3940628.0,,1.48
2025-06-10,34.26,34.07,34.44,33.83,7214332.0,,1.78
2025-06-11,34.12,33.4,34.19,33.35,4696779.0,,2.47
2025-06-12,33.39,33.32,33.42,32.83,5404557.0,,1.77
2025-06-13,33.23,32.79,33.58,32.73,4836328.0,,2.55
2025-06-16,32.97,32.26,32.97,31.82,8177502.0,,3.51
2025-06-17,32.15,31.82,32.4,31.81,4120312.0,,1.83
2025-06-18,31.75,31.85,32.17,31.58,5113325.0,,1.85
2025-06-20,31.92,31.84,32.2,31.67,13228386.0,,1.66
2025-06-23,31.91,32.01,32.25,31.62,4884331.0,,1.98
2025-06-24,32.06,32.17,32.31,31.93,5272521.0,,1.19
2025-06-25,32.01,31.18,32.01,31.17,6481423.0,,2.61
2025-06-26,31.28,30.96,31.63,30.91,4877664.0,,2.31
2025-06-27,31.08,30.79,31.17,30.61,5147203.0,,1.81
2025-06-30,30.77,30.65,30.94,30.47,6802661.0,,1.53
2025-07-01,30.65,31.69,32.38,30.65,6247158.0,,5.64
2025-07-02,31.73,31.94,32.05,31.47,4431644.0,,1.83
2025-07-03,31.63,31.25,31.8,31.13,3264142.0,,2.1
2025-07-07,31.21,30.81,31.24,30.51,5512082.0,,2.34
2025-07-08,30.71,31.04,31.2,30.27,5267055.0,,3.02
2025-07-09,31.07,30.74,31.13,30.22,4850494.0,,2.93
2025-07-10,30.29,30.49,30.79,29.39,14572467.0,,4.55
2025-07-11,30.39,31.24,31.33,30.02,11179300.0,,4.3
2025-07-14,31.2,30.71,31.41,30.53,8196475.0,,2.82
2025-07-15,30.68,30.41,30.82,30.3,5936145.0,,1.69
2025-07-16,30.5,30.96,30.99,30.34,4208480.0,,2.14
2025-07-17,31.07,31.3,31.53,30.93,5890313.0,,1.94
2025-07-18,31.36,30.98,31.46,30.94,3353105.0,,1.66
2025-07-21,31.1,30.79,31.55,30.7,3859356.0,,2.74
2025-07-22,30.98,32.21,32.39,30.89,4735475.0,,4.87
2025-07-23,32.39,33.31,33.5,32.38,7879824.0,,3.48
2025-07-24,33.19,32.76,33.5,32.75,6607971.0,,2.25
2025-07-25,32.75,32.66,32.8,32.21,3777084.0,,1.8
2025-07-28,32.47,32.24,32.52,31.94,4518432.0,,1.78
2025-07-29,32.22,32.85,33.05,32.22,4805697.0,,2.57
2025-07-30,32.9,32.09,33.17,31.8,7179532.0,,4.17
2025-07-31,31.7,31.92,32.3,31.51,10247727.0,,2.46
2025-08-01,32.2,32.33,32.55,31.91,4447747.0,,2.01
2025-08-04,32.21,32.29,32.66,32.0,5257144.0,,2.04
2025-08-05,32.31,32.63,32.79,32.17,4008633.0,,1.92
2025-08-06,32.63,32.69,32.94,32.42,4026905.0,,1.59
2025-08-07,32.65,32.91,33.07,32.45,4101465.0,,1.9
2025-08-08,32.92,32.44,33.08,32.35,3082970.0,,2.22
2025-08-11,32.51,32.11,32.75,31.4,5553739.0,,4.16
2025-08-12,32.16,32.1,32.56,31.92,5058053.0,,1.99
2025-08-13,32.04,32.54,32.81,31.77,3756228.0,,3.24
2025-08-14,32.45,32.4,32.55,31.82,3988333.0,,2.24
2025-08-15,32.43,32.51,32.68,32.14,4079025.0,,1.67
2025-08-18,32.61,32.34,32.73,32.24,5531308.0,,1.51
2025-08-19,32.45,32.69,32.84,32.31,4351393.0,,1.64
2025-08-20,32.8,32.39,33.41,32.34,4738544.0,,3.27
2025-08-21,32.15,32.57,32.61,31.83,5061731.0,,2.41
2025-08-22,32.73,33.14,33.28,32.66,5113289.0,,1.9
2025-08-25,33.05,32.52,33.12,32.47,4961503.0,,1.96
2025-08-26,32.39,31.97,32.48,31.85,25410183.0,,1.94
2025-08-27,31.95,32.09,32.3,31.87,5730895.0,,1.35
2025-08-28,32.13,31.64,32.19,31.12,6772642.0,,3.33
2025-08-29,31.73,31.93,32.06,31.57,5909629.0,,1.55
2025-09-02,32.03,31.46,32.42,31.18,9540532.0,,3.88
2025-09-03,32.75,33.73,33.77,32.25,15284053.0,,4.83
2025-09-04,33.74,32.66,33.74,32.61,7058317.0,,3.35
2025-09-05,32.76,34.03,34.06,32.7,9020097.0,,4.16
2025-09-08,33.97,33.9,34.06,33.34,7571490.0,,2.12
2025-09-09,33.64,33.74,33.96,33.48,4992850.0,,1.42
2025-09-10,33.55,33.49,33.65,32.74,5710762.0,,2.7
2025-09-11,33.66,33.76,34.08,33.38,6555750.0,,2.09
2025-09-12,33.6,33.23,33.73,33.11,4240236.0,,1.84
2025-09-15,33.23,32.87,33.33,32.69,4386840.0,,1.93
2025-09-16,32.96,33.56,33.72,32.82,4849521.0,,2.74
2025-09-17,33.61,32.93,34.0,32.86,5299470.0,,3.4
2025-09-18,32.81,33.57,33.82,32.74,4886821.0,,3.28
2025-09-19,33.78,33.43,33.79,33.36,14260077.0,,1.28
2025-09-22,33.34,33.24,33.5,32.93,5079351.0,,1.71
2025-09-23,33.24,33.75,33.84,33.16,4543255.0,,2.05
2025-09-24,33.77,33.73,34.18,33.4,4408314.0,,2.31
2025-09-25,33.74,32.21,33.81,32.19,4559542.0,,4.8
2025-09-26,32.2,32.08,32.72,31.97,5362976.0,,2.33
2025-09-29,32.08,30.87,32.1,30.75,6681372.0,,4.21
2025-09-30,30.99,31.58,31.87,30.95,7301419.0,,2.98
2025-10-01,31.78,31.99,32.22,31.42,5263564.0,,2.53
2025-10-02,31.47,31.6,31.85,31.25,5301879.0,,1.88
2025-10-03,31.63,31.95,32.09,31.57,5079640.0,,1.65
2025-10-06,31.61,31.29,31.75,30.96,6572779.0,,2.47
2025-10-07,31.35,31.11,31.47,30.82,4948610.0,,2.08
2025-10-08,31.05,30.49,31.05,30.47,6036677.0,,1.86
2025-10-09,30.5,29.89,30.6,29.82,4733870.0,,2.56
2025-10-10,29.91,30.39,30.52,29.9,5602619.0,,2.07
2025-10-13,30.28,29.8,30.57,29.75,5409835.0,,2.7
2025-10-14,29.83,30.34,30.38,29.69,5615785.0,,2.32
2025-10-15,30.09,30.15,30.39,29.89,4554136.0,,1.65
2025-10-16,30.15,30.71,30.98,30.15,4792572.0,,2.75
2025-10-17,30.9,30.86,31.08,30.61,4298137.0,,1.53
2025-10-20,30.98,31.02,31.14,30.76,3715002.0,,1.23
2025-10-21,31.03,31.07,31.24,30.89,3437548.0,,1.13
2025-10-22,31.07,31.38,31.73,31.01,6226637.0,,2.32
2025-10-23,31.22,31.05,31.41,30.86,5678626.0,,1.75
2025-10-24,31.25,30.93,31.28,30.79,3789059.0,,1.58
2025-10-27,30.94,31.39,31.42,30.9,5205409.0,,1.68
2025-10-28,31.25,30.94,31.47,30.85,4761648.0,,1.98
2025-10-29,30.79,29.98,30.85,29.93,5530438.0,,2.97
2025-10-30,30.05,30.29,30.56,29.96,4448617.0,,2.0
2025-10-31,30.09,30.13,30.34,29.73,7219321.0,,2.01
2025-11-03,29.97,29.91,30.05,29.63,4828787.0,,1.39
2025-11-04,29.96,29.79,30.3,29.61,3708724.0,,2.31
2025-11-05,29.85,30.1,30.28,29.81,3412537.0,,1.58
2025-11-06,30.04,30.06,30.59,30.0,4383623.0,,1.96
2025-11-07,30.13,30.74,30.89,30.03,6029972.0,,2.86
2025-11-10,30.74,30.64,30.87,30.42,3581644.0,,1.46
2025-11-11,30.94,31.55,31.64,30.91,4462112.0,,2.38
2025-11-12,31.66,31.17,31.82,31.05,16080870.0,,2.44
2025-11-13,31.06,31.23,31.67,30.92,6092727.0,,2.41
2025-11-14,31.3,31.29,31.65,30.78,6210354.0,,2.79
2025-11-17,31.29,30.73,31.43,30.7,5029818.0,,2.33
2025-11-18,30.8,31.03,31.21,30.61,4936142.0,,1.95
2025-11-19,30.95,30.78,31.2,30.7,4121123.0,,1.61
2025-11-20,30.8,30.8,30.96,30.58,3414674.0,,1.23
2025-11-21,31.09,31.66,32.04,30.89,6337576.0,,3.73
2025-11-24,31.49,30.61,31.66,30.45,7395766.0,,3.82
2025-11-25,30.57,30.42,31.02,30.3,5048965.0,,2.35
2025-11-26,30.3,30.24,30.56,30.23,7140065.0,,1.08
2025-11-28,30.21,30.48,30.54,30.0,4114845.0,,1.79
2025-12-01,30.42,30.59,30.74,30.05,6155043.0,,2.26
2025-12-02,30.65,29.89,30.65,29.6,6233337.0,,3.43
2025-12-03,30.0,29.84,30.39,29.74,4325448.0,,2.17
2025-12-04,29.79,29.36,29.81,29.15,7754244.0,,2.21
2025-12-05,29.27,29.6,29.62,29.18,7590473.0,,1.5
2025-12-08,29.6,30.04,30.37,29.57,13030096.0,,2.7
2025-12-09,30.58,28.47,30.65,28.13,18639317.0,,8.39
2025-12-10,28.5,28.18,28.58,27.85,10125188.0,,2.56
2025-12-11,28.31,28.43,29.11,28.28,7632503.0,,2.95
2025-12-12,28.5,28.74,28.95,28.5,7317826.0,,1.58
2025-12-15,28.82,28.27,28.87,28.21,10720536.0,,2.3
2025-12-16,28.41,28.68,28.95,28.21,7443047.0,,2.62
2025-12-17,28.61,28.71,29.02,28.61,4502828.0,,1.43
2025-12-18,28.71,28.69,29.06,28.61,4508761.0,,1.57
2025-12-19,28.48,28.58,28.77,28.33,12285588.0,,1.53
2025-12-22,28.49,28.55,28.96,28.31,4675669.0,,2.27
2025-12-23,28.53,27.68,28.53,27.64,5307835.0,,3.12
2025-12-24,27.7,28.02,28.06,27.7,2658918.0,,1.3
2025-12-26,28.0,28.15,28.2,27.91,2814516.0,,1.03
2025-12-29,28.24,28.15,28.27,28.04,5102874.0,,0.82
2025-12-30,28.1,28.06,28.36,28.06,3476781.0,,1.07
2025-12-31,28.06,27.87,28.17,27.86,3194951.0,,1.1
2026-01-02,27.94,27.71,27.99,27.61,4904641.0,,1.36
2026-01-05,27.66,26.67,27.71,26.63,9991657.0,,3.9
2026-01-06,26.7,27.01,27.03,26.58,8382320.0,,1.69
2026-01-07,27.15,26.26,27.32,26.18,9282490.0,,4.22
2026-01-08,25.74,26.46,26.49,25.62,7579042.0,,3.31
2026-01-09,26.5,26.43,26.69,26.18,5765612.0,,1.93
2026-01-12,26.51,26.39,26.59,26.18,8535984.0,,1.55
2026-01-13,26.34,26.11,26.56,26.08,9067786.0,,1.82
2026-01-14,26.1,26.81,26.94,26.09,11145415.0,,3.26
2026-01-15,26.72,26.9,26.93,26.21,6602853.0,,2.69
2026-01-16,26.69,26.08,26.73,25.91,8436081.0,,3.05
2026-01-20,26.09,26.46,26.73,25.89,8052780.0,,3.22
2026-01-21,26.45,26.2,26.51,25.98,5815757.0,,2.0
2026-01-22,26.1,26.55,26.76,26.08,4850133.0,,2.6
2026-01-23,26.51,26.79,26.83,26.51,4160254.0,,1.21
2026-01-26,26.86,27.14,27.22,26.78,9384717.0,,1.64
2026-01-27,27.01,27.37,27.38,26.99,6155434.0,,1.44
2026-01-28,27.28,26.98,27.56,26.67,6288954.0,,3.25
2026-01-29,27.08,27.01,27.52,26.94,7310171.0,,2.15
2026-01-30,27.08,27.98,28.12,27.02,9807432.0,,4.07
2026-02-02,28.1,27.53,28.1,27.21,7207009.0,,3.18
2026-02-03,27.2,26.9,27.69,26.84,9234185.0,,3.09
2026-02-04,27.09,28.43,28.62,27.06,11021619.0,,5.8
2026-02-05,28.65,28.71,28.83,28.07,6921035.0,,2.67
2026-02-06,28.6,28.83,28.94,28.49,4612413.0,,1.57
2026-02-09,28.83,28.93,29.05,28.41,3617955.0,,2.22
2026-02-10,29.0,29.15,29.44,28.78,4647832.0,,2.28
2026-02-11,28.83,29.32,29.36,28.27,4226634.0,,3.74
2026-02-12,29.38,29.02,29.46,28.76,5862807.0,,2.39
2026-02-13,29.07,29.49,29.99,29.0,5675706.0,,3.41
2026-02-17,29.61,27.77,29.69,27.08,9304738.0,,8.85
2026-02-18,27.72,27.53,28.03,27.34,4983625.0,,2.48
2026-02-19,27.53,26.96,27.58,26.86,6399711.0,,2.62
2026-02-20,27.02,26.83,27.12,26.68,5823275.0,,1.63
2026-02-23,26.71,27.11,27.36,26.62,5689998.0,,2.76
2026-02-24,27.2,27.28,27.71,26.95,5784755.0,,2.8
2026-02-25,27.25,26.49,27.28,26.12,9339589.0,,4.25
2026-02-26,26.65,26.86,27.0,26.55,6593034.0,,1.7
2026-02-27,27.0,26.95,27.23,26.82,6469310.0,,1.53
2026-03-02,26.72,26.32,26.79,26.1,7921559.0,,2.56
2026-03-03,26.1,26.05,26.43,25.91,9078148.0,,1.98
2026-03-04,26.01,25.09,26.01,25.02,14052032.0,,3.8
2026-03-05,25.02,25.06,25.58,24.9,10882608.0,,2.71
2026-03-06,25.0,25.8,25.86,24.86,8340713.0,,3.99
2026-03-09,25.58,25.29,25.67,25.16,6602398.0,,1.98
2026-03-10,25.21,24.68,25.21,24.64,9845806.0,,2.25
2026-03-11,23.65,22.94,24.53,22.41,29033158.0,,8.59
2026-03-12,22.67,21.65,22.83,21.59,18880990.0,,5.41
2026-03-13,21.89,21.71,22.2,21.71,9648326.0,,2.26
2026-03-16,21.82,21.39,21.82,21.19,11869471.0,,2.9
2026-03-17,21.47,21.58,21.81,21.37,8808803.0,,2.06
2026-03-18,21.33,21.08,21.42,20.87,11252680.0,,2.55
2026-03-19,21.08,21.03,21.35,20.89,9747741.0,,2.18
2026-03-20,20.98,21.07,21.21,20.8,11692495.0,,1.95
2026-03-23,21.28,21.0,21.29,20.84,9873585.0,,2.14
2026-03-24,21.05,20.91,21.28,20.88,7905159.0,,1.9
2026-03-25,21.03,20.81,21.12,20.62,10391320.0,,2.39
2026-03-26,20.83,20.95,21.21,20.74,11622737.0,,2.26
2026-03-27,21.02,21.99,22.13,20.89,14274462.0,,5.92
2026-03-30,22.22,22.18,22.37,21.78,10484876.0,,2.68
2026-03-31,22.29,22.27,22.4,21.91,8638401.0,,2.21
2026-04-01,22.15,22.38,22.46,21.84,7652034.0,,2.78
2026-04-02,22.04,22.01,22.2,21.76,7212816.0,,1.97
2026-04-06,22.01,22.02,22.21,21.93,7469145.0,,1.27
2026-04-07,21.91,20.88,22.0,20.86,9476717.0,,5.18
2026-04-08,20.91,20.69,21.16,20.62,9792004.0,,2.59
2026-04-09,20.42,20.79,20.93,20.32,11421126.0,,2.95
2026-04-10,20.72,20.43,21.08,20.38,7100114.0,,3.37
2026-04-13,20.44,20.17,20.44,19.79,9167724.0,,3.18
2026-04-14,20.13,20.0,20.19,19.77,11253202.0,,2.08
2026-04-15,20.07,20.49,20.7,19.76,8060541.0,,4.7
2026-04-16,20.55,20.94,21.03,20.45,7053286.0,,2.83
2026-04-17,21.0,20.99,21.45,20.87,8383318.0,,2.77
2026-04-20,20.83,21.26,21.29,20.66,5108219.0,,3.0
2026-04-21,21.03,20.91,21.32,20.73,7481500.0,,2.78
2026-04-22,20.94,20.82,21.08,20.71,7241143.0,,1.77
2026-04-23,20.92,20.96,21.04,20.48,7829373.0,,2.69
2026-04-24,21.0,20.62,21.08,20.38,10289330.0,,3.34
2026-04-27,20.14,20.55,20.75,20.03,6463919.0,,3.49
2026-04-28,20.82,20.54,21.03,20.43,6006889.0,,2.92
2026-04-29,20.55,20.45,20.79,20.2,6703564.0,,2.87
2026-04-30,20.39,20.79,20.94,20.39,7553438.0,,2.69
2026-05-01,20.99,20.73,21.25,20.41,6826021.0,,4.04
2026-05-04,20.57,20.5,20.87,20.35,7160283.0,,2.51
2026-05-05,20.37,20.91,21.1,20.37,5467245.0,,3.56
2026-05-06,21.1,20.96,21.24,20.81,6085110.0,,2.06
2026-05-07,20.9,21.25,21.47,20.63,6256405.0,,4.01
2026-05-08,21.17,20.84,21.21,20.8,6423748.0,,1.93
2026-05-11,20.94,20.63,21.18,20.35,6213503.0,,3.98
2026-05-12,20.76,20.39,20.88,20.35,6468699.0,,2.57
2026-05-13,20.36,20.35,20.57,20.1,6092227.0,,2.31
2026-05-14,20.47,20.12,20.6,20.03,7197948.0,,2.8
2026-05-15,20.29,20.01,20.4,19.82,7642954.0,,2.88
2026-05-18,19.9,20.34,20.39,19.84,5896477.0,,2.75
2026-05-19,20.38,20.21,21.02,20.19,6935203.0,,4.08
2026-05-20,20.13,20.0,20.21,19.7,8500407.0,,2.52
2026-05-21,19.92,20.05,20.24,19.56,10320842.0,,3.4
2026-05-22,20.13,20.58,20.81,20.09,6884950.0,,3.59
2026-05-26,20.57,20.13,20.6,20.13,7149493.0,,2.28
2026-05-27,20.18,20.5,20.85,20.18,8282349.0,,3.33
2026-05-28,20.55,20.8,21.02,20.37,6311768.0,,3.17
2026-05-29,20.8,21.11,21.37,20.68,9291665.0,,3.32
2026-06-01,20.94,21.08,21.32,20.85,8847455.0,,2.23
2026-06-02,21.16,20.99,21.38,20.92,5976484.0,,2.18
2026-06-03,20.73,20.99,21.62,20.65,10519555.0,,4.62
2026-06-04,21.41,21.55,21.76,21.2,10398295.0,,2.67
2026-06-05,21.73,21.68,21.94,21.2,13460368.0,,3.43
2026-06-08,22.17,21.49,22.3,20.62,15211521.0,,7.75
2026-06-09,21.43,22.13,22.18,21.27,12813289.0,,4.23
2026-06-10,22.26,22.88,23.24,22.11,13940575.0,,5.11
2026-06-11,22.8,22.73,23.22,22.64,9660605.0,,2.53
2026-06-12,22.77,22.81,22.97,22.64,7765714.0,,1.45
