日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,111.12,112.82,114.98,111.12,1531483.0,,
2025-05-22,112.7,111.38,112.87,110.82,1248582.0,,1.82
2025-05-23,107.36,108.29,109.5,106.36,1608307.0,,2.82
2025-05-27,109.97,109.95,110.9,107.93,1318921.0,,2.74
2025-05-28,109.97,106.88,110.38,106.57,908160.0,,3.47
2025-05-29,108.72,103.91,108.72,103.74,1488386.0,,4.66
2025-05-30,102.64,102.0,102.94,100.79,1506062.0,,2.07
2025-06-02,100.89,101.42,102.61,99.87,1709868.0,,2.69
2025-06-03,100.76,102.17,102.79,99.7,981007.0,,3.05
2025-06-04,101.87,99.01,102.27,98.99,1632448.0,,3.21
2025-06-05,99.32,100.17,101.54,98.59,1739203.0,,2.98
2025-06-06,99.91,101.46,101.53,99.91,1091927.0,,1.62
2025-06-09,102.6,102.24,103.71,101.79,1348836.0,,1.89
2025-06-10,102.77,105.15,106.32,102.77,1335661.0,,3.47
2025-06-11,106.12,104.29,107.08,103.8,1049096.0,,3.12
2025-06-12,103.13,103.66,103.89,101.29,1262787.0,,2.49
2025-06-13,101.7,97.49,102.42,96.75,1738324.0,,5.47
2025-06-16,100.28,102.24,102.74,99.9,1647238.0,,2.91
2025-06-17,101.62,101.0,103.02,100.51,1196169.0,,2.46
2025-06-18,100.63,100.13,101.44,99.7,1141606.0,,1.72
2025-06-20,100.24,98.52,100.66,98.36,1491416.0,,2.3
2025-06-23,98.0,97.37,98.12,94.45,1611085.0,,3.73
2025-06-24,98.6,99.12,99.46,97.33,989655.0,,2.19
2025-06-25,99.13,98.64,99.26,97.62,783993.0,,1.65
2025-06-26,98.97,100.05,100.23,98.35,862088.0,,1.91
2025-06-27,101.87,103.02,103.12,101.58,1580707.0,,1.54
2025-06-30,103.75,101.28,104.02,100.61,1402136.0,,3.31
2025-07-01,101.31,107.13,108.66,101.05,1785352.0,,7.51
2025-07-02,104.51,106.74,110.18,102.1,1945209.0,,7.54
2025-07-03,106.75,107.34,108.42,106.33,560190.0,,1.96
2025-07-07,107.1,106.35,107.95,105.38,1121655.0,,2.39
2025-07-08,106.83,106.53,107.3,103.9,1476323.0,,3.2
2025-07-09,106.32,104.75,107.09,104.3,969728.0,,2.62
2025-07-10,105.11,105.85,107.9,104.87,876613.0,,2.89
