日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,126.18,123.36,127.95,123.03,3664993.0,,
2025-05-22,123.42,126.09,127.0,122.58,7449051.0,,3.58
2025-05-23,97.94,101.05,102.87,96.1,19579682.0,,5.37
2025-05-27,102.76,108.96,109.03,102.5,7532094.0,,6.46
2025-05-28,108.48,104.32,108.67,103.74,4983831.0,,4.52
2025-05-29,106.28,107.27,108.13,104.88,4691226.0,,3.12
2025-05-30,105.68,105.52,106.0,103.49,4424770.0,,2.34
2025-06-02,104.76,105.01,105.23,102.86,3042430.0,,2.25
2025-06-03,104.52,105.83,105.92,102.88,3189756.0,,2.89
2025-06-04,106.5,105.81,107.45,105.54,2549620.0,,1.8
2025-06-05,105.65,108.32,110.24,105.65,3977858.0,,4.34
2025-06-06,108.8,109.22,109.79,107.77,3155019.0,,1.86
2025-06-09,111.5,110.91,112.34,109.27,3098601.0,,2.81
2025-06-10,111.67,110.0,111.8,109.31,2366248.0,,2.25
2025-06-11,111.26,107.93,111.68,107.88,2561348.0,,3.45
2025-06-12,107.5,107.7,107.85,106.65,1704642.0,,1.11
2025-06-13,104.92,101.48,106.0,100.8,3319390.0,,4.83
2025-06-16,103.3,103.63,104.5,102.16,2804417.0,,2.31
2025-06-17,103.36,102.61,104.18,101.85,1739448.0,,2.25
2025-06-18,102.37,101.0,103.0,100.81,2693078.0,,2.13
2025-06-20,101.85,101.69,102.56,101.04,3528979.0,,1.5
2025-06-23,101.13,100.44,101.13,97.48,2800848.0,,3.59
2025-06-24,101.72,102.22,102.36,100.16,2542130.0,,2.19
2025-06-25,102.61,101.04,103.13,100.94,2128527.0,,2.14
2025-06-26,101.94,101.93,102.12,99.5,2714380.0,,2.59
2025-06-27,104.7,104.2,105.36,103.41,3921541.0,,1.91
2025-06-30,104.7,103.07,104.76,102.09,2946489.0,,2.56
2025-07-01,102.61,105.4,107.05,102.57,3180280.0,,4.35
2025-07-02,104.55,106.26,109.08,102.87,4649840.0,,5.89
2025-07-03,106.71,106.2,107.66,105.86,1736117.0,,1.69
2025-07-07,106.2,105.75,106.75,105.01,2293463.0,,1.64
2025-07-08,105.79,105.29,106.04,104.05,2389729.0,,1.88
2025-07-09,106.22,104.91,106.86,104.5,2852455.0,,2.24
2025-07-10,104.15,104.95,106.06,103.99,2546816.0,,1.97
2025-07-11,104.31,101.73,105.5,101.65,3183248.0,,3.67
2025-07-14,100.92,98.38,101.21,97.92,5132808.0,,3.23
2025-07-15,99.04,95.32,99.12,95.22,6722357.0,,3.96
2025-07-16,95.66,97.88,97.92,94.68,3880276.0,,3.4
2025-07-17,98.48,101.22,101.61,98.48,4534318.0,,3.2
2025-07-18,101.7,101.91,102.67,101.01,3412637.0,,1.64
2025-07-21,101.67,105.1,105.74,101.67,4685271.0,,3.99
2025-07-22,106.0,105.69,107.0,103.61,2677314.0,,3.23
2025-07-23,107.91,108.09,108.85,106.67,3429146.0,,2.06
2025-07-24,108.15,104.94,108.38,103.87,8710877.0,,4.17
2025-07-25,123.44,116.85,126.5,116.6,15343381.0,,9.43
2025-07-28,118.5,112.39,119.2,111.48,6387130.0,,6.61
2025-07-29,112.8,112.11,115.39,111.76,3894806.0,,3.23
2025-07-30,112.29,110.6,112.4,109.52,2832514.0,,2.57
2025-07-31,110.31,106.17,110.47,105.68,3706843.0,,4.33
2025-08-01,103.97,103.35,104.55,102.31,2980261.0,,2.11
2025-08-04,103.3,105.13,105.33,103.3,2372241.0,,1.96
2025-08-05,105.01,105.91,106.37,104.7,2193574.0,,1.59
2025-08-06,105.75,105.72,108.16,105.44,1723377.0,,2.57
2025-08-07,105.43,101.89,105.49,100.82,3316090.0,,4.42
2025-08-08,101.5,101.68,102.17,99.9,2253746.0,,2.23
2025-08-11,102.0,100.47,102.42,99.18,2485784.0,,3.19
2025-08-12,102.52,103.74,103.79,101.16,2426479.0,,2.62
2025-08-13,104.12,106.48,106.83,103.87,2222682.0,,2.85
2025-08-14,104.11,103.86,104.35,102.07,2471885.0,,2.14
2025-08-15,104.01,102.96,105.17,102.6,2657491.0,,2.47
2025-08-18,103.17,105.58,106.23,102.86,2658770.0,,3.27
2025-08-19,106.05,105.52,106.99,105.01,1707957.0,,1.88
2025-08-20,105.0,104.05,106.25,103.29,3137479.0,,2.81
2025-08-21,103.55,104.69,104.92,102.5,1419869.0,,2.33
2025-08-22,105.17,109.1,109.16,104.9,2457059.0,,4.07
2025-08-25,108.88,113.03,113.19,108.66,3481042.0,,4.15
2025-08-26,113.51,113.69,114.72,113.1,3016984.0,,1.43
2025-08-27,114.09,116.73,117.2,113.6,2715771.0,,3.17
2025-08-28,117.43,118.14,118.44,116.23,2354515.0,,1.89
2025-08-29,118.36,119.63,121.1,118.25,2665075.0,,2.41
2025-09-02,118.76,122.88,123.31,118.45,3265343.0,,4.06
2025-09-03,123.21,123.67,125.45,122.74,3034694.0,,2.21
2025-09-04,123.3,123.91,124.46,121.51,2872919.0,,2.39
2025-09-05,122.93,120.4,124.88,120.3,2193640.0,,3.7
2025-09-08,119.7,117.17,119.9,116.07,3721165.0,,3.18
2025-09-09,116.5,115.41,116.96,114.79,1888962.0,,1.85
2025-09-10,115.13,114.13,116.15,113.53,1712269.0,,2.27
2025-09-11,114.93,117.87,118.26,114.72,1864807.0,,3.1
2025-09-12,118.7,118.5,119.79,116.0,2445877.0,,3.22
2025-09-15,118.72,118.66,120.3,117.17,2640224.0,,2.64
2025-09-16,118.25,118.69,119.04,115.5,2213093.0,,2.98
2025-09-17,118.63,118.68,121.19,117.68,2170023.0,,2.96
2025-09-18,118.0,115.43,119.26,115.28,2906103.0,,3.35
2025-09-19,116.1,113.79,116.1,113.56,4551007.0,,2.2
2025-09-22,113.58,113.22,115.45,112.81,2415555.0,,2.32
2025-09-23,113.36,112.03,114.04,111.97,2140076.0,,1.83
2025-09-24,111.5,111.23,113.91,110.55,2042946.0,,3.0
2025-09-25,110.49,105.83,110.83,105.74,3089346.0,,4.58
2025-09-26,106.22,105.77,106.6,104.94,2349610.0,,1.57
2025-09-29,107.42,103.28,107.55,102.15,3774503.0,,5.11
2025-09-30,103.35,101.37,103.35,100.46,3635099.0,,2.8
2025-10-01,102.1,101.18,102.75,99.88,3527593.0,,2.83
2025-10-02,101.39,103.8,104.16,100.52,3455722.0,,3.6
2025-10-03,104.15,103.05,104.79,102.93,2405910.0,,1.79
2025-10-06,103.2,102.04,103.85,101.64,2548519.0,,2.14
2025-10-07,102.38,97.98,102.47,97.34,3085682.0,,5.03
2025-10-08,99.27,101.58,101.95,98.95,2524498.0,,3.06
2025-10-09,101.63,98.85,102.1,98.38,2879210.0,,3.66
2025-10-10,98.23,95.07,98.76,94.37,3792046.0,,4.44
2025-10-13,95.75,98.31,98.53,95.75,2780349.0,,2.92
2025-10-14,97.0,99.28,99.67,96.45,2511955.0,,3.28
2025-10-15,100.02,96.44,100.63,96.17,3420714.0,,4.49
2025-10-16,97.67,99.06,99.24,96.82,3680600.0,,2.51
2025-10-17,97.38,99.82,100.51,97.32,3819778.0,,3.22
2025-10-20,100.33,100.19,102.53,100.06,3934819.0,,2.47
2025-10-21,101.58,102.96,104.1,100.86,2924694.0,,3.23
2025-10-22,102.8,100.89,103.56,100.21,2702253.0,,3.25
2025-10-23,101.26,102.54,104.08,100.93,9160748.0,,3.12
2025-10-24,88.5,86.94,90.95,86.83,21265382.0,,4.02
2025-10-27,88.3,90.47,90.74,88.21,9525711.0,,2.91
2025-10-28,90.5,87.61,90.58,86.68,6860083.0,,4.31
2025-10-29,87.31,83.84,87.6,83.63,6365745.0,,4.53
2025-10-30,83.58,80.89,83.58,80.64,6206111.0,,3.51
2025-10-31,81.46,81.5,82.08,80.3,6043161.0,,2.2
2025-11-03,81.5,81.12,81.5,78.98,5290007.0,,3.09
2025-11-04,80.1,79.54,80.25,79.15,3352579.0,,1.36
2025-11-05,79.48,81.81,82.68,78.91,4430987.0,,4.74
2025-11-06,81.31,79.81,81.58,79.32,3388495.0,,2.76
2025-11-07,79.07,81.77,82.25,79.07,3428935.0,,3.98
2025-11-10,82.47,79.84,82.6,79.55,4169378.0,,3.73
2025-11-11,80.7,82.71,83.44,80.41,3766436.0,,3.8
2025-11-12,84.92,84.39,86.69,84.16,3948259.0,,3.06
2025-11-13,83.8,83.1,85.96,83.0,3193036.0,,3.51
2025-11-14,82.25,82.82,83.35,82.0,2478071.0,,1.62
2025-11-17,82.79,80.72,82.82,80.23,3384963.0,,3.13
