日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,101.26,100.78,102.2,100.28,2967140.0,,
2025-05-22,101.02,100.64,101.48,99.76,2963641.0,,1.71
2025-05-23,100.88,101.39,101.98,100.47,2240386.0,,1.5
2025-05-27,101.39,100.98,101.5,99.68,3235618.0,,1.8
2025-05-28,100.82,97.77,100.82,97.55,3157004.0,,3.24
2025-05-29,97.65,97.07,98.04,96.14,2419827.0,,1.94
2025-05-30,96.83,97.25,98.16,96.52,5254701.0,,1.69
2025-06-02,97.3,97.17,98.19,96.36,4877964.0,,1.88
2025-06-03,106.96,112.57,113.61,106.08,15320275.0,,7.75
2025-06-04,114.73,111.77,114.73,109.8,6039502.0,,4.38
2025-06-05,112.05,113.84,115.11,111.76,4560940.0,,3.0
2025-06-06,112.43,113.48,114.11,111.43,2938294.0,,2.35
2025-06-09,113.6,113.31,114.52,112.45,3059213.0,,1.82
2025-06-10,113.4,111.24,114.37,109.86,3324299.0,,3.98
2025-06-11,111.37,111.45,112.24,110.89,2693832.0,,1.21
2025-06-12,111.65,111.84,111.97,109.82,2831852.0,,1.93
2025-06-13,112.18,111.68,113.1,111.3,2319390.0,,1.61
2025-06-16,111.49,113.63,114.59,111.11,2901294.0,,3.12
2025-06-17,112.99,113.32,113.86,112.02,2096671.0,,1.62
2025-06-18,113.24,112.31,114.04,111.63,2228414.0,,2.13
2025-06-20,112.19,111.51,112.53,110.32,4972341.0,,1.97
2025-06-23,112.29,114.95,115.02,111.62,3964585.0,,3.05
2025-06-24,111.47,113.31,113.86,109.55,4592224.0,,3.75
2025-06-25,113.0,112.77,114.24,112.27,3117168.0,,1.74
2025-06-26,112.96,112.63,114.17,112.19,1990400.0,,1.76
2025-06-27,112.99,114.45,114.71,112.99,3326502.0,,1.53
2025-06-30,113.85,114.38,114.87,112.65,3041865.0,,1.94
2025-07-01,114.24,115.3,116.25,114.0,2834993.0,,1.97
2025-07-02,115.39,115.46,116.22,113.95,2484337.0,,1.97
2025-07-03,115.49,114.11,116.07,112.68,2041983.0,,2.94
2025-07-07,114.5,116.3,116.3,113.21,4143999.0,,2.71
2025-07-08,114.82,112.69,115.4,111.94,3302527.0,,2.98
2025-07-09,112.74,112.35,112.74,111.06,2479555.0,,1.49
2025-07-10,111.76,112.26,113.57,111.61,2520093.0,,1.74
2025-07-11,112.12,113.14,113.35,111.91,2226074.0,,1.28
2025-07-14,113.29,114.39,114.69,112.62,2023981.0,,1.83
2025-07-15,113.61,113.22,114.18,112.97,2285221.0,,1.06
2025-07-16,113.36,112.57,113.7,111.11,2140700.0,,2.29
2025-07-17,111.11,109.23,112.0,108.69,4763161.0,,2.94
2025-07-18,109.55,110.09,110.54,108.82,2745035.0,,1.57
2025-07-21,110.09,107.6,110.28,107.34,2816729.0,,2.67
2025-07-22,108.1,109.83,109.97,108.1,2058792.0,,1.74
2025-07-23,109.5,109.24,110.0,107.66,2186644.0,,2.13
2025-07-24,109.43,107.75,109.6,107.74,1667398.0,,1.7
2025-07-25,107.82,107.56,108.75,107.22,1603905.0,,1.42
2025-07-28,107.03,105.81,107.06,104.7,2729589.0,,2.19
2025-07-29,105.88,106.85,107.35,105.51,2038184.0,,1.74
2025-07-30,106.7,105.54,107.27,105.42,3020712.0,,1.73
2025-07-31,105.0,104.9,106.35,104.5,3133347.0,,1.75
2025-08-01,105.32,108.53,109.03,105.06,4217052.0,,3.78
2025-08-04,108.33,110.94,111.23,108.02,3329195.0,,2.96
2025-08-05,109.78,110.86,111.65,109.78,2972869.0,,1.69
2025-08-06,111.48,113.32,114.3,111.34,2859562.0,,2.67
2025-08-07,113.13,115.63,115.83,113.0,2678917.0,,2.5
2025-08-08,116.0,116.32,117.95,115.3,2424686.0,,2.29
2025-08-11,116.65,114.55,117.48,114.32,2696133.0,,2.72
2025-08-12,115.22,115.19,116.28,114.05,2277739.0,,1.95
2025-08-13,115.11,115.79,116.3,112.44,3874889.0,,3.35
2025-08-14,115.34,114.7,115.65,113.46,1752736.0,,1.89
2025-08-15,114.68,112.77,114.68,112.07,3258078.0,,2.28
2025-08-18,113.58,112.3,114.0,112.25,1968417.0,,1.55
2025-08-19,112.55,112.78,113.65,111.47,3268008.0,,1.94
2025-08-20,112.73,114.85,115.91,112.47,2609117.0,,3.05
2025-08-21,114.08,112.49,114.55,111.91,2545165.0,,2.3
2025-08-22,112.11,112.4,113.75,111.37,2428681.0,,2.12
2025-08-25,112.2,112.35,112.8,111.02,2806471.0,,1.58
2025-08-26,112.43,110.5,112.48,110.08,2717711.0,,2.14
2025-08-27,110.58,111.2,111.33,110.01,3621609.0,,1.19
2025-08-28,114.98,111.71,115.0,105.69,7421241.0,,8.37
2025-08-29,112.31,108.76,113.82,107.42,4583381.0,,5.73
2025-09-02,109.75,110.46,110.93,108.34,2638311.0,,2.38
2025-09-03,108.79,109.69,110.2,106.64,2687058.0,,3.22
2025-09-04,110.11,108.44,110.24,107.87,2765183.0,,2.16
2025-09-05,108.96,109.28,109.84,108.41,1913073.0,,1.32
2025-09-08,110.57,108.72,110.7,107.26,3468167.0,,3.15
2025-09-09,107.78,104.55,108.3,104.36,4369483.0,,3.62
