日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,88.74,88.92,89.68,87.86,3360375.0,,
2025-05-22,88.38,89.97,90.83,88.38,2813460.0,,2.76
2025-05-23,88.35,88.17,88.92,87.55,2462453.0,,1.52
2025-05-27,88.72,90.36,90.52,87.95,3117374.0,,2.91
2025-05-28,90.34,89.34,90.77,89.08,2328916.0,,1.87
2025-05-29,90.0,90.58,90.7,88.87,2902393.0,,2.05
2025-05-30,90.14,90.26,91.48,89.21,4683194.0,,2.51
2025-06-02,90.3,91.24,92.15,89.13,4360864.0,,3.35
2025-06-03,94.25,96.72,97.02,92.75,9060273.0,,4.68
2025-06-04,90.93,88.62,91.03,86.01,15597521.0,,5.19
2025-06-05,91.41,96.67,97.45,91.2,11802150.0,,7.05
2025-06-06,96.32,94.5,96.32,93.6,5820081.0,,2.81
2025-06-09,94.8,93.85,96.45,93.67,4207179.0,,2.94
2025-06-10,93.85,93.12,94.4,92.53,3057820.0,,1.99
2025-06-11,93.43,94.21,94.82,93.43,2716146.0,,1.49
2025-06-12,93.91,96.09,96.14,93.83,2506417.0,,2.45
2025-06-13,95.52,95.19,96.92,94.81,3000634.0,,2.2
2025-06-16,96.3,99.0,99.55,95.69,3503003.0,,4.06
2025-06-17,98.24,98.35,98.97,97.83,2715104.0,,1.15
2025-06-18,98.31,97.53,99.36,97.2,3396422.0,,2.2
2025-06-20,97.54,98.71,99.23,97.0,6650881.0,,2.29
2025-06-23,98.27,100.51,100.74,97.52,5544323.0,,3.26
2025-06-24,100.46,98.68,100.68,97.52,2900366.0,,3.14
2025-06-25,99.29,99.45,100.54,98.85,2778693.0,,1.71
2025-06-26,99.49,99.44,99.73,97.86,2397519.0,,1.88
2025-06-27,99.57,98.7,101.6,98.63,5092465.0,,2.99
2025-06-30,98.65,99.04,99.64,97.3,2769728.0,,2.37
2025-07-01,99.04,101.5,101.77,98.64,3016597.0,,3.16
2025-07-02,100.91,103.01,103.23,100.91,2960088.0,,2.29
