日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,488.01,480.49,490.17,478.78,471494.0,,
2025-05-22,480.39,482.26,485.06,477.01,416490.0,,1.68
2025-05-23,476.52,480.43,481.93,476.52,352287.0,,1.12
2025-05-27,483.31,484.56,486.35,480.76,389032.0,,1.16
2025-05-28,484.32,483.11,488.81,482.96,373589.0,,1.21
2025-05-29,483.82,474.52,485.47,471.1,592288.0,,2.97
2025-05-30,473.1,473.82,475.35,470.76,1229905.0,,0.97
2025-06-02,471.69,466.0,473.1,455.19,711534.0,,3.78
2025-06-03,463.89,464.53,467.0,458.52,559629.0,,1.82
2025-06-04,464.0,465.91,470.55,463.92,384598.0,,1.43
2025-06-05,465.85,460.03,466.89,458.6,433689.0,,1.78
2025-06-06,463.94,468.21,468.56,462.0,432106.0,,1.43
2025-06-09,468.69,467.95,470.05,461.12,501572.0,,1.91
2025-06-10,461.14,455.49,462.75,452.05,626695.0,,2.29
2025-06-11,455.65,446.9,457.0,445.86,741630.0,,2.45
2025-06-12,446.24,451.0,451.99,444.3,538619.0,,1.72
2025-06-13,448.38,452.15,460.55,446.4,852872.0,,3.14
2025-06-16,455.0,454.45,458.63,446.1,627529.0,,2.77
2025-06-17,452.77,458.78,463.97,452.77,501926.0,,2.46
2025-06-18,458.43,446.77,458.43,446.75,586039.0,,2.55
2025-06-20,450.7,447.28,453.99,446.28,861884.0,,1.73
2025-06-23,450.03,457.61,458.07,445.0,538727.0,,2.92
2025-06-24,458.03,459.97,463.0,452.13,459472.0,,2.38
2025-06-25,459.66,453.13,465.0,451.81,571303.0,,2.87
2025-06-26,458.04,454.72,458.65,448.06,604124.0,,2.34
2025-06-27,454.27,446.39,454.27,439.32,963262.0,,3.29
2025-06-30,445.75,450.6,451.21,443.53,668875.0,,1.72
2025-07-01,451.19,457.53,462.02,449.11,434198.0,,2.87
2025-07-02,455.23,453.94,457.0,445.44,510219.0,,2.53
2025-07-03,451.7,452.18,453.25,448.88,390501.0,,0.96
2025-07-07,451.97,453.22,455.5,448.2,512198.0,,1.61
2025-07-08,453.07,459.43,460.2,448.36,600870.0,,2.61
2025-07-09,459.49,463.48,469.26,457.02,571634.0,,2.66
2025-07-10,463.48,469.92,473.46,462.67,476249.0,,2.33
2025-07-11,470.79,464.48,470.79,462.94,421959.0,,1.67
2025-07-14,465.0,472.94,474.95,463.58,627414.0,,2.45
2025-07-15,473.02,465.39,477.95,465.24,419466.0,,2.69
2025-07-16,467.63,465.3,472.58,462.84,783170.0,,2.09
2025-07-17,465.41,468.71,472.0,460.29,852561.0,,2.52
2025-07-18,469.72,465.95,472.0,464.34,1159623.0,,1.63
2025-07-21,488.98,462.24,496.0,452.83,2382381.0,,9.26
2025-07-22,465.15,480.97,482.7,458.12,1234599.0,,5.32
2025-07-23,483.03,478.05,484.44,474.74,727848.0,,2.02
2025-07-24,472.64,476.34,483.5,469.82,745516.0,,2.86
2025-07-25,478.1,485.53,486.45,477.34,422946.0,,1.91
2025-07-28,486.0,474.32,486.68,471.32,744792.0,,3.16
2025-07-29,472.71,470.05,473.4,466.36,711161.0,,1.48
2025-07-30,470.05,475.38,475.9,469.76,515909.0,,1.31
2025-07-31,470.13,463.21,477.0,461.49,848807.0,,3.26
2025-08-01,464.89,466.17,467.65,461.4,511463.0,,1.35
2025-08-04,466.36,467.98,468.49,461.5,512311.0,,1.5
2025-08-05,464.61,447.13,465.49,446.81,855772.0,,3.99
2025-08-06,447.1,443.78,451.5,439.38,749350.0,,2.71
2025-08-07,446.39,442.42,448.09,439.0,645410.0,,2.05
2025-08-08,440.0,440.04,446.91,439.55,469133.0,,1.66
2025-08-11,439.71,440.54,442.44,433.5,679132.0,,2.03
2025-08-12,441.45,441.19,444.99,438.71,540572.0,,1.43
2025-08-13,440.2,450.98,451.69,439.95,449195.0,,2.66
2025-08-14,447.78,450.59,452.17,446.76,534001.0,,1.2
2025-08-15,451.25,451.26,455.25,447.82,559614.0,,1.65
2025-08-18,451.5,444.85,453.38,444.45,745757.0,,1.98
2025-08-19,444.85,450.56,456.17,444.45,687212.0,,2.63
2025-08-20,451.0,442.86,454.66,441.8,843592.0,,2.85
2025-08-21,440.47,446.86,448.64,437.45,713824.0,,2.53
2025-08-22,448.58,450.99,451.52,445.5,768804.0,,1.35
2025-08-25,451.22,460.66,463.08,450.6,817745.0,,2.77
2025-08-26,460.24,451.22,461.15,444.47,754029.0,,3.62
2025-08-27,452.84,452.55,465.6,451.2,855649.0,,3.19
2025-08-28,454.08,448.96,455.28,447.01,477351.0,,1.83
2025-08-29,451.31,458.3,460.27,451.31,430521.0,,2.0
2025-09-02,459.21,467.3,469.0,459.21,597241.0,,2.14
2025-09-03,464.62,466.6,468.87,463.98,386729.0,,1.05
2025-09-04,467.11,462.6,467.83,455.54,463479.0,,2.63
2025-09-05,463.06,463.83,466.6,458.76,329253.0,,1.69
2025-09-08,464.16,466.11,467.22,456.51,527696.0,,2.31
2025-09-09,463.2,458.97,464.23,458.0,418975.0,,1.34
2025-09-10,456.19,450.56,458.9,445.43,682870.0,,2.93
2025-09-11,449.5,456.62,458.29,446.88,533776.0,,2.53
2025-09-12,455.84,452.05,458.27,451.13,437271.0,,1.56
2025-09-15,451.66,449.95,455.72,448.12,512821.0,,1.68
