日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,205.32,203.14,206.4,202.93,1696233.0,,
2025-05-22,203.44,203.88,204.45,202.13,2844412.0,,1.14
2025-05-23,202.57,204.02,204.65,201.92,901563.0,,1.34
2025-05-27,206.05,214.05,214.14,205.38,2048307.0,,4.29
2025-05-28,214.02,213.76,215.05,212.87,1066759.0,,1.02
2025-05-29,214.08,213.71,215.68,211.45,1623736.0,,1.98
2025-05-30,212.7,214.21,214.76,212.59,1415700.0,,1.02
2025-06-02,213.26,216.85,216.9,212.53,1185790.0,,2.04
2025-06-03,216.53,217.21,218.22,214.65,1255929.0,,1.65
2025-06-04,217.19,216.25,217.9,215.33,811451.0,,1.18
2025-06-05,215.94,215.06,216.44,213.99,835377.0,,1.13
2025-06-06,217.18,217.53,218.16,214.93,761191.0,,1.5
2025-06-09,217.52,219.7,220.79,216.14,1364655.0,,2.14
2025-06-10,219.4,216.2,220.01,215.67,949609.0,,1.98
2025-06-11,216.58,217.67,219.05,215.71,951536.0,,1.54
2025-06-12,216.53,217.81,217.91,215.94,783288.0,,0.91
2025-06-13,217.69,217.5,218.7,215.52,1329353.0,,1.46
2025-06-16,220.15,224.76,225.41,220.15,1914428.0,,2.42
2025-06-17,224.39,224.78,226.98,223.09,2161507.0,,1.73
2025-06-18,225.21,222.75,226.33,221.41,2672282.0,,2.19
2025-06-20,223.57,225.78,228.27,217.01,3826406.0,,5.05
2025-06-23,221.86,221.34,223.88,213.07,2729603.0,,4.79
2025-06-24,223.5,220.83,224.94,220.63,1686486.0,,1.95
2025-06-25,221.02,217.46,221.48,216.27,1711545.0,,2.36
2025-06-26,218.93,215.97,218.93,215.34,1425173.0,,1.65
2025-06-27,215.84,216.13,216.37,213.73,3490831.0,,1.22
2025-06-30,216.35,217.97,218.68,215.53,1487006.0,,1.46
2025-07-01,217.66,219.6,222.56,217.61,1518050.0,,2.27
2025-07-02,218.91,219.33,219.66,215.27,1314631.0,,2.0
2025-07-03,219.84,220.27,220.85,218.82,604934.0,,0.93
2025-07-07,219.32,216.02,220.32,214.32,1247833.0,,2.72
2025-07-08,216.96,217.63,218.23,215.13,838142.0,,1.44
