日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,147.72,143.87,150.34,143.17,1245037.0,,
2025-05-22,144.09,149.0,149.28,143.93,1162505.0,,3.72
2025-05-23,146.65,154.53,155.24,146.13,1457943.0,,6.11
2025-05-27,157.4,165.12,167.58,156.68,1920447.0,,7.05
2025-05-28,164.02,164.98,166.69,162.3,1091831.0,,2.66
2025-05-29,164.8,168.47,169.44,163.61,1470837.0,,3.53
2025-05-30,167.43,172.63,175.13,167.33,1833873.0,,4.63
2025-06-02,172.36,175.92,176.09,168.0,1219995.0,,4.69
2025-06-03,176.31,173.36,177.91,172.58,1897106.0,,3.03
2025-06-04,173.25,173.5,175.74,172.76,960693.0,,1.72
2025-06-05,172.68,169.33,173.11,167.53,1740631.0,,3.22
2025-06-06,171.87,171.65,174.31,170.56,951861.0,,2.21
2025-06-09,171.85,173.45,177.81,170.1,1387487.0,,4.49
2025-06-10,172.9,168.39,173.87,166.38,1423053.0,,4.32
2025-06-11,169.66,175.81,175.91,169.06,1637401.0,,4.07
2025-06-12,173.69,176.29,177.41,171.28,1269236.0,,3.49
2025-06-13,172.45,174.57,176.15,169.78,1316405.0,,3.61
2025-06-16,176.79,181.26,183.75,176.79,1667624.0,,3.99
2025-06-17,180.28,178.83,183.76,177.7,1439162.0,,3.34
2025-06-18,179.28,178.31,181.48,177.73,1119700.0,,2.1
2025-06-20,180.4,178.65,183.62,178.02,1391761.0,,3.14
2025-06-23,178.52,178.64,179.54,170.23,1555252.0,,5.21
2025-06-24,181.26,180.0,183.5,179.01,1209789.0,,2.51
2025-06-25,180.74,176.67,182.3,175.34,1119352.0,,3.87
2025-06-26,177.23,181.78,182.01,176.48,1011634.0,,3.13
2025-06-27,182.0,180.05,183.5,178.75,1899570.0,,2.61
2025-06-30,180.86,180.33,185.7,176.04,2062012.0,,5.37
2025-07-01,180.16,184.02,187.12,179.41,1720583.0,,4.28
2025-07-02,183.0,181.73,183.82,178.68,1095479.0,,2.79
2025-07-03,181.43,182.77,184.56,179.3,456118.0,,2.89
2025-07-07,180.88,173.42,182.2,170.3,1851411.0,,6.51
2025-07-08,173.93,171.28,177.17,171.28,1156631.0,,3.4
2025-07-09,173.32,169.19,173.85,167.76,1301792.0,,3.56
2025-07-10,169.5,166.71,170.44,166.32,1622458.0,,2.44
2025-07-11,167.52,165.09,167.52,162.4,1426178.0,,3.07
2025-07-14,165.9,165.38,168.34,163.03,1169760.0,,3.22
2025-07-15,165.36,164.51,167.99,162.29,1045986.0,,3.45
2025-07-16,165.12,166.18,167.96,164.45,1196198.0,,2.13
2025-07-17,166.2,165.13,167.97,162.31,1590864.0,,3.41
2025-07-18,165.0,161.8,166.24,159.95,1528186.0,,3.81
2025-07-21,162.48,162.69,165.0,161.0,1047398.0,,2.47
2025-07-22,162.54,161.3,163.02,159.15,1090804.0,,2.38
2025-07-23,161.45,160.51,165.54,159.36,1150658.0,,3.83
2025-07-24,159.51,152.32,159.51,151.76,1736083.0,,4.83
2025-07-25,153.0,153.5,153.93,151.35,872843.0,,1.69
2025-07-28,154.96,157.14,157.51,154.18,1094141.0,,2.17
2025-07-29,158.1,159.47,161.99,156.49,1763026.0,,3.5
2025-07-30,161.38,165.89,168.87,161.38,1300042.0,,4.7
2025-07-31,163.54,157.6,164.35,157.14,1254341.0,,4.35
2025-08-01,154.0,155.91,156.89,152.01,1455983.0,,3.1
2025-08-04,157.24,160.57,161.04,155.86,816958.0,,3.32
2025-08-05,160.15,158.68,161.31,158.26,814366.0,,1.9
2025-08-06,158.95,159.09,159.58,156.3,485222.0,,2.07
2025-08-07,159.94,159.48,161.12,156.9,840013.0,,2.65
2025-08-08,160.0,151.97,160.17,149.06,1356754.0,,6.97
2025-08-11,152.39,152.09,152.62,149.33,1559426.0,,2.16
2025-08-12,153.87,154.88,156.05,151.08,2065097.0,,3.27
2025-08-13,163.12,157.38,167.79,151.27,4331524.0,,10.67
2025-08-14,156.12,158.08,160.09,154.68,1812388.0,,3.44
