日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,65.2,63.66,66.67,63.45,5315529.0,,
2025-05-22,63.3,64.42,65.19,63.19,2927455.0,,3.14
2025-05-23,63.11,63.69,63.93,62.57,2537382.0,,2.11
2025-05-27,65.13,67.06,67.09,64.54,3758720.0,,4.0
2025-05-28,67.05,66.27,67.56,66.15,2650880.0,,2.1
2025-05-29,67.82,68.67,69.49,67.55,5816961.0,,2.93
2025-05-30,68.2,66.94,68.5,66.91,4619449.0,,2.32
2025-06-02,66.51,66.65,66.97,65.42,2530045.0,,2.32
2025-06-03,66.69,68.93,69.12,64.83,4211356.0,,6.44
2025-06-04,69.21,68.83,70.29,68.82,3081281.0,,2.13
2025-06-05,68.82,67.45,68.95,67.27,2456906.0,,2.44
2025-06-06,68.12,68.46,68.57,67.25,2264029.0,,1.96
2025-06-09,69.78,69.0,70.58,68.96,4188101.0,,2.37
2025-06-10,69.69,70.46,71.17,69.2,3180714.0,,2.86
2025-06-11,70.73,69.86,71.86,69.65,3181772.0,,3.14
2025-06-12,69.03,69.99,70.82,68.79,2649860.0,,2.91
2025-06-13,68.77,67.31,69.88,67.11,3201657.0,,3.96
2025-06-16,68.85,74.59,74.6,68.78,6399877.0,,8.65
2025-06-17,73.02,74.79,75.24,71.75,6569403.0,,4.68
2025-06-18,74.78,74.72,75.06,73.08,4884208.0,,2.65
2025-06-20,75.0,75.19,75.42,74.28,5265437.0,,1.53
2025-06-23,77.36,78.83,79.25,76.5,6611185.0,,3.66
2025-06-24,79.65,77.05,80.06,76.1,8579988.0,,5.02
2025-06-25,76.51,77.56,78.06,75.63,3718331.0,,3.15
2025-06-26,78.11,79.03,79.32,77.44,4245926.0,,2.42
2025-06-27,81.5,80.09,83.43,79.7,10753434.0,,4.72
2025-06-30,80.1,80.8,81.23,79.14,4377697.0,,2.61
2025-07-01,80.75,85.11,85.67,80.4,6024823.0,,6.52
2025-07-02,85.08,88.58,89.25,84.5,6990161.0,,5.58
2025-07-03,89.02,88.72,89.86,87.92,2288201.0,,2.19
