日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,108.81,109.11,111.08,108.22,1589290.0,,
2025-05-22,108.17,110.03,111.96,108.0,1468310.0,,3.63
2025-05-23,105.35,107.27,108.51,105.11,1104901.0,,3.09
2025-05-27,109.17,116.1,116.12,109.17,2219929.0,,6.48
2025-05-28,117.11,113.76,117.11,113.65,1419885.0,,2.98
2025-05-29,116.7,116.67,118.95,114.81,1695977.0,,3.64
2025-05-30,115.11,116.57,116.79,114.22,1510844.0,,2.2
2025-06-02,116.78,117.51,117.9,113.41,1385015.0,,3.85
2025-06-03,119.5,122.21,123.37,118.74,2078044.0,,3.94
2025-06-04,120.48,121.24,122.57,119.06,4206005.0,,2.87
2025-06-05,131.9,128.02,137.3,125.07,6214928.0,,10.09
2025-06-06,127.58,127.35,128.46,124.39,1593172.0,,3.18
2025-06-09,128.96,126.22,129.0,126.11,1272373.0,,2.27
2025-06-10,126.17,123.45,126.58,122.38,1628354.0,,3.33
2025-06-11,124.51,125.03,126.17,122.73,1465291.0,,2.79
2025-06-12,124.29,125.98,126.45,123.53,936565.0,,2.34
2025-06-13,123.64,121.83,126.44,121.12,1342028.0,,4.22
2025-06-16,123.6,126.47,126.66,121.99,1300260.0,,3.83
2025-06-17,124.95,123.84,126.44,123.55,1199494.0,,2.29
2025-06-18,123.38,123.18,126.1,122.86,1077431.0,,2.62
2025-06-20,123.82,123.35,124.57,121.68,1462045.0,,2.35
2025-06-23,122.1,124.41,125.58,121.11,1361553.0,,3.62
2025-06-24,125.57,124.28,126.45,123.25,721740.0,,2.57
2025-06-25,125.46,128.13,128.15,124.73,1235208.0,,2.75
2025-06-26,129.0,129.92,132.87,128.5,1409938.0,,3.41
2025-06-27,130.12,130.61,133.33,129.04,2179378.0,,3.3
2025-06-30,131.44,131.18,131.96,129.1,743275.0,,2.19
2025-07-01,130.04,133.16,134.32,130.04,1282805.0,,3.26
2025-07-02,132.83,131.39,132.91,128.53,1562141.0,,3.29
2025-07-03,131.65,132.54,133.24,130.41,673761.0,,2.15
2025-07-07,131.65,129.3,132.0,128.46,1326564.0,,2.67
2025-07-08,129.2,128.78,130.34,126.1,1317339.0,,3.28
2025-07-09,128.58,128.79,130.51,127.58,1074727.0,,2.28
2025-07-10,129.88,130.18,132.72,129.25,935249.0,,2.69
2025-07-11,129.09,129.46,131.6,129.09,972090.0,,1.93
2025-07-14,129.51,134.31,134.35,127.87,1050681.0,,5.01
2025-07-15,134.5,132.09,136.0,131.79,1538191.0,,3.13
2025-07-16,132.99,136.44,136.54,131.61,1409738.0,,3.73
2025-07-17,136.78,139.67,141.42,136.7,1865296.0,,3.46
2025-07-18,140.05,139.97,140.46,137.8,1396816.0,,1.9
2025-07-21,140.89,139.92,142.13,137.47,1281365.0,,3.33
2025-07-22,139.86,139.7,141.17,136.43,1406921.0,,3.39
2025-07-23,140.38,139.37,140.51,137.09,877270.0,,2.45
2025-07-24,139.39,137.04,139.85,136.51,810786.0,,2.4
2025-07-25,137.62,138.67,140.07,137.13,753699.0,,2.15
2025-07-28,140.1,142.45,142.99,139.15,1127733.0,,2.77
2025-07-29,142.5,139.41,143.88,138.38,1392953.0,,3.86
2025-07-30,140.07,138.9,140.78,135.56,924270.0,,3.74
2025-07-31,139.09,136.52,139.09,135.24,889591.0,,2.77
2025-08-01,134.45,133.16,136.05,130.0,1246631.0,,4.43
2025-08-04,135.5,136.53,136.66,134.28,976211.0,,1.79
2025-08-05,136.75,135.81,139.13,135.03,736044.0,,3.0
2025-08-06,135.9,135.53,136.46,134.22,737910.0,,1.65
2025-08-07,135.81,132.71,136.8,131.91,1332791.0,,3.61
2025-08-08,133.6,133.52,134.62,132.02,721830.0,,1.96
2025-08-11,134.38,131.94,136.26,131.4,987618.0,,3.64
2025-08-12,135.93,137.98,138.6,133.99,1196289.0,,3.49
2025-08-13,138.21,138.3,139.73,137.16,991599.0,,1.86
2025-08-14,134.77,134.36,135.19,131.52,1005982.0,,2.65
2025-08-15,134.12,135.03,135.12,132.0,743982.0,,2.32
2025-08-18,135.18,141.88,141.93,134.9,1359880.0,,5.21
2025-08-19,141.22,141.48,143.0,139.75,1140286.0,,2.29
2025-08-20,139.98,139.28,141.46,138.0,1395591.0,,2.45
2025-08-21,138.45,141.78,141.98,136.23,1166071.0,,4.13
2025-08-22,141.69,141.81,144.68,139.75,1182020.0,,3.48
2025-08-25,141.82,140.49,143.66,140.39,928016.0,,2.31
2025-08-26,140.53,141.98,143.66,140.29,1179553.0,,2.4
2025-08-27,142.14,144.41,146.66,142.07,2745845.0,,3.23
2025-08-28,150.23,150.03,154.3,146.3,4083714.0,,5.54
2025-08-29,149.25,145.1,149.38,141.81,2077833.0,,5.05
2025-09-02,143.86,149.77,150.27,141.87,1432327.0,,5.79
2025-09-03,148.0,150.98,151.42,148.0,1067657.0,,2.28
2025-09-04,151.3,152.8,154.49,151.04,1428084.0,,2.29
2025-09-05,154.35,153.4,155.34,151.68,1358590.0,,2.4
2025-09-08,153.65,151.31,154.02,150.02,1400652.0,,2.61
2025-09-09,150.0,142.96,150.16,140.65,2031222.0,,6.29
2025-09-10,142.69,146.0,146.8,140.99,981146.0,,4.06
2025-09-11,146.93,145.77,147.43,144.47,884777.0,,2.03
2025-09-12,144.61,139.9,145.28,138.4,1477707.0,,4.72
2025-09-15,141.88,146.96,149.89,140.91,1737019.0,,6.42
2025-09-16,144.7,149.06,149.17,144.7,1356578.0,,3.04
2025-09-17,148.96,148.58,153.0,148.23,1449866.0,,3.2
2025-09-18,150.0,155.44,155.82,150.0,1368668.0,,3.92
2025-09-19,155.19,151.99,155.19,150.48,2241096.0,,3.03
2025-09-22,151.5,153.79,153.87,150.79,1048770.0,,2.03
2025-09-23,153.59,154.84,156.5,152.34,1051629.0,,2.7
2025-09-24,154.7,154.18,156.33,152.52,897850.0,,2.46
2025-09-25,151.93,151.72,154.15,150.28,1018750.0,,2.51
2025-09-26,151.75,154.76,155.46,151.73,712376.0,,2.46
2025-09-29,156.39,155.32,156.39,152.67,1351078.0,,2.4
2025-09-30,155.79,154.7,156.51,152.64,915784.0,,2.49
2025-10-01,153.97,155.18,156.46,150.8,1143051.0,,3.66
2025-10-02,154.94,156.65,157.2,154.13,895598.0,,1.98
2025-10-03,157.5,156.05,157.54,153.16,1120671.0,,2.8
2025-10-06,155.88,153.67,156.8,152.12,1079709.0,,3.0
2025-10-07,153.56,148.5,153.89,144.52,2073763.0,,6.1
2025-10-08,148.22,153.76,154.75,147.7,942828.0,,4.75
2025-10-09,153.53,150.96,155.59,150.68,962436.0,,3.19
2025-10-10,151.5,138.49,152.25,137.77,3053926.0,,9.59
2025-10-13,146.1,151.18,152.41,145.65,2129477.0,,4.88
2025-10-14,148.92,150.0,151.98,146.1,917534.0,,3.89
2025-10-15,153.61,152.58,155.3,150.5,1140650.0,,3.2
2025-10-16,151.86,151.96,154.46,149.37,953678.0,,3.34
2025-10-17,151.8,154.24,154.48,151.01,811711.0,,2.28
2025-10-20,157.63,156.15,159.93,156.0,1138374.0,,2.55
2025-10-21,153.95,152.84,156.6,152.6,655528.0,,2.56
2025-10-22,152.85,151.5,154.3,150.95,1071635.0,,2.19
2025-10-23,151.09,157.09,158.52,151.09,1023123.0,,4.9
2025-10-24,156.02,156.29,158.75,155.45,835697.0,,2.1
2025-10-27,163.47,160.25,168.98,159.4,1027365.0,,6.13
2025-10-28,160.05,160.67,164.98,156.5,1085727.0,,5.29
2025-10-29,160.0,161.57,162.63,159.47,1022137.0,,1.97
2025-10-30,161.38,156.81,162.01,155.7,929715.0,,3.91
2025-10-31,156.15,157.27,159.14,155.28,1095917.0,,2.46
2025-11-03,155.56,158.44,159.57,153.64,1175431.0,,3.77
2025-11-04,154.37,156.37,157.46,153.51,966384.0,,2.49
2025-11-05,155.94,155.94,161.99,152.03,1380206.0,,6.37
2025-11-06,154.18,150.24,155.19,149.2,1034816.0,,3.84
2025-11-07,147.57,152.28,153.11,145.0,1129344.0,,5.4
2025-11-10,155.54,152.49,156.97,149.68,1035004.0,,4.79
2025-11-11,150.21,150.07,151.23,145.12,1200067.0,,4.01
2025-11-12,151.61,152.74,154.26,150.17,1078366.0,,2.73
2025-11-13,151.85,147.06,153.29,145.7,1310816.0,,4.97
2025-11-14,143.91,147.05,149.82,143.02,730826.0,,4.62
2025-11-17,148.73,147.72,151.07,145.16,1007248.0,,4.02
2025-11-18,144.72,147.51,150.37,144.19,1029530.0,,4.18
2025-11-19,147.9,148.35,151.33,145.73,1095373.0,,3.8
2025-11-20,151.93,149.19,156.11,149.05,1362263.0,,4.76
2025-11-21,149.39,155.03,157.31,149.39,1565469.0,,5.31
2025-11-24,157.67,157.33,160.27,156.0,1170602.0,,2.75
