日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,377.98,370.84,378.33,368.6,3966046.0,,
2025-05-22,368.0,366.13,369.23,364.57,2957341.0,,1.26
2025-05-23,362.38,362.71,364.72,361.15,3115209.0,,0.98
2025-05-27,365.89,370.4,370.55,365.16,3998471.0,,1.49
2025-05-28,368.82,368.06,371.15,367.43,2986141.0,,1.0
2025-05-29,370.0,368.29,370.35,364.06,3035069.0,,1.71
2025-05-30,367.05,368.29,369.64,365.12,4110587.0,,1.23
2025-06-02,365.15,367.96,368.04,361.84,2507113.0,,1.68
2025-06-03,367.96,373.08,373.54,367.0,3359541.0,,1.78
2025-06-04,373.08,372.4,375.37,371.66,2429139.0,,0.99
2025-06-05,370.99,369.28,371.56,367.51,2324772.0,,1.09
2025-06-06,371.51,367.33,372.65,365.97,2349978.0,,1.81
2025-06-09,367.32,365.2,367.35,364.36,2619747.0,,0.81
2025-06-10,365.94,367.91,368.55,362.55,3014922.0,,1.64
2025-06-11,369.14,360.46,369.14,359.31,3793526.0,,2.67
2025-06-12,360.81,363.16,365.07,358.51,2921924.0,,1.82
2025-06-13,360.0,354.66,362.79,352.8,3364429.0,,2.75
2025-06-16,355.88,353.56,357.11,351.9,3688615.0,,1.47
2025-06-17,351.94,348.78,354.29,347.41,4230115.0,,1.95
2025-06-18,350.08,347.03,350.9,345.8,4454226.0,,1.46
2025-06-20,347.49,349.62,351.21,346.82,8056469.0,,1.27
2025-06-23,349.97,356.96,357.07,348.52,3862430.0,,2.45
2025-06-24,356.67,360.42,361.71,355.78,4089980.0,,1.66
2025-06-25,359.12,361.86,363.6,358.34,4159595.0,,1.46
2025-06-26,363.22,363.5,365.23,360.6,3187863.0,,1.28
2025-06-27,363.61,368.74,370.15,363.0,5503743.0,,1.97
2025-06-30,369.28,366.64,370.95,364.72,4601082.0,,1.69
2025-07-01,364.34,373.16,379.69,362.95,5152607.0,,4.57
2025-07-02,373.65,371.85,373.97,369.37,3011753.0,,1.23
2025-07-03,371.81,371.68,373.18,368.33,2573629.0,,1.3
2025-07-07,371.0,367.64,372.79,364.73,3433082.0,,2.17
2025-07-08,366.02,367.5,370.4,365.11,2531665.0,,1.44
2025-07-09,367.51,371.04,371.07,364.79,3384213.0,,1.71
2025-07-10,369.0,373.3,377.94,368.51,3703252.0,,2.54
2025-07-11,370.36,370.07,371.8,367.11,3069180.0,,1.26
2025-07-14,370.48,370.11,371.29,366.45,2481246.0,,1.31
2025-07-15,369.98,358.64,370.75,358.52,3868709.0,,3.3
2025-07-16,359.86,357.4,360.95,352.46,4260231.0,,2.37
2025-07-17,356.54,359.04,360.32,354.66,3128898.0,,1.58
2025-07-18,359.98,359.4,360.6,356.97,3361947.0,,1.01
2025-07-21,360.72,364.04,365.78,359.84,3504271.0,,1.65
2025-07-22,364.48,371.01,372.2,363.72,3095403.0,,2.33
2025-07-23,371.7,376.35,377.88,371.55,3237986.0,,1.71
2025-07-24,375.48,373.09,377.88,372.26,3087956.0,,1.49
2025-07-25,374.66,375.34,375.99,373.05,2221069.0,,0.79
2025-07-28,373.74,377.23,381.08,372.98,4062765.0,,2.16
2025-07-29,377.0,377.34,379.73,374.77,2931556.0,,1.31
2025-07-30,377.68,372.08,378.53,369.63,3110713.0,,2.36
2025-07-31,369.17,367.51,372.81,366.84,3091551.0,,1.6
2025-08-01,367.82,373.66,374.8,365.75,3008213.0,,2.46
2025-08-04,374.84,380.82,381.9,373.69,2844503.0,,2.2
2025-08-05,381.86,385.41,386.94,380.96,2931372.0,,1.57
2025-08-06,386.08,386.8,388.93,384.52,2812786.0,,1.14
2025-08-07,388.62,386.17,391.45,383.36,2433149.0,,2.09
2025-08-08,387.08,387.85,389.29,386.2,2327103.0,,0.8
2025-08-11,389.98,387.53,391.52,383.3,2605831.0,,2.12
2025-08-12,391.42,396.0,396.38,389.0,2911782.0,,1.9
2025-08-13,399.49,407.18,407.82,398.75,5187545.0,,2.29
2025-08-14,401.2,400.32,403.61,399.36,3600209.0,,1.04
2025-08-15,402.21,399.38,402.79,395.43,3841399.0,,1.84
2025-08-18,396.57,394.7,398.14,392.51,4407109.0,,1.41
2025-08-19,401.02,407.2,414.36,401.02,7629320.0,,3.38
2025-08-20,409.68,401.74,411.17,401.67,4195307.0,,2.33
2025-08-21,399.91,397.7,404.43,396.17,2942885.0,,2.06
2025-08-22,400.87,412.79,414.5,398.31,5284691.0,,4.07
2025-08-25,410.36,408.9,411.07,407.55,3579487.0,,0.85
2025-08-26,408.0,407.54,409.04,404.71,3180878.0,,1.06
2025-08-27,408.79,408.24,411.69,407.2,2487808.0,,1.1
2025-08-28,407.0,407.45,408.95,404.81,4051838.0,,1.01
