日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,30.07,29.42,30.13,29.38,3265830.0,,
2025-05-22,29.29,29.45,29.53,28.99,3261121.0,,1.84
2025-05-23,29.45,29.44,29.56,29.0,2770830.0,,1.9
2025-05-27,29.8,30.2,30.26,29.67,4867574.0,,2.0
2025-05-28,30.32,30.04,30.45,29.81,4251516.0,,2.12
2025-05-29,29.31,30.38,30.49,28.77,6055483.0,,5.73
2025-05-30,30.52,30.68,30.86,30.35,4464431.0,,1.68
2025-06-02,30.44,30.85,30.85,30.4,3431126.0,,1.47
2025-06-03,30.71,30.85,31.18,30.58,2921304.0,,1.94
2025-06-04,30.9,30.7,30.95,30.56,2566910.0,,1.26
2025-06-05,30.68,30.71,30.92,30.52,2837967.0,,1.3
2025-06-06,30.79,30.66,30.92,30.37,2049743.0,,1.79
2025-06-09,30.53,31.19,31.22,30.52,2933143.0,,2.28
2025-06-10,31.26,31.15,31.43,30.96,2371781.0,,1.51
2025-06-11,31.17,30.93,31.17,30.79,2703210.0,,1.22
2025-06-12,30.96,31.05,31.07,30.72,1766744.0,,1.13
2025-06-13,31.0,30.58,31.18,30.5,1980234.0,,2.19
2025-06-16,30.7,30.28,30.81,30.08,2133306.0,,2.39
2025-06-17,30.16,30.06,30.39,29.98,2140978.0,,1.35
2025-06-18,30.05,30.16,30.26,29.88,2511478.0,,1.26
2025-06-20,30.12,30.41,30.53,30.11,7404215.0,,1.39
2025-06-23,30.76,30.85,31.11,30.63,3746038.0,,1.58
2025-06-24,30.72,30.4,30.79,30.36,3699295.0,,1.39
2025-06-25,30.06,29.84,30.15,29.72,3790131.0,,1.41
2025-06-26,29.96,30.25,30.38,29.96,2571142.0,,1.41
2025-06-27,30.25,30.47,30.51,30.19,3848846.0,,1.06
2025-06-30,30.39,30.25,30.62,29.97,2979498.0,,2.13
2025-07-01,30.25,30.7,31.11,30.25,2830830.0,,2.84
2025-07-02,30.66,30.81,30.92,30.56,2679910.0,,1.17
2025-07-03,30.89,30.47,30.9,30.37,2548050.0,,1.72
2025-07-07,30.41,30.51,30.55,30.14,2602282.0,,1.35
2025-07-08,30.32,31.1,31.17,30.3,3261995.0,,2.85
2025-07-09,31.1,31.27,31.36,30.89,3778295.0,,1.51
2025-07-10,31.09,31.54,31.86,30.99,3102609.0,,2.78
2025-07-11,31.54,30.51,31.54,29.83,8333564.0,,5.42
2025-07-14,30.16,29.77,30.28,29.46,6466844.0,,2.69
2025-07-15,29.75,29.21,29.8,29.2,3614933.0,,2.02
2025-07-16,29.26,29.91,29.95,29.22,4336243.0,,2.5
2025-07-17,30.0,29.68,30.09,29.32,3134202.0,,2.57
2025-07-18,29.68,29.14,29.72,29.06,3128572.0,,2.22
2025-07-21,29.16,28.89,29.35,28.86,1954279.0,,1.68
2025-07-22,28.99,29.45,29.54,28.91,1879472.0,,2.18
2025-07-23,29.54,29.52,29.78,29.39,2456942.0,,1.32
2025-07-24,29.53,29.3,29.63,29.26,2040826.0,,1.25
2025-07-25,29.3,29.24,29.33,29.07,1986397.0,,0.89
2025-07-28,29.11,28.55,29.11,28.54,3198891.0,,1.95
2025-07-29,28.6,28.7,28.9,28.49,2549278.0,,1.44
2025-07-30,28.65,28.29,28.81,28.22,2907061.0,,2.06
2025-07-31,28.05,28.09,28.3,27.95,4744475.0,,1.24
2025-08-01,28.3,28.12,28.38,27.78,3709980.0,,2.14
2025-08-04,28.19,28.22,28.35,28.09,2445288.0,,0.92
2025-08-05,28.28,28.3,28.41,28.11,3253084.0,,1.06
2025-08-06,28.32,28.26,28.4,28.14,2527685.0,,0.92
2025-08-07,28.37,28.55,28.56,27.9,3402491.0,,2.34
2025-08-08,28.55,28.48,28.65,28.38,1862647.0,,0.95
2025-08-11,28.61,28.58,28.68,28.35,2436004.0,,1.16
2025-08-12,28.49,28.76,28.93,28.49,3181266.0,,1.54
2025-08-13,28.76,28.97,29.14,28.62,2638091.0,,1.81
2025-08-14,28.88,28.3,28.96,28.3,3234256.0,,2.28
2025-08-15,28.39,28.48,28.55,28.31,7569307.0,,0.85
2025-08-18,28.49,28.28,28.49,28.18,3189226.0,,1.09
2025-08-19,28.42,28.41,28.44,28.09,3777665.0,,1.24
2025-08-20,29.0,28.64,29.33,28.6,3931534.0,,2.57
2025-08-21,28.5,28.91,28.99,28.42,3262356.0,,1.99
2025-08-22,29.03,29.25,29.35,28.99,2258824.0,,1.25
2025-08-25,29.17,28.87,29.18,28.82,2896652.0,,1.23
2025-08-26,28.8,28.76,28.85,28.61,2965871.0,,0.83
2025-08-27,28.75,29.02,29.1,28.64,4647965.0,,1.6
2025-08-28,24.78,25.22,25.6,23.71,17411444.0,,6.51
2025-08-29,25.25,25.44,25.82,25.24,7784931.0,,2.3
2025-09-02,25.47,25.03,25.77,24.96,6862882.0,,3.18
2025-09-03,25.0,25.35,25.47,24.95,5709247.0,,2.08
2025-09-04,25.36,25.24,25.45,25.07,3889819.0,,1.5
2025-09-05,25.26,25.66,25.77,25.22,3326098.0,,2.18
2025-09-08,25.56,25.5,25.74,25.37,3758100.0,,1.44
2025-09-09,25.43,25.52,25.59,25.35,2680348.0,,0.94
2025-09-10,25.43,24.97,25.43,24.73,4482907.0,,2.74
2025-09-11,24.93,25.42,25.48,24.9,3109482.0,,2.32
2025-09-12,25.4,25.08,25.43,25.07,2397354.0,,1.42
2025-09-15,25.12,24.73,25.22,24.67,4119311.0,,2.19
