日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,34.22,33.65,34.3,33.55,8321355.0,,
2025-05-22,33.6,33.69,33.97,33.28,8963608.0,,2.05
2025-05-23,33.25,33.35,33.54,33.1,6530919.0,,1.31
2025-05-27,32.87,32.54,32.89,32.45,11839533.0,,1.32
2025-05-28,32.18,31.58,32.2,31.56,13150800.0,,1.97
2025-05-29,32.99,32.94,33.12,32.53,18270986.0,,1.87
2025-05-30,32.49,32.41,32.63,31.98,11037470.0,,1.97
2025-06-02,32.59,32.86,32.9,32.45,6943063.0,,1.39
2025-06-03,32.62,32.41,32.67,32.25,7013132.0,,1.28
2025-06-04,32.78,33.33,33.5,32.75,11293732.0,,2.31
2025-06-05,33.51,33.09,33.51,32.9,10187585.0,,1.83
2025-06-06,32.89,33.12,33.15,32.7,8489730.0,,1.36
2025-06-09,34.05,33.94,34.12,33.6,11381435.0,,1.57
2025-06-10,33.96,33.79,33.96,33.47,6061680.0,,1.44
2025-06-11,34.24,33.73,34.31,33.7,6792168.0,,1.81
2025-06-12,33.58,33.61,33.8,33.49,5265872.0,,0.92
2025-06-13,32.99,32.76,33.18,32.63,6847223.0,,1.64
2025-06-16,33.18,33.48,33.79,33.18,9697838.0,,1.86
2025-06-17,33.56,33.17,33.9,33.17,7943287.0,,2.18
2025-06-18,32.84,32.5,32.84,32.31,9966106.0,,1.6
2025-06-20,32.12,31.44,32.12,31.36,16387892.0,,2.34
2025-06-23,31.5,31.59,31.69,31.27,9278678.0,,1.34
2025-06-24,32.32,32.58,32.79,32.1,10894282.0,,2.18
2025-06-25,33.03,32.94,33.28,32.76,8387230.0,,1.6
2025-06-26,33.13,33.26,33.29,32.88,6795936.0,,1.24
2025-06-27,33.27,33.07,33.27,32.91,7636421.0,,1.08
2025-06-30,32.56,32.64,32.68,32.18,7922906.0,,1.51
2025-07-01,32.44,32.7,32.96,32.19,6415475.0,,2.36
2025-07-02,32.59,32.47,32.59,32.01,10078880.0,,1.77
2025-07-03,31.99,32.07,32.3,31.92,5948477.0,,1.17
2025-07-07,31.88,32.02,32.52,31.85,6779728.0,,2.09
2025-07-08,32.49,32.7,33.18,32.45,8190382.0,,2.28
2025-07-09,32.06,31.6,32.07,31.4,12983558.0,,2.05
2025-07-10,31.37,31.22,31.45,31.13,10081104.0,,1.01
2025-07-11,31.36,31.1,31.51,31.05,7774208.0,,1.47
2025-07-14,31.02,30.8,31.11,30.71,8442754.0,,1.29
2025-07-15,31.75,32.04,32.2,31.56,16352709.0,,2.08
2025-07-16,31.78,31.64,31.8,31.36,7506649.0,,1.37
2025-07-17,31.6,32.69,32.81,31.56,12359306.0,,3.95
2025-07-18,34.0,33.92,34.54,33.65,23776777.0,,2.72
2025-07-21,33.55,33.4,33.88,33.16,10481438.0,,2.12
2025-07-22,33.49,33.88,33.99,33.18,10338589.0,,2.43
2025-07-23,34.25,33.93,34.32,33.83,8726203.0,,1.45
2025-07-24,33.93,33.47,33.98,33.31,7713781.0,,1.97
2025-07-25,33.15,33.18,33.31,32.98,4898006.0,,0.99
2025-07-28,33.38,33.22,33.65,33.06,5788343.0,,1.78
2025-07-29,33.2,32.22,33.27,32.13,11111479.0,,3.43
2025-07-30,32.06,31.75,32.17,31.58,9185088.0,,1.83
2025-07-31,31.27,31.49,31.91,31.08,12633630.0,,2.61
2025-08-01,31.12,30.91,31.17,30.6,11472684.0,,1.81
2025-08-04,31.47,31.62,31.66,31.17,9410715.0,,1.59
2025-08-05,31.4,31.34,31.61,31.31,5967147.0,,0.95
2025-08-06,31.29,31.34,31.42,30.97,4616654.0,,1.44
2025-08-07,31.66,31.75,31.83,31.52,4975833.0,,0.99
2025-08-08,31.42,31.49,31.5,31.19,4302804.0,,0.98
2025-08-11,31.23,31.18,31.56,31.05,7617970.0,,1.62
2025-08-12,31.46,32.12,32.2,31.41,8489073.0,,2.53
2025-08-13,32.73,32.51,32.8,32.12,16590568.0,,2.12
2025-08-14,31.9,31.58,32.77,31.16,24556776.0,,4.95
2025-08-15,31.12,31.7,31.81,31.12,14059807.0,,2.18
2025-08-18,31.99,31.77,32.48,31.68,9849970.0,,2.52
2025-08-19,31.52,31.24,31.85,31.13,8780074.0,,2.27
2025-08-20,31.26,31.17,31.45,30.96,7150407.0,,1.57
2025-08-21,30.98,31.18,31.3,30.95,5007992.0,,1.12
2025-08-22,31.31,31.88,31.96,31.2,12016228.0,,2.44
2025-08-25,32.22,31.99,32.43,31.99,9985576.0,,1.38
2025-08-26,32.1,31.81,32.37,31.76,5606213.0,,1.91
2025-08-27,30.8,30.82,30.88,30.55,16777306.0,,1.04
2025-08-28,30.13,30.39,30.45,29.9,18320573.0,,1.78
2025-08-29,30.76,31.07,31.34,30.5,18807393.0,,2.76
2025-09-02,30.55,31.58,31.62,30.21,16122211.0,,4.54
2025-09-03,31.0,31.2,31.33,30.87,9620810.0,,1.46
2025-09-04,31.02,30.93,31.14,30.61,13222479.0,,1.7
2025-09-05,31.39,31.45,31.45,30.96,13863245.0,,1.58
2025-09-08,31.66,32.85,32.87,31.6,21711589.0,,4.04
2025-09-09,33.02,33.87,33.93,32.75,27784503.0,,3.59
2025-09-10,33.87,33.32,33.88,33.08,20033880.0,,2.36
2025-09-11,33.33,34.4,34.46,33.27,23507984.0,,3.57
2025-09-12,34.24,33.67,34.27,33.61,20314018.0,,1.92
2025-09-15,34.21,33.62,34.32,33.37,19129591.0,,2.82
2025-09-16,33.47,34.71,34.94,33.14,27885428.0,,5.35
2025-09-17,35.45,35.24,35.69,34.55,31709686.0,,3.28
2025-09-18,34.73,35.38,35.58,34.52,26354209.0,,3.01
2025-09-19,35.73,35.1,36.06,35.06,28939064.0,,2.83
2025-09-22,34.84,33.93,34.91,33.86,21413797.0,,2.99
2025-09-23,33.41,32.94,34.15,32.92,20467919.0,,3.63
2025-09-24,34.11,34.83,35.8,33.87,34013513.0,,5.86
2025-09-25,35.34,35.17,35.75,34.4,22362302.0,,3.88
2025-09-26,34.79,34.5,35.03,34.18,14737538.0,,2.42
2025-09-29,35.29,35.64,35.7,35.12,16570500.0,,1.68
2025-09-30,35.65,34.98,35.95,34.71,25025988.0,,3.48
2025-10-01,35.3,36.17,36.33,35.22,21279546.0,,3.17
2025-10-02,36.75,35.98,36.86,35.85,21720498.0,,2.79
2025-10-03,36.16,35.4,36.23,35.07,15225021.0,,3.22
2025-10-06,35.28,35.91,36.08,35.11,11856827.0,,2.74
2025-10-07,36.04,34.89,36.14,34.72,14372374.0,,3.95
2025-10-08,34.81,34.98,35.11,34.24,12424665.0,,2.49
2025-10-09,34.9,33.97,34.98,33.75,17371890.0,,3.52
2025-10-10,33.88,31.85,34.19,31.35,38090130.0,,8.36
2025-10-13,32.92,33.25,33.59,32.61,24982503.0,,3.08
2025-10-14,32.5,32.71,33.03,32.18,12008335.0,,2.56
2025-10-15,33.09,33.14,33.5,32.85,11346831.0,,1.99
2025-10-16,33.22,32.74,33.41,32.67,7938769.0,,2.23
2025-10-17,32.35,33.07,33.34,32.16,9941270.0,,3.6
2025-10-20,33.0,33.76,33.9,32.58,14131706.0,,3.99
2025-10-21,33.01,32.83,33.17,32.76,9309873.0,,1.21
2025-10-22,32.61,32.46,32.87,32.17,9981401.0,,2.13
2025-10-23,32.9,33.18,33.38,32.82,10962017.0,,1.73
2025-10-24,33.48,33.19,33.55,33.04,8421720.0,,1.54
2025-10-27,34.22,34.2,34.38,34.04,10583283.0,,1.02
2025-10-28,33.99,34.53,34.77,33.82,12463938.0,,2.78
2025-10-29,35.02,34.36,35.06,34.11,10322636.0,,2.75
2025-10-30,33.25,33.37,33.75,33.06,10339883.0,,2.01
2025-10-31,32.91,33.04,33.26,32.66,8086654.0,,1.8
2025-11-03,33.0,32.78,33.0,32.3,7712008.0,,2.12
2025-11-04,31.84,31.82,32.36,31.68,11183195.0,,2.07
2025-11-05,31.89,32.04,32.09,31.64,7422789.0,,1.41
2025-11-06,32.52,31.95,32.67,31.72,8388577.0,,2.97
2025-11-07,31.39,31.79,31.9,30.95,10591318.0,,2.97
2025-11-10,31.49,31.41,31.53,31.08,13963573.0,,1.42
2025-11-11,31.82,31.61,31.93,31.43,10870611.0,,1.59
2025-11-12,31.93,31.25,31.93,31.11,14927498.0,,2.59
2025-11-13,31.45,30.71,31.8,30.18,31428175.0,,5.18
2025-11-14,29.56,29.31,30.1,29.01,30566465.0,,3.55
2025-11-17,29.43,29.54,30.15,29.37,16398318.0,,2.66
2025-11-18,29.1,29.45,29.74,29.02,11462056.0,,2.44
2025-11-19,29.27,28.88,29.43,28.72,13343345.0,,2.41
2025-11-20,29.07,28.39,29.5,28.34,13790306.0,,4.02
2025-11-21,28.26,28.93,29.11,28.21,11966744.0,,3.17
2025-11-24,28.94,29.06,29.17,28.77,11968574.0,,1.38
2025-11-25,29.1,29.14,29.38,28.94,10999842.0,,1.51
2025-11-26,29.48,29.42,29.73,29.01,12656973.0,,2.47
2025-11-28,29.85,29.83,29.99,29.74,6417237.0,,0.85
2025-12-01,29.95,29.89,30.14,29.89,10819710.0,,0.84
2025-12-02,29.8,30.05,30.16,29.61,5958974.0,,1.84
2025-12-03,29.69,29.87,30.02,29.6,5206686.0,,1.4
2025-12-04,29.88,29.74,30.02,29.69,6441130.0,,1.1
2025-12-05,29.98,29.9,30.14,29.85,5238848.0,,0.98
2025-12-08,29.86,29.92,30.03,29.75,6452736.0,,0.94
2025-12-09,29.13,29.7,29.72,29.11,8579202.0,,2.04
2025-12-10,29.57,29.61,29.9,29.57,7067187.0,,1.11
2025-12-11,29.43,29.54,29.61,29.3,8783543.0,,1.05
2025-12-12,29.61,29.44,29.93,29.31,7582426.0,,2.1
2025-12-15,29.32,28.85,29.38,28.84,7265222.0,,1.83
2025-12-16,28.44,28.85,28.86,28.32,8175541.0,,1.87
2025-12-17,28.93,28.6,29.18,28.56,6603834.0,,2.15
2025-12-18,28.91,28.8,29.09,28.78,6832441.0,,1.08
2025-12-19,28.64,28.82,29.0,28.61,9963780.0,,1.35
