日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,28.11,26.63,28.11,26.62,21072921.0,,
2025-05-22,26.64,26.5,26.64,26.18,16284446.0,,1.73
2025-05-23,26.49,26.3,26.52,26.01,10300135.0,,1.92
2025-05-27,26.48,26.83,26.84,26.38,11200908.0,,1.75
2025-05-28,26.83,26.54,26.88,26.46,9098193.0,,1.57
2025-05-29,26.55,27.02,27.03,26.54,12549834.0,,1.85
2025-05-30,26.57,26.73,26.89,26.51,17519467.0,,1.41
2025-06-02,26.65,26.63,26.74,26.33,10484186.0,,1.53
2025-06-03,26.5,26.79,26.92,26.22,13357081.0,,2.63
2025-06-04,26.86,26.7,26.98,26.68,14246932.0,,1.12
2025-06-05,26.66,26.62,26.74,26.41,11703166.0,,1.24
2025-06-06,26.72,26.73,26.91,26.57,6556189.0,,1.28
2025-06-09,26.71,26.48,26.76,26.25,12632834.0,,1.91
2025-06-10,26.5,26.59,26.81,26.36,10787161.0,,1.7
2025-06-11,26.53,26.42,26.65,26.31,10180021.0,,1.28
2025-06-12,26.4,26.46,26.47,26.17,7437375.0,,1.14
2025-06-13,26.42,26.08,26.8,26.04,12764155.0,,2.87
2025-06-16,26.12,25.79,26.21,25.53,13461246.0,,2.61
2025-06-17,25.82,25.75,26.11,25.69,13994258.0,,1.63
2025-06-18,25.7,25.68,25.97,25.59,12394898.0,,1.48
2025-06-20,25.79,25.8,26.12,25.62,24954349.0,,1.95
2025-06-23,25.82,25.92,26.08,25.62,15043855.0,,1.78
2025-06-24,25.95,26.03,26.1,25.79,13082722.0,,1.2
2025-06-25,26.0,25.73,26.04,25.68,17547353.0,,1.38
2025-06-26,25.84,25.79,26.2,25.69,16070985.0,,1.98
2025-06-27,25.85,25.61,25.92,25.44,34119274.0,,1.86
2025-06-30,25.63,25.82,25.87,25.5,18624283.0,,1.44
2025-07-01,25.86,26.61,26.87,25.83,23442279.0,,4.03
2025-07-02,26.66,27.06,27.12,26.51,17011567.0,,2.29
2025-07-03,27.09,26.66,27.15,26.58,9176852.0,,2.11
2025-07-07,26.6,26.08,26.67,25.98,13326554.0,,2.59
2025-07-08,26.06,26.43,26.64,25.94,12625389.0,,2.68
2025-07-09,26.46,26.45,26.57,26.05,13838809.0,,1.97
2025-07-10,26.14,26.47,26.75,25.85,15838009.0,,3.4
2025-07-11,26.28,27.14,27.57,25.94,52440899.0,,6.16
2025-07-14,27.26,27.8,27.84,27.14,37271849.0,,2.58
2025-07-15,27.77,27.12,27.94,27.08,20365030.0,,3.09
2025-07-16,27.23,27.58,27.62,27.09,19950497.0,,1.95
2025-07-17,27.7,28.13,28.15,27.63,17564503.0,,1.89
2025-07-18,28.2,27.82,28.22,27.69,18389287.0,,1.88
2025-07-21,27.96,27.48,28.02,27.44,17895824.0,,2.08
2025-07-22,27.53,28.78,28.81,27.5,18294836.0,,4.77
2025-07-23,28.9,28.94,29.15,28.75,12814381.0,,1.39
2025-07-24,28.99,28.78,29.13,28.72,7411034.0,,1.42
2025-07-25,28.75,28.68,28.81,28.36,8521860.0,,1.56
2025-07-28,28.56,28.25,28.57,28.05,10067045.0,,1.81
2025-07-29,28.25,28.56,28.62,28.22,14007056.0,,1.42
2025-07-30,28.79,28.49,29.19,28.16,17783369.0,,3.61
2025-07-31,28.06,27.46,28.06,27.42,17627063.0,,2.25
2025-08-01,27.7,27.41,27.82,27.06,16940505.0,,2.77
2025-08-04,27.22,26.8,27.25,26.62,14299548.0,,2.3
2025-08-05,26.8,27.04,27.3,26.8,10630262.0,,1.87
2025-08-06,27.06,27.26,27.4,26.85,9055131.0,,2.03
2025-08-07,27.35,27.65,27.76,27.17,9892151.0,,2.16
2025-08-08,27.62,27.76,27.9,27.53,9266811.0,,1.34
2025-08-11,27.82,27.43,28.03,27.09,13917731.0,,3.39
2025-08-12,27.46,27.35,27.75,27.21,13478530.0,,1.97
2025-08-13,27.36,28.02,28.03,27.3,12530308.0,,2.67
2025-08-14,27.86,27.65,27.88,27.52,15035299.0,,1.28
2025-08-15,27.75,27.67,27.81,27.46,8136158.0,,1.27
2025-08-18,27.61,27.27,27.62,27.16,7899924.0,,1.66
2025-08-19,27.38,27.67,27.76,27.33,8281939.0,,1.58
2025-08-20,27.81,27.42,28.03,27.29,8522426.0,,2.67
2025-08-21,27.31,27.5,27.56,27.12,6098349.0,,1.6
2025-08-22,27.64,28.06,28.1,27.62,10699957.0,,1.75
2025-08-25,28.0,27.69,28.01,27.65,9780208.0,,1.28
2025-08-26,27.6,27.7,27.74,27.32,17469861.0,,1.52
2025-08-27,27.61,27.89,27.93,27.53,9144852.0,,1.44
2025-08-28,27.91,27.64,27.95,27.38,11454082.0,,2.04
2025-08-29,27.26,27.97,28.08,27.19,23601304.0,,3.22
2025-09-02,27.8,26.02,27.91,25.84,43401011.0,,7.4
