日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,140.87,141.07,142.37,140.66,2475817.0,,
2025-05-22,140.48,139.75,140.48,138.33,2743882.0,,1.52
2025-05-23,140.09,141.55,141.65,138.06,2582875.0,,2.57
2025-05-27,141.64,142.85,143.08,141.15,2594117.0,,1.36
2025-05-28,142.97,142.68,143.87,142.3,1748873.0,,1.1
2025-05-29,142.22,143.84,144.31,141.58,1716195.0,,1.91
2025-05-30,143.06,143.76,144.23,143.06,3382847.0,,0.81
2025-06-02,143.6,141.68,143.6,141.14,2048283.0,,1.71
2025-06-03,140.94,139.5,141.02,139.46,1937335.0,,1.1
2025-06-04,139.44,138.43,140.39,138.28,2047348.0,,1.51
2025-06-05,136.75,135.3,136.88,133.22,3515830.0,,2.64
2025-06-06,134.16,133.55,134.73,133.25,2576789.0,,1.09
2025-06-09,133.55,132.69,134.25,132.64,2008126.0,,1.21
2025-06-10,132.51,133.04,133.78,132.18,1891892.0,,1.21
2025-06-11,133.01,132.85,133.62,132.38,1679986.0,,0.93
2025-06-12,133.24,133.89,133.92,132.52,1551887.0,,1.05
2025-06-13,133.76,130.84,134.0,130.57,1837826.0,,2.56
2025-06-16,131.09,130.67,131.83,130.41,1989181.0,,1.09
2025-06-17,130.3,128.93,130.34,128.79,2883045.0,,1.19
2025-06-18,128.85,127.96,129.17,127.76,3088898.0,,1.09
2025-06-20,127.96,128.29,128.83,127.74,5306997.0,,0.85
2025-06-23,128.31,130.13,130.48,128.14,3205971.0,,1.82
2025-06-24,129.94,129.95,130.33,129.45,2761044.0,,0.68
2025-06-25,129.67,128.15,129.75,127.76,1820507.0,,1.53
2025-06-26,128.32,126.84,128.56,126.3,2369449.0,,1.76
2025-06-27,126.88,127.89,128.53,126.88,1950898.0,,1.3
2025-06-30,127.87,128.92,129.29,127.68,2172638.0,,1.26
2025-07-01,129.65,131.61,132.49,129.3,2829960.0,,2.47
2025-07-02,131.73,132.36,132.48,130.91,2137946.0,,1.19
2025-07-03,132.73,132.12,132.73,131.45,1015997.0,,0.97
2025-07-07,132.23,131.65,132.96,131.2,2158056.0,,1.33
2025-07-08,131.25,131.4,132.08,130.37,1620507.0,,1.3
2025-07-09,131.53,131.49,132.1,130.27,1448388.0,,1.39
2025-07-10,131.43,131.95,133.09,130.47,1959248.0,,1.99
2025-07-11,131.95,129.38,131.95,129.21,1847101.0,,2.08
2025-07-14,129.24,127.46,129.37,125.15,3283969.0,,3.26
2025-07-15,127.44,126.75,127.9,126.2,2226778.0,,1.33
2025-07-16,126.89,127.63,127.69,126.33,2022176.0,,1.07
2025-07-17,127.0,127.91,128.49,126.27,1942700.0,,1.74
2025-07-18,128.38,127.53,128.59,127.09,3787144.0,,1.17
2025-07-21,127.28,126.71,127.86,126.54,2115217.0,,1.04
2025-07-22,126.77,128.89,129.14,126.53,2040687.0,,2.06
2025-07-23,128.84,127.73,129.33,127.46,1947536.0,,1.45
2025-07-24,127.75,127.75,128.08,127.18,1573382.0,,0.7
2025-07-25,127.93,127.38,128.29,126.65,1549457.0,,1.28
2025-07-28,126.83,126.86,127.52,126.36,1911786.0,,0.91
2025-07-29,126.87,127.93,128.57,126.52,1995925.0,,1.62
2025-07-30,128.09,125.29,128.62,124.9,2123316.0,,2.91
2025-07-31,125.1,124.62,125.92,124.37,4597535.0,,1.24
2025-08-01,132.69,130.64,134.49,128.48,5425880.0,,4.82
2025-08-04,131.36,133.14,133.81,131.19,3226044.0,,2.01
2025-08-05,133.07,134.21,134.45,132.2,2860322.0,,1.69
2025-08-06,134.62,136.68,136.9,134.14,3327354.0,,2.06
2025-08-07,137.11,136.77,137.46,135.68,2473249.0,,1.3
2025-08-08,136.55,136.16,137.29,135.65,1653983.0,,1.2
2025-08-11,136.33,134.15,136.36,133.83,2544755.0,,1.86
2025-08-12,134.15,133.64,134.46,131.62,3181152.0,,2.12
2025-08-13,133.72,134.81,135.1,133.13,1849513.0,,1.47
2025-08-14,133.94,133.39,134.3,132.99,1527529.0,,0.97
2025-08-15,133.9,132.94,134.01,132.55,2123773.0,,1.09
2025-08-18,132.94,131.33,132.94,130.59,2566410.0,,1.77
2025-08-19,131.35,132.95,133.43,131.1,2288369.0,,1.77
2025-08-20,133.74,133.26,136.17,133.16,1678964.0,,2.26
2025-08-21,132.49,132.97,133.06,132.23,1512894.0,,0.62
2025-08-22,133.81,133.49,134.38,132.68,1842585.0,,1.28
2025-08-25,133.5,130.75,133.94,130.62,1721586.0,,2.49
2025-08-26,130.4,129.81,131.23,129.39,3165361.0,,1.41
2025-08-27,129.6,130.21,130.35,129.6,1411929.0,,0.58
2025-08-28,130.21,128.72,130.35,128.02,1757400.0,,1.79
2025-08-29,128.68,129.14,129.82,128.55,1785555.0,,0.99
2025-09-02,129.35,128.84,130.04,128.04,2027320.0,,1.55
2025-09-03,128.84,128.0,129.32,127.1,2562868.0,,1.72
2025-09-04,128.5,129.17,129.41,127.84,2049255.0,,1.23
2025-09-05,128.17,129.89,130.6,128.0,2187004.0,,2.01
2025-09-08,129.24,129.78,130.13,127.77,2916782.0,,1.82
2025-09-09,129.95,130.97,131.53,129.39,2325596.0,,1.65
2025-09-10,130.24,128.01,130.83,127.01,2279439.0,,2.92
2025-09-11,128.25,129.47,130.02,127.87,1745077.0,,1.68
2025-09-12,128.9,127.99,129.87,127.95,1442298.0,,1.48
2025-09-15,127.42,125.47,127.78,125.05,3077722.0,,2.13
2025-09-16,125.4,125.04,126.06,124.48,2084642.0,,1.26
2025-09-17,125.32,125.59,126.98,125.32,2304515.0,,1.33
2025-09-18,124.72,125.51,126.42,124.38,1822064.0,,1.62
2025-09-19,126.12,124.62,126.55,124.24,6928114.0,,1.84
2025-09-22,124.43,124.07,125.13,123.8,2683819.0,,1.07
2025-09-23,124.12,123.82,124.43,122.58,2452169.0,,1.49
