日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,71.69,71.85,72.08,71.59,12094424.0,,
2025-05-22,71.84,71.14,71.99,70.96,11101798.0,,1.43
2025-05-23,71.54,71.77,71.98,70.69,12822145.0,,1.81
2025-05-27,71.74,71.78,72.22,71.56,10666102.0,,0.92
2025-05-28,71.7,71.15,71.9,71.05,8710896.0,,1.18
2025-05-29,71.0,71.49,71.66,70.46,10294095.0,,1.69
2025-05-30,71.61,72.1,72.47,71.61,28019547.0,,1.2
2025-06-02,72.03,72.0,72.04,71.36,10202737.0,,0.94
2025-06-03,71.71,71.16,71.78,70.48,20139767.0,,1.81
2025-06-04,71.26,71.37,71.85,70.68,13565891.0,,1.64
2025-06-05,71.38,70.91,71.46,70.84,13535619.0,,0.87
2025-06-06,71.09,71.35,71.48,70.94,9524036.0,,0.76
2025-06-09,71.35,71.77,71.83,71.09,12281339.0,,1.04
2025-06-10,71.9,72.35,72.69,71.76,12264972.0,,1.3
2025-06-11,72.27,72.07,72.36,71.76,12718510.0,,0.83
2025-06-12,72.25,72.24,72.4,71.6,12806911.0,,1.11
2025-06-13,71.77,71.02,71.88,70.73,17467162.0,,1.59
2025-06-16,71.2,70.52,71.62,70.24,15045880.0,,1.94
2025-06-17,70.38,69.62,70.46,69.58,15437032.0,,1.25
2025-06-18,70.0,69.21,70.0,69.09,16227582.0,,1.31
2025-06-20,69.09,68.84,69.56,68.78,40859425.0,,1.13
2025-06-23,69.14,69.74,69.81,68.97,21822773.0,,1.22
2025-06-24,69.95,70.21,70.35,69.69,15216084.0,,0.95
2025-06-25,69.93,69.63,70.02,69.43,12540374.0,,0.84
2025-06-26,69.7,69.47,69.92,69.15,14454090.0,,1.11
2025-06-27,69.59,70.33,70.56,69.47,23470691.0,,1.57
2025-06-30,70.13,70.75,70.79,70.09,15428966.0,,1.0
2025-07-01,70.99,71.67,72.45,70.9,21729276.0,,2.19
2025-07-02,71.69,70.91,71.83,70.74,13050239.0,,1.52
