日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,32.9,31.98,33.3,31.31,1565456.0,,
2025-05-22,31.7,31.26,31.98,31.22,658322.0,,2.38
2025-05-23,31.05,32.05,32.55,30.9,773466.0,,5.28
2025-05-27,31.98,32.75,32.83,31.68,2496953.0,,3.59
2025-05-28,32.78,31.65,32.78,31.15,988525.0,,4.98
2025-05-29,32.2,32.36,32.47,31.32,1162777.0,,3.63
2025-05-30,32.3,33.05,33.29,31.88,2100908.0,,4.36
2025-06-02,33.0,32.13,33.18,32.09,1177204.0,,3.3
2025-06-03,31.85,32.98,33.12,31.85,1255314.0,,3.95
2025-06-04,33.37,35.7,35.98,32.8,3137960.0,,9.64
2025-06-05,35.18,35.02,35.59,34.54,2335739.0,,2.94
2025-06-06,34.99,34.7,35.6,34.4,1448938.0,,3.43
2025-06-09,35.07,35.96,35.99,35.07,1721866.0,,2.65
2025-06-10,35.9,35.36,36.08,35.03,1096227.0,,2.92
2025-06-11,35.57,33.61,35.7,33.54,1256820.0,,6.11
2025-06-12,33.99,36.04,36.05,33.7,2252384.0,,6.99
2025-06-13,35.42,35.35,35.79,34.42,1289551.0,,3.8
2025-06-16,35.5,35.3,36.12,34.96,1206274.0,,3.28
2025-06-17,35.3,34.46,35.4,34.2,695598.0,,3.4
2025-06-18,34.08,34.5,34.6,33.82,1998093.0,,2.26
2025-06-20,34.3,34.82,34.95,34.0,933602.0,,2.75
2025-06-23,34.8,34.82,35.96,34.3,2376261.0,,4.77
2025-06-24,35.19,35.3,36.08,34.34,2049526.0,,5.0
2025-06-25,35.28,35.5,35.59,35.08,1194001.0,,1.44
2025-06-26,35.53,35.11,35.86,34.53,1346654.0,,3.75
2025-06-27,35.05,35.8,36.25,35.05,1742476.0,,3.42
2025-06-30,36.2,37.27,37.69,36.0,2696516.0,,4.72
2025-07-01,37.87,38.93,38.93,37.44,3200397.0,,4.0
2025-07-02,38.91,37.99,39.98,37.75,3405125.0,,5.73
2025-07-03,38.36,38.49,39.29,38.0,1156795.0,,3.4
2025-07-07,39.15,38.7,39.95,38.41,3228501.0,,4.0
2025-07-08,38.83,39.49,39.5,38.46,1700761.0,,2.69
2025-07-09,39.06,39.7,39.95,38.6,1850149.0,,3.42
2025-07-10,39.75,38.38,39.79,38.25,1589412.0,,3.88
