日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,232.7,227.37,233.14,225.18,4541950.0,,
2025-05-22,226.08,223.75,227.45,222.97,3116840.0,,1.97
2025-05-23,220.91,221.07,222.97,220.26,2958799.0,,1.21
2025-05-27,223.3,225.81,225.82,222.0,3418212.0,,1.73
2025-05-28,225.0,224.52,226.76,224.36,2214549.0,,1.06
2025-05-29,225.54,224.93,226.0,221.66,2739534.0,,1.93
2025-05-30,223.91,225.73,226.27,222.41,4127344.0,,1.72
2025-06-02,224.09,225.52,225.89,221.33,3890535.0,,2.02
2025-06-03,225.9,228.8,229.32,225.23,2456189.0,,1.81
2025-06-04,228.67,228.39,230.1,227.85,2301525.0,,0.98
2025-06-05,228.92,227.59,229.81,227.04,1985188.0,,1.21
2025-06-06,228.81,225.27,229.13,224.77,2217181.0,,1.92
2025-06-09,225.69,223.61,225.69,223.13,2523409.0,,1.14
2025-06-10,224.05,224.89,225.93,222.14,2174476.0,,1.69
2025-06-11,226.64,221.6,226.64,220.66,2377958.0,,2.66
2025-06-12,221.6,223.5,224.33,219.75,2486061.0,,2.07
2025-06-13,221.25,217.27,223.25,216.33,2426030.0,,3.1
2025-06-16,218.36,216.08,218.61,214.81,2392491.0,,1.75
2025-06-17,215.05,211.92,215.78,211.12,2518595.0,,2.16
2025-06-18,212.56,210.83,213.69,210.41,2528356.0,,1.55
2025-06-20,211.66,212.75,212.93,210.33,6148480.0,,1.23
2025-06-23,212.79,218.57,218.79,211.79,2639485.0,,3.29
2025-06-24,219.0,219.98,220.41,217.71,2210033.0,,1.24
2025-06-25,219.5,220.7,221.61,218.19,2082949.0,,1.55
2025-06-26,221.25,221.23,222.81,220.05,2254661.0,,1.25
2025-06-27,221.42,223.63,225.22,221.27,3256659.0,,1.79
2025-06-30,224.07,221.87,224.84,219.65,2735369.0,,2.32
2025-07-01,219.52,228.64,232.17,219.14,3974824.0,,5.87
2025-07-02,229.13,226.94,229.39,225.56,2174540.0,,1.68
2025-07-03,226.98,228.31,228.53,224.04,1777904.0,,1.98
2025-07-07,227.74,224.99,228.27,222.65,2740527.0,,2.46
2025-07-08,224.05,223.67,226.83,223.4,2672036.0,,1.52
2025-07-09,224.2,225.57,225.66,222.11,2339394.0,,1.59
2025-07-10,224.76,227.91,230.36,224.5,2417270.0,,2.6
2025-07-11,225.58,224.13,226.71,223.44,1840323.0,,1.43
2025-07-14,223.27,222.4,224.18,219.8,2767371.0,,1.95
2025-07-15,223.01,215.01,223.06,214.91,2947168.0,,3.66
2025-07-16,215.5,216.6,216.65,212.56,3604675.0,,1.9
2025-07-17,216.35,218.58,219.03,215.85,2474059.0,,1.47
2025-07-18,219.31,219.16,219.85,217.56,2399245.0,,1.05
2025-07-21,220.03,220.91,222.74,219.62,2904702.0,,1.42
2025-07-22,222.65,226.83,227.24,221.5,2880001.0,,2.6
2025-07-23,226.68,228.61,228.99,225.77,2337300.0,,1.42
2025-07-24,228.06,225.56,229.48,225.51,2083634.0,,1.74
