日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,322.11,317.56,326.43,317.36,1323310.0,,
2025-05-22,320.5,320.46,321.83,317.23,1344798.0,,1.45
2025-05-23,312.53,310.76,315.4,309.79,1990074.0,,1.75
2025-05-27,315.0,321.2,322.0,312.77,2193366.0,,2.97
2025-05-28,321.2,315.75,321.34,315.68,1940900.0,,1.76
2025-05-29,321.32,317.09,322.94,316.05,2601988.0,,2.18
2025-05-30,314.37,316.67,317.74,311.32,3652690.0,,2.02
2025-06-02,315.13,322.95,323.5,313.14,1809724.0,,3.27
2025-06-03,328.55,334.91,340.25,324.71,3248131.0,,4.81
2025-06-04,333.53,335.19,339.15,333.39,2293724.0,,1.72
2025-06-05,335.11,330.78,338.49,329.6,5450423.0,,2.65
2025-06-06,271.18,265.27,275.6,262.09,16112240.0,,4.08
2025-06-09,266.54,259.04,266.95,259.0,5395325.0,,3.0
2025-06-10,260.0,258.5,262.16,257.4,3950783.0,,1.84
2025-06-11,260.86,252.28,261.3,251.52,4461759.0,,3.78
2025-06-12,251.8,247.03,251.8,246.56,4165243.0,,2.08
2025-06-13,244.58,239.11,248.25,238.25,4525620.0,,4.05
2025-06-16,241.62,241.29,242.06,238.26,3643058.0,,1.59
2025-06-17,240.82,235.2,241.3,234.59,3391462.0,,2.78
2025-06-18,235.41,228.65,235.69,228.45,4682240.0,,3.08
2025-06-20,230.7,227.47,231.3,227.12,4903126.0,,1.83
2025-06-23,226.73,225.56,227.0,219.97,4699810.0,,3.09
2025-06-24,227.81,232.93,233.49,227.55,3789234.0,,2.63
2025-06-25,234.52,231.52,234.9,229.35,2676882.0,,2.38
2025-06-26,232.46,231.58,232.92,227.6,3115376.0,,2.3
2025-06-27,235.0,235.02,237.2,231.5,6204746.0,,2.46
2025-06-30,236.32,237.58,238.09,233.85,2964540.0,,1.8
2025-07-01,237.23,245.12,247.78,237.0,3879093.0,,4.54
2025-07-02,245.66,246.3,252.24,236.32,5344915.0,,6.49
2025-07-03,247.4,247.68,249.97,246.0,1646311.0,,1.61
2025-07-07,245.9,237.57,247.0,235.3,3317326.0,,4.72
2025-07-08,237.58,238.54,239.79,235.0,2317500.0,,2.02
2025-07-09,239.27,235.89,239.27,232.09,3235518.0,,3.01
2025-07-10,237.77,238.52,241.84,234.65,2597671.0,,3.05
2025-07-11,237.04,236.51,238.45,235.53,1670133.0,,1.22
2025-07-14,235.61,228.89,236.19,228.75,3392281.0,,3.15
2025-07-15,229.19,222.19,230.54,222.06,4770143.0,,3.7
2025-07-16,224.15,226.11,227.66,222.46,3228066.0,,2.34
2025-07-17,227.0,233.31,233.75,226.93,2956125.0,,3.02
2025-07-18,232.79,229.77,233.0,228.07,2552650.0,,2.11
2025-07-21,229.97,223.21,230.5,222.65,2985018.0,,3.42
2025-07-22,221.77,223.93,225.45,221.09,3309044.0,,1.95
2025-07-23,225.0,224.03,226.24,222.87,2212147.0,,1.5
2025-07-24,223.41,218.69,225.31,218.45,3480348.0,,3.06
2025-07-25,220.25,219.43,220.51,216.49,2638027.0,,1.84
2025-07-28,220.32,216.59,220.7,216.33,2368792.0,,1.99
2025-07-29,216.0,214.04,219.12,213.88,2585646.0,,2.42
2025-07-30,214.0,206.47,214.15,205.89,3850934.0,,3.86
2025-07-31,203.97,200.53,206.64,200.24,4173883.0,,3.1
