日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,53.71,51.41,53.71,51.39,1448848.0,,
2025-05-22,51.0,51.02,51.44,50.1,1628030.0,,2.61
2025-05-23,50.75,50.56,51.2,49.96,1911811.0,,2.43
2025-05-27,51.74,53.19,53.25,51.05,1681088.0,,4.35
2025-05-28,53.18,53.36,53.82,52.96,1840637.0,,1.62
2025-05-29,53.73,54.24,54.28,53.2,1945223.0,,2.02
2025-05-30,54.1,55.78,56.2,54.01,2842768.0,,4.04
2025-06-02,55.22,54.84,55.73,53.97,1654591.0,,3.16
2025-06-03,55.01,55.67,56.01,53.94,1864626.0,,3.77
2025-06-04,55.63,55.22,56.17,55.21,907541.0,,1.72
2025-06-05,54.94,55.24,55.6,54.27,1015651.0,,2.41
2025-06-06,55.96,55.68,56.47,55.37,1067832.0,,1.99
2025-06-09,55.89,55.67,56.11,54.97,1061959.0,,2.05
2025-06-10,56.13,55.63,56.62,55.32,1189604.0,,2.34
2025-06-11,55.64,55.77,56.01,55.35,1683918.0,,1.19
2025-06-12,55.11,56.28,56.28,54.64,962164.0,,2.94
2025-06-13,55.77,54.8,56.99,54.52,1635101.0,,4.39
2025-06-16,55.05,55.29,55.49,54.2,1651609.0,,2.35
2025-06-17,54.89,53.95,55.35,53.79,2076725.0,,2.82
2025-06-18,53.25,53.22,54.32,52.97,2141554.0,,2.5
2025-06-20,53.21,53.53,53.71,52.64,2430305.0,,2.01
2025-06-23,53.58,54.09,54.32,53.25,1303266.0,,2.0
2025-06-24,54.53,53.79,54.89,53.38,1585053.0,,2.79
2025-06-25,53.22,53.01,53.54,52.6,1520152.0,,1.75
2025-06-26,53.36,53.19,53.65,52.86,1117584.0,,1.49
2025-06-27,53.46,53.4,53.53,52.61,3555736.0,,1.73
2025-06-30,54.0,51.85,55.04,51.47,3147673.0,,6.69
2025-07-01,51.77,52.37,53.22,51.43,3170707.0,,3.45
2025-07-02,52.46,52.76,53.77,52.44,1936258.0,,2.54
2025-07-03,52.8,52.47,53.25,52.31,1089845.0,,1.78
2025-07-07,52.22,50.97,52.59,50.95,2049025.0,,3.13
2025-07-08,51.19,52.34,53.63,50.93,3605463.0,,5.3
2025-07-09,52.02,51.26,53.68,50.9,2880070.0,,5.31
2025-07-10,51.09,51.38,51.79,50.58,2961186.0,,2.36
2025-07-11,50.85,51.32,51.51,49.85,2328188.0,,3.23
2025-07-14,50.43,51.07,51.44,50.25,2510626.0,,2.32
2025-07-15,51.41,49.79,51.52,49.74,1663584.0,,3.49
2025-07-16,49.74,50.0,50.05,48.71,2781658.0,,2.69
2025-07-17,50.16,50.49,50.62,49.75,2645133.0,,1.74
2025-07-18,50.5,49.0,50.5,48.81,2577057.0,,3.35
2025-07-21,49.32,48.04,49.5,47.87,3464689.0,,3.33
2025-07-22,48.22,49.17,49.32,48.13,3397331.0,,2.48
2025-07-23,56.06,57.19,59.5,54.98,10537918.0,,9.19
2025-07-24,57.1,58.61,58.7,55.72,3771644.0,,5.21
2025-07-25,58.23,60.86,61.02,58.11,3561707.0,,4.97
2025-07-28,60.25,59.22,60.7,59.17,2310676.0,,2.51
2025-07-29,59.21,59.46,59.89,58.56,1635642.0,,2.25
2025-07-30,59.76,58.7,59.76,58.42,1405579.0,,2.25
2025-07-31,58.16,57.07,58.79,56.7,2605026.0,,3.56
2025-08-01,56.75,55.99,56.82,55.5,1668742.0,,2.31
2025-08-04,55.95,54.64,56.59,54.57,1945527.0,,3.61
2025-08-05,54.4,53.16,54.67,53.05,1948376.0,,2.96
2025-08-06,53.26,51.45,53.26,51.25,2137932.0,,3.78
2025-08-07,51.99,52.12,52.37,50.72,1736342.0,,3.21
2025-08-08,51.92,51.55,52.67,51.17,1064737.0,,2.88
2025-08-11,51.4,51.65,52.2,51.39,1130926.0,,1.57
2025-08-12,51.65,52.97,53.5,51.47,1799618.0,,3.93
2025-08-13,52.97,54.73,55.26,52.73,1936841.0,,4.78
2025-08-14,53.88,54.83,54.85,53.64,1458449.0,,2.21
2025-08-15,55.04,54.15,55.15,53.96,1093988.0,,2.17
2025-08-18,54.41,54.3,54.91,54.06,1090595.0,,1.57
2025-08-19,54.64,55.1,55.7,54.55,1114475.0,,2.12
2025-08-20,54.96,55.19,55.49,54.47,1046596.0,,1.85
2025-08-21,54.86,54.66,55.17,54.49,1361284.0,,1.23
2025-08-22,55.17,56.99,57.03,54.94,1203599.0,,3.82
2025-08-25,56.75,55.98,56.8,55.83,975401.0,,1.7
2025-08-26,56.07,56.41,56.5,55.63,1486215.0,,1.55
2025-08-27,56.07,56.66,56.93,55.92,1056555.0,,1.79
2025-08-28,56.55,56.25,56.62,55.79,1142866.0,,1.46
2025-08-29,56.34,57.53,57.68,56.02,1115354.0,,2.95
2025-09-02,57.08,56.55,57.61,56.34,1345909.0,,2.21
2025-09-03,56.39,56.55,56.78,55.19,1302584.0,,2.81
2025-09-04,56.64,55.77,56.97,55.48,1096510.0,,2.63
2025-09-05,55.74,58.0,58.16,55.74,1659067.0,,4.34
2025-09-08,57.43,57.57,57.67,56.32,1533199.0,,2.33
2025-09-09,57.37,57.12,57.88,56.9,1311154.0,,1.7
2025-09-10,56.79,55.87,56.79,54.84,1495476.0,,3.41
2025-09-11,56.33,57.12,57.78,56.08,1401191.0,,3.04
2025-09-12,56.88,56.42,57.16,56.23,1009521.0,,1.63
2025-09-15,56.85,56.09,57.1,56.09,1629570.0,,1.79
2025-09-16,56.43,57.74,57.86,56.33,1834489.0,,2.73
2025-09-17,57.7,55.65,57.93,55.55,1828087.0,,4.12
2025-09-18,56.18,56.47,57.0,55.98,1268761.0,,1.83
2025-09-19,56.77,55.66,56.77,55.52,2174535.0,,2.21
2025-09-22,55.52,55.37,55.94,54.64,1183918.0,,2.34
2025-09-23,55.44,54.32,55.77,54.11,1116844.0,,3.0
2025-09-24,54.41,53.77,54.88,53.46,1103385.0,,2.61
2025-09-25,53.58,52.83,54.07,52.49,1062030.0,,2.94
2025-09-26,52.93,55.22,55.3,52.51,2742002.0,,5.28
2025-09-29,55.98,55.67,56.32,54.93,4258796.0,,2.52
2025-09-30,59.41,58.08,60.6,56.54,6314546.0,,7.29
2025-10-01,58.21,62.01,62.9,58.21,4445882.0,,8.08
2025-10-02,62.2,62.14,63.75,62.02,2822792.0,,2.79
2025-10-03,62.3,62.9,63.14,61.96,2409715.0,,1.9
2025-10-06,62.66,63.4,63.49,62.4,2622147.0,,1.73
2025-10-07,63.5,63.31,63.57,62.35,2800987.0,,1.92
2025-10-08,63.8,64.02,64.61,63.26,1734468.0,,2.13
2025-10-09,63.87,64.58,64.78,63.5,1499041.0,,2.0
2025-10-10,64.83,63.75,66.16,63.48,2349756.0,,4.15
2025-10-13,63.67,63.81,64.1,62.51,1461579.0,,2.49
2025-10-14,63.34,64.16,64.25,62.94,1389807.0,,2.05
2025-10-15,64.0,63.98,64.7,63.63,1437319.0,,1.67
2025-10-16,64.37,64.96,65.21,64.02,1500519.0,,1.86
2025-10-17,65.02,65.01,65.18,64.38,2139256.0,,1.23
2025-10-20,65.57,65.67,66.29,64.92,2489299.0,,2.11
2025-10-21,65.87,64.65,65.9,64.48,2410783.0,,2.16
2025-10-22,64.75,64.75,64.96,63.97,1441578.0,,1.53
2025-10-23,64.28,65.16,65.22,63.54,1448233.0,,2.59
2025-10-24,65.73,66.38,66.66,65.0,1528205.0,,2.55
2025-10-27,66.76,66.57,67.07,66.12,1482356.0,,1.43
2025-10-28,66.45,65.57,66.56,65.16,1058804.0,,2.1
2025-10-29,65.2,63.18,65.74,62.69,2081459.0,,4.65
2025-10-30,62.9,62.19,63.38,62.14,1489733.0,,1.96
2025-10-31,61.65,61.73,61.86,60.66,2772037.0,,1.93
2025-11-03,61.54,62.76,62.8,60.89,1760849.0,,3.09
2025-11-04,62.33,62.01,62.65,61.69,1432025.0,,1.53
2025-11-05,61.96,62.76,62.94,61.58,1348538.0,,2.19
2025-11-06,62.42,61.89,63.07,61.33,1382613.0,,2.77
2025-11-07,61.96,62.42,62.48,61.42,1407653.0,,1.71
2025-11-10,62.63,60.36,62.87,59.77,2155161.0,,4.97
2025-11-11,60.66,60.1,61.12,59.91,2545389.0,,2.0
2025-11-12,60.27,58.46,60.28,57.64,2189222.0,,4.39
2025-11-13,58.32,57.83,59.15,57.7,1650473.0,,2.48
2025-11-14,57.6,57.01,57.73,56.25,1778181.0,,2.56
2025-11-17,57.34,56.25,57.39,56.08,1372766.0,,2.3
2025-11-18,56.32,56.18,56.55,55.71,984598.0,,1.49
2025-11-19,55.9,56.05,56.14,55.08,1037659.0,,1.89
2025-11-20,56.12,55.59,56.84,55.47,1028291.0,,2.44
2025-11-21,55.97,57.68,58.63,55.71,1615447.0,,5.25
2025-11-24,57.28,56.52,57.4,56.4,1287926.0,,1.73
2025-11-25,56.81,59.01,59.17,56.57,1543125.0,,4.6
2025-11-26,58.96,59.61,59.77,58.95,1847861.0,,1.39
2025-11-28,59.47,59.06,59.91,59.05,381271.0,,1.44
2025-12-01,59.06,59.5,60.05,58.95,1017389.0,,1.86
2025-12-02,59.57,59.05,59.57,58.53,738162.0,,1.75
2025-12-03,59.41,60.49,60.75,59.14,963574.0,,2.73
2025-12-04,61.0,59.76,61.0,59.59,970600.0,,2.33
2025-12-05,59.78,59.7,60.03,59.41,981362.0,,1.04
2025-12-08,59.77,59.53,60.41,59.32,1141366.0,,1.83
2025-12-09,59.46,58.23,59.75,57.0,1351517.0,,4.62
2025-12-10,58.82,58.98,59.14,58.03,2090327.0,,1.91
2025-12-11,58.78,59.48,59.95,58.47,1040914.0,,2.51
2025-12-12,59.79,59.66,60.55,59.32,1029099.0,,2.07
2025-12-15,60.45,59.46,60.55,59.2,1126161.0,,2.26
2025-12-16,59.78,59.8,60.37,59.27,996393.0,,1.85
2025-12-17,59.74,59.46,60.24,59.0,1040347.0,,2.07
2025-12-18,59.56,59.33,60.51,58.74,2691532.0,,2.98
2025-12-19,50.85,43.94,50.98,43.71,23430274.0,,12.25
2025-12-22,43.49,42.8,44.58,42.45,8135004.0,,4.85
2025-12-23,42.53,41.8,42.6,41.41,6027717.0,,2.78
2025-12-24,41.66,42.48,42.84,41.5,2442346.0,,3.21
2025-12-26,42.34,42.15,42.68,42.1,2913326.0,,1.37
2025-12-29,42.07,41.84,42.31,41.42,3423782.0,,2.11
2025-12-30,41.76,41.95,42.37,41.71,2829592.0,,1.58
2025-12-31,41.84,41.89,42.7,41.81,2690854.0,,2.12
2026-01-02,42.08,42.29,42.54,41.64,2215275.0,,2.15
2026-01-05,42.4,41.3,42.6,41.29,3164863.0,,3.1
2026-01-06,41.35,41.52,41.74,41.08,3129804.0,,1.6
2026-01-07,41.55,40.29,41.64,39.96,5044009.0,,4.05
2026-01-08,40.0,41.3,41.36,39.79,3476687.0,,3.9
2026-01-09,41.35,41.37,41.61,40.65,2328175.0,,2.32
2026-01-12,41.18,41.43,41.6,40.77,1863102.0,,2.01
