日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,317.52,316.44,318.67,315.17,2386740.0,,
2025-05-22,316.12,314.31,316.62,312.63,2642001.0,,1.26
2025-05-23,315.07,314.57,315.65,313.03,2701615.0,,0.83
2025-05-27,314.51,314.95,315.62,312.16,2527016.0,,1.1
2025-05-28,314.95,312.84,315.65,312.19,1935645.0,,1.1
2025-05-29,312.37,311.86,313.5,310.04,2248937.0,,1.11
2025-05-30,312.0,313.85,315.29,310.58,4062917.0,,1.51
2025-06-02,310.73,312.68,313.25,309.39,2577048.0,,1.23
2025-06-03,311.84,312.39,314.39,309.15,3028181.0,,1.68
2025-06-04,313.0,311.57,314.25,309.48,2069546.0,,1.53
2025-06-05,312.0,308.98,312.0,307.77,3817236.0,,1.36
2025-06-06,307.15,307.36,309.86,306.81,2622767.0,,0.99
2025-06-09,303.73,304.78,305.23,299.85,4059771.0,,1.75
2025-06-10,300.01,300.43,302.41,299.45,4698701.0,,0.97
2025-06-11,300.2,301.72,303.2,297.19,3312510.0,,2.0
2025-06-12,301.67,303.16,303.18,300.07,2584667.0,,1.03
2025-06-13,301.81,301.91,305.11,301.15,2435628.0,,1.31
2025-06-16,303.14,296.29,304.0,295.75,4045666.0,,2.73
2025-06-17,296.0,292.31,296.01,291.79,3378975.0,,1.42
2025-06-18,293.0,289.63,293.11,288.6,4008675.0,,1.54
2025-06-20,289.77,287.46,290.61,285.57,7084966.0,,1.74
2025-06-23,288.52,289.52,289.52,285.87,5172494.0,,1.27
2025-06-24,289.62,291.47,292.1,288.58,4461222.0,,1.22
2025-06-25,290.86,285.55,291.08,284.31,4259763.0,,2.32
2025-06-26,285.95,285.63,286.79,283.47,5354904.0,,1.16
2025-06-27,286.01,291.55,292.19,285.24,7422178.0,,2.43
2025-06-30,290.88,292.17,293.58,290.88,5054752.0,,0.93
2025-07-01,292.5,297.49,299.65,292.35,5121903.0,,2.5
2025-07-02,298.08,294.63,298.08,292.6,4021460.0,,1.84
2025-07-03,294.67,294.08,294.83,292.61,1678645.0,,0.75
2025-07-07,294.12,293.53,295.68,292.49,3404279.0,,1.08
2025-07-08,293.01,291.67,293.02,290.26,3123607.0,,0.94
2025-07-09,292.25,293.02,293.82,291.34,3266050.0,,0.85
2025-07-10,296.3,298.39,300.78,295.03,5368072.0,,1.96
2025-07-11,298.14,299.91,302.74,297.29,4524080.0,,1.83
2025-07-14,299.18,301.88,302.07,294.83,5707576.0,,2.41
2025-07-15,301.3,299.62,302.79,299.24,2937595.0,,1.18
2025-07-16,299.78,298.9,300.48,296.21,2804844.0,,1.43
2025-07-17,299.77,300.37,302.45,298.42,3134529.0,,1.35
2025-07-18,299.74,297.07,300.4,296.43,3481263.0,,1.32
2025-07-21,298.11,295.74,298.8,295.28,3037506.0,,1.18
2025-07-22,295.86,299.17,300.1,295.05,2672021.0,,1.71
2025-07-23,299.49,298.12,299.88,296.92,2467609.0,,0.99
2025-07-24,296.91,294.48,297.46,294.41,4426029.0,,1.02
2025-07-25,296.81,298.47,298.64,294.9,3401033.0,,1.27
2025-07-28,297.06,299.22,299.91,294.99,3070470.0,,1.65
2025-07-29,298.95,302.67,302.83,298.3,3148084.0,,1.51
2025-07-30,302.57,303.61,305.43,301.08,2805919.0,,1.44
2025-07-31,301.03,300.07,303.47,300.0,3639588.0,,1.14
2025-08-01,303.5,302.89,303.7,301.38,3344793.0,,0.77
2025-08-04,300.53,304.23,306.35,300.53,4734465.0,,1.92
2025-08-05,303.0,298.77,304.6,298.37,4222907.0,,2.05
2025-08-06,307.0,307.66,310.4,301.74,6474304.0,,2.9
2025-08-07,309.16,307.91,310.17,304.35,3603475.0,,1.89
2025-08-08,307.0,305.45,308.55,303.89,2622369.0,,1.51
2025-08-11,305.5,304.36,307.3,303.78,2648956.0,,1.15
2025-08-12,305.17,301.64,305.5,299.89,3440070.0,,1.84
2025-08-13,301.7,305.07,305.31,301.4,2999334.0,,1.3
2025-08-14,305.5,308.95,309.29,302.7,4699435.0,,2.16
2025-08-15,310.16,308.93,310.16,306.5,3416604.0,,1.18
2025-08-18,308.37,308.7,309.98,306.56,3272917.0,,1.11
2025-08-19,308.7,310.93,314.22,308.45,2893574.0,,1.87
