日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,65.97,65.26,65.97,65.02,6250403.0,,
2025-05-22,65.0,65.49,65.8,64.94,6956908.0,,1.32
2025-05-23,65.58,66.14,66.43,65.12,6737551.0,,2.0
2025-05-27,66.25,66.9,66.99,66.03,6600522.0,,1.45
2025-05-28,67.01,66.62,67.16,66.48,4550212.0,,1.02
2025-05-29,66.6,67.47,67.62,66.46,6967486.0,,1.74
2025-05-30,67.7,67.49,68.0,67.31,12140762.0,,1.02
2025-06-02,67.17,67.51,67.57,66.66,5004767.0,,1.35
2025-06-03,67.19,67.04,67.29,66.83,5156136.0,,0.68
2025-06-04,67.14,66.63,67.28,66.19,5978038.0,,1.63
2025-06-05,66.71,66.37,66.81,65.77,6266342.0,,1.56
2025-06-06,66.62,66.15,66.8,65.85,6279459.0,,1.43
2025-06-09,65.98,66.7,66.85,65.66,4182043.0,,1.8
2025-06-10,66.7,67.24,67.5,66.45,4827877.0,,1.57
2025-06-11,66.87,66.95,67.22,66.82,6854438.0,,0.59
2025-06-12,67.01,68.12,68.14,66.5,6146811.0,,2.45
2025-06-13,67.97,66.93,68.43,66.84,6528760.0,,2.33
2025-06-16,67.05,67.21,67.58,66.62,5516027.0,,1.43
2025-06-17,66.99,66.35,67.19,65.9,7817760.0,,1.92
2025-06-18,66.39,66.35,66.96,65.99,7003351.0,,1.46
2025-06-20,67.26,68.31,68.71,66.79,12997842.0,,2.89
2025-06-23,68.42,68.5,68.8,67.8,4783424.0,,1.46
2025-06-24,68.5,68.43,68.61,67.93,6374631.0,,0.99
2025-06-25,68.02,67.28,68.43,67.12,5384650.0,,1.91
2025-06-26,67.69,67.75,68.32,67.35,6805942.0,,1.44
2025-06-27,67.63,67.78,67.85,67.21,9119460.0,,0.94
2025-06-30,67.4,67.44,67.7,66.78,9028393.0,,1.36
2025-07-01,67.55,68.96,69.42,67.49,12038672.0,,2.86
2025-07-02,68.98,69.56,69.81,68.59,8959644.0,,1.77
2025-07-03,69.47,68.99,69.52,68.8,3342865.0,,1.04
2025-07-07,68.96,68.82,69.03,68.03,7335968.0,,1.45
2025-07-08,68.49,68.19,68.55,67.85,6727767.0,,1.02
2025-07-09,68.3,66.85,68.35,66.15,11457505.0,,3.23
2025-07-10,66.55,67.15,67.39,65.9,7359979.0,,2.23
2025-07-11,66.75,67.18,67.36,66.01,6171073.0,,2.01
2025-07-14,67.18,67.64,67.66,67.02,5324775.0,,0.95
2025-07-15,67.4,66.74,67.53,66.7,5092688.0,,1.23
2025-07-16,66.8,67.47,67.52,66.49,5336618.0,,1.54
2025-07-17,68.3,69.8,69.85,68.26,9140030.0,,2.36
2025-07-18,69.89,69.81,70.5,69.38,10412234.0,,1.6
2025-07-21,69.85,69.42,70.5,69.21,6118375.0,,1.85
2025-07-22,69.45,70.75,71.0,69.24,6728702.0,,2.54
