日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,74.08,72.54,74.28,72.44,2147791.0,,
2025-05-22,72.27,71.31,72.41,70.85,4498860.0,,2.15
2025-05-23,71.36,71.11,71.48,69.98,3700796.0,,2.1
2025-05-27,71.56,71.8,71.98,71.2,2437843.0,,1.1
2025-05-28,71.88,71.38,72.28,71.2,2089124.0,,1.5
2025-05-29,71.38,72.55,72.55,71.07,3000229.0,,2.07
2025-05-30,72.51,72.73,72.96,72.03,3262713.0,,1.28
2025-06-02,72.3,73.44,73.5,71.42,3129518.0,,2.86
2025-06-03,73.06,73.35,74.41,72.6,2335852.0,,2.46
2025-06-04,73.55,73.24,73.91,72.81,1152818.0,,1.5
2025-06-05,73.08,72.91,73.26,72.36,1589792.0,,1.23
2025-06-06,73.19,74.23,74.31,73.17,2248803.0,,1.56
2025-06-09,73.82,75.22,75.58,73.82,2272883.0,,2.37
2025-06-10,75.37,75.58,76.25,74.77,2017098.0,,1.97
2025-06-11,75.46,75.63,75.92,75.17,1470518.0,,0.99
2025-06-12,75.48,75.81,75.87,74.81,1842690.0,,1.4
2025-06-13,75.68,74.01,76.37,73.77,1993848.0,,3.43
2025-06-16,74.21,73.87,74.95,73.5,1713009.0,,1.96
2025-06-17,73.74,72.96,74.14,72.74,1796540.0,,1.9
2025-06-18,72.85,73.2,73.58,72.58,1881656.0,,1.37
2025-06-20,73.16,73.06,73.99,72.93,2803715.0,,1.45
2025-06-23,73.28,74.89,75.0,73.15,2668398.0,,2.53
2025-06-24,74.88,74.71,75.07,73.92,2443405.0,,1.54
2025-06-25,74.34,73.64,74.56,73.35,2642761.0,,1.62
2025-06-26,77.0,77.57,78.16,75.94,4695208.0,,3.01
2025-06-27,77.03,76.31,77.97,76.09,3715171.0,,2.42
2025-06-30,76.09,75.82,77.21,75.03,3684536.0,,2.86
2025-07-01,75.77,77.17,78.03,75.6,3060354.0,,3.2
2025-07-02,77.3,76.56,77.42,76.0,2184605.0,,1.84
2025-07-03,76.58,75.15,76.58,75.15,1785186.0,,1.87
2025-07-07,74.65,73.39,74.95,73.1,3419935.0,,2.46
2025-07-08,73.27,72.9,73.42,72.08,3257189.0,,1.83
2025-07-09,72.78,72.21,72.96,71.86,2615413.0,,1.51
2025-07-10,71.86,72.44,72.94,71.44,1845861.0,,2.08
2025-07-11,71.94,71.95,72.58,71.53,1857648.0,,1.45
2025-07-14,71.95,71.96,72.02,70.69,1850945.0,,1.85
2025-07-15,71.96,70.75,72.26,70.71,2276437.0,,2.15
2025-07-16,70.94,71.38,71.47,70.58,1839594.0,,1.26
2025-07-17,71.45,71.72,72.15,71.24,2041426.0,,1.27
2025-07-18,71.75,71.42,72.11,71.36,1423017.0,,1.05
2025-07-21,71.55,70.74,71.89,70.59,1422794.0,,1.82
2025-07-22,70.75,72.5,72.62,70.56,2017200.0,,2.91
2025-07-23,72.96,72.41,73.12,72.07,1704064.0,,1.45
2025-07-24,72.24,71.45,72.66,71.34,2022422.0,,1.82
2025-07-25,71.46,71.57,71.69,70.79,1974296.0,,1.26
2025-07-28,71.17,71.61,72.72,70.9,2137096.0,,2.54
2025-07-29,71.38,72.81,73.84,71.35,2830842.0,,3.48
2025-07-30,72.68,71.39,72.94,71.08,1680088.0,,2.55
2025-07-31,70.66,70.63,71.47,70.25,3634028.0,,1.71
2025-08-01,70.99,70.28,71.27,69.84,1401909.0,,2.02
2025-08-04,70.01,70.14,70.57,69.76,1571867.0,,1.15
2025-08-05,70.32,69.75,70.6,69.74,1906545.0,,1.23
2025-08-06,69.82,69.43,70.12,69.27,2003877.0,,1.22
2025-08-07,69.7,70.24,70.49,69.13,2236023.0,,1.96
2025-08-08,70.24,70.32,70.65,69.99,1466125.0,,0.94
2025-08-11,70.65,69.67,70.65,69.16,1873630.0,,2.12
2025-08-12,69.35,69.09,69.77,68.42,2359591.0,,1.94
2025-08-13,68.88,70.62,70.86,68.42,2934207.0,,3.53
2025-08-14,70.43,70.19,70.43,69.58,1958964.0,,1.2
2025-08-15,70.47,69.7,70.47,69.58,1709881.0,,1.27
2025-08-18,69.7,68.41,69.77,68.23,3287376.0,,2.21
2025-08-19,68.92,69.05,69.81,68.56,2575908.0,,1.83
2025-08-20,70.7,69.88,70.97,69.22,2446658.0,,2.53
2025-08-21,69.78,71.07,71.19,69.78,3271989.0,,2.02
2025-08-22,71.79,72.26,72.58,71.21,3163712.0,,1.93
2025-08-25,71.9,70.56,71.9,70.41,2140778.0,,2.06
2025-08-26,70.46,70.33,70.98,70.08,2857676.0,,1.28
2025-08-27,70.11,70.68,70.74,69.8,1965466.0,,1.34
2025-08-28,70.68,69.86,70.77,68.69,3423232.0,,2.94
2025-08-29,69.99,70.37,70.7,69.72,2466022.0,,1.4
2025-09-02,70.38,68.8,70.85,68.38,2469559.0,,3.51
2025-09-03,68.94,69.84,69.9,68.55,1825900.0,,1.96
2025-09-04,70.19,70.13,70.58,69.78,1765891.0,,1.15
2025-09-05,70.27,70.91,71.63,70.2,2583985.0,,2.04
