日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,61.17,59.98,61.76,59.88,17354732.0,,
2025-05-22,60.58,61.32,61.62,60.16,16764468.0,,2.43
2025-05-23,59.86,60.02,60.38,59.49,14282391.0,,1.45
2025-05-27,61.13,62.83,62.84,60.84,16642099.0,,3.33
2025-05-28,62.74,61.78,63.11,61.56,10015606.0,,2.47
2025-05-29,62.49,61.44,62.9,61.13,12240869.0,,2.87
2025-05-30,61.0,60.59,61.12,60.1,18155104.0,,1.66
2025-06-02,60.05,61.57,61.6,59.6,14065322.0,,3.3
2025-06-03,61.24,62.37,62.45,60.46,10286134.0,,3.23
2025-06-04,62.38,62.77,63.04,62.27,10242322.0,,1.23
2025-06-05,62.94,62.67,63.66,62.23,12374936.0,,2.28
2025-06-06,62.67,62.8,63.09,62.12,13299624.0,,1.55
2025-06-09,63.3,61.91,63.49,61.88,11640024.0,,2.56
2025-06-10,62.38,63.87,64.16,62.25,15286966.0,,3.09
2025-06-11,64.4,63.11,64.85,62.58,10238704.0,,3.55
2025-06-12,62.74,62.8,62.93,61.76,9830489.0,,1.85
2025-06-13,61.75,60.53,62.78,60.11,16509682.0,,4.25
2025-06-16,61.38,61.9,62.18,61.24,13681576.0,,1.55
2025-06-17,61.3,60.0,61.3,59.68,13649716.0,,2.62
2025-06-18,60.0,59.51,60.45,59.37,14194281.0,,1.8
2025-06-20,59.75,59.79,60.04,59.19,19083966.0,,1.43
2025-06-23,59.58,60.78,61.3,59.44,15921334.0,,3.11
2025-06-24,61.33,61.42,61.98,60.48,12563997.0,,2.47
2025-06-25,61.45,60.83,61.53,60.36,12186174.0,,1.9
2025-06-26,61.56,62.54,62.73,60.82,39659773.0,,3.14
2025-06-27,69.79,72.04,74.19,69.69,117530345.0,,7.2
2025-06-30,71.45,71.04,71.71,70.06,31090390.0,,2.29
2025-07-01,71.99,73.41,73.94,71.83,27512934.0,,2.97
2025-07-02,73.17,76.39,76.84,73.0,36882339.0,,5.23
2025-07-03,76.27,76.39,77.03,75.58,12022568.0,,1.9
2025-07-07,76.04,76.53,77.5,75.85,17296891.0,,2.16
2025-07-08,76.13,73.92,76.3,73.65,19572430.0,,3.46
2025-07-09,74.13,73.56,74.92,73.42,12076693.0,,2.03
2025-07-10,73.12,74.62,75.5,72.95,13036468.0,,3.47
2025-07-11,73.69,72.63,73.84,72.4,12771419.0,,1.93
2025-07-14,72.34,72.25,72.58,71.03,11385359.0,,2.13
2025-07-15,72.26,71.99,72.88,71.58,9708349.0,,1.8
2025-07-16,71.9,72.1,72.71,71.15,9008574.0,,2.17
2025-07-17,72.12,72.98,73.21,72.04,9180372.0,,1.62
2025-07-18,73.28,72.47,73.28,72.12,8801019.0,,1.59
2025-07-21,72.93,74.02,74.81,72.91,12743932.0,,2.62
2025-07-22,74.07,75.39,75.54,74.04,11297526.0,,2.03
2025-07-23,76.15,76.75,77.21,75.82,16428064.0,,1.84
2025-07-24,76.51,75.42,77.54,75.41,10037823.0,,2.78
2025-07-25,75.91,76.27,76.57,75.53,7208387.0,,1.38
2025-07-28,79.0,79.24,79.99,77.56,22631087.0,,3.19
2025-07-29,78.76,78.33,79.37,77.76,12885505.0,,2.03
2025-07-30,77.78,76.68,78.3,75.96,14601692.0,,2.99
2025-07-31,76.35,74.69,76.4,74.31,16700030.0,,2.73
2025-08-01,73.45,74.62,74.7,72.53,11911586.0,,2.91
2025-08-04,75.03,74.82,75.26,74.16,8839008.0,,1.47
2025-08-05,74.91,74.38,75.71,74.24,6533788.0,,1.96
2025-08-06,74.47,75.48,75.98,74.25,7579794.0,,2.33
2025-08-07,76.32,74.35,76.35,74.0,8717603.0,,3.11
2025-08-08,74.2,74.19,74.96,73.39,6738987.0,,2.11
2025-08-11,74.32,74.02,74.79,73.05,6985681.0,,2.35
2025-08-12,74.72,74.9,75.72,74.34,6399721.0,,1.86
2025-08-13,75.48,77.2,77.69,75.19,13472551.0,,3.34
2025-08-14,75.91,76.39,76.6,75.35,7990497.0,,1.62
2025-08-15,76.74,76.97,77.5,76.16,9767746.0,,1.75
2025-08-18,77.11,77.43,78.26,76.85,9069079.0,,1.83
2025-08-19,78.2,76.88,78.79,76.68,7684807.0,,2.73
2025-08-20,76.69,76.26,77.56,76.16,6282604.0,,1.82
2025-08-21,75.7,76.18,76.23,75.13,6354912.0,,1.44
2025-08-22,76.54,78.38,79.14,76.25,10985948.0,,3.79
2025-08-25,78.47,79.17,80.17,78.39,12488938.0,,2.27
2025-08-26,79.0,78.65,79.48,78.38,6874765.0,,1.39
2025-08-27,78.96,78.06,79.51,77.65,12636742.0,,2.36
2025-08-28,78.58,77.92,78.66,77.73,7478609.0,,1.19
2025-08-29,77.75,77.37,79.13,77.12,14208813.0,,2.58
2025-09-02,75.64,74.29,76.05,74.0,15078709.0,,2.65
2025-09-03,74.4,74.74,75.18,73.91,8300061.0,,1.71
2025-09-04,74.75,75.35,75.77,74.51,11096158.0,,1.69
2025-09-05,74.8,73.91,75.41,73.63,13758377.0,,2.36
2025-09-08,74.26,74.15,74.58,73.71,13793260.0,,1.18
2025-09-09,73.99,73.6,74.55,73.05,8740157.0,,2.02
2025-09-10,75.25,74.25,75.46,73.33,11359274.0,,2.89
2025-09-11,74.41,74.33,75.53,74.01,9803422.0,,2.05
2025-09-12,74.24,73.0,74.28,71.93,11806044.0,,3.16
2025-09-15,73.18,73.03,73.21,72.58,10323751.0,,0.86
2025-09-16,72.8,72.75,73.38,72.09,8813556.0,,1.77
2025-09-17,73.07,72.31,73.32,71.61,11108702.0,,2.35
2025-09-18,73.44,72.1,73.6,71.63,14918371.0,,2.72
2025-09-19,72.01,70.89,72.25,70.74,33415575.0,,2.09
2025-09-22,70.79,71.28,72.49,70.43,12336264.0,,2.91
2025-09-23,71.57,70.93,72.42,70.73,10432417.0,,2.37
2025-09-24,70.67,71.22,71.53,70.45,10024485.0,,1.52
2025-09-25,71.16,69.24,71.16,69.05,13075284.0,,2.96
2025-09-26,69.38,69.31,69.44,68.03,15627552.0,,2.04
2025-09-29,69.77,69.55,69.96,68.74,18479281.0,,1.76
2025-09-30,70.07,69.73,70.21,68.82,40567682.0,,2.0
2025-10-01,74.35,74.2,74.69,71.61,57921886.0,,4.42
2025-10-02,75.0,74.57,76.97,73.88,26254376.0,,4.16
2025-10-03,74.78,71.93,74.78,71.92,18794866.0,,3.84
2025-10-06,72.02,71.17,72.39,71.01,14039587.0,,1.92
2025-10-07,71.23,68.91,71.58,68.9,17367985.0,,3.77
2025-10-08,68.91,69.09,69.43,68.67,13051753.0,,1.1
2025-10-09,69.55,68.06,69.66,67.89,13410879.0,,2.56
2025-10-10,68.18,65.22,68.49,64.88,18806071.0,,5.3
2025-10-13,65.7,67.38,67.52,65.55,13191246.0,,3.02
2025-10-14,66.47,67.64,68.0,66.06,9483677.0,,2.88
2025-10-15,68.58,68.46,69.53,68.13,13001479.0,,2.07
2025-10-16,68.6,66.84,69.04,66.58,15349738.0,,3.59
2025-10-17,66.63,67.37,67.77,66.32,10054043.0,,2.17
2025-10-20,67.56,67.62,68.18,67.47,9669999.0,,1.05
2025-10-21,67.75,68.36,69.29,67.41,9659203.0,,2.78
2025-10-22,68.22,69.08,69.36,67.96,8096127.0,,2.05
2025-10-23,69.09,69.68,69.89,68.74,9124913.0,,1.66
2025-10-24,69.71,69.11,70.08,68.91,7102911.0,,1.68
2025-10-27,70.04,68.59,70.44,68.26,9838115.0,,3.15
2025-10-28,68.11,67.43,68.61,67.05,11262395.0,,2.27
2025-10-29,67.01,65.35,67.19,64.95,15143126.0,,3.32
2025-10-30,65.18,64.9,66.0,64.57,13895231.0,,2.19
2025-10-31,65.0,64.59,65.25,64.25,17822510.0,,1.54
2025-11-03,64.72,62.65,64.85,62.34,22633317.0,,3.89
2025-11-04,62.42,61.23,62.59,61.12,13725428.0,,2.35
2025-11-05,61.28,62.11,62.85,60.86,20979812.0,,3.25
2025-11-06,61.88,61.89,62.48,61.67,15164633.0,,1.3
2025-11-07,61.74,61.09,62.18,60.29,15504763.0,,3.05
2025-11-10,61.75,60.8,62.09,60.49,13063059.0,,2.62
2025-11-11,61.73,63.15,63.6,61.24,17646388.0,,3.88
2025-11-12,64.1,64.2,65.19,63.74,14812195.0,,2.3
2025-11-13,65.71,66.03,66.26,64.88,21923604.0,,2.15
2025-11-14,64.94,64.17,65.06,63.75,17760099.0,,1.98
2025-11-17,63.07,62.9,63.54,62.26,17064691.0,,1.99
2025-11-18,62.4,62.49,62.76,61.68,14614639.0,,1.72
2025-11-19,62.43,62.64,63.22,62.01,11732125.0,,1.94
2025-11-20,62.95,61.43,63.83,61.41,13886596.0,,3.86
2025-11-21,62.01,62.8,63.5,61.54,12476917.0,,3.19
2025-11-24,62.51,61.93,63.07,61.93,16681656.0,,1.82
2025-11-25,62.34,63.68,64.12,61.87,11527157.0,,3.63
2025-11-26,63.5,64.33,64.87,62.97,13790955.0,,2.98
2025-11-28,64.47,64.63,64.78,63.97,4941353.0,,1.26
2025-12-01,63.77,65.39,65.99,63.58,12047278.0,,3.73
2025-12-02,65.45,64.93,65.47,64.58,9051181.0,,1.36
2025-12-03,65.08,65.65,66.66,64.98,12028291.0,,2.59
2025-12-04,65.6,65.69,66.1,65.01,10619498.0,,1.66
2025-12-05,65.7,65.86,66.08,64.88,10917935.0,,1.83
2025-12-08,65.6,63.54,65.8,63.27,12867334.0,,3.84
