日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,59.1,59.14,60.39,58.95,5541050.0,,
2025-05-22,58.81,58.82,59.6,58.56,3891812.0,,1.76
2025-05-23,56.1,58.44,59.26,55.88,4394994.0,,5.75
2025-05-27,59.53,60.68,60.81,59.41,4830081.0,,2.4
2025-05-28,61.0,59.78,61.29,59.57,4056000.0,,2.83
2025-05-29,60.47,58.84,60.62,58.59,4227674.0,,3.4
2025-05-30,59.02,59.39,59.56,58.42,3404757.0,,1.94
2025-06-02,59.2,59.14,59.36,58.27,3305151.0,,1.84
2025-06-03,59.16,58.53,59.21,58.23,3076282.0,,1.66
2025-06-04,58.53,58.03,58.69,57.91,2794249.0,,1.33
2025-06-05,57.95,56.95,58.25,56.13,5719105.0,,3.65
2025-06-06,56.9,56.56,57.2,56.23,2746940.0,,1.7
2025-06-09,57.75,56.46,57.8,56.0,2998225.0,,3.18
2025-06-10,56.5,56.93,57.03,56.03,4258309.0,,1.77
2025-06-11,57.2,56.79,58.08,56.79,2967400.0,,2.27
2025-06-12,56.13,55.73,56.82,55.11,3721033.0,,3.01
2025-06-13,54.24,52.26,55.45,51.12,9336794.0,,7.77
2025-06-16,53.18,53.01,53.59,52.5,5950393.0,,2.09
2025-06-17,52.68,52.08,53.09,51.96,4118248.0,,2.13
2025-06-18,52.09,51.87,52.4,51.36,3223891.0,,2.0
2025-06-20,52.26,52.67,53.05,51.74,3694893.0,,2.53
2025-06-23,51.88,53.07,53.12,51.21,4413056.0,,3.63
2025-06-24,53.64,52.46,53.84,52.35,3707492.0,,2.81
2025-06-25,52.89,51.48,52.99,51.0,3662790.0,,3.79
2025-06-26,51.68,51.59,52.06,50.75,4581706.0,,2.54
2025-06-27,52.49,52.49,52.98,51.64,26314394.0,,2.6
2025-06-30,52.88,52.05,53.0,51.86,4838589.0,,2.17
2025-07-01,51.5,52.21,53.17,51.19,4709985.0,,3.8
2025-07-02,52.18,53.7,55.95,52.0,12364987.0,,7.57
2025-07-03,54.13,54.31,54.72,53.51,3203823.0,,2.25
2025-07-07,54.17,54.36,54.64,53.36,5432804.0,,2.36
2025-07-08,53.93,52.6,54.5,52.03,4989804.0,,4.54
2025-07-09,52.8,54.12,54.13,52.25,3119140.0,,3.57
2025-07-10,54.2,53.31,54.72,53.07,3632887.0,,3.05
2025-07-11,53.31,52.44,53.48,52.18,3611495.0,,2.44
2025-07-14,52.56,53.26,53.73,52.23,3271947.0,,2.86
2025-07-15,53.32,53.46,53.54,51.55,4120247.0,,3.74
2025-07-16,53.58,52.88,53.69,51.9,3642999.0,,3.35
2025-07-17,52.9,54.24,54.41,52.57,3809876.0,,3.48
2025-07-18,54.29,53.12,54.37,52.93,2955459.0,,2.65
2025-07-21,53.13,53.21,53.37,52.14,4221333.0,,2.32
2025-07-22,52.57,50.36,52.78,50.1,7165287.0,,5.04
2025-07-23,50.9,51.64,51.84,50.66,4591710.0,,2.34
2025-07-24,51.38,49.95,51.44,49.61,5339582.0,,3.54
