日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,117.12,116.2,118.44,115.58,4794678.0,,
2025-05-22,116.0,119.8,120.0,115.47,6344382.0,,3.9
2025-05-23,116.44,119.24,119.4,116.44,7592449.0,,2.47
2025-05-27,98.22,102.98,103.2,97.32,51047424.0,,4.93
2025-05-28,100.52,97.88,100.61,97.49,18974869.0,,3.03
2025-05-29,100.15,98.29,101.16,98.11,15202298.0,,3.12
2025-05-30,97.56,96.51,97.7,95.24,17185033.0,,2.5
2025-06-02,96.69,96.44,96.72,95.32,6288209.0,,1.45
2025-06-03,96.4,98.33,98.94,95.52,7574915.0,,3.55
2025-06-04,98.82,99.65,101.16,97.83,9816701.0,,3.39
2025-06-05,101.11,99.33,101.14,98.91,7657105.0,,2.24
2025-06-06,99.29,100.6,100.84,99.19,5484119.0,,1.66
2025-06-09,102.0,101.62,103.55,101.61,7964178.0,,1.93
2025-06-10,100.89,102.39,102.51,99.02,5497192.0,,3.43
2025-06-11,103.07,103.16,104.26,102.8,6255676.0,,1.43
2025-06-12,103.0,103.43,103.56,102.29,4925392.0,,1.23
2025-06-13,101.66,100.58,102.72,100.05,7194250.0,,2.58
2025-06-16,102.12,102.79,103.0,101.42,6561939.0,,1.57
2025-06-17,101.85,102.53,103.41,101.54,4466302.0,,1.82
2025-06-18,102.4,102.25,103.0,101.56,4371535.0,,1.4
2025-06-20,102.68,101.21,102.92,100.45,12508951.0,,2.42
2025-06-23,100.35,101.95,102.0,99.65,4732449.0,,2.32
2025-06-24,102.74,107.16,107.75,102.74,11723986.0,,4.91
2025-06-25,107.86,107.14,108.68,106.82,4822418.0,,1.74
2025-06-26,106.81,105.75,106.82,103.65,4835954.0,,2.96
2025-06-27,106.03,105.14,106.03,104.59,4081601.0,,1.36
2025-06-30,104.43,104.66,105.14,102.25,5701301.0,,2.75
2025-07-01,104.45,105.49,105.82,104.4,3637701.0,,1.36
2025-07-02,104.78,103.97,104.88,102.92,4246019.0,,1.86
2025-07-03,102.9,103.59,104.1,102.66,2746257.0,,1.39
2025-07-07,102.58,105.25,105.7,102.38,5216315.0,,3.2
2025-07-08,106.83,106.31,108.82,106.28,5264163.0,,2.41
2025-07-09,105.99,105.0,106.05,103.91,4478447.0,,2.01
2025-07-10,105.48,104.97,106.05,104.15,3448514.0,,1.81
2025-07-11,105.16,104.91,107.18,104.87,4582304.0,,2.2
2025-07-14,105.69,102.41,105.69,102.08,6842200.0,,3.44
2025-07-15,104.5,105.06,106.54,103.65,6772740.0,,2.82
2025-07-16,104.5,105.13,105.86,103.32,4297149.0,,2.42
2025-07-17,105.15,107.95,109.29,104.89,7593354.0,,4.19
2025-07-18,110.11,109.0,111.18,108.65,10525060.0,,2.34
2025-07-21,109.43,111.66,112.67,109.04,9333320.0,,3.33
2025-07-22,112.87,115.04,115.57,111.48,8608206.0,,3.66
2025-07-23,118.0,118.46,121.49,117.9,12684373.0,,3.12
2025-07-24,119.99,118.21,121.0,117.28,7485907.0,,3.14
2025-07-25,116.68,118.45,118.69,116.51,4987808.0,,1.84
2025-07-28,118.6,116.76,120.84,116.25,5443191.0,,3.88
2025-07-29,116.49,115.42,117.1,114.93,7547463.0,,1.86
2025-07-30,114.34,112.92,115.69,112.72,7266837.0,,2.57
2025-07-31,112.03,113.45,114.29,110.93,4647477.0,,2.98
2025-08-01,111.2,110.06,111.82,108.87,7646136.0,,2.6
2025-08-04,111.82,112.04,113.06,111.44,3842605.0,,1.47
2025-08-05,112.64,112.62,114.46,112.25,3181897.0,,1.97
2025-08-06,113.65,113.94,115.44,112.82,4374065.0,,2.33
2025-08-07,114.44,114.19,115.85,114.17,5153926.0,,1.47
2025-08-08,114.06,114.26,114.97,113.13,4328458.0,,1.61
2025-08-11,114.43,113.04,114.61,112.05,4445824.0,,2.24
2025-08-12,113.47,116.43,117.65,112.91,7945019.0,,4.19
2025-08-13,119.0,116.63,120.18,116.03,6696909.0,,3.56
2025-08-14,115.86,114.74,117.39,113.92,5151744.0,,2.98
2025-08-15,117.01,118.95,119.92,116.33,10085075.0,,3.13
2025-08-18,120.5,118.34,121.4,118.33,6781616.0,,2.58
2025-08-19,118.05,119.07,120.14,117.25,6033820.0,,2.44
2025-08-20,119.07,118.0,121.34,117.86,5640680.0,,2.92
2025-08-21,118.03,122.96,123.37,117.79,13413783.0,,4.73
2025-08-22,127.48,127.11,129.0,125.82,20172298.0,,2.59
2025-08-25,125.85,128.21,133.33,124.22,31306046.0,,7.17
2025-08-26,128.5,123.91,132.7,123.04,15955865.0,,7.53
2025-08-27,121.75,122.22,122.48,120.01,10451072.0,,1.99
2025-08-28,122.31,122.22,123.04,121.22,5667871.0,,1.49
2025-08-29,122.82,120.22,123.08,119.83,11937557.0,,2.66
2025-09-02,119.39,121.69,122.1,118.77,8217324.0,,2.77
2025-09-03,120.84,124.39,124.75,119.97,7760670.0,,3.93
2025-09-04,123.47,123.87,125.18,123.04,7811429.0,,1.72
2025-09-05,125.82,124.68,126.59,124.13,8491199.0,,1.99
2025-09-08,125.71,125.03,126.04,123.49,6793780.0,,2.05
2025-09-09,124.99,126.06,128.0,124.52,9153816.0,,2.78
2025-09-10,126.06,124.68,126.27,123.69,7619673.0,,2.05
2025-09-11,125.67,125.72,128.0,125.01,9601470.0,,2.4
2025-09-12,125.98,125.44,126.06,123.77,4868874.0,,1.82
2025-09-15,126.06,127.39,128.59,124.51,12331450.0,,3.25
2025-09-16,127.59,129.06,130.0,127.48,12083115.0,,1.98
2025-09-17,132.86,134.86,135.37,131.6,24258509.0,,2.92
2025-09-18,133.43,132.96,134.46,132.45,8979486.0,,1.49
2025-09-19,134.09,129.47,134.1,129.0,17408315.0,,3.84
2025-09-22,128.81,128.57,130.69,128.44,7295988.0,,1.74
2025-09-23,128.2,128.52,130.62,127.0,7937667.0,,2.82
2025-09-24,131.56,130.96,133.0,130.16,9581148.0,,2.21
2025-09-25,130.18,131.01,131.68,129.43,4823371.0,,1.72
2025-09-26,129.47,129.99,131.13,128.2,5482131.0,,2.24
2025-09-29,132.0,130.67,133.61,130.36,8324807.0,,2.5
2025-09-30,132.78,132.17,134.38,131.16,12739445.0,,2.46
2025-10-01,133.0,134.4,135.01,132.62,9101832.0,,1.81
2025-10-02,135.39,135.24,136.84,134.12,8596766.0,,2.02
2025-10-03,135.48,134.25,135.63,132.58,7003195.0,,2.26
2025-10-06,134.28,134.33,135.36,132.97,6964253.0,,1.78
2025-10-07,134.57,133.48,134.72,132.41,4853638.0,,1.72
2025-10-08,133.79,133.77,135.14,133.19,5278388.0,,1.46
2025-10-09,133.01,131.25,133.91,130.06,8466657.0,,2.88
2025-10-10,130.26,124.27,132.33,122.92,21804407.0,,7.17
2025-10-13,128.0,127.55,129.59,126.81,9960513.0,,2.24
2025-10-14,125.12,127.1,128.05,124.91,5366532.0,,2.46
2025-10-15,128.56,127.58,129.31,126.51,4506867.0,,2.2
2025-10-16,128.06,127.35,128.24,126.22,3630421.0,,1.58
2025-10-17,125.54,128.48,130.23,125.53,6300891.0,,3.69
2025-10-20,129.3,131.56,132.42,128.53,8050425.0,,3.03
2025-10-21,131.47,130.71,131.84,129.12,3611616.0,,2.07
2025-10-22,130.69,130.06,132.39,128.6,4672547.0,,2.9
2025-10-23,131.22,133.29,133.96,130.62,7771937.0,,2.57
2025-10-24,134.35,133.96,134.96,133.35,5985202.0,,1.21
2025-10-27,136.62,137.76,138.75,135.81,8860340.0,,2.19
2025-10-28,136.85,138.03,138.26,136.06,4669778.0,,1.6
2025-10-29,139.05,138.08,139.41,137.0,9374449.0,,1.75
2025-10-30,135.36,136.01,136.48,134.6,4939426.0,,1.36
2025-10-31,135.67,134.87,136.56,134.46,4501603.0,,1.54
2025-11-03,135.04,134.68,136.67,134.37,6009520.0,,1.71
2025-11-04,132.92,133.84,133.96,131.7,6291196.0,,1.68
2025-11-05,134.61,136.34,136.74,133.77,4408034.0,,2.22
2025-11-06,137.93,136.74,138.71,136.2,4977337.0,,1.84
2025-11-07,135.08,135.78,136.15,133.5,5740764.0,,1.94
2025-11-10,137.81,138.13,138.16,136.57,7040901.0,,1.17
2025-11-11,137.5,137.11,139.12,136.99,7476106.0,,1.54
2025-11-12,137.92,136.04,138.5,135.5,4947224.0,,2.19
2025-11-13,137.5,134.47,138.2,133.94,6113380.0,,3.13
2025-11-14,131.61,130.95,132.43,129.45,10272660.0,,2.22
2025-11-17,131.5,129.04,131.57,128.86,11608285.0,,2.07
2025-11-18,123.18,119.58,123.8,118.87,20642314.0,,3.82
2025-11-19,119.55,118.02,119.69,116.09,12380534.0,,3.01
2025-11-20,117.66,112.93,118.68,112.66,11201714.0,,5.1
2025-11-21,112.7,113.24,114.06,111.29,9444017.0,,2.45
2025-11-24,115.08,113.49,115.66,113.01,8359753.0,,2.34
2025-11-25,114.06,114.0,115.13,113.2,5797966.0,,1.7
2025-11-26,116.02,115.8,118.54,115.5,7850790.0,,2.67
2025-11-28,116.81,116.08,117.0,115.8,3777649.0,,1.04
2025-12-01,116.41,118.27,119.51,116.15,7355552.0,,2.89
2025-12-02,118.61,118.9,119.11,116.43,5169702.0,,2.27
2025-12-03,118.23,117.2,119.54,117.09,4652408.0,,2.06
2025-12-04,117.15,116.82,117.2,114.89,6358479.0,,1.97
