日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,164.82,165.43,166.37,164.62,6424153.0,,
2025-05-22,164.44,165.03,166.2,164.02,6245571.0,,1.32
2025-05-23,164.83,165.86,166.22,163.48,5349868.0,,1.66
2025-05-27,165.27,167.76,167.98,165.27,11423794.0,,1.63
2025-05-28,167.65,167.36,168.84,167.06,5385942.0,,1.06
2025-05-29,166.74,168.56,168.99,166.44,4842554.0,,1.52
2025-05-30,168.75,169.89,170.99,168.6,12587537.0,,1.42
2025-06-02,169.02,167.78,169.04,166.23,7574428.0,,1.65
2025-06-03,166.78,166.85,167.41,165.9,6223447.0,,0.9
2025-06-04,166.69,165.95,168.05,165.92,4939333.0,,1.28
2025-06-05,165.43,162.8,165.44,162.51,10352288.0,,1.77
2025-06-06,163.29,164.02,165.24,163.28,5697877.0,,1.2
2025-06-09,163.39,162.56,164.02,162.07,6544199.0,,1.19
2025-06-10,162.69,162.84,163.51,161.92,7680015.0,,0.98
2025-06-11,162.63,162.11,162.77,161.69,5960052.0,,0.66
2025-06-12,161.97,163.18,163.31,161.68,6509891.0,,1.01
2025-06-13,162.77,160.28,163.03,159.91,7104547.0,,1.91
2025-06-16,160.88,160.88,161.95,160.01,6331961.0,,1.21
2025-06-17,160.06,158.52,160.37,158.31,6809747.0,,1.28
2025-06-18,158.55,158.02,158.65,157.66,7211225.0,,0.62
2025-06-20,158.03,159.08,159.34,157.85,16173371.0,,0.94
2025-06-23,159.07,161.03,161.19,159.0,6588223.0,,1.38
2025-06-24,161.18,160.36,161.74,159.65,7470052.0,,1.3
2025-06-25,159.83,158.97,160.34,158.71,5933715.0,,1.02
2025-06-26,159.55,158.63,159.56,157.17,7410446.0,,1.5
2025-06-27,158.68,159.86,160.13,158.29,19256955.0,,1.16
2025-06-30,159.26,159.32,159.9,158.13,11238201.0,,1.11
2025-07-01,159.88,161.22,162.53,159.38,10664891.0,,1.98
2025-07-02,161.14,161.2,161.35,159.86,8848744.0,,0.92
2025-07-03,161.79,160.83,162.02,159.79,6999589.0,,1.38
2025-07-07,160.89,160.5,161.18,159.29,7225695.0,,1.18
2025-07-08,159.52,157.89,159.78,157.44,12034764.0,,1.46
2025-07-09,158.1,157.52,158.2,155.95,18770894.0,,1.43
2025-07-10,157.76,158.49,159.61,157.04,7201748.0,,1.63
2025-07-11,158.05,157.05,158.05,156.44,8053808.0,,1.02
2025-07-14,155.58,153.76,155.8,152.86,11491688.0,,1.87
2025-07-15,153.56,152.68,154.05,151.9,9142615.0,,1.4
2025-07-16,152.74,153.73,153.76,152.27,8478997.0,,0.98
2025-07-17,154.04,155.62,155.75,153.88,8319996.0,,1.22
2025-07-18,153.78,155.1,155.57,153.63,7337252.0,,1.25
2025-07-21,155.07,155.03,155.94,154.89,6328370.0,,0.68
2025-07-22,154.92,158.32,158.37,154.9,8186970.0,,2.24
2025-07-23,158.22,158.28,158.88,157.68,4804795.0,,0.76
2025-07-24,158.87,158.81,159.02,158.05,7027392.0,,0.61
2025-07-25,157.34,158.3,158.44,157.02,5800248.0,,0.89
2025-07-28,157.63,157.11,158.09,156.23,7885026.0,,1.17
2025-07-29,158.65,156.61,158.65,154.84,11466058.0,,2.43
2025-07-30,157.0,152.88,157.0,152.05,8162888.0,,3.16
2025-07-31,151.8,150.47,152.0,149.91,11845443.0,,1.37
2025-08-01,151.78,150.65,153.49,150.52,8594220.0,,1.97
2025-08-04,150.25,150.76,151.46,150.02,7679361.0,,0.96
2025-08-05,150.71,150.51,152.08,150.32,6670065.0,,1.17
2025-08-06,150.86,152.86,153.48,150.21,7376213.0,,2.17
2025-08-07,153.12,153.49,154.01,152.7,6719044.0,,0.86
2025-08-08,152.77,153.51,153.79,152.57,5811281.0,,0.79
2025-08-11,153.54,154.98,155.39,153.31,7331707.0,,1.35
2025-08-12,155.06,155.09,155.55,154.31,6938336.0,,0.8
2025-08-13,155.21,155.41,157.01,154.95,5812356.0,,1.33
2025-08-14,154.64,153.74,154.7,153.27,6343715.0,,0.92
2025-08-15,154.47,154.36,155.6,154.21,7121700.0,,0.9
2025-08-18,154.42,155.72,156.92,154.17,8274726.0,,1.78
2025-08-19,155.73,158.4,158.7,155.67,7868129.0,,1.95
2025-08-20,158.58,159.51,161.03,158.41,7840355.0,,1.65
2025-08-21,157.93,158.73,159.06,157.18,6417695.0,,1.18
2025-08-22,159.38,158.67,160.68,158.31,5797325.0,,1.49
2025-08-25,158.39,156.15,158.7,155.89,4692505.0,,1.77
2025-08-26,155.92,155.97,156.7,155.34,6337977.0,,0.87
2025-08-27,156.15,156.96,157.13,155.79,4551219.0,,0.86
2025-08-28,157.0,155.65,157.01,155.03,5857727.0,,1.26
2025-08-29,156.09,157.04,157.56,155.65,5318179.0,,1.23
2025-09-02,157.36,157.99,158.86,156.98,6432837.0,,1.2
2025-09-03,157.65,158.17,158.64,156.5,6592451.0,,1.35
2025-09-04,158.52,159.19,159.75,157.81,6935245.0,,1.23
2025-09-05,158.55,160.02,160.56,158.41,6436150.0,,1.35
2025-09-08,159.61,159.01,160.27,158.25,7178356.0,,1.26
2025-09-09,158.61,159.46,159.87,158.2,4984936.0,,1.05
2025-09-10,158.6,157.35,158.94,155.89,6205463.0,,1.91
2025-09-11,157.72,158.63,159.35,157.39,5819875.0,,1.25
2025-09-12,157.93,157.9,159.13,157.78,5957021.0,,0.85
2025-09-15,157.88,156.83,158.52,156.2,5994966.0,,1.47
2025-09-16,157.14,158.05,158.39,156.89,6559608.0,,0.96
2025-09-17,158.43,160.33,161.67,158.43,6764169.0,,2.05
2025-09-18,158.15,157.32,159.02,157.16,7651487.0,,1.16
2025-09-19,157.61,156.04,157.62,155.97,17224774.0,,1.05
2025-09-22,156.08,153.07,156.08,153.05,8712910.0,,1.94
2025-09-23,153.2,152.5,153.3,150.97,8853418.0,,1.52
2025-09-24,152.05,152.42,153.63,151.79,6483264.0,,1.21
2025-09-25,153.23,152.15,153.88,151.78,7511415.0,,1.38
2025-09-26,152.23,152.5,152.68,151.53,5721092.0,,0.76
2025-09-29,152.42,153.53,153.72,151.79,8139711.0,,1.27
2025-09-30,153.46,153.65,154.38,152.84,7762609.0,,1.0
2025-10-01,153.7,153.18,153.89,151.41,7566014.0,,1.61
2025-10-02,152.72,152.05,152.8,151.63,6892089.0,,0.76
2025-10-03,152.0,152.27,153.43,152.0,5212584.0,,0.94
2025-10-06,151.5,150.41,152.32,150.4,6736960.0,,1.26
2025-10-07,150.76,152.54,153.17,150.05,6844361.0,,2.07
2025-10-08,152.79,150.69,152.79,150.63,5254728.0,,1.42
2025-10-09,150.74,150.58,150.87,149.58,6134461.0,,0.86
2025-10-10,150.94,149.69,151.52,149.45,7374046.0,,1.37
2025-10-13,149.0,147.49,149.43,146.97,7511103.0,,1.64
2025-10-14,147.57,149.16,149.25,147.08,8585346.0,,1.47
2025-10-15,148.53,147.42,149.41,147.27,10003073.0,,1.43
2025-10-16,148.01,149.6,150.4,147.92,8809673.0,,1.68
2025-10-17,150.57,151.4,152.03,150.43,8612894.0,,1.07
2025-10-20,151.59,151.96,152.39,151.3,5601287.0,,0.72
2025-10-21,151.96,151.62,152.28,150.87,6013379.0,,0.93
2025-10-22,151.3,152.2,153.46,150.79,6394378.0,,1.76
2025-10-23,152.35,152.21,153.3,150.58,8205353.0,,1.79
2025-10-24,156.4,152.49,157.4,151.53,11968491.0,,3.86
2025-10-27,151.61,151.74,151.76,150.13,7775323.0,,1.07
2025-10-28,151.12,151.37,153.17,150.62,5819257.0,,1.68
2025-10-29,150.66,148.77,150.97,148.47,7405466.0,,1.65
2025-10-30,149.47,149.58,150.8,149.34,6760702.0,,0.98
2025-10-31,148.71,150.37,151.1,148.53,7930334.0,,1.72
2025-11-03,150.1,148.02,150.22,147.77,8946383.0,,1.63
2025-11-04,148.6,147.17,149.5,146.25,9295449.0,,2.2
2025-11-05,146.87,145.79,147.42,145.65,11199878.0,,1.2
2025-11-06,145.88,146.13,146.68,144.46,10024549.0,,1.52
2025-11-07,146.95,146.98,147.94,146.0,8500097.0,,1.33
2025-11-10,146.38,145.5,146.62,144.09,10208085.0,,1.72
2025-11-11,145.96,148.54,148.65,145.67,7332540.0,,2.05
2025-11-12,148.53,148.01,149.15,147.51,7851052.0,,1.1
2025-11-13,148.18,147.96,149.0,147.64,7566789.0,,0.92
2025-11-14,149.1,147.67,149.38,147.61,9151066.0,,1.2
2025-11-17,147.75,145.82,147.98,145.01,9902310.0,,2.01
2025-11-18,146.33,146.99,147.39,145.51,10735177.0,,1.29
2025-11-19,146.96,146.99,147.54,145.86,6367038.0,,1.14
2025-11-20,146.64,148.19,148.66,146.13,9021325.0,,1.72
2025-11-21,148.38,150.92,151.5,148.3,12017986.0,,2.16
2025-11-24,150.1,146.98,150.41,146.54,13846906.0,,2.56
2025-11-25,147.32,148.49,148.65,147.22,10477661.0,,0.97
2025-11-26,147.92,148.25,148.97,147.61,9238450.0,,0.92
2025-11-28,147.8,148.16,148.71,147.18,4707161.0,,1.03
2025-12-01,148.1,147.44,148.89,147.35,8240689.0,,1.04
2025-12-02,145.29,145.86,146.19,142.51,16376769.0,,2.5
2025-12-03,145.92,146.71,148.29,145.86,9125320.0,,1.67
2025-12-04,146.67,145.36,147.42,144.5,10479267.0,,1.99
2025-12-05,145.16,143.45,145.63,143.25,12791745.0,,1.64
2025-12-08,142.91,138.34,142.91,138.14,17507504.0,,3.33
2025-12-09,139.19,139.63,140.88,139.0,10375688.0,,1.36
2025-12-10,139.65,139.82,141.28,139.54,13650378.0,,1.25
2025-12-11,141.0,140.76,141.84,140.36,11797981.0,,1.06
2025-12-12,141.0,142.84,143.11,140.84,10268768.0,,1.61
2025-12-15,143.27,145.13,145.32,143.2,13877674.0,,1.48
2025-12-16,146.1,145.21,146.54,144.65,10251720.0,,1.3
2025-12-17,146.69,147.81,148.45,146.45,9833261.0,,1.38
2025-12-18,146.62,145.52,147.5,145.35,12239860.0,,1.45
2025-12-19,145.51,144.46,146.05,143.94,19345622.0,,1.45
2025-12-22,143.71,142.69,144.4,142.42,11731360.0,,1.37
2025-12-23,142.49,143.18,143.73,142.08,9541563.0,,1.16
2025-12-24,142.9,144.49,144.74,142.83,3259209.0,,1.33
2025-12-26,144.31,144.74,145.64,144.31,4711505.0,,0.92
2025-12-29,144.8,144.57,145.07,143.95,7662127.0,,0.77
2025-12-30,144.29,144.05,144.46,143.57,6006432.0,,0.62
2025-12-31,144.0,143.31,144.14,143.23,5293220.0,,0.63
2026-01-02,143.11,141.79,143.34,141.24,8946091.0,,1.47
2026-01-05,141.1,140.37,141.35,139.6,12297334.0,,1.23
2026-01-06,140.39,139.91,141.42,139.51,10421756.0,,1.36
2026-01-07,139.8,138.04,139.8,137.62,14369142.0,,1.56
2026-01-08,137.89,141.53,141.78,137.82,9297080.0,,2.87
2026-01-09,141.7,141.87,142.33,140.83,9528476.0,,1.06
2026-01-12,142.28,143.46,143.88,141.71,12812014.0,,1.53
2026-01-13,144.0,144.24,144.34,142.97,15549150.0,,0.95
2026-01-14,144.68,146.35,146.9,144.37,13474983.0,,1.75
2026-01-15,145.68,144.63,146.35,144.35,10102757.0,,1.37
2026-01-16,143.76,144.53,144.73,143.66,11729334.0,,0.74
2026-01-20,144.46,147.0,147.0,144.12,12901430.0,,1.99
2026-01-21,147.06,146.06,147.37,144.97,14126814.0,,1.63
2026-01-22,148.08,149.93,150.91,147.5,18501854.0,,2.33
2026-01-23,150.84,150.15,151.65,149.8,14562626.0,,1.23
2026-01-26,150.12,149.49,150.88,148.52,12655663.0,,1.57
2026-01-27,148.07,148.34,149.64,147.93,9546000.0,,1.14
2026-01-28,148.0,147.34,148.71,146.79,7465812.0,,1.29
2026-01-29,147.29,149.9,150.13,147.11,11035563.0,,2.05
2026-01-30,150.43,151.77,151.97,149.15,12651426.0,,1.88
2026-02-02,152.42,153.19,153.73,151.25,10554872.0,,1.63
2026-02-03,152.59,155.32,156.53,152.2,12424740.0,,2.83
2026-02-04,156.13,156.87,158.37,155.76,12178463.0,,1.68
2026-02-05,158.84,158.61,159.65,156.12,13077657.0,,2.25
2026-02-06,158.24,159.17,159.99,158.01,10441737.0,,1.25
2026-02-09,158.76,157.33,159.28,156.02,11439942.0,,2.05
2026-02-10,157.53,159.08,160.15,156.72,9910099.0,,2.18
2026-02-11,158.64,160.0,161.14,158.19,10217309.0,,1.85
2026-02-12,160.02,161.21,163.14,159.65,13512862.0,,2.18
2026-02-13,161.74,160.07,162.57,159.71,13999208.0,,1.77
2026-02-17,159.95,159.55,162.17,158.88,13319135.0,,2.06
2026-02-18,158.98,156.86,158.98,155.77,14434308.0,,2.01
2026-02-19,156.83,158.56,159.96,156.83,10724558.0,,2.0
2026-02-20,159.13,160.78,161.06,158.16,11508133.0,,1.83
2026-02-23,160.32,165.17,165.36,160.3,14772449.0,,3.15
2026-02-24,164.9,165.28,166.87,163.94,9709847.0,,1.77
2026-02-25,164.54,163.39,165.0,162.1,7878458.0,,1.75
2026-02-26,164.22,163.75,164.5,162.86,7028558.0,,1.0
2026-02-27,164.04,167.2,167.25,163.69,14878484.0,,2.17
2026-03-02,165.29,163.51,166.55,163.45,9095500.0,,1.85
2026-03-03,162.19,159.72,162.19,158.62,10161002.0,,2.18
2026-03-04,159.44,158.3,159.61,157.31,8752716.0,,1.44
2026-03-05,156.94,153.99,157.1,153.77,10060314.0,,2.1
2026-03-06,153.66,153.63,154.43,151.89,8187905.0,,1.65
2026-03-09,153.15,155.22,156.23,152.9,12494929.0,,2.17
2026-03-10,155.49,156.01,157.15,153.6,7756771.0,,2.29
2026-03-11,155.23,153.32,155.38,151.43,8857194.0,,2.53
2026-03-12,152.21,150.5,153.05,150.33,8489278.0,,1.77
2026-03-13,151.37,150.65,152.55,150.18,7298896.0,,1.57
2026-03-16,151.86,152.12,152.64,150.65,6944219.0,,1.32
2026-03-17,153.01,151.48,153.46,151.2,6147692.0,,1.49
2026-03-18,149.31,146.71,149.62,146.46,10059257.0,,2.09
2026-03-19,146.22,144.84,147.38,144.79,10340333.0,,1.77
2026-03-20,144.99,144.28,145.82,144.25,60620861.0,,1.08
2026-03-23,146.15,143.99,146.15,143.48,10315584.0,,1.85
2026-03-24,143.33,143.16,145.23,142.23,8567608.0,,2.08
2026-03-25,143.74,143.92,144.1,142.23,8418089.0,,1.31
2026-03-26,143.69,142.42,144.57,142.24,6443158.0,,1.62
2026-03-27,142.72,142.71,144.08,142.01,11558266.0,,1.45
2026-03-30,143.04,144.72,145.57,142.57,11616291.0,,2.1
2026-03-31,144.82,144.44,144.92,142.28,10407548.0,,1.82
2026-04-01,143.92,144.09,144.97,143.21,8061652.0,,1.22
2026-04-02,144.09,143.12,144.21,142.58,5941663.0,,1.13
2026-04-06,143.01,142.77,143.67,141.92,6823103.0,,1.22
2026-04-07,142.52,141.3,142.77,140.74,7207503.0,,1.42
2026-04-08,143.15,144.9,145.11,141.87,10849670.0,,2.29
2026-04-09,144.39,146.66,146.94,143.0,6794840.0,,2.72
2026-04-10,146.89,145.16,146.89,144.76,9790295.0,,1.45
2026-04-13,145.0,143.58,145.09,142.63,7121405.0,,1.69
2026-04-14,143.24,144.38,144.72,142.77,6621561.0,,1.36
2026-04-15,144.36,143.38,144.4,142.26,7698188.0,,1.48
2026-04-16,143.2,143.11,144.29,142.66,6947144.0,,1.14
2026-04-17,143.41,146.93,147.59,143.16,10886017.0,,3.1
