日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,40.36,41.0,41.27,40.03,770662.0,,
2025-05-22,40.75,42.53,42.79,40.5,763287.0,,5.59
2025-05-23,41.26,42.25,42.32,40.87,515837.0,,3.41
2025-05-27,42.85,44.31,44.63,42.5,1278565.0,,5.04
2025-05-28,44.38,43.59,44.43,43.06,1009241.0,,3.09
2025-05-29,43.71,43.82,44.28,43.24,1000666.0,,2.39
2025-05-30,43.51,45.25,45.39,42.97,921693.0,,5.52
2025-06-02,44.81,46.31,46.52,44.4,1360866.0,,4.69
2025-06-03,46.3,46.39,46.75,45.51,835510.0,,2.68
2025-06-04,46.58,47.09,48.21,46.47,657043.0,,3.75
2025-06-05,46.92,47.51,48.11,45.8,1394002.0,,4.91
2025-06-06,47.88,49.91,50.38,47.31,1219210.0,,6.46
2025-06-09,50.25,50.53,51.06,49.63,976114.0,,2.87
2025-06-10,50.46,48.2,50.54,48.03,1572067.0,,4.97
2025-06-11,48.22,51.79,55.47,45.76,6286438.0,,20.15
2025-06-12,51.9,50.63,52.04,49.5,1704496.0,,4.9
2025-06-13,50.02,50.42,51.45,49.75,1079120.0,,3.36
2025-06-16,50.87,49.8,51.36,49.72,1209076.0,,3.25
2025-06-17,49.35,49.1,50.2,48.42,1251435.0,,3.57
2025-06-18,49.0,48.98,50.15,48.17,1457161.0,,4.03
2025-06-20,49.74,49.55,50.28,48.82,995006.0,,2.98
2025-06-23,49.32,49.0,49.98,48.71,1079197.0,,2.56
2025-06-24,49.03,49.04,50.0,48.28,998699.0,,3.51
2025-06-25,49.04,47.85,49.38,47.61,771821.0,,3.61
2025-06-26,48.24,48.53,49.5,47.66,1164613.0,,3.85
2025-06-27,48.22,48.69,48.81,47.41,1515724.0,,2.88
2025-06-30,48.87,48.94,49.05,48.03,934286.0,,2.09
2025-07-01,48.99,49.48,51.26,48.92,885584.0,,4.78
2025-07-02,49.68,49.88,51.63,49.0,2037907.0,,5.32
2025-07-03,49.82,49.0,50.23,48.33,540590.0,,3.81
2025-07-07,48.94,47.55,49.25,46.51,1606539.0,,5.59
2025-07-08,47.57,48.31,48.36,46.9,981870.0,,3.07
2025-07-09,48.36,47.93,48.66,47.42,1102934.0,,2.57
2025-07-10,47.59,48.02,48.53,47.41,681748.0,,2.34
2025-07-11,47.87,47.02,48.28,46.84,742494.0,,3.0
2025-07-14,47.06,46.9,47.56,46.5,607743.0,,2.25
2025-07-15,47.0,44.03,47.0,43.57,1798435.0,,7.31
2025-07-16,44.53,44.07,44.82,43.43,746931.0,,3.16
2025-07-17,44.3,44.06,44.7,43.57,615581.0,,2.56
2025-07-18,44.47,45.06,45.1,43.4,1130862.0,,3.86
2025-07-21,45.54,44.74,45.72,44.47,998944.0,,2.77
2025-07-22,44.38,45.35,45.7,44.27,844723.0,,3.2
2025-07-23,45.91,45.53,46.31,45.25,837933.0,,2.34
2025-07-24,45.16,43.14,45.16,43.13,907004.0,,4.46
2025-07-25,43.28,43.94,44.06,42.81,459327.0,,2.9
2025-07-28,44.12,43.06,44.12,42.58,813061.0,,3.5
2025-07-29,43.17,42.21,43.18,41.7,725387.0,,3.44
2025-07-30,42.68,43.43,43.48,42.41,839866.0,,2.53
2025-07-31,42.67,42.41,43.49,42.31,551296.0,,2.72
2025-08-01,42.32,41.79,42.83,41.39,623978.0,,3.4
2025-08-04,41.79,40.08,42.0,39.66,1075016.0,,5.6
2025-08-05,39.9,40.17,40.99,39.57,1324322.0,,3.54
2025-08-06,40.16,40.52,41.05,39.35,1727365.0,,4.23
2025-08-07,43.25,44.0,44.89,42.72,1185001.0,,5.36
2025-08-08,44.2,43.32,44.2,42.8,861326.0,,3.18
2025-08-11,43.54,44.14,44.42,42.51,1210026.0,,4.41
2025-08-12,44.56,46.12,46.26,43.42,1424169.0,,6.43
2025-08-13,46.06,47.54,47.74,45.61,1174513.0,,4.62
2025-08-14,47.23,47.6,47.89,46.32,561263.0,,3.3
2025-08-15,47.8,47.57,48.55,47.22,1270061.0,,2.79
2025-08-18,47.07,45.87,47.15,45.8,877622.0,,2.84
2025-08-19,46.48,45.9,47.32,45.83,724657.0,,3.25
2025-08-20,45.61,45.05,45.82,44.54,643367.0,,2.79
2025-08-21,44.87,44.32,45.01,43.94,584151.0,,2.38
2025-08-22,44.69,46.29,47.71,44.66,1281631.0,,6.88
2025-08-25,46.15,48.22,48.34,45.6,1558411.0,,5.92
2025-08-26,48.0,48.66,48.73,47.24,1415976.0,,3.09
2025-08-27,49.02,48.56,49.91,47.95,1315654.0,,4.03
2025-08-28,48.68,47.67,49.4,47.34,2168327.0,,4.24
2025-08-29,47.81,48.71,48.85,47.66,832685.0,,2.5
2025-09-02,48.4,47.62,48.44,47.54,990759.0,,1.85
2025-09-03,47.44,48.22,48.57,46.31,960360.0,,4.75
2025-09-04,48.16,47.37,48.25,46.1,979654.0,,4.46
2025-09-05,47.37,48.24,48.64,47.37,752902.0,,2.68
2025-09-08,48.0,49.69,49.77,47.28,1016496.0,,5.16
2025-09-09,49.27,48.76,50.58,48.71,1253586.0,,3.76
2025-09-10,48.76,49.74,50.17,48.12,1012953.0,,4.2
2025-09-11,49.82,50.05,50.89,49.39,886627.0,,3.02
2025-09-12,49.83,50.41,50.44,49.35,619253.0,,2.18
2025-09-15,50.5,49.62,51.91,49.58,1437699.0,,4.62
2025-09-16,49.79,48.66,50.1,48.15,1069634.0,,3.93
2025-09-17,48.67,46.13,49.27,45.88,1498723.0,,6.97
2025-09-18,46.11,45.76,46.49,45.29,920787.0,,2.6
2025-09-19,46.3,47.51,48.31,45.26,2019762.0,,6.67
2025-09-22,47.0,46.21,47.51,45.9,1502015.0,,3.39
2025-09-23,46.26,45.83,46.8,45.72,933185.0,,2.34
2025-09-24,45.83,46.27,46.62,45.41,487516.0,,2.64
2025-09-25,46.24,46.75,46.91,45.72,516455.0,,2.57
2025-09-26,46.6,47.0,47.59,46.02,701687.0,,3.36
2025-09-29,47.15,47.92,47.97,46.58,729767.0,,2.96
2025-09-30,47.46,48.15,48.23,47.06,629851.0,,2.44
2025-10-01,48.17,48.24,49.01,47.4,638149.0,,3.34
2025-10-02,48.21,47.92,48.45,47.52,563753.0,,1.93
2025-10-03,47.92,47.34,48.25,46.88,670808.0,,2.86
2025-10-06,45.66,46.57,46.67,44.84,1073769.0,,3.87
2025-10-07,46.54,44.54,46.88,44.48,750686.0,,5.15
2025-10-08,44.65,43.23,44.77,43.11,879187.0,,3.73
2025-10-09,43.0,42.33,43.24,42.06,839741.0,,2.73
2025-10-10,42.47,41.59,43.35,41.51,909276.0,,4.35
2025-10-13,42.26,45.62,50.95,41.99,8379480.0,,21.54
2025-10-14,45.81,48.68,49.76,45.44,3958287.0,,9.47
2025-10-15,54.0,53.25,54.95,51.72,5059547.0,,6.64
2025-10-16,52.79,53.03,53.48,52.01,1438764.0,,2.76
2025-10-17,53.0,52.01,53.7,51.98,1190053.0,,3.24
2025-10-20,52.42,53.33,53.64,52.1,897546.0,,2.96
2025-10-21,53.0,52.66,53.42,52.23,842845.0,,2.23
2025-10-22,52.8,52.88,53.46,52.14,1229029.0,,2.51
2025-10-23,52.94,52.92,53.37,51.83,956159.0,,2.91
2025-10-24,53.09,55.31,55.74,52.92,1970166.0,,5.33
2025-10-27,55.01,51.59,55.05,51.31,1268931.0,,6.76
2025-10-28,51.28,51.92,52.37,50.15,1140181.0,,4.3
2025-10-29,51.76,52.46,53.14,50.65,849868.0,,4.8
2025-10-30,51.14,51.26,51.68,50.79,794176.0,,1.7
2025-10-31,51.23,50.81,51.5,49.08,1124799.0,,4.72
2025-11-03,50.6,48.29,50.76,47.91,1677382.0,,5.61
2025-11-04,47.26,43.47,52.02,38.25,12264548.0,,28.52
2025-11-05,43.27,41.26,44.6,41.21,2831572.0,,7.8
2025-11-06,40.0,42.82,43.73,39.71,3124568.0,,9.74
2025-11-07,41.51,41.08,42.87,39.45,2409277.0,,7.99
2025-11-10,41.15,43.97,48.83,40.05,11205316.0,,21.37
2025-11-11,42.39,42.25,42.79,40.17,2136765.0,,5.96
2025-11-12,42.36,40.76,42.8,40.52,1585452.0,,5.4
2025-11-13,40.88,40.71,41.3,40.24,1210537.0,,2.6
2025-11-14,40.01,41.1,44.44,40.01,1932407.0,,10.88
2025-11-17,40.58,40.22,40.85,39.25,952051.0,,3.89
2025-11-18,39.88,41.03,41.09,39.78,901647.0,,3.26
2025-11-19,41.16,39.35,41.3,38.77,1127224.0,,6.17
2025-11-20,39.8,38.55,40.4,38.43,1182049.0,,5.01
2025-11-21,38.44,40.25,41.09,38.4,910758.0,,6.98
2025-11-24,40.28,40.47,41.07,39.9,780869.0,,2.91
2025-11-25,40.65,41.2,41.78,40.65,705213.0,,2.79
2025-11-26,40.71,41.86,42.68,40.71,777394.0,,4.78
2025-11-28,42.03,42.07,42.26,41.78,274657.0,,1.15
2025-12-01,41.5,41.59,41.96,41.0,550402.0,,2.28
2025-12-02,41.48,42.14,42.67,41.0,665334.0,,4.02
2025-12-03,42.08,42.87,43.83,42.01,864915.0,,4.32
2025-12-04,42.95,42.36,42.99,41.88,527205.0,,2.59
2025-12-05,42.18,41.16,42.23,41.1,504752.0,,2.67
2025-12-08,41.83,41.15,41.88,40.57,585007.0,,3.18
2025-12-09,41.25,40.96,41.34,40.55,407380.0,,1.92
2025-12-10,40.53,41.54,41.96,40.53,698981.0,,3.49
2025-12-11,41.76,41.94,42.77,41.53,467982.0,,2.99
2025-12-12,42.25,41.41,42.46,41.37,534649.0,,2.6
2025-12-15,42.23,41.56,42.23,41.11,808591.0,,2.7
2025-12-16,41.31,40.91,41.54,40.5,745768.0,,2.5
2025-12-17,41.09,40.97,42.52,40.92,870549.0,,3.91
2025-12-18,41.33,40.77,42.12,40.66,796521.0,,3.56
2025-12-19,40.7,40.86,40.98,40.22,1014517.0,,1.86
2025-12-22,40.9,40.22,41.16,39.94,745528.0,,2.99
2025-12-23,40.19,38.98,40.31,38.85,742635.0,,3.63
2025-12-24,39.06,39.28,39.46,38.95,269448.0,,1.31
2025-12-26,39.0,39.3,39.5,38.89,566213.0,,1.55
2025-12-29,39.01,39.32,39.63,38.71,807742.0,,2.34
2025-12-30,39.27,39.0,39.75,38.77,503931.0,,2.49
2025-12-31,38.75,38.49,38.8,38.1,832024.0,,1.79
2026-01-02,38.79,40.3,40.64,38.63,864335.0,,5.22
2026-01-05,40.03,39.87,40.46,39.47,750515.0,,2.46
2026-01-06,39.68,39.49,40.5,39.3,623076.0,,3.01
2026-01-07,39.45,37.55,39.49,37.45,1084057.0,,5.17
