日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,70.15,69.42,70.69,69.39,2291702.0,,
2025-05-22,69.29,69.43,69.62,68.82,2421552.0,,1.15
2025-05-23,69.32,70.07,70.36,68.9,1947883.0,,2.1
2025-05-27,71.0,71.6,72.32,70.9,3952732.0,,2.03
2025-05-28,71.61,71.8,71.95,71.19,1988190.0,,1.06
2025-05-29,71.76,70.7,72.03,70.56,1732981.0,,2.05
2025-05-30,70.69,71.41,71.49,70.39,3459984.0,,1.56
2025-06-02,70.94,72.0,72.09,70.51,2504964.0,,2.21
2025-06-03,71.8,71.73,72.32,71.45,1567116.0,,1.21
2025-06-04,71.92,71.55,72.12,71.29,1575295.0,,1.16
2025-06-05,71.72,71.39,72.04,71.37,1919463.0,,0.94
2025-06-06,71.28,71.3,71.68,71.05,1818715.0,,0.88
2025-06-09,70.89,69.75,70.89,69.66,2865813.0,,1.73
2025-06-10,70.2,69.26,70.48,68.98,2305595.0,,2.15
2025-06-11,69.2,67.62,69.28,67.43,2921761.0,,2.67
2025-06-12,67.56,68.31,68.33,67.43,2600629.0,,1.33
2025-06-13,67.92,67.26,68.38,67.11,1830621.0,,1.86
2025-06-16,67.46,67.12,67.8,66.85,2527966.0,,1.41
2025-06-17,67.12,66.78,67.36,66.37,2638456.0,,1.47
2025-06-18,66.63,66.09,66.92,66.03,3117377.0,,1.33
2025-06-20,66.23,66.07,66.75,66.02,1823952.0,,1.1
2025-06-23,65.96,65.94,66.49,65.41,7276246.0,,1.63
2025-06-24,65.55,65.51,65.81,65.12,3316600.0,,1.05
2025-06-25,65.12,64.86,65.6,64.76,3411103.0,,1.28
2025-06-26,65.11,65.55,65.66,64.77,3471829.0,,1.37
2025-06-27,65.58,65.35,65.95,64.44,28728174.0,,2.3
2025-06-30,65.34,66.29,66.38,65.1,3859842.0,,1.96
2025-07-01,66.38,67.92,68.49,66.38,2763141.0,,3.18
2025-07-02,67.76,68.27,68.35,67.18,2807548.0,,1.72
2025-07-03,68.25,68.92,68.98,68.05,1116197.0,,1.36
2025-07-07,68.57,67.86,68.75,67.84,2087855.0,,1.32
2025-07-08,67.68,68.2,68.43,67.14,1965449.0,,1.9
2025-07-09,68.65,67.25,68.78,67.04,2632727.0,,2.55
2025-07-10,67.33,67.75,68.1,67.05,2121001.0,,1.56
2025-07-11,67.61,67.34,67.61,66.86,1865759.0,,1.11
2025-07-14,67.26,67.3,67.43,66.88,1937764.0,,0.82
2025-07-15,67.23,67.0,67.36,66.44,2463748.0,,1.37
2025-07-16,66.86,67.96,67.98,66.82,2176778.0,,1.73
2025-07-17,67.72,69.57,69.69,67.68,3342055.0,,2.96
2025-07-18,69.45,69.14,69.93,69.07,1606389.0,,1.24
2025-07-21,69.28,68.9,69.69,68.73,1652342.0,,1.39
2025-07-22,68.9,71.34,71.36,68.9,1532653.0,,3.57
2025-07-23,71.37,71.14,71.77,70.94,1270538.0,,1.16
2025-07-24,70.62,70.02,71.43,70.01,1556396.0,,2.0
2025-07-25,69.58,69.56,69.89,68.72,1829633.0,,1.67
2025-07-28,69.38,69.05,69.5,68.58,1577395.0,,1.32
2025-07-29,69.05,68.82,69.29,68.44,1502594.0,,1.23
2025-07-30,68.87,68.71,69.27,68.34,1179121.0,,1.35
2025-07-31,68.35,67.86,68.63,67.65,1498658.0,,1.43
2025-08-01,68.51,68.02,68.73,67.84,1628364.0,,1.31
2025-08-04,68.17,69.15,69.61,68.12,1778661.0,,2.19
2025-08-05,68.8,68.16,69.32,68.13,1798410.0,,1.72
2025-08-06,68.84,68.6,68.97,68.06,2964219.0,,1.34
2025-08-07,68.09,65.07,68.3,64.32,6037975.0,,5.8
2025-08-08,64.7,64.5,65.83,64.46,3622875.0,,2.11
2025-08-11,64.47,65.14,65.73,64.47,2570533.0,,1.95
2025-08-12,65.4,64.81,65.72,64.6,1693751.0,,1.72
2025-08-13,64.93,65.52,65.72,64.42,1998966.0,,2.01
2025-08-14,65.0,65.18,65.18,64.47,2002982.0,,1.08
2025-08-15,64.97,65.29,65.55,64.68,1687760.0,,1.33
2025-08-18,65.4,65.84,65.97,65.11,1856524.0,,1.32
2025-08-19,66.0,66.56,66.9,65.95,1268558.0,,1.44
2025-08-20,66.7,63.75,66.7,63.69,3328917.0,,4.52
2025-08-21,63.63,63.79,63.79,63.34,1774129.0,,0.71
2025-08-22,63.81,63.4,64.35,63.25,2916091.0,,1.72
2025-08-25,63.16,62.73,63.5,62.69,3551931.0,,1.28
2025-08-26,62.88,62.76,63.14,62.64,3218912.0,,0.8
2025-08-27,62.64,62.63,63.03,62.57,1895794.0,,0.73
2025-08-28,62.75,63.05,63.11,62.34,2379116.0,,1.23
2025-08-29,63.1,63.33,63.43,62.83,1938390.0,,0.95
2025-09-02,63.02,62.5,63.16,62.31,2595007.0,,1.34
2025-09-03,62.35,62.41,62.94,62.21,2244303.0,,1.17
2025-09-04,62.4,62.1,62.44,61.79,2350587.0,,1.04
2025-09-05,62.1,63.1,63.29,62.1,2688549.0,,1.92
2025-09-08,62.85,62.02,63.24,61.33,3784030.0,,3.03
2025-09-09,61.8,61.86,62.07,61.6,4135985.0,,0.76
2025-09-10,61.97,61.92,62.31,61.44,3410801.0,,1.41
2025-09-11,62.06,63.48,63.6,61.92,3907238.0,,2.71
2025-09-12,62.98,62.92,63.34,62.79,2585457.0,,0.87
2025-09-15,63.46,63.88,64.05,63.1,2880062.0,,1.51
2025-09-16,64.15,63.85,64.35,63.75,3211509.0,,0.94
2025-09-17,64.01,63.89,64.69,63.75,3132933.0,,1.47
2025-09-18,63.55,62.93,63.77,62.85,2783516.0,,1.44
2025-09-19,63.22,63.76,63.97,62.89,4198247.0,,1.72
2025-09-22,63.89,64.68,64.77,63.43,8708395.0,,2.1
2025-09-23,64.0,64.15,64.46,63.74,3983255.0,,1.11
2025-09-24,64.02,64.49,64.63,63.6,2345026.0,,1.61
2025-09-25,64.65,64.56,64.92,64.1,2068532.0,,1.27
2025-09-26,64.65,64.91,65.1,64.47,1589409.0,,0.98
2025-09-29,64.99,65.6,65.78,64.76,3395140.0,,1.57
2025-09-30,65.69,64.14,65.94,64.11,2280530.0,,2.79
2025-10-01,64.22,66.16,66.16,64.17,2799374.0,,3.1
2025-10-02,65.95,67.68,67.79,65.89,2838749.0,,2.87
2025-10-03,67.7,68.48,68.59,67.42,2348277.0,,1.73
2025-10-06,68.58,68.87,69.01,68.14,2411431.0,,1.27
2025-10-07,69.26,67.26,69.26,67.2,2401976.0,,2.99
2025-10-08,67.21,67.3,67.65,66.76,3023426.0,,1.32
2025-10-09,67.31,66.65,68.02,66.58,2253117.0,,2.14
2025-10-10,67.08,66.84,67.35,66.56,2070617.0,,1.19
2025-10-13,66.44,66.79,67.44,66.35,1031558.0,,1.63
2025-10-14,66.61,68.67,68.79,66.61,3340734.0,,3.26
2025-10-15,68.75,69.3,69.46,68.58,1545704.0,,1.28
2025-10-16,69.43,67.42,69.5,67.28,2878531.0,,3.2
2025-10-17,67.35,67.38,67.58,66.73,2526016.0,,1.26
2025-10-20,67.32,67.76,68.35,67.24,1806627.0,,1.65
2025-10-21,67.81,67.49,67.96,67.34,1940400.0,,0.91
2025-10-22,67.07,67.67,68.15,67.07,1222666.0,,1.6
2025-10-23,67.68,67.45,68.0,67.16,1339018.0,,1.24
2025-10-24,67.68,67.42,67.83,67.1,896108.0,,1.08
2025-10-27,67.56,67.37,67.76,67.16,1152124.0,,0.89
2025-10-28,67.09,66.73,67.98,66.73,1610979.0,,1.86
2025-10-29,66.34,66.02,66.4,65.55,2872327.0,,1.27
2025-10-30,67.81,67.01,68.27,65.28,5251995.0,,4.53
2025-10-31,66.81,65.69,66.98,65.5,3142185.0,,2.21
2025-11-03,65.34,65.78,65.87,64.52,3719013.0,,2.06
2025-11-04,65.6,66.23,66.49,65.28,3129862.0,,1.84
2025-11-05,66.39,67.03,67.31,65.56,2439032.0,,2.64
2025-11-06,67.35,68.16,68.36,67.08,4967355.0,,1.91
2025-11-07,68.16,67.74,68.55,67.26,2028216.0,,1.89
2025-11-10,68.22,69.18,69.5,67.98,2856633.0,,2.24
2025-11-11,69.3,68.89,69.36,68.55,2195569.0,,1.17
2025-11-12,68.85,69.14,69.54,68.35,2256585.0,,1.73
2025-11-13,69.21,70.41,70.46,69.17,2307937.0,,1.87
2025-11-14,68.45,68.68,69.01,67.43,5590258.0,,2.24
2025-11-17,68.43,68.06,68.93,67.53,3271100.0,,2.04
2025-11-18,68.0,67.39,68.0,67.25,2859364.0,,1.1
2025-11-19,67.55,67.83,68.16,67.08,1838058.0,,1.6
2025-11-20,67.89,67.99,68.85,67.84,1842550.0,,1.49
2025-11-21,68.45,70.51,70.98,68.09,4240372.0,,4.25
2025-11-24,70.55,69.94,70.74,69.82,2929215.0,,1.3
2025-11-25,70.13,72.03,72.36,70.13,3073873.0,,3.19
2025-11-26,72.08,72.22,72.98,72.01,2941756.0,,1.35
2025-11-28,72.28,72.39,73.13,71.96,950660.0,,1.62
2025-12-01,72.3,71.61,72.36,71.52,1450025.0,,1.16
2025-12-02,72.0,71.27,72.25,71.01,1322526.0,,1.73
2025-12-03,71.5,71.95,72.1,71.38,2361039.0,,1.01
2025-12-04,72.12,71.93,72.6,71.87,2377401.0,,1.01
2025-12-05,72.12,73.54,73.7,71.95,3434849.0,,2.43
2025-12-08,73.66,71.69,73.7,71.48,3167377.0,,3.02
2025-12-09,71.76,70.94,72.62,70.6,1723307.0,,2.82
2025-12-10,70.93,70.76,71.31,70.45,3459389.0,,1.21
2025-12-11,70.67,70.45,71.41,69.96,3211112.0,,2.05
2025-12-12,70.66,70.87,71.12,70.47,4384195.0,,0.92
2025-12-15,70.84,70.99,71.34,70.46,2835105.0,,1.24
2025-12-16,71.0,70.47,71.37,70.33,2277195.0,,1.46
2025-12-17,70.48,70.2,71.0,70.06,2734082.0,,1.33
2025-12-18,70.23,69.91,70.87,69.75,3147338.0,,1.6
2025-12-19,70.0,70.05,70.25,69.76,2990988.0,,0.7
2025-12-22,69.75,70.33,70.39,69.74,8665813.0,,0.93
2025-12-23,69.69,68.86,70.0,68.8,3799753.0,,1.71
2025-12-24,68.86,69.57,69.8,68.86,875316.0,,1.37
2025-12-26,69.56,69.88,69.98,69.49,1740435.0,,0.7
2025-12-29,69.76,68.97,70.05,68.81,1960989.0,,1.77
2025-12-30,68.87,68.75,69.45,68.57,2042374.0,,1.28
2025-12-31,68.49,68.23,68.76,67.95,1610916.0,,1.18
2026-01-02,68.02,67.81,68.27,66.9,4258086.0,,2.01
2026-01-05,67.36,66.74,67.95,66.55,4373596.0,,2.06
2026-01-06,66.88,67.68,67.91,66.79,2939785.0,,1.68
2026-01-07,68.18,67.46,68.39,67.3,2705845.0,,1.61
2026-01-08,67.02,68.66,68.68,67.02,3698063.0,,2.46
2026-01-09,68.92,69.0,69.34,67.62,3004851.0,,2.51
2026-01-12,68.7,69.52,69.72,68.45,1793066.0,,1.84
2026-01-13,69.56,69.26,70.43,68.98,3022723.0,,2.09
2026-01-14,69.38,69.88,70.1,69.36,2381956.0,,1.07
2026-01-15,69.98,69.53,69.99,69.07,2110252.0,,1.32
2026-01-16,69.0,68.33,69.34,68.1,2198934.0,,1.78
2026-01-20,67.82,68.28,68.5,67.45,2124511.0,,1.54
2026-01-21,69.51,68.02,69.91,67.87,2475364.0,,2.99
2026-01-22,68.32,68.55,69.32,68.11,2307797.0,,1.78
2026-01-23,68.64,68.4,68.89,68.05,1865996.0,,1.23
2026-01-26,67.67,67.14,68.52,66.98,2329995.0,,2.25
2026-01-27,66.9,67.5,68.32,66.9,2310081.0,,2.11
2026-01-28,67.94,67.44,69.11,67.22,3261679.0,,2.8
2026-01-29,67.47,67.47,68.0,67.11,3677152.0,,1.32
2026-01-30,67.08,66.99,67.38,66.36,2151055.0,,1.51
2026-02-02,66.93,66.98,67.33,66.36,2585509.0,,1.45
2026-02-03,66.86,66.75,67.87,66.71,2188632.0,,1.73
2026-02-04,67.21,69.29,69.76,66.9,4117985.0,,4.28
2026-02-05,69.73,70.34,70.94,69.73,2841116.0,,1.75
2026-02-06,70.53,70.9,71.48,68.69,1921152.0,,3.97
2026-02-09,70.8,70.97,71.41,70.7,2568109.0,,1.0
2026-02-10,71.13,70.25,71.25,70.25,2107617.0,,1.41
2026-02-11,70.13,70.7,71.11,70.09,4393905.0,,1.45
2026-02-12,68.29,66.35,69.47,65.9,9193227.0,,5.05
2026-02-13,66.35,66.14,66.9,65.43,4110771.0,,2.22
2026-02-17,66.5,68.13,68.27,65.99,2970562.0,,3.45
2026-02-18,68.4,68.86,69.05,67.92,1831478.0,,1.66
2026-02-19,68.78,68.58,69.34,68.35,2728344.0,,1.44
2026-02-20,68.65,68.82,68.98,68.11,1454326.0,,1.27
2026-02-23,68.76,67.53,69.45,67.17,2829398.0,,3.31
2026-02-24,67.65,68.81,68.88,67.38,2341070.0,,2.22
2026-02-25,68.61,67.62,68.74,67.28,2970469.0,,2.12
2026-02-26,68.39,69.89,70.45,67.69,2794922.0,,4.08
2026-02-27,70.08,71.71,72.1,69.96,3580709.0,,3.06
2026-03-02,73.15,71.95,73.2,71.44,3601427.0,,2.45
2026-03-03,70.87,72.14,72.97,70.06,4365522.0,,4.04
2026-03-04,72.08,71.36,72.11,70.55,4352241.0,,2.16
2026-03-05,71.01,73.33,73.54,70.81,4486497.0,,3.83
2026-03-06,73.12,73.98,74.42,71.9,5030498.0,,3.44
2026-03-09,72.41,73.36,73.51,70.72,4465259.0,,3.77
2026-03-10,73.16,72.0,73.4,71.72,3214722.0,,2.29
2026-03-11,72.1,72.01,72.53,70.8,4152939.0,,2.4
2026-03-12,71.91,72.09,73.17,71.79,4187082.0,,1.92
2026-03-13,72.66,72.65,73.02,71.99,3478736.0,,1.43
2026-03-16,72.9,74.57,75.08,72.79,4677719.0,,3.15
2026-03-17,74.76,75.05,75.57,74.59,4248457.0,,1.31
2026-03-18,74.63,74.26,75.48,74.02,10792907.0,,1.95
2026-03-19,73.42,74.13,74.5,73.22,6467483.0,,1.72
2026-03-20,74.06,73.75,74.22,73.11,6428985.0,,1.5
2026-03-23,74.12,75.01,75.66,73.69,3641354.0,,2.67
2026-03-24,74.83,73.85,75.67,73.8,2871750.0,,2.49
2026-03-25,74.5,72.92,74.5,71.42,4467764.0,,4.17
2026-03-26,72.98,73.1,74.07,72.81,2402072.0,,1.73
2026-03-27,73.06,71.42,73.25,71.15,2529289.0,,2.87
2026-03-30,71.99,73.76,74.55,71.91,2459643.0,,3.7
2026-03-31,74.28,73.9,74.68,73.41,2751846.0,,1.72
2026-04-01,73.83,75.1,75.17,73.66,4541386.0,,2.04
2026-04-02,75.28,76.58,77.18,74.67,5080040.0,,3.34
2026-04-06,76.5,77.23,77.95,76.5,2650341.0,,1.89
2026-04-07,77.09,76.51,77.41,76.38,3048319.0,,1.33
2026-04-08,77.35,77.56,77.73,76.11,2319655.0,,2.12
2026-04-09,77.58,76.87,78.43,76.85,3253381.0,,2.04
2026-04-10,76.84,76.39,77.73,76.26,2422310.0,,1.91
2026-04-13,76.28,77.51,77.78,76.23,2615920.0,,2.03
2026-04-14,77.61,78.57,78.81,77.52,2173639.0,,1.66
2026-04-15,78.81,78.72,79.53,78.56,1968763.0,,1.23
2026-04-16,78.75,77.61,79.51,77.31,3184539.0,,2.79
2026-04-17,77.53,78.32,78.64,77.44,2826446.0,,1.55
2026-04-20,78.7,78.91,79.16,78.45,1958879.0,,0.91
2026-04-21,78.94,78.69,79.21,78.13,1695964.0,,1.37
2026-04-22,78.93,79.0,79.4,78.39,2257671.0,,1.28
2026-04-23,79.6,81.23,81.54,79.31,3999344.0,,2.82
2026-04-24,80.89,80.9,81.67,80.52,3283957.0,,1.42
2026-04-27,80.55,78.87,81.07,78.8,3365401.0,,2.81
2026-04-28,79.07,78.2,79.7,78.05,3970837.0,,2.09
2026-04-29,78.21,78.7,79.25,77.98,2377820.0,,1.62
2026-04-30,78.76,80.68,80.99,78.76,4608474.0,,2.83
2026-05-01,80.99,80.03,81.24,79.69,3767914.0,,1.92
2026-05-04,79.83,80.05,81.08,79.63,2960276.0,,1.81
2026-05-05,80.49,81.67,81.91,79.85,3419962.0,,2.57
2026-05-06,81.12,77.2,81.96,76.21,7273628.0,,7.04
2026-05-07,76.49,79.14,79.36,75.71,5753666.0,,4.73
2026-05-08,79.43,79.71,80.04,78.4,4160029.0,,2.07
2026-05-11,79.71,78.23,79.92,78.2,5731426.0,,2.16
2026-05-12,78.73,78.3,79.02,77.12,3290317.0,,2.43
2026-05-13,78.23,76.44,79.48,76.15,4446716.0,,4.25
2026-05-14,76.72,76.44,77.35,75.67,3327090.0,,2.2
2026-05-15,76.74,75.84,76.91,75.61,2705738.0,,1.7
2026-05-18,75.94,75.69,76.46,74.85,1912704.0,,2.12
2026-05-19,75.72,75.77,76.36,75.29,2305801.0,,1.41
2026-05-20,75.62,76.53,76.85,75.03,2102543.0,,2.4
2026-05-21,75.98,76.25,76.5,74.79,2707655.0,,2.23
2026-05-22,76.43,75.38,76.63,74.48,4139964.0,,2.82
2026-05-26,75.76,75.42,76.75,75.11,2379969.0,,2.18
2026-05-27,75.37,74.72,75.99,74.61,2395238.0,,1.83
2026-05-28,74.38,74.31,74.95,74.1,2332071.0,,1.14
2026-05-29,74.0,74.7,75.34,73.79,3239809.0,,2.09
2026-06-01,74.99,72.86,75.2,72.2,3474956.0,,4.02
2026-06-02,72.68,71.57,73.07,71.38,2943172.0,,2.32
2026-06-03,71.82,72.76,74.2,71.79,4812211.0,,3.37
2026-06-04,73.07,71.83,74.17,71.65,3698020.0,,3.46
2026-06-05,71.9,72.66,72.79,70.99,5769235.0,,2.51
2026-06-08,72.47,71.5,72.65,71.23,3562164.0,,1.95
2026-06-09,71.44,72.67,72.86,71.39,3093524.0,,2.06
2026-06-10,72.94,73.2,73.58,72.64,5524119.0,,1.29
2026-06-11,73.58,73.9,73.97,72.58,4387176.0,,1.9
2026-06-12,74.33,74.85,75.11,73.87,3224515.0,,1.68
2026-06-15,74.87,75.65,75.76,74.53,3329024.0,,1.64
2026-06-16,75.46,76.29,76.9,75.0,2828966.0,,2.51
2026-06-17,75.81,74.17,76.34,74.05,2926093.0,,3.0
2026-06-18,74.92,73.44,75.27,73.31,2779327.0,,2.64
2026-06-22,73.18,71.85,73.63,71.2,5769688.0,,3.31
2026-06-23,71.0,71.64,71.87,70.95,2525565.0,,1.28
2026-06-24,72.03,72.76,73.33,71.35,3318116.0,,2.76
2026-06-25,72.49,73.23,73.57,71.95,3023608.0,,2.23
2026-06-26,73.13,74.34,74.42,72.93,4710017.0,,2.03
2026-06-29,74.35,73.25,74.52,72.12,3373028.0,,3.23
2026-06-30,73.16,72.51,73.16,72.2,2415272.0,,1.31
2026-07-01,72.68,71.46,73.32,71.34,1721911.0,,2.73
2026-07-02,72.01,74.79,74.99,72.01,4485115.0,,4.17
2026-07-06,74.79,73.25,74.85,72.65,4599185.0,,2.94
2026-07-07,74.13,73.94,76.0,73.9,4055568.0,,2.87
2026-07-08,73.59,74.45,74.48,72.58,3894023.0,,2.57
2026-07-09,74.5,74.94,75.37,73.65,2792120.0,,2.31
2026-07-10,74.9,75.26,75.99,74.66,2259399.0,,1.77
2026-07-13,75.63,75.57,76.33,75.47,2935031.0,,1.14
2026-07-14,75.41,74.61,76.42,74.56,4369456.0,,2.46
2026-07-15,74.47,74.18,75.63,73.88,1971379.0,,2.35
2026-07-16,74.69,77.15,77.44,74.69,2587911.0,,3.71
