日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,151.51,152.68,153.91,151.12,2878472.0,,
2025-05-22,153.38,152.25,153.38,151.99,3996026.0,,0.91
2025-05-23,134.6,137.26,139.9,129.2,18535046.0,,7.03
2025-05-27,138.07,141.29,145.51,138.07,7636027.0,,5.42
2025-05-28,140.83,139.7,142.55,139.5,3596818.0,,2.16
2025-05-29,142.12,138.93,142.65,138.75,3913724.0,,2.79
2025-05-30,138.93,140.09,140.71,138.23,4225898.0,,1.79
2025-06-02,139.87,142.42,142.44,138.06,3073256.0,,3.13
2025-06-03,141.64,144.03,144.55,141.64,3161603.0,,2.04
2025-06-04,143.97,142.51,144.42,142.02,2260587.0,,1.67
2025-06-05,142.28,142.24,142.61,140.72,1620748.0,,1.33
2025-06-06,143.2,143.8,144.09,141.42,1496449.0,,1.88
2025-06-09,143.6,142.16,143.66,141.2,2782424.0,,1.71
2025-06-10,141.24,140.08,142.14,139.2,2159624.0,,2.07
2025-06-11,140.15,136.39,140.15,135.28,4645303.0,,3.48
2025-06-12,136.2,133.47,136.59,132.94,6158168.0,,2.68
2025-06-13,132.8,131.85,134.56,131.31,2996954.0,,2.44
2025-06-16,133.15,131.15,133.2,130.98,3537358.0,,1.68
2025-06-17,130.26,129.05,131.05,128.4,3971517.0,,2.02
2025-06-18,129.13,128.05,129.8,127.96,3833305.0,,1.43
2025-06-20,128.74,127.67,129.36,127.1,7112841.0,,1.76
2025-06-23,127.24,127.87,128.47,125.3,4898453.0,,2.48
2025-06-24,128.38,128.33,129.16,127.1,4515775.0,,1.61
2025-06-25,128.52,127.28,128.72,126.96,2017608.0,,1.37
2025-06-26,127.04,126.62,127.25,124.49,4159998.0,,2.17
2025-06-27,127.41,127.9,129.59,127.0,4422947.0,,2.05
2025-06-30,128.23,127.58,128.66,126.79,2553545.0,,1.46
2025-07-01,127.41,129.97,131.66,127.31,2976509.0,,3.41
2025-07-02,135.39,131.52,135.86,130.34,3684238.0,,4.25
2025-07-03,131.35,131.55,132.13,130.24,2343840.0,,1.44
2025-07-07,131.11,130.77,131.75,129.38,2504980.0,,1.8
2025-07-08,130.5,131.56,131.9,130.29,2737162.0,,1.23
2025-07-09,131.64,131.21,132.34,130.25,2211596.0,,1.59
2025-07-10,131.01,130.86,132.99,130.68,3142881.0,,1.76
2025-07-11,130.4,131.17,131.84,129.55,2171549.0,,1.75
2025-07-14,130.88,131.17,131.24,129.55,2485660.0,,1.29
2025-07-15,131.17,127.59,131.34,127.55,2082641.0,,2.89
2025-07-16,127.65,129.1,129.35,126.32,3697817.0,,2.37
2025-07-17,129.38,130.48,130.88,128.82,2105466.0,,1.6
2025-07-18,131.41,129.94,131.44,129.48,2714121.0,,1.5
2025-07-21,130.53,134.02,134.56,130.49,2749219.0,,3.13
2025-07-22,134.02,135.76,136.09,133.14,2077070.0,,2.2
2025-07-23,136.44,137.17,137.26,135.75,2350130.0,,1.11
2025-07-24,136.78,136.44,138.06,134.89,2311640.0,,2.31
2025-07-25,137.27,138.33,138.52,136.62,1644131.0,,1.39
2025-07-28,138.78,140.82,140.99,138.68,2687623.0,,1.67
2025-07-29,141.39,139.56,141.39,139.1,2118964.0,,1.63
2025-07-30,140.0,138.48,140.06,137.9,2231752.0,,1.55
2025-07-31,137.23,136.54,138.7,136.34,2519320.0,,1.7
2025-08-01,136.0,137.01,137.61,134.37,2220604.0,,2.37
2025-08-04,137.58,141.97,142.5,137.58,2686118.0,,3.59
2025-08-05,141.3,141.79,142.77,140.71,2055954.0,,1.45
2025-08-06,142.28,146.55,146.8,141.91,2955236.0,,3.45
2025-08-07,146.55,145.15,147.51,144.41,2107132.0,,2.12
2025-08-08,145.22,145.22,146.07,144.08,2295699.0,,1.37
2025-08-11,146.03,146.49,147.68,144.78,2399337.0,,2.0
2025-08-12,146.59,148.0,148.58,146.0,2346796.0,,1.76
2025-08-13,147.94,150.28,150.59,147.57,2795692.0,,2.04
2025-08-14,149.25,147.38,149.29,147.3,3247265.0,,1.32
2025-08-15,147.71,146.94,148.5,146.48,3695630.0,,1.37
2025-08-18,147.04,146.06,147.86,145.68,5075381.0,,1.48
2025-08-19,145.94,147.88,148.8,145.36,3615639.0,,2.36
2025-08-20,148.85,146.35,150.58,146.08,4966080.0,,3.04
2025-08-21,146.1,145.62,146.85,144.18,5610973.0,,1.82
2025-08-22,150.23,147.25,151.0,145.36,7736749.0,,3.87
2025-08-25,146.97,147.45,148.11,145.46,3371626.0,,1.8
2025-08-26,147.41,148.33,149.18,146.96,2693371.0,,1.51
2025-08-27,148.53,150.29,150.52,148.07,2360157.0,,1.65
2025-08-28,150.87,149.05,151.83,148.07,2321191.0,,2.5
2025-08-29,148.93,147.16,149.64,146.77,2633616.0,,1.93
2025-09-02,146.37,151.25,151.43,146.37,3132648.0,,3.44
2025-09-03,151.0,150.73,152.0,150.24,2701295.0,,1.16
2025-09-04,151.17,152.81,153.54,151.07,2621018.0,,1.64
2025-09-05,152.77,150.95,153.42,150.46,2438403.0,,1.94
2025-09-08,150.94,151.57,152.45,150.47,2393445.0,,1.31
2025-09-09,150.3,149.04,150.65,148.37,1863809.0,,1.5
2025-09-10,148.2,149.24,149.92,147.64,1956980.0,,1.53
2025-09-11,149.55,151.1,151.27,149.53,2029519.0,,1.17
2025-09-12,149.99,147.9,150.35,146.77,2131667.0,,2.37
2025-09-15,147.9,147.05,147.9,146.41,1946257.0,,1.01
2025-09-16,147.1,146.45,147.54,145.77,1554587.0,,1.2
2025-09-17,146.95,146.66,148.15,146.23,3285740.0,,1.31
2025-09-18,147.04,146.09,147.37,143.39,3155127.0,,2.71
2025-09-19,146.42,146.18,146.93,144.56,4702473.0,,1.62
2025-09-22,146.44,144.67,146.92,143.71,3294650.0,,2.2
2025-09-23,144.76,145.68,145.8,144.0,2704329.0,,1.24
2025-09-24,146.0,149.43,150.47,146.0,2689221.0,,3.07
2025-09-25,150.07,149.46,150.63,147.77,2758415.0,,1.91
2025-09-26,150.2,151.52,151.93,149.14,2265092.0,,1.87
2025-09-29,152.49,151.86,152.86,150.41,2346364.0,,1.62
2025-09-30,151.14,152.39,152.9,151.06,2025214.0,,1.21
2025-10-01,151.9,153.2,153.97,150.8,2193361.0,,2.08
2025-10-02,153.06,156.17,157.03,152.61,2576421.0,,2.89
2025-10-03,156.01,152.64,156.56,151.99,2372683.0,,2.93
2025-10-06,152.24,152.26,153.46,151.2,2669897.0,,1.48
2025-10-07,152.98,150.34,152.98,149.67,1591627.0,,2.17
2025-10-08,150.97,152.02,152.1,150.41,1992761.0,,1.12
2025-10-09,151.24,149.98,152.53,149.08,1466898.0,,2.27
2025-10-10,150.67,147.71,151.64,147.49,2365758.0,,2.77
2025-10-13,148.97,154.77,155.41,148.58,3214647.0,,4.62
2025-10-14,154.66,155.26,156.56,154.17,2077846.0,,1.54
2025-10-15,155.57,156.99,157.91,155.5,1851336.0,,1.55
2025-10-16,157.3,155.21,157.48,154.69,1793865.0,,1.78
2025-10-17,156.12,156.31,157.36,155.16,2896132.0,,1.42
2025-10-20,157.32,157.45,157.79,156.36,1691436.0,,0.91
2025-10-21,156.63,156.41,157.6,156.37,1456979.0,,0.78
2025-10-22,156.91,156.05,158.03,155.89,1312084.0,,1.37
2025-10-23,155.19,156.66,156.89,154.87,1337977.0,,1.29
2025-10-24,156.98,156.75,157.83,156.41,1598137.0,,0.91
2025-10-27,159.47,160.73,161.95,159.23,3812370.0,,1.74
2025-10-28,160.12,160.7,161.31,158.65,1534447.0,,1.65
2025-10-29,158.92,158.34,160.82,157.92,1507514.0,,1.8
2025-10-30,158.92,158.07,159.42,157.56,1620270.0,,1.17
2025-10-31,157.98,158.92,159.63,157.39,1755832.0,,1.42
2025-11-03,159.66,161.2,161.44,157.65,2414197.0,,2.38
2025-11-04,160.19,162.23,162.74,159.63,2083392.0,,1.93
2025-11-05,162.23,162.23,165.07,161.32,2651058.0,,2.31
2025-11-06,162.23,160.23,163.02,158.85,1572729.0,,2.57
2025-11-07,160.77,161.08,162.02,159.98,2142084.0,,1.27
2025-11-10,161.8,161.92,162.61,160.36,2852836.0,,1.4
2025-11-11,162.67,162.73,163.4,161.39,1718076.0,,1.24
2025-11-12,163.03,162.85,163.44,161.15,2535515.0,,1.41
2025-11-13,162.53,161.83,163.33,161.37,2285468.0,,1.2
2025-11-14,161.1,160.58,162.23,159.9,2918644.0,,1.44
2025-11-17,160.58,159.41,161.22,157.73,2767832.0,,2.17
2025-11-18,159.0,159.9,161.29,158.49,2285658.0,,1.76
2025-11-19,160.5,160.45,161.86,158.87,2454367.0,,1.87
2025-11-20,161.09,160.5,164.23,160.34,4895611.0,,2.42
2025-11-21,166.73,174.0,174.86,163.51,7821190.0,,7.07
2025-11-24,173.37,174.13,176.0,172.92,5598655.0,,1.77
2025-11-25,174.29,176.5,177.33,173.5,4531107.0,,2.2
2025-11-26,176.23,177.69,178.09,175.47,2193801.0,,1.48
2025-11-28,177.31,176.36,178.19,176.18,984116.0,,1.13
2025-12-01,175.49,177.5,178.8,174.88,2439720.0,,2.22
2025-12-02,177.72,177.57,178.53,176.08,4002211.0,,1.38
2025-12-03,178.37,178.0,178.64,177.12,3434804.0,,0.86
2025-12-04,178.67,177.09,179.05,176.01,3431529.0,,1.71
2025-12-05,177.48,177.87,177.94,176.03,2904345.0,,1.08
2025-12-08,178.34,178.19,179.42,177.55,2553928.0,,1.05
2025-12-09,177.31,177.02,177.69,175.64,2024860.0,,1.15
2025-12-10,178.14,181.82,182.52,178.12,3730192.0,,2.49
2025-12-11,182.13,183.13,183.9,181.47,3090818.0,,1.34
2025-12-12,184.14,182.09,185.0,181.29,2549380.0,,2.03
2025-12-15,183.16,184.28,184.75,181.77,3118318.0,,1.64
2025-12-16,184.81,182.4,185.85,182.04,2645264.0,,2.07
2025-12-17,182.54,182.74,183.3,181.59,2327639.0,,0.94
2025-12-18,183.5,182.57,184.5,181.76,2163893.0,,1.5
2025-12-19,182.9,182.41,183.17,181.32,6157564.0,,1.01
2025-12-22,183.51,180.68,183.75,179.87,3069860.0,,2.13
2025-12-23,180.79,180.61,181.14,178.88,1563480.0,,1.25
2025-12-24,181.08,181.68,182.42,180.11,621201.0,,1.28
2025-12-26,180.46,181.14,181.78,180.16,918193.0,,0.89
2025-12-29,180.21,180.72,181.86,179.93,1840812.0,,1.07
2025-12-30,180.72,181.45,181.7,180.23,1267078.0,,0.81
2025-12-31,181.25,180.14,181.82,180.05,1350002.0,,0.98
2026-01-02,180.59,182.74,182.77,179.02,2566448.0,,2.08
2026-01-05,182.9,186.68,186.78,182.9,2343112.0,,2.12
2026-01-06,185.88,187.53,189.58,185.37,2843744.0,,2.26
2026-01-07,187.41,186.99,187.65,185.74,2047857.0,,1.02
2026-01-08,186.99,189.27,191.22,186.42,2385575.0,,2.57
2026-01-09,189.27,191.44,192.26,188.92,2659420.0,,1.76
2026-01-12,191.0,192.26,192.49,188.94,2071051.0,,1.85
2026-01-13,192.23,193.23,193.49,192.1,1768122.0,,0.72
2026-01-14,192.49,191.83,193.79,190.27,2262007.0,,1.82
2026-01-15,192.57,193.79,194.52,191.28,1667347.0,,1.69
2026-01-16,194.2,192.36,194.92,191.78,3269731.0,,1.62
2026-01-20,190.54,189.69,192.19,188.91,2304089.0,,1.71
2026-01-21,190.94,192.32,192.61,189.87,1963972.0,,1.44
2026-01-22,192.93,187.01,193.96,186.46,3219790.0,,3.9
2026-01-23,186.92,188.55,188.85,186.12,1976859.0,,1.46
2026-01-26,187.61,187.57,189.4,186.72,2828740.0,,1.42
2026-01-27,187.66,186.0,188.49,184.74,3270005.0,,2.0
2026-01-28,185.97,186.04,186.89,184.7,1753576.0,,1.18
2026-01-29,185.28,186.5,187.11,184.69,2759891.0,,1.3
2026-01-30,185.66,188.65,188.71,185.66,2062938.0,,1.64
2026-02-02,188.65,190.11,191.26,187.8,3444503.0,,1.83
2026-02-03,189.19,191.12,193.58,188.77,2291433.0,,2.53
2026-02-04,191.83,189.27,193.89,188.05,2763985.0,,3.06
2026-02-05,189.37,189.23,191.1,187.99,2626333.0,,1.64
2026-02-06,190.61,190.74,191.85,189.72,3185301.0,,1.13
2026-02-09,190.66,194.5,194.76,190.01,1902273.0,,2.49
2026-02-10,193.86,192.33,194.82,191.94,2601638.0,,1.48
2026-02-11,193.65,192.54,193.65,191.22,2115684.0,,1.26
2026-02-12,194.54,194.85,197.18,193.66,1942952.0,,1.83
2026-02-13,194.53,196.54,197.24,193.32,1445685.0,,2.01
2026-02-17,198.13,198.21,198.98,195.19,2528998.0,,1.93
2026-02-18,197.69,200.38,200.6,197.16,2205091.0,,1.74
2026-02-19,199.43,200.38,200.57,198.38,1574624.0,,1.09
2026-02-20,199.4,201.45,203.31,198.89,1987893.0,,2.21
2026-02-23,202.05,201.89,202.78,198.27,1795459.0,,2.24
2026-02-24,202.1,200.55,202.31,199.07,1883526.0,,1.6
2026-02-25,199.93,201.53,204.85,199.93,2204046.0,,2.45
2026-02-26,202.91,203.5,204.72,202.15,2641380.0,,1.28
2026-02-27,202.65,205.64,206.4,201.28,4422808.0,,2.52
2026-03-02,203.09,202.3,204.25,200.53,3048601.0,,1.81
2026-03-03,198.75,197.64,199.33,194.07,4988634.0,,2.6
2026-03-04,214.75,213.52,216.8,206.54,7735673.0,,5.19
2026-03-05,211.49,214.83,214.88,211.21,3597546.0,,1.72
2026-03-06,213.01,211.75,213.64,209.73,2410535.0,,1.82
2026-03-09,209.98,212.15,212.28,204.25,3408661.0,,3.79
2026-03-10,211.05,212.93,216.59,209.37,2561993.0,,3.4
2026-03-11,212.7,212.87,214.11,211.55,2132749.0,,1.2
2026-03-12,210.43,209.84,213.17,209.4,2283775.0,,1.77
2026-03-13,209.6,206.28,210.75,206.01,2583174.0,,2.26
2026-03-16,206.82,207.96,210.31,206.82,2073001.0,,1.69
2026-03-17,209.34,209.19,210.38,208.52,2119983.0,,0.89
2026-03-18,208.2,207.22,210.95,207.02,2492047.0,,1.88
2026-03-19,207.11,210.66,211.46,206.63,2143054.0,,2.33
2026-03-20,209.54,211.19,211.36,208.08,4013529.0,,1.56
2026-03-23,213.42,213.09,215.45,212.96,2067360.0,,1.18
2026-03-24,211.9,215.8,216.1,210.53,2712062.0,,2.61
2026-03-25,215.62,216.03,216.5,212.14,3764818.0,,2.02
2026-03-26,216.33,214.3,217.51,214.16,2927335.0,,1.55
