日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,84.41,82.98,85.51,82.51,10875431.0,,
2025-05-22,83.22,83.97,84.48,82.72,8440409.0,,2.12
2025-05-23,82.58,84.4,84.83,82.57,7088243.0,,2.69
2025-05-27,85.43,87.01,87.09,85.22,10922300.0,,2.22
2025-05-28,87.43,86.0,87.6,84.54,12328514.0,,3.52
2025-05-29,84.9,84.05,85.7,83.7,10312548.0,,2.33
2025-05-30,83.94,83.95,84.27,83.19,7394094.0,,1.28
2025-06-02,83.28,85.19,85.3,83.19,8258866.0,,2.51
2025-06-03,85.07,86.6,87.49,84.4,8287651.0,,3.63
2025-06-04,86.63,88.11,88.54,86.02,8740890.0,,2.91
2025-06-05,88.18,86.99,88.41,86.86,8479357.0,,1.76
2025-06-06,88.4,89.64,89.89,88.24,8772872.0,,1.9
2025-06-09,89.08,90.67,91.14,89.08,8097257.0,,2.3
2025-06-10,89.9,91.43,91.89,89.53,6911110.0,,2.6
2025-06-11,92.11,95.39,95.91,92.0,14835493.0,,4.28
2025-06-12,94.68,94.32,95.07,93.97,7183303.0,,1.15
2025-06-13,93.5,93.26,94.61,93.16,7119922.0,,1.54
2025-06-16,93.98,93.48,94.43,92.94,5871048.0,,1.6
2025-06-17,93.16,91.59,93.21,90.79,6183009.0,,2.59
2025-06-18,91.88,92.28,92.58,91.23,7319258.0,,1.47
2025-06-20,93.08,93.12,93.8,92.4,9197029.0,,1.52
2025-06-23,93.2,92.34,93.21,90.74,7532996.0,,2.65
2025-06-24,92.91,91.5,93.84,90.31,11373852.0,,3.82
2025-06-25,91.76,91.1,92.0,90.62,6929643.0,,1.51
2025-06-26,92.1,91.84,92.2,90.42,6571647.0,,1.95
2025-06-27,91.77,92.11,92.72,90.33,21491637.0,,2.6
2025-06-30,92.42,91.63,94.16,91.08,10083274.0,,3.34
2025-07-01,91.54,94.92,95.86,91.54,9828404.0,,4.71
2025-07-02,95.28,94.18,95.3,93.35,7942282.0,,2.05
2025-07-03,94.2,94.44,94.65,93.76,3557273.0,,0.94
2025-07-07,94.16,93.64,94.95,92.97,5311175.0,,2.1
2025-07-08,94.06,94.94,95.75,93.78,6985665.0,,2.1
2025-07-09,97.55,95.25,97.89,94.66,8322429.0,,3.4
2025-07-10,94.88,95.15,95.74,93.55,6916235.0,,2.3
2025-07-11,94.37,94.94,95.32,94.14,6339762.0,,1.24
2025-07-14,93.68,93.42,93.96,92.27,6048282.0,,1.78
2025-07-15,93.62,92.48,94.3,92.15,8567878.0,,2.3
2025-07-16,92.66,92.51,93.28,91.56,7136905.0,,1.86
2025-07-17,90.73,93.19,93.29,90.57,8588994.0,,2.94
2025-07-18,94.04,93.8,94.46,93.25,5173102.0,,1.3
2025-07-21,94.3,92.66,95.29,92.61,7217334.0,,2.86
2025-07-22,92.95,96.94,97.16,92.85,9992365.0,,4.65
2025-07-23,97.35,95.92,98.18,95.54,11275280.0,,2.72
2025-07-24,95.5,93.7,95.58,93.42,7897596.0,,2.25
2025-07-25,93.4,94.42,94.48,92.31,7224105.0,,2.32
2025-07-28,94.93,93.67,95.74,93.46,10333593.0,,2.41
