日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,115.4,114.12,116.66,113.58,1186182.0,,
2025-05-22,114.1,117.29,118.57,113.98,1245405.0,,4.02
2025-05-23,114.47,117.62,118.27,113.69,1417675.0,,3.9
2025-05-27,119.78,126.35,126.58,119.49,2223372.0,,6.03
2025-05-28,125.7,126.57,127.28,125.7,886760.0,,1.25
2025-05-29,127.51,126.64,129.61,125.7,1466633.0,,3.09
2025-05-30,125.96,129.79,130.61,125.59,1156631.0,,3.96
2025-06-02,126.52,128.39,128.39,123.04,2078975.0,,4.12
2025-06-03,128.5,127.5,129.12,125.43,1643193.0,,2.87
2025-06-04,127.48,126.95,128.12,126.39,977170.0,,1.36
2025-06-05,127.08,128.36,131.38,126.67,2067805.0,,3.71
2025-06-06,129.83,129.19,129.83,126.47,1045694.0,,2.62
2025-06-09,129.9,124.5,129.9,124.5,1326582.0,,4.18
2025-06-10,124.95,125.32,127.25,123.95,1010991.0,,2.65
2025-06-11,126.38,127.66,128.25,125.89,797080.0,,1.88
2025-06-12,126.14,128.16,128.31,125.66,936458.0,,2.08
2025-06-13,124.89,123.71,127.21,123.52,966446.0,,2.88
2025-06-16,125.62,127.21,129.58,125.37,1363321.0,,3.4
2025-06-17,125.9,125.21,126.55,124.12,899977.0,,1.91
2025-06-18,125.62,128.52,129.1,123.17,1573963.0,,4.74
2025-06-20,130.0,133.01,133.11,129.45,1786677.0,,2.85
2025-06-23,132.23,135.51,136.91,127.26,1168214.0,,7.26
2025-06-24,137.77,133.93,139.64,133.83,1232527.0,,4.29
2025-06-25,135.8,133.9,137.08,133.08,788577.0,,2.99
2025-06-26,136.07,138.42,140.97,134.27,1653219.0,,5.0
2025-06-27,138.74,138.48,139.04,135.28,1707979.0,,2.72
2025-06-30,139.88,140.6,141.06,138.22,1039987.0,,2.05
2025-07-01,138.91,138.38,140.53,137.02,1236102.0,,2.5
2025-07-02,138.69,141.26,141.65,138.0,1406753.0,,2.64
2025-07-03,140.16,141.95,142.51,138.01,525429.0,,3.19
2025-07-07,140.58,140.41,142.85,138.93,1092678.0,,2.76
2025-07-08,138.63,139.12,140.19,138.0,1115586.0,,1.56
2025-07-09,141.23,140.73,141.23,138.22,1405370.0,,2.16
2025-07-10,140.9,142.03,144.65,140.33,880476.0,,3.07
2025-07-11,141.85,140.05,142.05,138.56,912411.0,,2.46
2025-07-14,139.87,140.04,141.78,139.0,970792.0,,1.99
2025-07-15,140.68,137.12,140.68,136.9,786676.0,,2.7
2025-07-16,137.98,136.88,139.05,135.29,882356.0,,2.74
2025-07-17,134.98,134.93,137.14,132.41,1304364.0,,3.46
2025-07-18,136.01,134.86,136.01,133.44,842227.0,,1.9
2025-07-21,135.43,134.4,136.31,134.16,631156.0,,1.59
2025-07-22,134.84,134.51,136.31,132.93,547021.0,,2.51
2025-07-23,135.73,137.77,138.64,135.01,760993.0,,2.7
2025-07-24,135.63,133.72,136.42,133.01,939963.0,,2.48
2025-07-25,135.37,137.39,137.47,133.85,951993.0,,2.71
2025-07-28,138.08,138.18,139.72,136.33,1495404.0,,2.47
2025-07-29,138.3,137.12,138.3,134.75,1073745.0,,2.57
2025-07-30,139.0,140.91,142.2,138.64,1502745.0,,2.6
2025-07-31,126.92,120.34,127.65,113.01,10013313.0,,10.39
2025-08-01,118.19,111.84,118.57,111.0,3512032.0,,6.29
2025-08-04,112.52,115.47,115.8,110.8,2535454.0,,4.47
2025-08-05,116.0,114.09,117.6,113.88,2132673.0,,3.22
2025-08-06,113.99,112.97,114.84,111.92,964690.0,,2.56
2025-08-07,114.26,112.16,114.39,110.39,1007870.0,,3.54
2025-08-08,111.76,105.6,111.76,105.15,2088735.0,,5.89
2025-08-11,105.75,106.13,107.07,104.77,1110726.0,,2.18
2025-08-12,107.39,110.32,110.67,106.57,1292148.0,,3.86
2025-08-13,109.43,108.11,109.68,105.82,1793574.0,,3.5
2025-08-14,107.0,105.64,107.37,104.9,1344323.0,,2.28
2025-08-15,106.26,106.95,107.23,105.66,718213.0,,1.49
2025-08-18,106.33,104.83,106.72,104.71,829706.0,,1.88
2025-08-19,105.41,104.52,106.24,103.78,833438.0,,2.35
2025-08-20,104.78,102.64,104.78,101.07,1369356.0,,3.55
2025-08-21,102.15,100.54,102.25,99.83,971716.0,,2.36
2025-08-22,101.36,103.98,105.24,101.35,1160906.0,,3.87
2025-08-25,103.37,104.46,105.44,102.6,1071597.0,,2.73
2025-08-26,104.29,105.62,106.66,104.03,1402934.0,,2.52
2025-08-27,105.53,106.76,107.3,105.53,824658.0,,1.68
2025-08-28,106.5,105.92,107.49,105.23,1049893.0,,2.12
2025-08-29,105.19,106.0,106.1,104.38,1004468.0,,1.62
2025-09-02,104.8,105.59,106.06,104.02,882571.0,,1.92
2025-09-03,105.4,105.18,106.68,104.43,1071475.0,,2.13
2025-09-04,105.17,101.87,105.58,101.5,1237488.0,,3.88
2025-09-05,102.02,100.18,103.54,99.52,1857279.0,,3.95
2025-09-08,99.99,97.59,100.53,97.03,1509158.0,,3.49
2025-09-09,97.29,98.33,99.31,95.74,1352381.0,,3.66
2025-09-10,98.33,97.48,98.33,96.58,1107623.0,,1.78
2025-09-11,97.72,103.97,104.03,96.95,1690371.0,,7.26
2025-09-12,103.48,100.77,103.48,99.96,1052410.0,,3.39
2025-09-15,101.76,101.14,102.21,100.63,1019688.0,,1.57
2025-09-16,100.99,99.01,101.46,98.52,990550.0,,2.91
2025-09-17,99.72,98.99,101.6,98.25,1352035.0,,3.38
2025-09-18,99.08,98.98,99.66,96.99,1247254.0,,2.7
2025-09-19,99.5,99.62,99.78,97.59,2098279.0,,2.21
2025-09-22,99.46,100.4,101.01,98.71,978013.0,,2.31
2025-09-23,100.42,98.01,101.0,98.0,646356.0,,2.99
2025-09-24,98.5,95.28,99.3,94.85,1099177.0,,4.54
2025-09-25,95.07,94.21,95.51,93.0,1034778.0,,2.63
2025-09-26,93.99,92.4,94.55,91.85,878689.0,,2.87
2025-09-29,93.82,94.61,95.79,92.16,1453524.0,,3.93
2025-09-30,94.0,93.61,94.32,92.3,1158695.0,,2.14
2025-10-01,93.12,91.62,93.99,90.98,762328.0,,3.22
2025-10-02,91.88,94.55,94.6,90.62,1210684.0,,4.34
2025-10-03,94.28,96.79,97.21,93.81,1093538.0,,3.6
2025-10-06,94.24,95.62,96.62,92.22,1386087.0,,4.55
2025-10-07,95.52,92.95,95.82,92.56,1359092.0,,3.41
2025-10-08,93.33,92.38,93.33,92.24,737994.0,,1.17
2025-10-09,92.1,91.02,92.91,90.52,1326865.0,,2.59
2025-10-10,90.89,86.76,91.48,86.67,1746998.0,,5.28
2025-10-13,88.5,91.4,91.68,88.43,1041625.0,,3.75
2025-10-14,89.98,93.99,94.07,89.65,923020.0,,4.84
2025-10-15,94.74,92.14,96.22,92.1,994443.0,,4.38
2025-10-16,91.37,93.26,93.33,91.37,960886.0,,2.13
2025-10-17,92.83,92.19,94.8,92.16,1359309.0,,2.83
2025-10-20,93.48,92.6,94.68,91.14,899285.0,,3.84
2025-10-21,91.61,93.51,93.68,91.0,846740.0,,2.89
2025-10-22,92.76,90.92,93.5,90.83,1237294.0,,2.86
2025-10-23,90.5,91.42,91.85,88.73,1799323.0,,3.43
2025-10-24,92.19,91.85,93.09,91.75,1335309.0,,1.47
2025-10-27,93.06,93.35,94.94,92.59,1311290.0,,2.56
2025-10-28,92.89,91.18,93.65,91.13,1307288.0,,2.7
2025-10-29,90.42,89.81,92.39,89.1,2234887.0,,3.61
2025-10-30,92.23,91.38,95.21,85.27,3619980.0,,11.07
2025-10-31,91.53,96.51,97.4,90.73,2256502.0,,7.3
2025-11-03,97.0,93.53,97.8,93.22,1572080.0,,4.75
2025-11-04,92.46,94.44,96.52,91.98,1537374.0,,4.85
2025-11-05,94.68,95.73,96.75,92.13,1045970.0,,4.89
2025-11-06,94.87,91.91,95.45,91.71,963314.0,,3.91
2025-11-07,91.46,91.11,92.43,89.06,1131882.0,,3.67
2025-11-10,92.66,93.93,94.9,92.66,1200038.0,,2.46
2025-11-11,93.37,92.35,93.69,90.94,784117.0,,2.93
2025-11-12,93.23,93.66,96.28,92.74,1193952.0,,3.83
2025-11-13,93.91,90.24,94.82,90.15,1000839.0,,4.99
2025-11-14,91.26,90.54,92.79,89.0,1202633.0,,4.2
2025-11-17,90.61,87.11,91.43,85.97,1261220.0,,6.03
2025-11-18,86.19,86.28,87.04,84.91,869166.0,,2.45
2025-11-19,86.71,84.24,87.39,83.85,793170.0,,4.1
2025-11-20,84.94,83.7,87.35,83.12,1170749.0,,5.02
2025-11-21,83.8,88.2,89.27,83.58,1015059.0,,6.8
2025-11-24,88.0,86.6,89.03,85.74,1219084.0,,3.73
2025-11-25,84.44,86.99,89.52,84.26,2017875.0,,6.07
2025-11-26,87.29,88.48,90.34,87.18,1575255.0,,3.63
2025-11-28,88.44,87.48,89.35,87.2,619216.0,,2.43
2025-12-01,86.5,86.12,88.35,85.99,1704709.0,,2.7
2025-12-02,87.01,84.72,87.77,84.68,1255800.0,,3.59
2025-12-03,84.26,83.21,85.94,82.85,1544792.0,,3.65
2025-12-04,83.68,80.12,84.16,79.92,1888130.0,,5.1
2025-12-05,80.28,78.03,80.3,76.6,2811596.0,,4.62
2025-12-08,79.47,77.86,80.11,77.3,1723674.0,,3.6
2025-12-09,77.33,79.2,82.46,77.28,2642037.0,,6.65
2025-12-10,79.11,77.12,80.0,76.51,2149045.0,,4.41
2025-12-11,77.51,79.21,80.0,77.48,1645640.0,,3.27
2025-12-12,80.33,83.16,85.56,80.32,2629569.0,,6.62
2025-12-15,83.0,83.65,85.2,81.8,2008467.0,,4.09
2025-12-16,83.17,81.68,84.25,80.82,1742856.0,,4.1
2025-12-17,83.0,82.29,83.41,81.3,2388582.0,,2.58
2025-12-18,85.76,86.37,88.5,85.21,2209651.0,,4.0
2025-12-19,85.86,85.71,86.99,85.02,1538009.0,,2.28
2025-12-22,85.59,83.53,86.28,82.44,1419700.0,,4.48
2025-12-23,83.75,84.95,85.29,81.98,1496579.0,,3.96
2025-12-24,84.98,85.11,85.56,84.24,501336.0,,1.55
2025-12-26,84.57,83.76,85.06,83.45,916333.0,,1.89
2025-12-29,82.9,81.92,83.53,80.48,1353914.0,,3.64
2025-12-30,81.82,79.95,82.2,79.55,2040616.0,,3.23
2025-12-31,79.88,81.17,81.81,79.37,1596339.0,,3.05
2026-01-02,82.63,83.47,83.72,81.18,1169740.0,,3.13
2026-01-05,83.23,83.51,85.5,83.23,1429716.0,,2.72
2026-01-06,85.86,89.82,91.31,85.7,2582046.0,,6.72
2026-01-07,90.42,90.55,92.52,89.75,1682721.0,,3.08
2026-01-08,90.07,91.8,94.25,90.01,2216937.0,,4.68
2026-01-09,91.58,93.29,93.3,89.05,1751461.0,,4.63
2026-01-12,90.6,96.72,98.99,88.24,2813202.0,,11.52
2026-01-13,96.09,98.45,100.04,96.01,1852782.0,,4.17
2026-01-14,98.0,99.93,99.93,96.93,1199749.0,,3.05
2026-01-15,100.0,100.77,102.96,98.4,1340764.0,,4.56
2026-01-16,101.33,99.12,102.11,98.93,933088.0,,3.16
2026-01-20,99.19,97.16,99.6,95.78,1865872.0,,3.85
2026-01-21,96.15,94.81,96.89,93.27,1610853.0,,3.73
2026-01-22,95.49,92.59,97.05,92.36,1233086.0,,4.95
2026-01-23,91.95,92.25,92.61,89.77,990580.0,,3.07
2026-01-26,91.55,90.57,92.44,88.51,2807814.0,,4.26
2026-01-27,89.48,87.32,90.54,87.1,1901919.0,,3.8
2026-01-28,89.69,87.87,91.74,87.49,1146446.0,,4.87
2026-01-29,87.81,88.03,89.71,86.54,1249811.0,,3.61
2026-01-30,87.85,88.57,89.48,87.57,1314538.0,,2.17
2026-02-02,89.87,92.72,94.3,89.5,1908205.0,,5.42
2026-02-03,92.8,93.67,96.29,91.86,1570792.0,,4.78
2026-02-04,93.37,94.48,95.91,92.32,998111.0,,3.83
2026-02-05,95.8,93.07,97.19,91.84,1217787.0,,5.66
2026-02-06,93.42,98.3,99.35,93.05,1621351.0,,6.77
2026-02-09,98.44,97.19,99.39,96.77,899018.0,,2.67
2026-02-10,96.52,95.75,97.74,95.57,1002137.0,,2.23
2026-02-11,96.73,97.04,98.52,94.81,1055130.0,,3.87
2026-02-12,98.63,88.93,99.29,88.62,1544502.0,,11.0
2026-02-13,89.09,88.15,90.35,86.91,1348150.0,,3.87
2026-02-17,89.63,91.45,91.6,87.01,1472491.0,,5.21
2026-02-18,92.0,94.18,96.82,91.61,1294454.0,,5.7
2026-02-19,92.32,93.18,93.96,91.41,867459.0,,2.71
2026-02-20,92.63,93.56,94.43,90.94,1186908.0,,3.75
2026-02-23,91.89,89.56,92.01,88.0,1210818.0,,4.29
2026-02-24,88.85,89.39,89.75,87.5,1186424.0,,2.51
2026-02-25,89.63,92.13,92.63,89.51,2105462.0,,3.49
2026-02-26,104.41,98.61,107.46,98.34,4465366.0,,9.9
2026-02-27,94.83,96.01,96.39,91.41,2343139.0,,5.05
2026-03-02,94.0,94.44,96.36,91.01,1901136.0,,5.57
2026-03-03,91.73,96.07,97.0,90.94,1316489.0,,6.42
2026-03-04,96.68,97.4,97.79,94.94,986480.0,,2.97
2026-03-05,97.0,96.79,101.0,94.71,1205429.0,,6.46
2026-03-06,96.81,93.45,97.8,92.42,1770225.0,,5.56
2026-03-09,92.85,95.67,95.88,88.71,1374492.0,,7.67
2026-03-10,94.09,95.4,98.5,93.09,1124939.0,,5.65
2026-03-11,95.68,92.58,96.72,90.44,1621248.0,,6.58
2026-03-12,91.1,86.81,91.29,86.81,1900092.0,,4.84
2026-03-13,87.71,86.92,88.77,86.45,1623710.0,,2.67
2026-03-16,88.05,90.55,90.86,87.95,1119010.0,,3.35
2026-03-17,91.01,90.5,93.2,90.3,1179216.0,,3.2
2026-03-18,90.18,87.1,90.8,86.89,1129874.0,,4.32
2026-03-19,86.13,88.16,89.5,84.92,1054292.0,,5.26
2026-03-20,89.02,87.63,89.9,86.27,1626101.0,,4.12
2026-03-23,89.86,90.87,94.85,89.47,1577178.0,,6.14
2026-03-24,89.06,90.04,91.23,88.26,1141183.0,,3.27
2026-03-25,91.05,89.5,91.57,86.3,1118166.0,,5.85
2026-03-26,88.32,85.08,89.36,85.0,1018299.0,,4.87
2026-03-27,84.23,81.32,84.99,79.91,1360070.0,,5.97
2026-03-30,83.15,83.53,84.48,81.62,866801.0,,3.52
2026-03-31,86.56,88.47,89.26,86.24,1331157.0,,3.62
2026-04-01,90.5,90.69,92.76,89.3,1106303.0,,3.91
2026-04-02,88.7,89.33,91.13,86.65,1031625.0,,4.94
2026-04-06,88.84,92.37,93.39,88.84,842999.0,,5.09
2026-04-07,92.35,92.8,92.94,90.9,585460.0,,2.21
2026-04-08,96.63,97.86,100.51,96.06,1431066.0,,4.8
2026-04-09,97.39,97.55,99.15,96.29,1126784.0,,2.92
2026-04-10,100.0,98.61,100.81,98.01,1136476.0,,2.87
2026-04-13,97.64,100.65,101.18,96.15,1154748.0,,5.1
2026-04-14,100.49,102.76,103.64,100.49,1074197.0,,3.13
2026-04-15,103.24,101.17,104.69,101.06,1197673.0,,3.53
2026-04-16,101.04,99.75,102.04,98.46,1169047.0,,3.54
