日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,114.95,112.53,115.18,112.49,896434.0,,
2025-05-22,112.01,111.99,112.32,110.53,1115565.0,,1.59
2025-05-23,112.04,112.64,112.79,110.71,683076.0,,1.86
2025-05-27,113.17,113.93,114.11,112.35,1080985.0,,1.56
2025-05-28,113.71,110.95,114.0,110.29,1247682.0,,3.26
2025-05-29,110.64,112.47,112.58,110.5,815789.0,,1.87
2025-05-30,112.7,112.61,113.29,112.1,1464543.0,,1.06
2025-06-02,112.59,112.0,112.7,110.44,811933.0,,2.01
2025-06-03,111.55,112.5,112.77,110.21,787837.0,,2.29
2025-06-04,112.87,112.03,113.24,111.89,895330.0,,1.2
2025-06-05,111.53,111.04,112.06,110.57,917375.0,,1.33
2025-06-06,111.33,110.88,112.39,110.23,1532683.0,,1.95
2025-06-09,111.0,111.85,111.94,110.31,2048256.0,,1.47
2025-06-10,105.0,94.41,105.9,93.93,13930146.0,,10.7
2025-06-11,95.01,95.87,96.46,94.0,6804086.0,,2.61
2025-06-12,96.0,97.37,97.42,94.84,3788559.0,,2.69
2025-06-13,97.48,95.72,98.21,95.6,2926583.0,,2.68
2025-06-16,96.2,95.36,96.85,94.28,2105115.0,,2.68
2025-06-17,95.02,94.5,95.74,94.35,1600552.0,,1.46
2025-06-18,94.33,95.96,96.29,93.3,2258245.0,,3.16
2025-06-20,95.9,96.93,97.66,95.67,3510986.0,,2.07
2025-06-23,97.1,97.33,98.6,96.26,2012249.0,,2.41
2025-06-24,97.24,97.19,97.87,96.44,2128786.0,,1.47
2025-06-25,96.35,95.72,96.49,95.4,2337062.0,,1.12
2025-06-26,95.91,96.14,97.23,95.64,2025193.0,,1.66
2025-06-27,96.28,95.63,96.3,95.08,2760228.0,,1.27
2025-06-30,95.58,98.2,98.51,95.25,2279333.0,,3.41
2025-07-01,98.4,102.95,103.84,98.33,3110956.0,,5.61
2025-07-02,102.62,104.83,104.96,102.34,2883907.0,,2.54
2025-07-03,104.93,104.08,105.0,103.43,1095162.0,,1.5
2025-07-07,104.12,103.53,104.35,102.79,2071074.0,,1.5
2025-07-08,102.98,103.47,103.94,102.07,1743259.0,,1.81
2025-07-09,105.42,104.17,105.43,102.92,2080185.0,,2.43
2025-07-10,102.49,104.66,104.82,100.75,2796645.0,,3.91
2025-07-11,103.96,104.76,105.36,103.13,1942711.0,,2.13
2025-07-14,104.57,104.71,104.74,103.57,2701520.0,,1.12
2025-07-15,104.58,104.35,105.74,103.79,1945284.0,,1.86
2025-07-16,104.15,107.6,107.61,104.09,2226562.0,,3.37
2025-07-17,107.65,108.9,109.05,107.08,2171798.0,,1.83
2025-07-18,108.34,106.16,108.76,105.68,2281834.0,,2.83
2025-07-21,106.54,105.22,106.94,105.03,2510289.0,,1.8
2025-07-22,105.63,109.34,109.45,105.63,1580649.0,,3.63
2025-07-23,109.33,109.12,110.14,108.33,1675821.0,,1.66
2025-07-24,109.36,108.64,110.33,108.3,2028222.0,,1.86
2025-07-25,108.69,109.02,109.22,107.86,1840890.0,,1.25
2025-07-28,108.41,108.7,109.97,107.55,1508236.0,,2.22
2025-07-29,109.77,111.79,111.92,109.23,1672959.0,,2.47
2025-07-30,111.81,109.1,112.13,108.47,1911400.0,,3.27
