日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,56.67,55.64,56.82,55.41,3272076.0,,
2025-05-22,55.48,54.31,55.69,54.2,3318819.0,,2.68
2025-05-23,54.03,54.01,54.58,53.77,2179402.0,,1.49
2025-05-27,54.45,54.19,54.48,53.85,2520891.0,,1.17
2025-05-28,53.95,52.96,54.18,52.91,2981373.0,,2.34
2025-05-29,53.06,53.7,53.81,52.35,2623424.0,,2.76
2025-05-30,53.67,53.59,53.87,53.2,3500612.0,,1.25
2025-06-02,53.15,52.87,53.33,52.25,2116218.0,,2.02
2025-06-03,52.73,52.77,52.98,51.67,2401866.0,,2.48
2025-06-04,52.73,52.77,53.27,52.39,1907602.0,,1.67
2025-06-05,52.7,51.86,52.71,51.56,2937578.0,,2.18
2025-06-06,52.09,52.0,52.09,51.49,1918892.0,,1.16
2025-06-09,52.09,52.1,52.28,51.74,2395546.0,,1.04
2025-06-10,52.11,52.21,52.54,51.8,1611460.0,,1.42
2025-06-11,52.24,51.76,52.3,51.54,2004237.0,,1.46
2025-06-12,51.55,51.52,51.73,51.17,1815579.0,,1.08
2025-06-13,51.22,50.59,51.49,50.4,1993794.0,,2.12
2025-06-16,51.0,49.62,51.0,49.36,2836278.0,,3.24
2025-06-17,49.36,49.34,50.05,49.29,2988496.0,,1.53
2025-06-18,49.48,48.81,49.87,48.75,3016271.0,,2.27
2025-06-20,48.97,48.05,49.05,47.83,4635606.0,,2.5
2025-06-23,47.9,48.05,48.34,47.41,2881239.0,,1.94
2025-06-24,48.18,48.22,48.74,47.95,2846676.0,,1.64
2025-06-25,48.13,47.24,48.19,47.05,2772708.0,,2.36
2025-06-26,47.42,47.24,48.15,47.19,2633551.0,,2.03
2025-06-27,46.94,47.44,47.58,46.94,3322398.0,,1.35
2025-06-30,47.31,48.09,48.23,47.3,3795647.0,,1.96
2025-07-01,48.19,49.07,49.84,48.02,3076886.0,,3.78
2025-07-02,49.38,49.54,49.86,49.03,2909575.0,,1.69
2025-07-03,49.67,49.44,50.0,49.33,1466374.0,,1.35
2025-07-07,49.2,49.0,49.49,48.67,2422086.0,,1.66
2025-07-08,48.72,49.38,49.72,48.49,2429376.0,,2.51
2025-07-09,49.36,49.55,49.81,48.93,2234690.0,,1.78
2025-07-10,49.07,49.81,50.38,48.98,1972495.0,,2.83
2025-07-11,49.3,50.0,50.19,49.04,1782029.0,,2.31
2025-07-14,49.79,49.47,49.84,48.91,1656557.0,,1.86
2025-07-15,49.47,49.05,49.61,48.92,2043875.0,,1.39
2025-07-16,49.0,49.68,49.81,48.92,1750004.0,,1.81
2025-07-17,49.64,50.34,50.41,49.56,2108502.0,,1.71
2025-07-18,50.63,50.06,50.84,49.95,1903441.0,,1.77
2025-07-21,50.24,49.96,50.47,49.85,1918199.0,,1.24
2025-07-22,50.08,51.64,51.64,50.08,2435139.0,,3.12
2025-07-23,51.94,52.08,52.15,51.62,2622744.0,,1.03
2025-07-24,51.86,50.87,52.06,50.84,2377472.0,,2.34
2025-07-25,51.07,51.19,51.27,50.77,1976554.0,,0.98
2025-07-28,50.65,49.92,50.89,49.63,1996507.0,,2.46
2025-07-29,49.98,50.62,50.66,49.75,2118123.0,,1.82
2025-07-30,50.53,49.32,50.75,49.13,2244091.0,,3.2
2025-07-31,48.48,48.72,49.26,48.03,4733242.0,,2.49
2025-08-01,49.31,48.21,49.39,48.09,3089589.0,,2.67
2025-08-04,48.28,48.61,49.1,48.11,3762977.0,,2.05
2025-08-05,49.04,49.22,51.09,47.95,5773846.0,,6.46
2025-08-06,49.21,50.21,50.4,48.68,3744848.0,,3.49
2025-08-07,50.46,49.5,50.49,49.33,3500579.0,,2.31
2025-08-08,49.78,50.69,51.04,49.75,2560907.0,,2.61
