日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,91.5,93.01,95.31,90.6,27058507.0,,
2025-05-22,92.17,95.06,95.82,92.05,11428002.0,,4.05
2025-05-23,93.14,94.29,95.18,93.14,7373841.0,,2.15
2025-05-27,95.56,96.99,97.13,94.88,6501845.0,,2.39
2025-05-28,96.99,95.94,97.09,95.77,4475977.0,,1.36
2025-05-29,97.77,94.87,97.77,94.24,7042679.0,,3.68
2025-05-30,94.04,94.01,94.76,93.25,7874043.0,,1.59
2025-06-02,93.41,93.32,93.46,92.06,5748843.0,,1.49
2025-06-03,93.49,95.78,96.43,93.06,6388824.0,,3.61
2025-06-04,95.63,93.94,96.05,93.93,4416734.0,,2.21
2025-06-05,94.24,93.52,94.96,93.09,4763495.0,,1.99
2025-06-06,94.52,97.32,97.36,94.45,7822813.0,,3.11
2025-06-09,98.31,97.35,99.36,97.31,6299277.0,,2.11
2025-06-10,97.72,100.77,102.37,97.65,9612436.0,,4.85
2025-06-11,100.82,98.11,101.09,97.75,6803443.0,,3.31
2025-06-12,97.65,99.29,99.49,97.03,5320563.0,,2.51
2025-06-13,98.0,95.37,99.25,94.78,7303257.0,,4.5
2025-06-16,96.19,97.37,97.53,95.47,7427560.0,,2.16
2025-06-17,96.67,95.02,96.84,94.86,7195491.0,,2.03
2025-06-18,95.22,95.12,96.71,94.83,6408589.0,,1.98
2025-06-20,95.69,95.54,96.58,94.4,9619794.0,,2.29
2025-06-23,94.62,96.53,96.64,94.17,6887215.0,,2.59
2025-06-24,97.25,97.53,98.14,96.54,6406142.0,,1.66
2025-06-25,97.5,96.7,97.81,95.99,4372035.0,,1.87
2025-06-26,96.98,97.6,97.83,96.39,5331851.0,,1.49
2025-06-27,98.26,99.23,100.26,98.11,6389810.0,,2.2
2025-06-30,99.6,98.65,99.66,98.14,4933601.0,,1.53
2025-07-01,98.33,103.85,105.34,98.32,9968224.0,,7.12
2025-07-02,104.29,105.45,105.71,103.32,6327860.0,,2.3
2025-07-03,105.95,104.06,105.97,104.05,3535290.0,,1.82
2025-07-07,103.0,101.6,103.41,100.74,5677102.0,,2.57
2025-07-08,101.72,102.01,102.47,100.58,6100535.0,,1.86
2025-07-09,102.51,102.43,103.33,101.8,4312231.0,,1.5
2025-07-10,102.92,104.74,106.37,102.62,5116223.0,,3.66
2025-07-11,104.31,104.24,105.04,103.19,3866126.0,,1.77
2025-07-14,104.0,104.87,105.0,103.19,4468061.0,,1.74
2025-07-15,105.0,102.21,105.5,102.19,5289948.0,,3.16
2025-07-16,102.67,101.34,103.41,100.36,3861865.0,,2.98
2025-07-17,101.59,103.65,103.94,101.59,4529531.0,,2.32
2025-07-18,103.96,103.46,104.28,102.14,5282100.0,,2.06
2025-07-21,102.11,101.71,103.66,101.68,4478766.0,,1.91
2025-07-22,102.75,106.54,106.91,102.45,6473016.0,,4.39
2025-07-23,107.5,107.43,108.9,106.8,5907473.0,,1.97
2025-07-24,107.22,105.82,108.43,105.44,5415239.0,,2.78
2025-07-25,106.76,106.05,107.02,105.15,3476001.0,,1.77
2025-07-28,106.22,106.43,106.8,105.25,3864916.0,,1.46
2025-07-29,106.12,104.18,106.29,103.92,4753506.0,,2.23
2025-07-30,104.71,103.14,105.0,102.34,4527102.0,,2.55
2025-07-31,102.35,100.5,102.63,100.36,6442342.0,,2.2
2025-08-01,99.52,99.77,100.31,98.44,5021740.0,,1.86
2025-08-04,100.01,99.79,101.06,99.6,5312712.0,,1.46
2025-08-05,100.06,102.43,102.96,99.78,5093419.0,,3.19
2025-08-06,103.47,105.39,106.36,102.98,6306597.0,,3.3
2025-08-07,106.5,105.67,106.93,104.12,4191041.0,,2.67
2025-08-08,105.81,105.4,106.25,104.79,3494893.0,,1.38
2025-08-11,105.4,104.01,106.58,103.66,5020195.0,,2.77
2025-08-12,104.9,106.26,107.82,104.25,6595068.0,,3.43
2025-08-13,103.81,105.36,105.67,102.33,7364729.0,,3.14
2025-08-14,103.85,104.25,104.31,102.58,4985772.0,,1.64
2025-08-15,102.3,103.02,104.44,101.95,6305133.0,,2.39
2025-08-18,104.0,104.95,106.23,103.66,6901622.0,,2.49
2025-08-19,105.8,105.36,107.27,104.44,8815517.0,,2.7
2025-08-20,94.41,98.69,99.56,94.15,33165726.0,,5.13
2025-08-21,98.49,97.06,98.5,96.13,11415724.0,,2.4
2025-08-22,97.58,99.24,101.34,97.36,13663612.0,,4.1
2025-08-25,98.5,97.13,98.84,96.6,7651270.0,,2.26
2025-08-26,96.8,96.11,96.99,95.83,6398801.0,,1.19
2025-08-27,96.34,97.96,98.17,96.32,6486002.0,,1.92
2025-08-28,98.52,96.81,98.79,96.34,5145000.0,,2.5
2025-08-29,97.1,95.98,97.22,95.67,5370878.0,,1.6
2025-09-02,95.13,92.44,95.36,91.92,12987184.0,,3.58
