日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,131.15,131.03,133.0,129.96,12025566.0,,
2025-05-22,130.39,129.58,131.36,129.12,5341818.0,,1.71
2025-05-23,128.0,125.7,128.12,124.92,8787050.0,,2.47
2025-05-27,126.64,127.96,128.24,126.36,7198158.0,,1.5
2025-05-28,127.59,126.22,128.43,126.07,4344776.0,,1.84
2025-05-29,127.35,127.07,127.93,126.7,6410908.0,,0.97
2025-05-30,127.15,126.9,127.29,126.2,9365166.0,,0.86
2025-06-02,126.25,128.43,128.46,125.88,6270989.0,,2.03
2025-06-03,128.24,128.12,128.4,126.83,5132559.0,,1.22
2025-06-04,128.22,128.07,129.07,127.55,4437320.0,,1.19
2025-06-05,128.06,127.37,128.19,126.53,4693663.0,,1.3
2025-06-06,127.94,128.45,128.79,127.3,4612870.0,,1.17
2025-06-09,128.01,126.35,128.08,125.74,4755003.0,,1.82
2025-06-10,125.7,126.04,126.58,125.46,4684992.0,,0.89
2025-06-11,126.21,124.53,126.21,124.3,4146157.0,,1.52
2025-06-12,124.47,124.46,124.94,123.56,4087897.0,,1.11
2025-06-13,123.5,123.91,124.97,123.25,3786976.0,,1.38
2025-06-16,124.56,124.27,125.32,124.08,4930204.0,,1.0
2025-06-17,123.47,123.01,124.6,122.72,4264617.0,,1.51
2025-06-18,123.45,122.54,123.5,122.41,4924817.0,,0.89
2025-06-20,123.05,123.5,123.78,122.5,6729669.0,,1.04
2025-06-23,123.45,124.76,124.97,122.72,4073068.0,,1.82
2025-06-24,124.95,124.6,125.55,124.18,4546246.0,,1.1
2025-06-25,124.49,122.48,124.75,122.45,4669739.0,,1.85
2025-06-26,122.77,122.14,122.77,119.9,8415076.0,,2.34
2025-06-27,121.98,123.38,123.79,121.64,9786277.0,,1.76
2025-06-30,123.99,123.49,123.99,122.26,6228031.0,,1.4
2025-07-01,123.67,125.16,125.65,123.16,5126182.0,,2.02
2025-07-02,125.39,125.31,125.63,124.31,4790567.0,,1.05
2025-07-03,125.35,125.86,126.11,124.77,2986646.0,,1.07
2025-07-07,125.95,125.17,126.2,124.72,3945047.0,,1.18
