日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,63.41,63.46,63.73,63.33,1471777.0,,
2025-05-22,63.04,63.31,63.5,62.84,1849713.0,,1.04
2025-05-23,63.33,63.78,63.78,62.92,1460798.0,,1.36
2025-05-27,63.76,63.74,64.08,63.6,1836583.0,,0.75
2025-05-28,63.07,63.3,63.42,63.01,2032017.0,,0.64
2025-05-29,63.23,63.57,63.58,63.12,2144575.0,,0.73
2025-05-30,63.58,63.84,63.91,63.51,2356356.0,,0.63
2025-06-02,63.47,63.41,63.59,63.05,2728088.0,,0.85
2025-06-03,62.97,62.71,63.1,62.64,2553316.0,,0.73
2025-06-04,62.8,63.08,63.28,62.6,1750773.0,,1.08
2025-06-05,63.3,63.07,63.36,62.91,1661501.0,,0.71
2025-06-06,62.69,63.02,63.08,62.68,1661234.0,,0.63
2025-06-09,62.6,62.75,62.97,62.32,2086279.0,,1.03
2025-06-10,63.16,63.13,63.16,62.85,1525069.0,,0.49
2025-06-11,62.9,62.94,63.11,62.85,2031734.0,,0.41
2025-06-12,63.38,63.65,63.65,63.23,1698174.0,,0.67
2025-06-13,63.12,62.67,63.34,62.58,1987930.0,,1.19
2025-06-16,63.02,62.78,63.55,62.78,2409062.0,,1.23
2025-06-17,62.66,62.21,62.75,62.15,1956593.0,,0.96
2025-06-18,62.38,62.1,62.4,62.05,1634274.0,,0.56
2025-06-20,61.82,61.27,61.84,61.16,2246737.0,,1.1
2025-06-23,61.26,62.35,62.37,61.24,2956678.0,,1.84
2025-06-24,62.92,62.34,62.94,62.23,4008505.0,,1.14
2025-06-25,61.68,61.29,61.86,61.25,1836226.0,,0.98
2025-06-26,61.03,60.68,61.11,60.37,2523979.0,,1.21
2025-06-27,60.7,60.92,61.05,60.59,1982299.0,,0.76
2025-06-30,60.92,61.17,61.2,60.67,2310687.0,,0.87
2025-07-01,61.18,61.48,61.72,61.07,2072643.0,,1.06
2025-07-02,60.62,61.39,61.45,60.61,1795676.0,,1.37
2025-07-03,61.21,61.37,61.52,61.07,991909.0,,0.73
2025-07-07,61.4,61.41,61.64,61.29,1852962.0,,0.57
2025-07-08,60.86,60.91,61.19,60.66,2092593.0,,0.86
2025-07-09,60.68,60.8,60.8,60.46,1644631.0,,0.56
2025-07-10,61.0,61.47,61.67,60.96,1971200.0,,1.17
2025-07-11,60.96,60.79,60.99,60.55,2015444.0,,0.72
2025-07-14,61.09,60.97,61.42,60.92,2399787.0,,0.82
2025-07-15,60.59,60.26,60.63,59.92,2055902.0,,1.16
2025-07-16,60.01,60.32,60.35,59.98,2517903.0,,0.61
2025-07-17,59.77,59.79,59.98,59.53,2230795.0,,0.75
2025-07-18,59.89,59.7,60.02,59.68,1418656.0,,0.57
2025-07-21,59.7,59.66,59.93,59.58,1804099.0,,0.59
2025-07-22,59.9,60.34,60.61,59.89,2941989.0,,1.21
2025-07-23,60.29,60.88,60.93,60.25,2832117.0,,1.13
2025-07-24,60.99,61.04,61.29,60.91,2444649.0,,0.62
2025-07-25,60.16,60.43,60.45,60.13,1685393.0,,0.52
2025-07-28,59.78,59.21,59.86,59.15,1823535.0,,1.17
2025-07-29,59.35,59.33,59.47,59.02,2837451.0,,0.76
2025-07-30,59.48,59.01,59.68,58.92,2250961.0,,1.28
2025-07-31,58.9,58.43,59.34,58.16,3391423.0,,2.0
2025-08-01,60.23,60.47,60.51,59.97,2718590.0,,0.92
2025-08-04,60.11,60.17,60.29,59.82,2025842.0,,0.78
2025-08-05,59.96,60.13,60.27,59.85,2426954.0,,0.7
2025-08-06,60.3,60.81,60.85,60.1,2928556.0,,1.25
2025-08-07,61.26,61.32,61.53,61.02,2981989.0,,0.84
2025-08-08,61.02,61.06,61.18,60.84,2120506.0,,0.55
2025-08-11,60.83,60.9,60.99,60.69,1595150.0,,0.49
2025-08-12,60.93,61.08,61.14,60.65,1897151.0,,0.8
2025-08-13,61.67,62.44,62.49,61.57,2341716.0,,1.51
2025-08-14,61.7,61.68,61.9,61.56,1959438.0,,0.54
2025-08-15,61.34,61.0,61.38,60.96,2007103.0,,0.68
2025-08-18,60.95,61.29,61.42,60.86,1880094.0,,0.92
2025-08-19,61.38,61.97,61.97,61.37,1991445.0,,0.98
