日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,407.62,404.75,410.23,402.5,751104.0,,
2025-05-22,407.44,410.39,412.74,405.26,545393.0,,1.85
2025-05-23,402.97,407.04,408.49,402.76,569219.0,,1.4
2025-05-27,410.62,421.31,423.14,410.62,945035.0,,3.08
2025-05-28,423.27,417.01,424.51,416.93,755106.0,,1.8
2025-05-29,424.36,421.79,427.06,414.21,1960045.0,,3.08
2025-05-30,468.16,471.46,491.98,466.83,4594522.0,,5.96
2025-06-02,465.27,475.68,481.34,462.55,1312978.0,,3.99
2025-06-03,475.34,473.11,477.19,469.0,667372.0,,1.72
2025-06-04,473.44,465.64,473.44,464.76,674936.0,,1.83
2025-06-05,463.7,467.04,469.28,461.58,575350.0,,1.65
2025-06-06,468.85,465.64,468.85,458.57,601513.0,,2.2
2025-06-09,469.65,468.32,470.68,464.67,638805.0,,1.29
2025-06-10,467.97,462.21,469.88,459.87,691052.0,,2.14
2025-06-11,464.3,456.97,464.3,454.37,709203.0,,2.15
2025-06-12,458.37,462.43,463.0,452.0,655704.0,,2.41
2025-06-13,458.43,459.17,467.5,454.28,673799.0,,2.86
2025-06-16,462.2,471.94,472.58,456.84,631921.0,,3.43
2025-06-17,470.64,471.75,478.59,469.65,813801.0,,1.89
2025-06-18,472.86,473.46,477.82,470.19,627599.0,,1.62
2025-06-20,479.21,473.85,479.21,469.37,1231533.0,,2.08
2025-06-23,473.92,471.56,478.26,470.74,587995.0,,1.59
2025-06-24,474.71,464.49,475.61,462.33,768494.0,,2.82
2025-06-25,460.17,459.09,462.64,456.52,883676.0,,1.32
2025-06-26,460.19,457.66,461.99,452.05,834660.0,,2.17
2025-06-27,458.46,458.27,459.69,455.0,1373759.0,,1.02
2025-06-30,457.5,467.82,470.0,456.38,675797.0,,2.97
2025-07-01,468.42,473.44,478.72,467.24,565674.0,,2.45
2025-07-02,473.44,474.84,477.99,471.02,643000.0,,1.47
2025-07-03,472.84,477.79,481.4,471.13,391801.0,,2.16
2025-07-07,476.74,475.99,478.84,471.89,631957.0,,1.45
2025-07-08,481.77,483.21,498.52,476.1,1199618.0,,4.71
2025-07-09,482.22,475.57,482.5,471.51,546152.0,,2.27
2025-07-10,478.14,476.14,485.83,475.26,535554.0,,2.22
2025-07-11,473.33,476.84,477.71,471.88,474129.0,,1.22
2025-07-14,476.84,479.67,480.95,471.34,519946.0,,2.02
2025-07-15,480.02,473.78,483.42,472.81,552448.0,,2.21
2025-07-16,476.32,485.08,485.34,473.64,613673.0,,2.47
2025-07-17,485.88,490.07,492.71,484.04,572074.0,,1.79
2025-07-18,493.89,493.3,494.58,487.11,419575.0,,1.52
2025-07-21,495.15,497.41,500.95,490.14,608880.0,,2.19
2025-07-22,497.6,502.74,504.83,493.83,598765.0,,2.21
2025-07-23,503.63,508.1,508.27,500.45,616472.0,,1.56
2025-07-24,508.64,513.55,514.34,505.43,589255.0,,1.75
2025-07-25,508.43,514.95,515.99,502.0,466180.0,,2.72
2025-07-28,514.96,519.27,520.87,513.55,528471.0,,1.42
2025-07-29,519.63,513.63,521.77,511.59,579977.0,,1.96
2025-07-30,514.36,517.43,520.76,510.01,390459.0,,2.09
