日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,12.14,11.62,12.15,11.58,5438519.0,,
2025-05-22,11.55,11.5,11.59,11.39,4316302.0,,1.72
2025-05-23,11.35,11.44,11.5,11.24,2847182.0,,2.26
2025-05-27,11.59,11.21,11.59,11.16,7146877.0,,3.76
2025-05-28,11.21,11.18,11.39,11.17,4895108.0,,1.96
2025-05-29,11.2,11.11,11.28,11.01,4747236.0,,2.42
2025-05-30,11.08,11.4,11.45,10.98,5702618.0,,4.23
2025-06-02,11.22,11.58,11.59,11.13,6488022.0,,4.04
2025-06-03,11.53,11.58,11.78,11.33,6226709.0,,3.89
2025-06-04,11.64,11.92,12.0,11.55,6609868.0,,3.89
2025-06-05,11.87,11.68,11.87,11.58,5168979.0,,2.43
2025-06-06,11.72,11.69,11.86,11.64,3608180.0,,1.88
2025-06-09,11.7,11.46,11.71,11.41,4917190.0,,2.57
2025-06-10,11.49,11.39,11.63,11.37,4077679.0,,2.27
2025-06-11,11.45,11.48,11.67,11.24,8870117.0,,3.78
2025-06-12,11.42,11.43,11.44,11.2,5242123.0,,2.09
2025-06-13,11.35,11.18,11.5,11.13,6409854.0,,3.24
2025-06-16,11.18,11.22,11.24,10.91,10937278.0,,2.95
2025-06-17,11.21,11.24,11.58,11.13,6681729.0,,4.01
2025-06-18,11.26,11.33,11.38,11.16,5945744.0,,1.96
2025-06-20,11.46,12.01,12.04,11.42,14057530.0,,5.47
2025-06-23,11.87,12.31,12.48,11.85,11827052.0,,5.25
2025-06-24,12.39,12.38,12.51,12.3,8187784.0,,1.71
2025-06-25,12.3,11.87,12.33,11.74,7049092.0,,4.77
2025-06-26,11.98,11.75,12.04,11.6,5717372.0,,3.71
2025-06-27,11.8,11.56,11.85,11.41,11948013.0,,3.74
2025-06-30,11.58,11.42,11.58,11.31,6299171.0,,2.34
2025-07-01,11.46,11.88,12.04,11.45,7152631.0,,5.17
2025-07-02,11.87,11.66,11.92,11.61,6666567.0,,2.61
2025-07-03,11.71,11.68,11.82,11.61,3704336.0,,1.8
2025-07-07,11.59,11.3,11.6,11.21,6419945.0,,3.34
2025-07-08,11.19,11.29,11.42,11.11,9514693.0,,2.74
2025-07-09,11.31,11.23,11.41,11.07,7733302.0,,3.01
2025-07-10,11.19,11.29,11.45,11.18,6891674.0,,2.4
2025-07-11,11.25,11.02,11.3,10.97,7340445.0,,2.92
2025-07-14,11.0,10.9,11.05,10.76,10939641.0,,2.63
2025-07-15,10.92,10.51,10.96,10.5,6607396.0,,4.22
2025-07-16,10.53,10.45,10.6,10.38,6925482.0,,2.09
2025-07-17,10.51,10.57,10.62,10.33,7363438.0,,2.78
2025-07-18,10.62,10.47,10.67,10.45,4512727.0,,2.08
2025-07-21,10.51,10.32,10.59,10.3,4295529.0,,2.77
2025-07-22,10.35,10.84,10.88,10.33,7262594.0,,5.33
2025-07-23,11.75,11.32,12.0,11.14,19344986.0,,7.93
2025-07-24,11.23,10.67,11.28,10.66,7878537.0,,5.48
2025-07-25,10.71,10.76,10.8,10.56,5571077.0,,2.25
2025-07-28,10.69,10.36,10.73,10.34,6845397.0,,3.62
2025-07-29,10.35,10.18,10.38,10.08,7478432.0,,2.9
2025-07-30,10.23,10.1,10.25,10.01,4957670.0,,2.36
2025-07-31,10.0,9.85,10.0,9.8,5936429.0,,1.98
2025-08-01,9.88,9.96,10.02,9.76,6933884.0,,2.64
2025-08-04,9.95,9.82,10.01,9.81,6824782.0,,2.01
2025-08-05,9.87,9.95,10.04,9.74,5925875.0,,3.05
2025-08-06,9.96,10.04,10.1,9.91,5574278.0,,1.91
2025-08-07,10.12,9.96,10.15,9.9,11562625.0,,2.49
2025-08-08,10.01,10.09,10.35,9.92,13788162.0,,4.32
2025-08-11,10.09,10.3,10.45,10.08,10527680.0,,3.67
2025-08-12,10.33,10.11,10.37,10.01,8230506.0,,3.5
2025-08-13,10.11,10.41,10.45,9.97,7168315.0,,4.75
2025-08-14,10.3,10.55,10.61,10.25,5723395.0,,3.46
2025-08-15,10.58,10.57,10.73,10.49,7255871.0,,2.27
2025-08-18,10.57,10.68,10.73,10.47,6100847.0,,2.46
2025-08-19,10.72,10.58,10.84,10.55,5529247.0,,2.72
2025-08-20,10.54,10.27,10.54,10.14,7437595.0,,3.78
2025-08-21,10.23,10.35,10.42,10.23,3725703.0,,1.85
2025-08-22,10.41,10.64,10.72,10.41,4603528.0,,3.0
2025-08-25,10.61,10.52,10.61,10.43,5007502.0,,1.69
2025-08-26,10.49,10.27,10.53,10.26,5763546.0,,2.57
2025-08-27,10.26,10.46,10.49,10.2,4653281.0,,2.82
2025-08-28,10.46,10.5,10.52,10.19,6107575.0,,3.15
2025-08-29,10.52,10.61,10.62,10.36,6084360.0,,2.48
2025-09-02,10.44,10.27,10.45,10.18,5401974.0,,2.54
2025-09-03,10.21,10.02,10.24,9.97,7968646.0,,2.63
2025-09-04,10.02,10.17,10.21,9.95,5520858.0,,2.59
2025-09-05,10.13,10.33,10.45,10.13,7551351.0,,3.15
2025-09-08,10.3,10.07,10.31,9.98,6840782.0,,3.19
2025-09-09,10.03,9.92,10.07,9.91,6040316.0,,1.59
2025-09-10,9.93,9.83,10.0,9.73,7085778.0,,2.72
2025-09-11,9.84,9.89,9.96,9.8,5295774.0,,1.63
2025-09-12,9.9,9.66,9.9,9.63,7417630.0,,2.73
2025-09-15,9.68,9.67,9.88,9.63,5275131.0,,2.59
2025-09-16,9.7,9.56,9.74,9.48,5305438.0,,2.69
2025-09-17,9.56,9.47,9.78,9.46,4906672.0,,3.35
2025-09-18,9.44,9.52,9.53,9.33,7581310.0,,2.11
2025-09-19,9.56,9.33,9.56,9.31,32414903.0,,2.63
2025-09-22,9.31,9.31,9.46,9.27,7385623.0,,2.04
2025-09-23,9.22,9.09,9.33,9.08,8111746.0,,2.69
2025-09-24,9.11,9.29,9.32,9.1,4519244.0,,2.42
2025-09-25,9.1,9.16,9.17,9.05,6587635.0,,1.29
2025-09-26,9.17,9.21,9.25,9.04,4998085.0,,2.29
2025-09-29,9.23,9.13,9.24,9.01,5994252.0,,2.5
2025-09-30,9.1,9.16,9.18,9.04,7536276.0,,1.53
2025-10-01,9.16,9.46,9.47,9.16,5316280.0,,3.38
2025-10-02,9.47,9.41,9.47,9.29,4173029.0,,1.9
