日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,324.38,322.48,327.62,320.26,648926.0,,
2025-05-22,321.47,321.14,324.86,318.53,686212.0,,1.96
2025-05-23,316.28,322.47,323.89,315.78,479177.0,,2.53
2025-05-27,332.28,338.7,340.37,330.31,683648.0,,3.12
2025-05-28,335.59,339.34,341.4,334.43,463717.0,,2.06
2025-05-29,340.39,340.56,345.66,336.85,747956.0,,2.6
2025-05-30,337.75,341.7,344.95,332.36,621436.0,,3.7
2025-06-02,339.0,349.1,349.99,334.95,706187.0,,4.4
2025-06-03,345.39,346.4,351.69,343.22,661132.0,,2.43
2025-06-04,348.97,365.6,367.83,346.38,543121.0,,6.19
2025-06-05,365.52,371.65,374.46,362.19,754750.0,,3.36
2025-06-06,374.42,374.82,377.09,371.31,453115.0,,1.56
2025-06-09,376.99,376.13,380.47,369.82,566775.0,,2.84
2025-06-10,376.56,381.46,386.42,374.66,677207.0,,3.13
2025-06-11,384.42,381.0,388.14,377.27,998548.0,,2.85
2025-06-12,379.03,358.45,380.83,355.87,1131988.0,,6.55
2025-06-13,347.5,354.06,361.74,347.5,1202232.0,,3.97
2025-06-16,356.56,349.83,362.26,345.7,628693.0,,4.68
2025-06-17,349.36,346.14,351.42,345.3,435983.0,,1.75
2025-06-18,345.92,350.32,352.58,344.18,523858.0,,2.43
2025-06-20,350.32,350.0,350.52,343.64,910692.0,,1.96
2025-06-23,349.58,360.19,361.84,343.57,622355.0,,5.22
2025-06-24,362.37,364.11,369.82,360.77,617424.0,,2.51
2025-06-25,364.51,356.09,364.98,346.04,719267.0,,5.2
2025-06-26,357.5,343.42,357.51,342.58,628311.0,,4.19
2025-06-27,342.29,347.61,350.95,341.06,700404.0,,2.88
2025-06-30,349.55,336.74,349.73,329.12,842867.0,,5.93
2025-07-01,336.5,335.45,342.53,333.0,562183.0,,2.83
2025-07-02,333.42,326.29,335.41,316.83,702961.0,,5.54
2025-07-03,328.04,327.28,328.28,322.52,279018.0,,1.77
2025-07-07,321.32,325.4,330.25,319.83,576680.0,,3.18
2025-07-08,325.59,326.65,328.54,319.4,557348.0,,2.81
2025-07-09,330.36,334.06,335.06,323.35,582243.0,,3.58
2025-07-10,332.5,330.16,335.11,327.21,400725.0,,2.36
2025-07-11,328.91,328.21,336.33,325.4,581902.0,,3.31
2025-07-14,328.33,318.27,328.33,309.0,736626.0,,5.89
2025-07-15,317.53,317.66,318.12,308.53,583007.0,,3.01
2025-07-16,320.3,326.34,328.18,318.14,598694.0,,3.16
2025-07-17,326.64,328.46,329.97,321.7,460389.0,,2.53
2025-07-18,329.24,329.34,329.99,322.47,384028.0,,2.29
2025-07-21,330.54,322.57,331.44,321.17,525426.0,,3.12
2025-07-22,320.17,320.81,324.26,315.05,584059.0,,2.86
2025-07-23,320.91,319.26,325.1,317.46,595494.0,,2.38
2025-07-24,315.68,299.63,319.64,298.1,987389.0,,6.75
2025-07-25,302.05,302.01,303.4,298.05,750845.0,,1.79
2025-07-28,302.1,289.44,304.25,289.05,977961.0,,5.03
2025-07-29,289.98,290.3,295.08,281.59,1424468.0,,4.66
2025-07-30,371.0,368.26,375.0,351.1,2957916.0,,8.23
2025-07-31,369.86,377.34,381.45,366.65,1153734.0,,4.02
2025-08-01,376.32,362.45,380.0,358.35,1200043.0,,5.74
2025-08-04,363.47,348.67,363.47,347.99,742270.0,,4.27
2025-08-05,346.39,338.57,350.78,335.6,697734.0,,4.35
2025-08-06,338.45,335.95,341.53,333.33,641913.0,,2.42
2025-08-07,335.01,330.72,340.49,324.21,554567.0,,4.85
2025-08-08,329.65,315.36,329.65,309.0,1099061.0,,6.24
2025-08-11,317.18,328.55,330.0,314.83,765798.0,,4.81
2025-08-12,332.42,342.16,342.55,330.81,600795.0,,3.57
2025-08-13,342.0,342.73,343.77,331.19,564622.0,,3.68
2025-08-14,342.13,325.59,343.28,322.14,735324.0,,6.17
2025-08-15,330.97,336.84,344.6,326.43,1048995.0,,5.58
2025-08-18,338.06,339.63,345.81,336.09,513292.0,,2.89
2025-08-19,338.01,330.92,341.12,330.14,567020.0,,3.23
2025-08-20,328.96,329.26,332.0,325.35,446503.0,,2.01
2025-08-21,326.77,318.77,327.74,313.95,739150.0,,4.19
2025-08-22,319.99,332.19,333.62,318.46,980580.0,,4.76
2025-08-25,333.9,320.07,334.65,319.62,1051714.0,,4.52
2025-08-26,320.06,325.34,327.15,315.0,413832.0,,3.8
2025-08-27,327.42,339.33,342.06,326.61,586212.0,,4.75
2025-08-28,339.52,338.62,342.1,330.14,702281.0,,3.52
2025-08-29,338.55,328.12,338.8,321.19,602241.0,,5.2
2025-09-02,324.78,318.61,330.42,316.25,1294054.0,,4.32
2025-09-03,318.58,322.83,325.0,316.31,590321.0,,2.73
2025-09-04,319.54,308.82,322.18,297.59,1449897.0,,7.62
2025-09-05,310.97,309.79,313.56,305.87,353846.0,,2.49
2025-09-08,309.02,304.78,309.02,296.14,1109403.0,,4.16
2025-09-09,304.78,287.45,306.59,286.0,1890835.0,,6.76
2025-09-10,291.17,280.65,291.17,277.91,820072.0,,4.61
2025-09-11,281.96,274.7,281.96,273.54,828004.0,,3.0
2025-09-12,274.7,266.02,275.69,261.3,801946.0,,5.24
2025-09-15,265.0,267.52,275.0,263.46,965987.0,,4.34
2025-09-16,267.52,261.14,268.4,259.71,759449.0,,3.25
2025-09-17,261.24,257.04,269.48,256.47,1012588.0,,4.98
2025-09-18,256.3,255.87,259.0,252.5,769201.0,,2.53
2025-09-19,257.95,253.55,262.41,252.28,1031035.0,,3.96
2025-09-22,254.51,255.83,258.6,249.81,648166.0,,3.47
2025-09-23,254.31,254.06,255.41,250.29,711612.0,,2.0
2025-09-24,250.0,253.07,258.97,250.0,715092.0,,3.53
