日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,97.13,96.43,97.76,95.98,15742336.0,,
2025-05-22,96.54,95.93,96.96,95.82,13712163.0,,1.18
2025-05-23,95.34,96.34,96.54,95.0,13668621.0,,1.61
2025-05-27,97.3,97.58,97.8,96.58,17180937.0,,1.27
2025-05-28,97.52,97.24,98.24,97.06,11220098.0,,1.21
2025-05-29,97.63,97.1,97.77,96.85,14343738.0,,0.95
2025-05-30,96.96,98.72,98.93,96.6,29980069.0,,2.4
2025-06-02,98.84,99.77,99.91,98.05,16999205.0,,1.88
2025-06-03,99.57,99.98,100.89,98.57,15598643.0,,2.33
2025-06-04,99.79,99.35,100.13,99.32,11115649.0,,0.81
2025-06-05,99.3,97.96,99.59,97.61,15825276.0,,1.99
2025-06-06,98.37,97.47,98.56,96.97,15599294.0,,1.62
2025-06-09,97.4,97.45,97.85,96.77,13655700.0,,1.11
2025-06-10,97.29,97.32,98.09,96.48,17162468.0,,1.65
2025-06-11,97.29,95.8,97.29,95.35,16389620.0,,1.99
2025-06-12,94.89,94.83,95.26,93.43,17845704.0,,1.91
2025-06-13,94.52,94.44,95.32,94.01,18694739.0,,1.38
2025-06-16,94.75,94.29,95.78,94.1,14881663.0,,1.78
2025-06-17,93.95,94.25,94.82,93.62,14935630.0,,1.27
2025-06-18,94.57,95.09,95.49,94.09,11333690.0,,1.49
2025-06-20,95.24,96.12,96.31,95.2,20604918.0,,1.17
2025-06-23,95.92,97.87,97.93,95.67,20432351.0,,2.35
2025-06-24,97.73,98.0,99.11,97.25,22403655.0,,1.9
2025-06-25,98.31,97.26,98.56,97.15,11154676.0,,1.44
2025-06-26,96.9,96.02,97.34,95.92,19361417.0,,1.46
2025-06-27,96.32,97.27,97.76,96.16,31431912.0,,1.67
2025-06-30,97.23,97.78,98.14,96.31,17803030.0,,1.88
2025-07-01,97.6,98.24,99.19,97.42,15635847.0,,1.81
2025-07-02,98.13,97.61,98.38,97.06,12501965.0,,1.34
2025-07-03,97.7,98.36,98.48,97.42,7686204.0,,1.09
2025-07-07,98.23,99.35,99.35,97.62,12930913.0,,1.76
2025-07-08,98.82,97.09,99.17,96.51,16874954.0,,2.68
2025-07-09,97.15,96.81,97.29,96.38,13702615.0,,0.94
2025-07-10,96.66,94.86,96.78,94.74,18894787.0,,2.11
2025-07-11,95.01,94.4,95.53,94.23,14595047.0,,1.37
2025-07-14,94.51,95.78,95.84,94.38,13779084.0,,1.55
2025-07-15,95.6,95.39,95.78,94.94,10450759.0,,0.88
2025-07-16,95.42,95.15,95.83,94.61,11181552.0,,1.28
2025-07-17,95.08,95.09,95.63,94.89,11165126.0,,0.78
2025-07-18,95.09,95.05,95.48,94.43,14636294.0,,1.1
2025-07-21,95.26,95.67,96.64,95.1,13450359.0,,1.62
2025-07-22,95.84,95.85,96.67,95.74,9049130.0,,0.97
2025-07-23,96.01,95.68,96.29,95.29,9729672.0,,1.04
2025-07-24,95.57,96.6,96.96,95.35,14991517.0,,1.68
2025-07-25,96.84,97.47,97.65,96.53,12868466.0,,1.16
2025-07-28,97.28,97.61,98.13,97.08,12293060.0,,1.08
2025-07-29,97.78,98.33,98.72,97.34,14034265.0,,1.41
