日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,147.91,146.43,148.93,145.34,1842063.0,,
2025-05-22,146.22,145.5,146.24,144.52,1926740.0,,1.17
2025-05-23,145.22,145.45,145.9,144.66,1062942.0,,0.85
2025-05-27,145.29,144.09,145.55,142.76,2396821.0,,1.92
2025-05-28,144.45,143.15,144.96,142.84,1537051.0,,1.47
2025-05-29,143.2,144.04,144.89,142.62,1841961.0,,1.59
2025-05-30,144.04,143.94,144.48,143.09,3184484.0,,0.97
2025-06-02,142.9,144.63,144.89,142.06,1764847.0,,1.97
2025-06-03,143.98,143.97,144.59,141.43,2414937.0,,2.18
2025-06-04,146.0,144.01,146.0,142.81,2035572.0,,2.22
2025-06-05,144.13,142.88,144.18,142.25,1250918.0,,1.34
2025-06-06,142.96,144.83,145.03,142.73,1367873.0,,1.61
2025-06-09,144.16,143.14,144.64,142.41,1479421.0,,1.54
2025-06-10,145.15,143.92,145.47,142.95,2159936.0,,1.76
2025-06-11,143.92,143.41,144.59,142.95,1454355.0,,1.14
2025-06-12,143.21,143.97,143.97,142.46,1096436.0,,1.05
2025-06-13,143.57,144.0,145.43,142.21,1180160.0,,2.24
2025-06-16,144.0,141.94,144.88,141.52,1706984.0,,2.33
2025-06-17,141.3,139.99,142.15,139.28,1892950.0,,2.02
2025-06-18,140.13,138.36,140.74,137.97,1539460.0,,1.98
2025-06-20,138.76,139.06,139.76,138.56,2956521.0,,0.87
2025-06-23,140.07,141.39,141.5,138.58,1955864.0,,2.1
2025-06-24,141.63,142.7,143.08,140.6,1629143.0,,1.75
2025-06-25,144.96,147.18,149.29,144.55,3752130.0,,3.32
2025-06-26,146.9,147.05,149.01,145.65,3297131.0,,2.28
2025-06-27,147.04,148.41,148.85,146.89,3075088.0,,1.33
2025-06-30,147.86,148.18,148.41,146.29,2435045.0,,1.43
2025-07-01,148.28,150.37,150.8,148.11,1726622.0,,1.82
2025-07-02,149.71,150.18,151.16,148.86,2292737.0,,1.53
2025-07-03,150.07,150.0,150.18,148.74,1284289.0,,0.96
2025-07-07,150.33,150.36,150.97,149.33,1779990.0,,1.09
2025-07-08,149.73,150.53,150.74,148.37,1677371.0,,1.58
2025-07-09,150.47,150.85,151.18,149.97,1428860.0,,0.8
2025-07-10,151.05,152.35,153.22,150.58,1250071.0,,1.75
2025-07-11,151.38,149.79,151.86,148.51,1757972.0,,2.2
2025-07-14,150.46,147.17,150.94,147.17,1908443.0,,2.52
2025-07-15,146.6,145.0,147.67,144.99,1883466.0,,1.82
2025-07-16,145.02,146.14,146.63,145.02,1332997.0,,1.11
2025-07-17,146.1,148.08,148.46,145.78,1427772.0,,1.83
2025-07-18,148.33,148.96,149.6,147.93,1597284.0,,1.13
2025-07-21,150.02,145.51,150.05,144.89,2512031.0,,3.46
2025-07-22,145.56,148.53,148.53,145.56,1450967.0,,2.04
2025-07-23,148.66,147.79,149.0,147.0,1186930.0,,1.35
2025-07-24,146.37,145.83,148.19,145.83,1489192.0,,1.6
2025-07-25,145.89,146.7,147.07,145.09,1152556.0,,1.36
2025-07-28,145.84,144.29,146.59,144.26,1658198.0,,1.59
2025-07-29,144.51,145.18,145.23,143.49,2472598.0,,1.21
2025-07-30,145.56,146.99,147.32,145.16,1643838.0,,1.49
2025-07-31,145.98,144.15,147.37,144.11,2653526.0,,2.22
2025-08-01,145.67,145.36,146.06,144.22,1930683.0,,1.28
2025-08-04,145.08,147.0,147.76,144.67,3350072.0,,2.13
2025-08-05,144.5,139.5,147.0,139.31,5141705.0,,5.23
2025-08-06,139.74,141.34,142.36,139.06,2685260.0,,2.37
2025-08-07,142.05,142.56,143.32,141.01,2066898.0,,1.63
2025-08-08,141.83,141.28,142.89,140.95,2263370.0,,1.36
2025-08-11,141.5,141.27,142.55,140.96,1825040.0,,1.13
2025-08-12,141.6,142.09,142.51,140.3,1606795.0,,1.56
2025-08-13,141.83,144.79,144.81,141.5,1845003.0,,2.33
2025-08-14,144.49,146.77,146.99,143.45,1832905.0,,2.44
2025-08-15,146.84,148.18,149.11,146.45,2604287.0,,1.81
2025-08-18,148.19,149.34,151.11,147.9,2182850.0,,2.17
2025-08-19,149.3,152.01,153.07,149.28,1952784.0,,2.54
2025-08-20,152.98,149.34,152.98,147.55,2606883.0,,3.57
2025-08-21,148.68,148.01,149.05,147.59,1943772.0,,0.98
2025-08-22,148.6,147.87,149.96,147.4,1995361.0,,1.73
2025-08-25,148.19,146.89,148.68,146.68,1404464.0,,1.35
2025-08-26,146.92,147.03,147.97,145.98,1664964.0,,1.35
2025-08-27,146.96,145.33,147.18,144.96,1812874.0,,1.51
2025-08-28,145.13,145.47,145.73,143.98,1616976.0,,1.2
2025-08-29,145.41,146.97,147.35,145.4,1473397.0,,1.34
2025-09-02,145.27,145.44,146.18,144.31,1619041.0,,1.27
2025-09-03,144.72,144.55,145.02,143.9,1539132.0,,0.77
2025-09-04,144.66,143.67,145.36,142.35,1484375.0,,2.08
2025-09-05,143.74,144.58,146.11,143.74,1455825.0,,1.65
2025-09-08,144.0,147.99,148.04,143.23,2187676.0,,3.33
2025-09-09,147.61,145.78,148.1,145.66,1637792.0,,1.65
2025-09-10,145.42,146.02,147.06,144.8,1947136.0,,1.55
2025-09-11,146.7,149.14,149.58,146.12,2609698.0,,2.37
2025-09-12,149.0,149.49,150.53,148.52,1809477.0,,1.35
2025-09-15,149.8,148.9,150.32,148.9,2605429.0,,0.95
2025-09-16,148.9,148.01,149.92,147.21,2370593.0,,1.82
2025-09-17,148.34,148.26,150.08,147.89,2042693.0,,1.48
2025-09-18,146.63,145.26,147.84,144.8,1747387.0,,2.05
2025-09-19,145.32,145.66,146.95,145.12,3068593.0,,1.26
2025-09-22,145.62,149.27,149.6,145.49,1939231.0,,2.82
2025-09-23,148.41,149.44,149.72,147.04,1616456.0,,1.8
2025-09-24,148.84,149.45,149.54,146.96,2808360.0,,1.73
2025-09-25,149.31,150.41,151.09,149.31,1442639.0,,1.19
2025-09-26,150.73,152.7,152.82,150.58,1208661.0,,1.49
2025-09-29,153.51,153.94,155.05,152.75,1742682.0,,1.51
2025-09-30,153.62,152.0,154.47,151.86,1898762.0,,1.7
2025-10-01,152.59,153.19,153.75,151.21,1991509.0,,1.67
2025-10-02,152.29,151.35,153.05,150.74,1800754.0,,1.51
2025-10-03,150.99,150.69,151.23,149.83,1288535.0,,0.93
2025-10-06,150.09,148.78,150.67,148.61,1394964.0,,1.37
2025-10-07,148.34,146.72,148.53,144.75,1657106.0,,2.54
2025-10-08,146.37,146.03,146.71,145.24,1150601.0,,1.0
2025-10-09,145.36,142.69,146.3,142.68,1371008.0,,2.48
2025-10-10,144.39,141.62,144.39,141.29,2055300.0,,2.17
2025-10-13,141.07,140.47,142.11,139.86,2168001.0,,1.59
2025-10-14,139.65,143.98,144.62,139.29,2096060.0,,3.79
2025-10-15,143.97,144.51,146.04,143.61,1492918.0,,1.69
2025-10-16,144.23,143.38,144.48,142.21,1497967.0,,1.57
2025-10-17,143.77,145.25,146.24,143.22,1503060.0,,2.11
2025-10-20,145.53,148.16,148.55,145.35,1992055.0,,2.2
2025-10-21,148.14,148.53,149.1,147.14,1491803.0,,1.32
2025-10-22,148.8,147.38,149.53,147.22,1180537.0,,1.56
2025-10-23,147.43,146.37,147.98,145.23,1238218.0,,1.87
2025-10-24,146.07,143.36,147.21,143.14,1289107.0,,2.78
2025-10-27,143.61,142.98,144.38,142.03,1743828.0,,1.64
2025-10-28,142.21,141.09,143.18,141.05,1451399.0,,1.49
2025-10-29,140.26,139.19,140.59,138.29,1620806.0,,1.63
2025-10-30,139.05,139.06,140.03,137.37,2065527.0,,1.91
2025-10-31,138.42,138.21,138.46,137.33,2422808.0,,0.81
2025-11-03,138.21,139.38,140.44,137.5,3632591.0,,2.13
2025-11-04,146.23,149.55,149.92,143.14,5598495.0,,4.86
2025-11-05,154.27,149.39,154.27,147.65,3277274.0,,4.43
