日期,开盘,收盘,最高,最低,成交量,成交额,振幅%
2025-05-21,43.63,42.78,43.9,42.45,2712236.0,,
2025-05-22,42.51,42.52,43.06,42.49,1774567.0,,1.33
2025-05-23,42.15,42.62,42.97,41.92,2771780.0,,2.47
2025-05-27,42.77,43.24,43.56,42.63,3048034.0,,2.18
2025-05-28,43.47,43.48,43.59,43.11,1810366.0,,1.11
2025-05-29,44.78,44.77,45.01,44.21,2965086.0,,1.84
2025-05-30,43.62,43.65,43.77,42.22,4283359.0,,3.46
2025-06-02,43.5,43.98,44.0,43.3,2342411.0,,1.6
2025-06-03,43.85,43.39,43.9,42.88,2716715.0,,2.32
2025-06-04,43.53,42.87,43.67,42.78,1897554.0,,2.05
2025-06-05,43.0,43.0,43.19,42.66,2021002.0,,1.24
2025-06-06,42.76,43.08,43.1,42.73,2403648.0,,0.86
2025-06-09,44.09,44.24,44.52,43.82,3403183.0,,1.62
2025-06-10,44.9,44.77,45.4,44.53,2115812.0,,1.97
2025-06-11,45.2,44.91,45.59,44.9,2162135.0,,1.54
2025-06-12,44.58,44.65,45.1,44.55,1408372.0,,1.22
2025-06-13,43.83,43.57,44.2,43.42,1582146.0,,1.75
2025-06-16,44.08,43.82,44.64,43.75,1723873.0,,2.04
2025-06-17,43.52,42.93,43.73,42.86,1463423.0,,1.99
2025-06-18,42.95,42.76,43.36,42.68,1382841.0,,1.58
2025-06-20,43.07,42.83,43.36,42.71,1770464.0,,1.52
2025-06-23,43.28,43.96,43.99,43.07,1906870.0,,2.15
2025-06-24,44.4,44.4,44.65,44.13,2118710.0,,1.18
2025-06-25,45.08,44.47,45.12,44.16,2274861.0,,2.16
2025-06-26,44.33,44.61,44.65,44.23,1806905.0,,0.94
2025-06-27,43.94,44.67,44.71,43.69,1588947.0,,2.29
2025-06-30,44.57,44.71,44.74,44.03,2001500.0,,1.59
2025-07-01,44.85,45.68,46.14,44.85,1542426.0,,2.89
2025-07-02,46.06,45.95,46.37,45.63,1853218.0,,1.62
2025-07-03,45.76,45.76,46.09,45.36,1115645.0,,1.59
2025-07-07,46.6,47.58,48.18,46.37,4405105.0,,3.96
2025-07-08,47.83,47.47,47.93,47.12,2380724.0,,1.7
2025-07-09,46.86,47.2,47.22,46.58,1581436.0,,1.35
2025-07-10,47.94,47.88,48.36,47.59,1709029.0,,1.63
2025-07-11,48.01,47.6,48.15,47.2,1400584.0,,1.98
2025-07-14,47.51,47.46,47.99,47.21,1355027.0,,1.64
2025-07-15,47.63,46.98,47.83,46.75,1553615.0,,2.28
2025-07-16,46.45,47.0,47.08,46.25,1077810.0,,1.77
2025-07-17,46.89,47.56,47.57,46.51,1495401.0,,2.26
2025-07-18,47.45,46.83,47.69,46.38,1958542.0,,2.75
2025-07-21,47.26,47.68,47.9,47.24,1845263.0,,1.41
2025-07-22,48.0,48.66,48.66,47.92,1691913.0,,1.55
2025-07-23,48.71,49.08,49.37,48.71,1818182.0,,1.36
2025-07-24,49.25,48.72,49.35,48.5,2027391.0,,1.73
2025-07-25,48.11,47.85,48.54,47.5,1553488.0,,2.13
2025-07-28,47.74,46.94,47.89,46.82,891388.0,,2.24
2025-07-29,47.06,46.49,47.23,46.43,2051075.0,,1.7
2025-07-30,46.49,46.66,46.88,46.22,881587.0,,1.42
2025-07-31,46.3,46.68,46.86,46.0,1699735.0,,1.84
2025-08-01,46.54,46.69,46.79,46.08,1586649.0,,1.52
2025-08-04,46.92,46.48,47.51,46.48,1812953.0,,2.21
2025-08-05,47.01,43.64,47.25,43.52,3119022.0,,8.02
2025-08-06,44.32,44.8,45.46,44.31,2642460.0,,2.64
2025-08-07,45.15,45.85,46.1,45.08,2751011.0,,2.28
2025-08-08,45.6,44.56,45.79,44.17,2647595.0,,3.53
2025-08-11,44.61,44.4,45.0,44.37,1202096.0,,1.41
2025-08-12,44.66,44.78,45.02,44.51,1291844.0,,1.15
2025-08-13,44.73,45.61,45.61,44.62,2228453.0,,2.21
2025-08-14,45.12,44.82,45.67,44.6,1616953.0,,2.35
2025-08-15,44.68,44.75,44.83,44.17,2159155.0,,1.47
2025-08-18,44.62,44.51,44.98,44.19,1825149.0,,1.77
2025-08-19,44.94,44.51,44.97,44.17,1967965.0,,1.8
2025-08-20,44.75,44.61,44.85,44.35,1599512.0,,1.12
2025-08-21,44.72,45.09,45.16,44.62,1675656.0,,1.21
2025-08-22,45.68,45.9,46.23,45.24,1212240.0,,2.2
2025-08-25,46.26,47.03,47.05,46.07,1682223.0,,2.14
2025-08-26,46.57,46.48,46.78,46.19,7018434.0,,1.25
2025-08-27,45.42,44.6,45.62,44.51,1551563.0,,2.39
2025-08-28,44.62,44.58,44.88,44.32,1562790.0,,1.26
2025-08-29,44.62,44.72,44.85,44.43,1398550.0,,0.94
2025-09-02,44.02,43.65,44.34,43.64,2331033.0,,1.57
2025-09-03,43.61,44.4,44.7,43.61,3745140.0,,2.5
2025-09-04,44.4,44.7,44.71,43.95,2350301.0,,1.71
2025-09-05,44.97,44.93,45.47,44.65,1316908.0,,1.83
2025-09-08,44.82,44.41,44.82,44.14,2779459.0,,1.51
2025-09-09,44.53,44.15,45.2,44.13,1839433.0,,2.41
2025-09-10,44.38,44.36,44.7,44.08,1533233.0,,1.4
2025-09-11,45.06,45.12,45.46,44.92,1487055.0,,1.22
2025-09-12,44.48,43.97,44.63,43.59,2276598.0,,2.3
2025-09-15,44.13,43.56,44.15,43.54,1137392.0,,1.39
2025-09-16,44.84,44.53,45.44,44.53,2152452.0,,2.09
2025-09-17,45.01,44.69,45.3,44.36,2704113.0,,2.11
2025-09-18,44.06,43.83,44.07,43.17,2162153.0,,2.01
2025-09-19,43.83,43.76,43.91,43.54,1268923.0,,0.84
2025-09-22,43.49,43.1,43.85,42.89,1408235.0,,2.19
2025-09-23,42.97,42.56,43.26,42.53,1548116.0,,1.69
2025-09-24,43.0,43.09,43.39,42.91,1222090.0,,1.13
2025-09-25,43.15,42.88,43.48,42.74,1728332.0,,1.72
2025-09-26,42.88,43.25,43.61,42.79,1071810.0,,1.91
2025-09-29,43.72,43.61,44.34,43.5,1076104.0,,1.94
2025-09-30,43.28,42.92,43.58,42.71,2145469.0,,1.99
2025-10-01,42.89,43.12,43.43,42.87,1510291.0,,1.3
2025-10-02,42.75,42.8,43.13,42.59,1115248.0,,1.25
2025-10-03,42.6,42.31,42.8,42.28,977335.0,,1.21
2025-10-06,42.5,43.19,43.33,42.49,1361773.0,,1.99
2025-10-07,43.19,42.57,43.53,42.43,1046406.0,,2.55
2025-10-08,42.26,42.39,42.7,41.69,1148672.0,,2.37
2025-10-09,42.5,42.43,42.89,42.39,864227.0,,1.18
2025-10-10,43.66,42.64,44.65,42.54,2092031.0,,4.97
2025-10-13,43.05,43.17,43.37,42.75,1578702.0,,1.45
2025-10-14,42.5,43.07,43.43,42.11,1142102.0,,3.06
2025-10-15,43.49,44.04,44.07,43.32,1189080.0,,1.74
2025-10-16,43.56,43.3,43.97,43.09,1312134.0,,2.0
2025-10-17,43.14,43.82,44.02,42.92,1140796.0,,2.54
2025-10-20,44.26,44.86,44.9,44.18,1220444.0,,1.64
2025-10-21,44.6,45.01,45.25,44.52,1284408.0,,1.63
2025-10-22,44.75,45.0,45.32,44.75,949224.0,,1.27
2025-10-23,45.34,45.51,45.8,45.22,973997.0,,1.29
2025-10-24,45.52,44.8,45.86,44.75,1056646.0,,2.44
2025-10-27,45.0,44.43,45.28,44.24,1216258.0,,2.32
2025-10-28,44.13,43.62,44.33,43.52,1129188.0,,1.82
2025-10-29,43.57,43.84,43.95,43.51,956019.0,,1.01
2025-10-30,43.1,43.7,44.04,43.1,1094907.0,,2.14
2025-10-31,42.95,43.26,43.84,42.95,1973190.0,,2.04
2025-11-03,43.31,43.98,44.27,43.27,1486280.0,,2.31
2025-11-04,43.75,44.82,46.08,43.75,1623551.0,,5.3
2025-11-05,44.38,43.87,44.38,43.07,2759409.0,,2.92
2025-11-06,44.3,43.08,44.3,43.02,973693.0,,2.92
2025-11-07,43.26,43.59,43.63,43.19,880330.0,,1.02
2025-11-10,44.67,44.79,45.52,44.67,1657133.0,,1.95
2025-11-11,45.85,46.03,46.17,45.84,1460260.0,,0.74
2025-11-12,46.01,46.26,46.45,45.97,1224281.0,,1.04
2025-11-13,45.98,46.37,46.39,45.83,1159067.0,,1.21
2025-11-14,45.99,46.17,46.56,45.99,1077973.0,,1.23
2025-11-17,46.13,46.38,46.73,46.08,1258285.0,,1.41
2025-11-18,46.72,47.53,47.93,46.52,1780530.0,,3.04
2025-11-19,47.53,47.71,48.14,47.31,1415707.0,,1.75
2025-11-20,48.0,47.37,48.63,47.31,1599797.0,,2.77
2025-11-21,47.0,48.02,48.47,46.35,1423045.0,,4.48
2025-11-24,48.1,47.55,48.5,47.52,1900321.0,,2.04
2025-11-25,47.4,48.04,48.65,47.4,1932377.0,,2.63
2025-11-26,48.16,48.28,48.93,47.78,1194823.0,,2.39
2025-11-28,48.47,48.14,48.79,47.99,894923.0,,1.66
2025-12-01,48.15,48.3,49.29,48.14,1535911.0,,2.39
2025-12-02,48.49,48.33,48.88,48.29,1107582.0,,1.22
2025-12-03,48.08,47.24,48.53,47.14,4550302.0,,2.88
2025-12-04,47.47,46.6,47.7,46.49,1386729.0,,2.56
2025-12-05,46.54,46.23,46.79,46.0,2296198.0,,1.7
2025-12-08,46.72,46.01,47.06,46.0,1160920.0,,2.29
2025-12-09,45.59,46.01,46.19,45.52,1044871.0,,1.46
2025-12-10,46.34,46.94,47.32,46.34,1463002.0,,2.13
2025-12-11,47.0,47.62,47.94,47.0,1172583.0,,2.0
