市场,代码,名称,板块,细分行业,货币,最新价,今日最高,今日最低,今开,成交量,成交额,昨收,总股本,市盈率(动),市盈率(静),市盈率TTM,市净率,换手率%,涨跌幅%,涨跌额,总市值,流通市值,52周最高(前复权),52周最低(前复权)
港股,02555,茶百道,可选消费,现制茶饮,HKD,4.26,4.41,4.195,4.405,2358600.0,10095570.0,4.4,1477634250.0,6.83,7.82,6.83,1.4,0.16,-3.18,-0.14,6294721905.0,6294721905.0,8.757,4.205
港股,02097,蜜雪集团,可选消费,现制茶饮,HKD,211.2,215.0,209.6,212.8,177323.0,37484763.0,211.6,379618800.0,12.91,13.62,12.91,2.61,0.12,-0.19,-0.4,80175490560.0,31866501850.0,486.0,204.4
港股,01364,古茗,可选消费,现制茶饮,HKD,26.2,26.9,26.04,26.6,2212400.0,58425006.0,26.6,2338897460.0,17.67,19.71,17.67,8.59,0.09,-1.5,-0.4,61279113452.0,61279113452.0,30.39,19.36
港股,02150,奈雪的茶,可选消费,现制茶饮,HKD,0.635,0.64,0.625,0.64,110500.0,69715.0,0.64,1684321647.0,-4.3,-4.47,-4.3,0.27,0.01,-0.78,-0.005,1069544246.0,1069544246.0,1.65,0.62
港股,02589,沪上阿姨,可选消费,现制茶饮,HKD,81.4,82.55,81.0,82.55,58200.0,4740047.0,82.55,105203020.0,12.19,17.08,12.19,3.45,0.06,-1.39,-1.15,8563525828.0,7707173245.0,168.341,70.541
港股,01405,达势股份,可选消费,咖啡及西式快餐,HKD,33.48,34.78,32.96,33.2,313500.0,10484162.0,34.48,131619251.0,24.73,31.05,24.73,1.52,0.24,-2.9,-1.0,4406612523.0,4406612523.0,90.8,28.86
港股,06862,海底捞,可选消费,火锅餐饮,HKD,11.8,12.28,11.77,12.16,6919178.0,82330436.0,12.16,5574000000.0,14.33,16.24,14.33,5.85,0.12,-2.96,-0.36,65773200000.0,65773200000.0,17.296,10.62
港股,09658,特海国际,可选消费,火锅餐饮,HKD,10.42,10.61,10.34,10.34,69700.0,726510.0,10.64,650299000.0,86.75,26.46,86.75,2.18,0.01,-2.07,-0.22,6776115580.0,6776115580.0,16.57,9.17
港股,09922,九毛九,可选消费,中式餐饮,HKD,1.16,1.18,1.16,1.18,301000.0,350050.0,1.16,1337583700.0,18.22,26.66,18.22,0.44,0.02,0.0,0.0,1551597092.0,1551597092.0,2.74,1.15
港股,00520,呷哺呷哺,可选消费,火锅餐饮,HKD,0.27,0.28,0.27,0.275,85500.0,23482.0,0.275,1086174481.0,-1.04,-0.98,-1.04,0.6,0.01,-1.82,-0.005,293267110.0,293267110.0,1.08,0.235
