代码,最新财年期末,营业收入(最新财年),营业收入(上年),营收同比%,净利润(最新财年),净利润(上年),净利润同比%,股东权益(最新),股东权益(上年),最新季度营收同比%,最新季度期末,名称
KO,,,,,,,,,,,,可口可乐
PEP,2025-12-27,93925000000.0,91854000000.0,2.254665011866658,8240000000.0,9578000000.0,-13.969513468365003,,,,2026-06-13,百事
MNST,2025-12-31,8294343000.0,7492709000.0,10.698854045979898,,,,,,20.1686593960105,2026-06-30,怪物饮料
KDP,2025-12-31,16603000000.0,15351000000.0,8.155820467721972,2079000000.0,1441000000.0,44.274809160305345,,,75.57050204179679,2026-06-30,胡椒博士
HSY,2020-12-31,8149719000.0,7986252000.0,2.046855020352476,883259000.0,2221239000.0,-60.2357513081663,,,,2020-12-31,好时
STZ,2026-02-28,9139000000.0,10208700000.0,-10.478317513493392,1686700000.0,-81400000.0,2172.113022113022,,,-3.2723658051689863,2026-05-31,星座品牌
TAP,2020-12-31,11723800000.0,13009100000.0,-9.880007071972695,-2139600000.0,1122400000.0,-290.6272273699216,,,-11.100165497675151,2021-03-31,摩森康胜
BUD,2025-12-31,59320000000.0,59768000000.0,-0.7495649846071476,8477000000.0,7416000000.0,14.30690399137001,,,,,百威英博
DEO,2025-06-30,27964000000.0,27891000000.0,0.2617331755763508,2538000000.0,4166000000.0,-39.07825252040327,,,,,帝亚吉欧
GIS,2024-05-26,2037800000.0,1957400000.0,4.1074895269234695,-87600000.0,2295200000.0,-103.8166608574416,,,,,通用磨坊
MDLZ,,,,,,,,,,,,亿滋国际
LW,,,,,290000000.0,357200000.0,-18.81298992161254,,,,2017-02-26,蓝威斯顿
CAG,2016-05-29,1500000000.0,1600000000.0,-6.25,-1916200000.0,1152400000.0,-266.27906976744185,,,,,康尼格拉
CPB,2025-08-03,10253000000.0,9636000000.0,6.403071814030718,602000000.0,567000000.0,6.172839506172839,,,,2026-05-03,金宝汤
SJM,,,,,-138700000.0,-1230800000.0,88.73090672733181,,,,,盛美家
KHC,,,,,-5846000000.0,2744000000.0,-313.0466472303207,,,,,卡夫亨氏
HRL,,,,,478197000.0,805038000.0,-40.59944996385264,,,,,荷美尔
MKC,2025-11-30,6840300000.0,6723700000.0,1.7341642250546574,789400000.0,788500000.0,0.11414077362079898,,,16.69780054233203,2026-05-31,味好美
PG,2026-06-30,87032000000.0,84284000000.0,3.260405296378909,16046000000.0,15974000000.0,0.45073244021534997,,,7.377629449838189,2026-03-31,宝洁
CL,2017-12-31,15454000000.0,15195000000.0,1.7045080618624548,2132000000.0,2889000000.0,-26.20283835237106,,,6.379585326953747,2018-03-31,高露洁
KMB,2025-12-31,16447000000.0,16805000000.0,-2.1303183576316576,2021000000.0,2545000000.0,-20.589390962671906,,,0.624549603651213,2026-06-30,金佰利
CHD,2025-12-31,6203200000.0,6107100000.0,1.5735782941166838,736800000.0,585300000.0,25.884161968221424,,,1.5733917546305518,2026-06-30,切迟杜威
CLX,2018-06-30,6124000000.0,5973000000.0,2.528042859534572,810000000.0,280000000.0,189.28571428571428,,,4.025423728813559,2018-12-31,高乐氏
UL,,,,,,,,,,,,联合利华
EL,2026-06-30,15049000000.0,14326000000.0,5.046768113918749,684000000.0,1785000000.0,-61.680672268907564,,,4.563380281690141,2026-03-31,雅诗兰黛
MCD,2025-12-31,26885000000.0,25920000000.0,3.7229938271604937,8563000000.0,8223000000.0,4.13474401070169,,,3.7410492474061083,2026-06-30,麦当劳
SBUX,2025-09-28,37184400000.0,36176200000.0,2.786915154162129,1856400000.0,3760900000.0,-50.639474593847225,,,,2026-06-28,星巴克
YUM,2025-12-31,8214000000.0,7549000000.0,8.809113789905949,1559000000.0,1486000000.0,4.912516823687752,,,12.209001551991722,2026-06-30,百胜餐饮
CMG,2025-12-31,11925601000.0,11313853000.0,5.407070429499128,1535761000.0,1534110000.0,0.10761940147707791,,,9.308926409376793,2026-06-30,奇波雷
DRI,2026-05-31,13210900000.0,12076700000.0,9.391638444276996,1206700000.0,1049600000.0,14.967606707317074,,,,2026-02-22,达登餐饮
QSR,2025-12-31,9434000000.0,8406000000.0,12.229359980965977,158000000.0,233700000.0,-32.391955498502355,,,4.564315352697095,2026-06-30,餐饮品牌国际
WEN,2025-12-28,2176891000.0,2246492000.0,-3.0982082286516044,165075000.0,194357000.0,-15.066089721491894,,,,2026-06-28,温迪
PZZA,2021-12-26,2068421000.0,1813234000.0,14.07358344262241,30531000.0,83486000.0,-63.429796612605706,,,,2022-03-27,棒约翰
DPZ,2025-12-28,4939994000.0,4706416000.0,4.9629696992361065,601704000.0,584170000.0,3.001523529109677,,,,2026-06-14,达美乐披萨
EAT,2026-06-24,5807400000.0,5384200000.0,7.86003491697931,487000000.0,383100000.0,27.120856173322892,,,,2026-03-25,布林克餐饮
YUMC,2025-12-31,11797000000.0,11303000000.0,4.370521100592763,929000000.0,911000000.0,1.9758507135016465,,,12.594187298170075,2026-06-30,百胜中国
LKNCY,2025-12-31,7034825000.0,4723872000.0,48.92073705638087,,,,,,,,瑞幸咖啡
CAVA,2025-12-28,1179664000.0,963713000.0,22.40822734569317,63743000.0,130319000.0,-51.086948181002,,,,2026-07-12,CAVA
WING,2025-12-27,696853000.0,625807000.0,11.352701391962698,174267000.0,108717000.0,60.29415822732416,,,,2026-06-27,Wingstop
SHAK,2025-12-31,1445306000.0,1252608000.0,15.383743357858165,45725000.0,10207000.0,347.9768786127168,,,,2026-07-01,Shake Shack
BROS,2025-12-31,1638159000.0,1281015000.0,27.879767215840562,79842000.0,35258000.0,126.45073458505871,,,32.4756561242674,2026-06-30,荷兰兄弟
WMT,2026-01-31,713163000000.0,680985000000.0,4.725214211766779,21893000000.0,19436000000.0,12.641490018522331,,,5.938489983201993,2026-07-31,沃尔玛
COST,2025-08-31,275235000000.0,254453000000.0,8.167323631476146,8099000000.0,7367000000.0,9.936201981810777,,,,2026-02-15,开市客
TGT,2015-01-31,72618000000.0,71279000000.0,1.8785336494619733,3705000000.0,4091000000.0,-9.435345881202641,,,,2014-02-01,塔吉特
DG,2026-01-30,42724369000.0,40612308000.0,5.200544130611833,1512311000.0,1125253000.0,34.397419958000555,,,,2026-07-31,达乐
DLTR,2026-01-31,19411800000.0,17578500000.0,10.429217510026453,1282500000.0,-3030100000.0,142.32533579749844,,,,2026-08-01,美元树
ROST,2026-01-31,22750559000.0,21129219000.0,7.673449738014453,2145044000.0,2090730000.0,2.5978485983364665,,,,2026-05-02,罗斯百货
TJX,2015-01-31,29078407000.0,27422696000.0,6.037739688322403,5494000000.0,4864000000.0,12.952302631578947,,,,2015-08-01,TJX
BURL,2026-01-31,11566910000.0,10634823000.0,8.764480612418279,610153000.0,503639000.0,21.148878462549565,,,,2026-08-01,伯灵顿
ULTA,2026-01-31,12392820000.0,11295654000.0,9.71316933043452,1153479000.0,1201118000.0,-3.9662214703301424,,,,2026-08-01,Ulta美妆
FIVE,2026-01-31,4764147000.0,3876527000.0,22.89729956737048,358641000.0,253611000.0,41.41381880123497,,,,2026-05-02,Five Below
HD,2010-01-31,66176000000.0,71288000000.0,-7.170912355515655,14156000000.0,14806000000.0,-4.390112116709442,,,,2010-10-31,家得宝
LOW,2026-01-30,86286000000.0,83674000000.0,3.121638740827497,6654000000.0,6957000000.0,-4.3553255713669685,,,,2026-07-31,劳氏
NKE,2026-05-31,46398000000.0,46309000000.0,0.19218726381480922,3108000000.0,3219000000.0,-3.4482758620689653,,,0.08873901854645487,2026-02-28,耐克
LULU,2026-02-01,11102600000.0,10588126000.0,4.858971266492295,1579183000.0,1814616000.0,-12.974260118945274,,,,2026-05-03,露露乐蒙
DECK,2026-03-31,5472296000.0,4985612000.0,9.761770470706505,1024071000.0,966091000.0,6.001505034204852,,,5.701486100081075,2026-06-30,德克斯户外
ONON,,,,,,,,,,,,昂跑
CROX,2025-12-31,4040647000.0,4102108000.0,-1.4982784461062457,-81198000.0,950071000.0,-108.54651915488422,,,2.6183841102931775,2026-06-30,卡骆驰
AMZN,2025-12-31,716924000000.0,637959000000.0,12.377754683294695,77670000000.0,59248000000.0,31.09303267620848,,,19.620517346245126,2026-06-30,亚马逊
BABA,2026-03-31,148401000000.0,137300000000.0,8.085214857975236,15018000000.0,17929000000.0,-16.236265268559315,,,,,阿里巴巴
JD,2025-12-31,187197000000.0,158758000000.0,17.913427984731477,-548291000.0,-1447715000.0,62.12714519086975,,,,,京东
PDD,2025-12-31,61753116000.0,53955324000.0,14.45231243537709,13991297000.0,15403464000.0,-9.167853412712882,,,,,拼多多
