市场,代码,名称,板块,细分行业,最新价,货币,总市值(亿),市盈率TTM,市净率,市销率,股息率%,52周位置,距52周高点%,250日涨跌幅%,60日涨跌幅%,营收同比%,净利同比%,最新季营收同比%,毛利率%,净利率%,ROE%,估值得分,成长得分,位置得分,质量得分,综合机会分,数据完整度,标签,最新报告期
美股,PDD,拼多多,中概消费,电商零售,85.69,USD,1219.7,9.1,1.86,1.98,,0.1911,-37.96,-28.72,0.34,14.45231243537709,-9.167853412712882,,,22.66,,78.1,64.1,81.3,96.2,78.0,4,低位+低估+正增长,2025-12-31(财年)
港股,06831,绿茶集团,可选消费,中式餐饮,5.32,HKD,35.0,5.68,1.92,0.58,9.77,0.0192,-43.36,-28.74,-25.77,16.7823609671,24.4170125369,,68.330034619178,10.2121009866,38.56753089586,74.2,77.9,63.3,79.1,74.7,4,低位+低估+正增长,2026-06-30
港股,00590,六福集团,可选消费,黄金珠宝,21.76,HKD,127.8,6.24,0.85,,7.22,0.2125,-32.66,-5.29,10.07,28.9623083816,86.0039968578,,36.675293494855,11.7138776659,14.500206521471,85.7,91.9,34.9,47.3,72.3,4,低位+低估+正增长,2026-03-31
美股,LULU,露露乐蒙,可选消费,运动服饰,120.81,USD,131.0,8.97,2.71,1.18,,0.1392,-44.04,-40.25,-4.14,4.858971266492295,-12.974260118945274,,,14.22,,84.3,41.0,88.7,80.8,71.3,4,低位+低估+正增长,2026-02-01(财年)
美股,DECK,德克斯户外,可选消费,运动服饰,87.76,USD,119.5,11.78,5.19,2.18,,0.1853,-29.17,-26.64,-18.26,9.761770470706503,6.001505034204852,5.701486100081075,,18.71,,60.2,62.8,81.9,88.5,69.9,4,低位+低估+正增长,2026-03-31(财年)
美股,CPB,金宝汤,可选消费,食品,23.39,USD,36.1,11.47,1.55,0.35,,0.2416,-31.27,-26.75,11.43,6.403071814030718,6.172839506172839,,,5.87,,91.1,60.8,76.8,34.6,68.6,4,低位+低估+正增长,2025-08-03(财年)
港股,06181,老铺黄金,可选消费,黄金珠宝,383.0,HKD,676.9,8.66,4.45,1.67,6.31,0.1762,-54.03,-45.45,-24.52,60.3366504404,88.1863011862,,37.628318367557,17.8291879804,64.838947088499,39.3,96.5,55.3,69.8,65.0,4,低位+低估+正增长,2026-06-30
港股,01361,361度,可选消费,运动服饰,4.585,HKD,99.4,6.31,0.76,0.73,11.76,0.2634,-32.55,-17.01,-1.18,7.9748388646,7.9571873288,,41.52706810772,11.9982102722,13.456649248237,80.3,58.1,35.3,52.7,61.4,4,低位+低估+正增长,2026-06-30
美股,YUMC,百胜中国,可选消费,快餐,45.02,USD,154.0,15.79,2.87,1.31,,0.2724,-22.31,0.67,4.84,4.370521100592763,1.9758507135016463,12.594187298170077,,7.87,,75.5,57.8,53.2,46.2,61.0,4,低位+低估+正增长,2025-12-31(财年)
港股,02555,茶百道,可选消费,现制茶饮,4.26,HKD,62.9,6.83,1.4,0.97,9.46,0.0,-51.98,-51.71,-18.19,6.209877778,3.1975771932,,32.508190814277,15.2241825312,20.416222091987,67.9,45.3,88.6,51.2,60.9,4,低位+低估+正增长,2026-06-30
港股,02589,沪上阿姨,可选消费,现制茶饮,81.4,HKD,85.6,12.19,3.45,1.4,5.16,0.1105,-51.68,-46.12,-44.97,42.397609847,58.3184654358,,31.445162220723,11.2260851962,32.247444590856,37.6,93.0,59.1,50.4,60.0,4,低位+低估+正增长,2026-06-30
美股,LOW,劳氏,可选消费,家居零售,208.05,USD,1167.3,17.57,-15.7,1.35,,0.0717,-27.61,-19.38,0.19,3.121638740827497,-4.3553255713669685,,,7.71,,73.2,39.0,84.2,44.2,58.8,4,低位+低估+正增长,2026-01-30(财年)
美股,PG,宝洁,可选消费,个人护理及家居,143.78,USD,3339.5,20.81,6.18,3.84,,0.1968,-14.01,-8.44,2.56,3.260405296378909,0.4507324402153499,7.377629449838189,,18.44,,40.7,50.8,68.1,84.6,56.6,4,低位+低估+正增长,2026-06-30(财年)
港股,00151,中国旺旺,必选消费,休闲食品,3.09,HKD,362.6,8.34,1.62,,3.5,0.0155,-46.93,-43.24,-23.99,3.7851982267,-11.4978093974,,46.30140612971,15.6870355787,20.386593315232,65.4,31.4,73.0,65.9,56.4,4,低位+低估+正增长,2026-03-31
