市场,代码,名称,板块,细分行业,最新价,货币,总市值(亿),市盈率TTM,市净率,市销率,股息率%,52周位置,距52周高点%,250日涨跌幅%,60日涨跌幅%,营收同比%,净利同比%,最新季营收同比%,毛利率%,净利率%,ROE%,估值得分,成长得分,位置得分,质量得分,综合机会分,数据完整度,标签,最新报告期
港股,06831,绿茶集团,可选消费,中式餐饮,5.32,HKD,35.0,5.68,1.92,0.58,9.77,0.0192,-43.36,-28.74,-25.77,16.7823609671,24.4170125369,,68.330034619178,10.2121009866,38.56753089586,74.2,77.9,63.3,79.1,74.7,4,低位+低估+正增长,2026-06-30
港股,00590,六福集团,可选消费,黄金珠宝,21.76,HKD,127.8,6.24,0.85,,7.22,0.2125,-32.66,-5.29,10.07,28.9623083816,86.0039968578,,36.675293494855,11.7138776659,14.500206521471,85.7,91.9,34.9,47.3,72.3,4,低位+低估+正增长,2026-03-31
港股,00116,周生生,可选消费,黄金珠宝,14.11,HKD,94.8,3.19,0.58,0.38,7.09,0.6423,-15.06,31.41,31.78,16.6965202153,138.7220192185,,32.617526340004,7.6377536116,12.772069382134,91.5,86.0,12.1,31.8,66.0,4,低估+正增长,2026-06-30
港股,02150,奈雪的茶,可选消费,现制茶饮,0.635,HKD,10.7,-4.3,0.27,0.23,,0.0146,-61.52,-60.56,-14.19,-13.0937642356,16.7274528729,,66.049335257039,-5.6211144058,-6.313437027439,96.1,40.7,84.7,32.6,65.1,4,低位+亏损/无PE+负增长,2026-06-30
港股,06181,老铺黄金,可选消费,黄金珠宝,383.0,HKD,676.9,8.66,4.45,1.67,6.31,0.1762,-54.03,-45.45,-24.52,60.3366504404,88.1863011862,,37.628318367557,17.8291879804,64.838947088499,39.3,96.5,55.3,69.8,65.0,4,低位+低估+正增长,2026-06-30
港股,00520,呷哺呷哺,可选消费,火锅餐饮,0.27,HKD,2.9,-1.04,0.6,0.08,,0.0414,-75.0,-66.25,-22.86,-23.1332337649,57.1950189703,,64.9910457531,-7.8239926307,-48.570265002764,92.8,44.2,79.5,29.5,63.6,4,低位+亏损/无PE+负增长,2026-06-30
港股,01361,361度,可选消费,运动服饰,4.585,HKD,99.4,6.31,0.76,0.73,11.76,0.2634,-32.55,-17.01,-1.18,7.9748388646,7.9571873288,,41.52706810772,11.9982102722,13.456649248237,80.3,58.1,35.3,52.7,61.4,4,低位+低估+正增长,2026-06-30
港股,02555,茶百道,可选消费,现制茶饮,4.26,HKD,62.9,6.83,1.4,0.97,9.46,0.0,-51.98,-51.71,-18.19,6.209877778,3.1975771932,,32.508190814277,15.2241825312,20.416222091987,67.9,45.3,88.6,51.2,60.9,4,低位+低估+正增长,2026-06-30
港股,01405,达势股份,可选消费,咖啡及西式快餐,33.48,HKD,44.1,24.73,1.52,0.64,,0.0688,-63.52,-61.73,-9.61,20.8382850246,22.9370183848,,72.705459465516,2.6371378771,6.065944473435,46.7,79.1,73.0,46.5,60.3,4,低位+正增长,2026-06-30
港股,02589,沪上阿姨,可选消费,现制茶饮,81.4,HKD,85.6,12.19,3.45,1.4,5.16,0.1105,-51.68,-46.12,-44.97,42.397609847,58.3184654358,,31.445162220723,11.2260851962,32.247444590856,37.6,93.0,59.1,50.4,60.0,4,低位+低估+正增长,2026-06-30
港股,09992,泡泡玛特,可选消费,潮流玩具,157.3,HKD,2094.9,14.03,7.89,4.44,1.73,0.0962,-52.6,-50.36,-11.15,23.7574187772,10.1438275189,,72.10365976858,35.0539433512,77.519468320973,16.1,73.3,63.7,98.4,56.9,4,低位+正增长,2026-06-30
港股,09896,名创优品,可选消费,潮流零售,18.81,HKD,228.4,15.77,1.96,0.83,6.93,0.0,-62.06,-58.86,-27.37,22.4184381066,6.1279427834,,44.992523955729,5.6417821315,11.512946780596,44.8,66.3,91.4,38.0,56.9,4,低位+正增长,2026-06-30
港股,09922,九毛九,可选消费,中式餐饮,1.16,HKD,15.5,18.22,0.44,0.27,1.72,0.0063,-57.66,-57.66,-23.18,-13.1516766687,24.901550477,,64.484512018266,0.9792866148,1.826890947019,68.9,44.2,85.6,31.8,56.6,4,低位+负增长,2026-06-30
